# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,9.717429878334303828e-01,8.614871093004429214e-01,9.691354880203764122e-01,9.528686657662411852e-01,8.338832437184495738e-01,9.585647885940409285e-01,6.717158850661839598e-01,9.473743259314303389e-01,8.626186019815800243e-01,9.891046682245704380e-01,1.000000000000000000e+00,9.629908743314160580e-01,5.810378289777615723e-01,9.902952105059208421e-01,8.227795400909114765e-01,9.751795420020760163e-01,1.596951322198489898e-01,9.223610454732766861e-01,7.654831653021009208e-01
9.717429878334303828e-01,-4.440892098500626162e-16,9.530601596134578024e-01,9.932616623639121123e-01,1.000000000000000000e+00,5.126034180980469923e-01,9.891261728912846829e-01,9.654196403720282094e-01,5.583111830925866492e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.628006636499691906e-01,9.809703170371671943e-01,9.624130458396720211e-01,9.557644237816084187e-01,1.000000000000000000e+00,9.197276758281649478e-01,1.000000000000000000e+00,9.436521462632551094e-01
8.614871093004429214e-01,9.530601596134578024e-01,0.000000000000000000e+00,9.763226619670311024e-01,9.501274235451808714e-01,9.219157479982941217e-01,9.885408006184972507e-01,8.917566637392770890e-01,8.826014896724532210e-01,8.213210311364727012e-01,9.823200923867138057e-01,1.000000000000000000e+00,9.714307177722419917e-01,8.772264624351826523e-01,9.360763090305783685e-01,8.856526432882541044e-01,9.604453317433088166e-01,8.479766510696987725e-01,9.159737257228830476e-01,8.864281387222636699e-01
9.691354880203764122e-01,9.932616623639121123e-01,9.763226619670311024e-01,9.988158985004053081e-02,7.852262428640549574e-01,9.300525561976817901e-01,9.759029078239931376e-01,9.847471825835713011e-01,9.869108734579631337e-01,9.638606269283274131e-01,7.303865031097902527e-01,9.335703605198741872e-01,5.841919119453442555e-01,8.452570465153128598e-01,9.048586434775711673e-01,8.820466421693629044e-01,7.747095942197521623e-01,9.751159345193826100e-01,9.205740827403154913e-01,6.216287124852846180e-01
9.528686657662411852e-01,1.000000000000000000e+00,9.501274235451808714e-01,7.852262428640549574e-01,2.220446049250313081e-16,1.000000000000000000e+00,7.183327910570995734e-01,9.553502212261694160e-01,1.000000000000000000e+00,8.689593606808654336e-01,7.524360647322457796e-01,8.065319576744154340e-01,9.620319327116771957e-01,7.719388066405956650e-01,8.900095450465479452e-01,9.577829019758128393e-01,7.377076746623694170e-01,9.602776183146924938e-01,9.175696045714432092e-01,7.870528357442596601e-01
8.338832437184495738e-01,5.126034180980469923e-01,9.219157479982941217e-01,9.300525561976817901e-01,1.000000000000000000e+00,2.220446049250313081e-16,1.000000000000000000e+00,9.835352594891293432e-01,4.594647130189023487e-01,9.074339271725732070e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.347112741987015028e-01,9.063321815006997184e-01,9.305208436613130463e-01,8.660183304585199471e-01,9.868495156790003664e-01,6.876080362602561280e-01,9.617164204187552690e-01,8.540719577528710360e-01
9.585647885940409285e-01,9.891261728912846829e-01,9.885408006184972507e-01,9.759029078239931376e-01,7.183327910570995734e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.727319139215627741e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.117315667246055355e-01,7.491233400614265570e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.612642986194531725e-01,9.918967319884729461e-01,9.406956343244878838e-01,1.000000000000000000e+00,9.840713135335847905e-01,9.780127718301238060e-01
6.717158850661839598e-01,9.654196403720282094e-01,8.917566637392770890e-01,9.847471825835713011e-01,9.553502212261694160e-01,9.835352594891293432e-01,9.727319139215627741e-01,1.110223024625156540e-16,9.787416615846947776e-01,7.276706717478138575e-01,9.862040478688617329e-01,9.809089681325882104e-01,9.748015094353922327e-01,7.115722362991450112e-01,8.769472196248502271e-01,6.549648084660452119e-01,9.810339076691593219e-01,6.455959878555901366e-01,9.390243241102339544e-01,8.526770206948059982e-01
9.473743259314303389e-01,5.583111830925866492e-01,8.826014896724532210e-01,9.869108734579631337e-01,1.000000000000000000e+00,4.594647130189023487e-01,1.000000000000000000e+00,9.787416615846947776e-01,2.220446049250313081e-16,9.389145745907980789e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.277456861568279534e-01,9.665768173307226485e-01,9.350851581914049193e-01,9.434142537624078395e-01,1.000000000000000000e+00,9.424873205914582330e-01,9.536003295096482368e-01,9.371363569828640161e-01
8.626186019815800243e-01,1.000000000000000000e+00,8.213210311364727012e-01,9.638606269283274131e-01,8.689593606808654336e-01,9.074339271725732070e-01,1.000000000000000000e+00,7.276706717478138575e-01,9.389145745907980789e-01,0.000000000000000000e+00,9.543810115242807868e-01,9.038473896184661127e-01,9.428375634114836146e-01,7.318803523641179698e-01,7.931025949024854693e-01,7.113249396185346018e-01,9.624799053123954673e-01,8.244847630333087540e-01,9.399023722394288516e-01,7.391618525482641644e-01
9.891046682245704380e-01,1.000000000000000000e+00,9.823200923867138057e-01,7.303865031097902527e-01,7.524360647322457796e-01,1.000000000000000000e+00,9.117315667246055355e-01,9.862040478688617329e-01,1.000000000000000000e+00,9.543810115242807868e-01,0.000000000000000000e+00,9.675206158265062806e-01,9.504102167107821852e-01,8.955395252665629968e-01,9.012194421194597016e-01,9.619378734661344632e-01,3.964166059831011335e-01,9.821782808475060245e-01,9.635088729221861215e-01,7.397172761202951419e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.335703605198741872e-01,8.065319576744154340e-01,1.000000000000000000e+00,7.491233400614265570e-01,9.809089681325882104e-01,1.000000000000000000e+00,9.038473896184661127e-01,9.675206158265062806e-01,0.000000000000000000e+00,9.754129398244318905e-01,9.727108975283514924e-01,9.962715593806723557e-01,9.772145749067659981e-01,9.162316339210793137e-01,9.916012997052187083e-01,1.000000000000000000e+00,7.187948424092749367e-01
9.629908743314160580e-01,9.628006636499691906e-01,9.714307177722419917e-01,5.841919119453442555e-01,9.620319327116771957e-01,8.347112741987015028e-01,1.000000000000000000e+00,9.748015094353922327e-01,9.277456861568279534e-01,9.428375634114836146e-01,9.504102167107821852e-01,9.754129398244318905e-01,2.220446049250313081e-16,9.678056523803985067e-01,8.953804427869698213e-01,8.196994313119092546e-01,9.751815358568760583e-01,9.708766384301957819e-01,9.332994841516057960e-01,8.234408240872126417e-01
