# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
5.000000000000000000e-01,7.295867103492624794e-01,9.343631286900531130e-01,8.972537183158402208e-01,8.882599537103701426e-01,1.000000000000000000e+00,9.560586010005229785e-01,8.477391242330919452e-01,8.973781648307366243e-01,9.494555414839931373e-01,1.126373812596498158e+00,8.974623576371248967e-01,9.356083623456991072e-01,6.699993648868272089e-01,9.630495762307745844e-01,9.367973044365562885e-01,9.372691777391047863e-01,9.703687646344113515e-01,8.893997869447596294e-01,8.900670561662303859e-01
7.295867103492624794e-01,0.000000000000000000e+00,9.389666754803954740e-01,9.278834346977402614e-01,8.921919128061258641e-01,1.000000000000000000e+00,9.237869533140808942e-01,7.536993154546589579e-01,9.390396258644269079e-01,9.767193545645292962e-01,1.022795618995792744e+00,9.329757492796251217e-01,9.844584852356403903e-01,4.760504335635472595e-01,9.203271172458886706e-01,9.547205293975413731e-01,8.951071456471524357e-01,9.686431048265208288e-01,8.271777866502381116e-01,1.000000000000000000e+00
9.343631286900531130e-01,9.389666754803954740e-01,2.220446049250313081e-16,1.000000000000000000e+00,9.216497059647287271e-01,9.341185641455027611e-01,9.334455353136709155e-01,8.550603056018154513e-01,9.666785071476424740e-01,8.790357863315415576e-01,1.107050669770232476e+00,9.721785042595322279e-01,1.000000000000000000e+00,8.998294019337318428e-01,7.883434226531844669e-01,7.138014661353795365e-01,1.000000000000000000e+00,7.167912573135841736e-01,9.664378571674562268e-01,9.278266253260827323e-01
8.972537183158402208e-01,9.278834346977402614e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.454857952249825503e-01,8.941617959016449069e-01,9.726464622294714868e-01,8.488962784808254947e-01,9.738554649610945413e-01,8.704399299818688096e-01,1.120303750832643219e+00,8.358041537767545437e-01,8.109698924508959017e-01,9.499389666176946134e-01,8.950530781879064701e-01,9.401454553125354607e-01,9.952270479729165009e-01,8.509433999950717364e-01,9.340537713983965151e-01,1.000000000000000000e+00
8.882599537103701426e-01,8.921919128061258641e-01,9.216497059647287271e-01,9.454857952249825503e-01,2.220446049250313081e-16,7.705684376567765170e-01,9.638251109705685549e-01,8.700851585369103747e-01,8.045725984204925574e-01,7.575883055535510557e-01,1.074228715621958763e+00,8.396773792190399544e-01,1.000000000000000000e+00,8.202873245707135164e-01,9.460122732836813153e-01,9.302759972990702897e-01,1.000000000000000000e+00,9.454839583821436078e-01,8.450891770384807433e-01,9.432039304868706786e-01
1.000000000000000000e+00,1.000000000000000000e+00,9.341185641455027611e-01,8.941617959016449069e-01,7.705684376567765170e-01,0.000000000000000000e+00,9.917751358321647004e-01,8.305342435577527382e-01,1.000000000000000000e+00,9.918488861732713824e-01,9.903698094853542466e-01,9.530418566188412210e-01,1.000000000000000000e+00,9.423246450710509592e-01,7.266349221688178650e-01,8.647979273919358389e-01,1.000000000000000000e+00,7.222404953844903108e-01,8.597341620479613811e-01,9.420239817433122553e-01
9.560586010005229785e-01,9.237869533140808942e-01,9.334455353136709155e-01,9.726464622294714868e-01,9.638251109705685549e-01,9.917751358321647004e-01,1.110223024625156540e-16,9.348724928956734237e-01,9.900017983078641670e-01,9.822422025658417155e-01,1.089048740146463246e+00,9.446989320473251350e-01,9.768367351515223618e-01,8.746523738987161956e-01,9.247650109957066267e-01,9.527572655076189667e-01,8.979715480387533422e-01,1.000000000000000000e+00,8.632001693904555184e-01,1.000000000000000000e+00
8.477391242330919452e-01,7.536993154546589579e-01,8.550603056018154513e-01,8.488962784808254947e-01,8.700851585369103747e-01,8.305342435577527382e-01,9.348724928956734237e-01,6.327804055978484277e-01,9.393179788017226306e-01,8.790436797080496412e-01,1.020835486682978521e+00,9.002592924636956262e-01,9.614309654523268689e-01,7.399086528177584166e-01,6.230993438663418038e-01,9.223083387014106016e-01,9.920214572143186693e-01,7.574590851445686113e-01,7.992723494855158428e-01,8.223989122028140253e-01
8.973781648307366243e-01,9.390396258644269079e-01,9.666785071476424740e-01,9.738554649610945413e-01,8.045725984204925574e-01,1.000000000000000000e+00,9.900017983078641670e-01,9.393179788017226306e-01,0.000000000000000000e+00,9.302505176510152962e-01,1.068977963215222093e+00,8.350533004680502636e-01,1.000000000000000000e+00,9.050735687014095365e-01,9.135584645315615315e-01,9.852863489968599620e-01,1.000000000000000000e+00,9.617732406396858336e-01,8.037400447855451713e-01,9.603213141370989803e-01
9.494555414839931373e-01,9.767193545645292962e-01,8.790357863315415576e-01,8.704399299818688096e-01,7.575883055535510557e-01,9.918488861732713824e-01,9.822422025658417155e-01,8.790436797080496412e-01,9.302505176510152962e-01,0.000000000000000000e+00,1.087073548741736007e+00,6.984532163818737427e-01,8.631187838197561524e-01,9.548946228287727989e-01,4.660217741632692867e-01,9.655346498663899268e-01,9.766300620661294563e-01,9.952188540777162640e-01,8.916662161761768068e-01,8.720125506542109051e-01
1.126373812596498158e+00,1.022795618995792744e+00,1.107050669770232476e+00,1.120303750832643219e+00,1.074228715621958763e+00,9.903698094853542466e-01,1.089048740146463246e+00,1.020835486682978521e+00,1.068977963215222093e+00,1.087073548741736007e+00,0.000000000000000000e+00,1.084936891958753868e+00,1.135696509939871257e+00,1.067328478370563882e+00,9.229530306586274380e-01,1.064978242193074687e+00,1.217156526557006790e+00,1.040985678101452816e+00,1.031659247562184190e+00,1.206773352386574683e+00
8.974623576371248967e-01,9.329757492796251217e-01,9.721785042595322279e-01,8.358041537767545437e-01,8.396773792190399544e-01,9.530418566188412210e-01,9.446989320473251350e-01,9.002592924636956262e-01,8.350533004680502636e-01,6.984532163818737427e-01,1.084936891958753868e+00,4.721276839111990808e-01,9.535716383288301845e-01,9.428295655733457403e-01,9.492324693671179148e-01,9.519644565076680331e-01,1.000000000000000000e+00,8.867103255531614270e-01,9.194961734906375028e-01,9.393579389013269054e-01
