# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.395456651345741594e-01,9.733400200177597661e-01,9.299682753796169044e-01,7.153107421105184827e-01,9.371799412420300790e-01,9.078157071072969764e-01,6.699536243499821797e-01,9.680394974946306963e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.257417240608230014e-01,8.190835813811105925e-01,9.951467909886597685e-01,3.982846382452711609e-01,9.684967208218699941e-01,8.917816587431920405e-01,3.867194972942711306e-01,8.345941803256382574e-01,8.844126342381554151e-01
9.395456651345741594e-01,0.000000000000000000e+00,9.306943752601344322e-01,1.000000000000000000e+00,9.491106764095847970e-01,7.124137034987945150e-01,9.855924043310864135e-01,9.615449064060281881e-01,2.634988167320396757e-01,1.000000000000000000e+00,8.460054803575806082e-01,9.996980747879105067e-01,9.715002389077166400e-01,1.000000000000000000e+00,9.558818245504737687e-01,3.902835397284289964e-01,8.896173640150702999e-01,9.397826854667901131e-01,8.594568938553560633e-01,1.000000000000000000e+00
9.733400200177597661e-01,9.306943752601344322e-01,1.110223024625156540e-16,1.000000000000000000e+00,9.715701802669689524e-01,6.360429857317422275e-01,9.649792174797764410e-01,9.419037937443348607e-01,7.080207016854089819e-01,1.000000000000000000e+00,8.449289917497297964e-01,1.096141662258022009e+00,8.845623496821790610e-01,8.980429911839942214e-01,9.189958977826435671e-01,1.000000000000000000e+00,7.910804531427688691e-01,5.854938186693083857e-01,7.489905610516772727e-01,8.876510454917043713e-01
9.299682753796169044e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.796672730717609356e-01,9.683937981405764672e-01,9.681241959647807205e-01,9.954122270045199228e-01,6.059493063766620002e-01,1.000000000000000000e+00,9.752367285459569990e-01,1.086833207984670979e+00,9.665266953283591089e-01,9.743923074519376115e-01,9.742947661119156777e-01,1.000000000000000000e+00,9.827242293133132689e-01,9.979063883979040206e-01,9.838067056774050245e-01,9.013426319369561845e-01
7.153107421105184827e-01,9.491106764095847970e-01,9.715701802669689524e-01,9.796672730717609356e-01,2.220446049250313081e-16,9.529941151928437160e-01,9.749148080738633260e-01,8.061257805009427457e-01,9.290580945208707364e-01,8.746809352982264363e-01,8.240650444597538149e-01,1.075733848653145586e+00,9.745622914945191173e-01,9.444228115851271976e-01,7.589715813130115674e-01,9.781494552960915412e-01,8.436560253851114188e-01,7.039097205575570726e-01,1.000000000000000000e+00,9.391204642655966994e-01
9.371799412420300790e-01,7.124137034987945150e-01,6.360429857317422275e-01,9.683937981405764672e-01,9.529941151928437160e-01,-2.220446049250313081e-16,9.512850637660588138e-01,8.657334115015825615e-01,5.296685940877070564e-01,1.000000000000000000e+00,8.343669007470281285e-01,1.011814231653143104e+00,9.822482744276163080e-01,9.708175365612220498e-01,9.305137293958910538e-01,9.415753366333113883e-01,8.350128876901169450e-01,9.243935460456531583e-01,6.848096139613220057e-01,9.637338740447952690e-01
9.078157071072969764e-01,9.855924043310864135e-01,9.649792174797764410e-01,9.681241959647807205e-01,9.749148080738633260e-01,9.512850637660588138e-01,-2.220446049250313081e-16,9.688591315692698380e-01,9.468170506678839082e-01,1.000000000000000000e+00,9.897782775875912931e-01,1.089219904966507224e+00,9.593011986384998302e-01,9.319097799329902898e-01,9.749057695810297020e-01,9.791794441353953715e-01,9.778596038665173795e-01,9.551758586263330297e-01,9.926699321794126840e-01,9.647591506438774056e-01
6.699536243499821797e-01,9.615449064060281881e-01,9.419037937443348607e-01,9.954122270045199228e-01,8.061257805009427457e-01,8.657334115015825615e-01,9.688591315692698380e-01,2.410262494935980493e-01,9.586439371956548827e-01,9.633873447265967060e-01,8.937362228141649823e-01,9.887624090947627620e-01,8.452926121452789543e-01,8.471058177698170821e-01,5.851372489834807400e-01,9.749447670399838950e-01,8.690131469127978514e-01,6.455990263538564644e-01,8.162008631402418724e-01,9.355050479495066185e-01
9.680394974946306963e-01,2.634988167320396757e-01,7.080207016854089819e-01,6.059493063766620002e-01,9.290580945208707364e-01,5.296685940877070564e-01,9.468170506678839082e-01,9.586439371956548827e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.920244320707061414e-01,1.049377145620478791e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.769289604412469963e-01,7.337604474754468864e-01,8.636983918898133439e-01,9.587384388854537365e-01,9.006015942809274533e-01,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.746809352982264363e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.633873447265967060e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.713847810165010976e-01,8.046064044871670262e-01,7.283642753042458562e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.779118438698222171e-01,9.187506229538427993e-01,9.535823688840424639e-01,1.000000000000000000e+00
