# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.996393927521013412e-01,1.064549379662010908e+00,9.736656034415526184e-01,9.699720627729803146e-01,9.050483583649824304e-01,9.683834048498625169e-01,9.568276307321019747e-01,8.887650836456318926e-01,1.000000000000000000e+00,9.759033963440142401e-01,8.846441076372733026e-01,9.700965740736189336e-01,1.001627314187063966e+00,1.000000000000000000e+00,9.275342816340603758e-01,9.998720584190777805e-01,9.056282311695327270e-01,1.000000000000000000e+00,9.384621987250381103e-01
9.996393927521013412e-01,1.110223024625156540e-16,1.105329061109486144e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.170308568141949390e-01,1.000000000000000000e+00,8.879129351565799855e-01,4.671663033030604151e-01,8.924461445571255647e-01,9.861677020874923816e-01,8.179590153066105263e-01,9.203340768545182904e-01,1.089498956826356890e+00,8.722554290008257549e-01,9.282813897132193848e-01,1.000000000000000000e+00,8.036767275632124008e-01,9.623095007528688072e-01,9.900734688963834795e-01
1.064549379662010908e+00,1.105329061109486144e+00,0.000000000000000000e+00,1.165058216562951277e+00,1.184036949079094514e+00,1.009399720478459272e+00,1.042626603365616855e+00,1.156248154718990229e+00,1.156932882348045810e+00,1.048580196490477068e+00,1.170116465104830361e+00,9.586932495156692546e-01,1.194365465804501536e+00,7.779702537207785484e-01,9.569105907012936951e-01,1.201216291802531755e+00,1.222436171409843730e+00,1.082222711498114220e+00,1.243977718030847557e+00,1.072894943374817611e+00
9.736656034415526184e-01,1.000000000000000000e+00,1.165058216562951277e+00,0.000000000000000000e+00,9.802622150670797785e-01,9.792716470295935727e-01,8.360959414860287264e-01,9.525673053837399040e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.856481181145048120e-01,9.870688037454777852e-01,9.226446904971228324e-01,1.058930793271285919e+00,9.788505743516190405e-01,8.011917772495928958e-01,9.734635621153402418e-01,9.667266050108163089e-01,9.866941243268247952e-01,8.741710518303257293e-01
9.699720627729803146e-01,1.000000000000000000e+00,1.184036949079094514e+00,9.802622150670797785e-01,2.220446049250313081e-16,6.419550556752098291e-01,9.644358998075520661e-01,9.745742694329078137e-01,9.360372710790356710e-01,9.227569040814809220e-01,7.992067903629372916e-01,8.708638777244464002e-01,9.653093888473180950e-01,1.008787301176913953e+00,1.000000000000000000e+00,5.432507605935026351e-01,9.830103749530770818e-01,9.585271964595315497e-01,8.196444856563596115e-01,9.661349645790255902e-01
9.050483583649824304e-01,9.170308568141949390e-01,1.009399720478459272e+00,9.792716470295935727e-01,6.419550556752098291e-01,1.110223024625156540e-16,7.983369062789065218e-01,8.650052455391360473e-01,8.633005540240247244e-01,1.000000000000000000e+00,8.795562832290537703e-01,8.210603933108071573e-01,9.728474619406299873e-01,1.080459016077932377e+00,8.238122437185776414e-01,8.477939535183841580e-01,8.585271891166482705e-01,9.139422715075641301e-01,9.865328003897017028e-01,8.833781867820575950e-01
9.683834048498625169e-01,1.000000000000000000e+00,1.042626603365616855e+00,8.360959414860287264e-01,9.644358998075520661e-01,7.983369062789065218e-01,1.110223024625156540e-16,9.862415353521597483e-01,1.000000000000000000e+00,9.104835349813481526e-01,7.918404873763573715e-01,1.000000000000000000e+00,9.836130707473150769e-01,1.122434208448349180e+00,8.876428515660252927e-01,8.166060881012067174e-01,9.928202747148308083e-01,9.511866327064759652e-01,9.135237069856875225e-01,6.684314296619864315e-01
9.568276307321019747e-01,8.879129351565799855e-01,1.156248154718990229e+00,9.525673053837399040e-01,9.745742694329078137e-01,8.650052455391360473e-01,9.862415353521597483e-01,2.220446049250313081e-16,8.882870235055486674e-01,9.861991580650679712e-01,9.624577635585884750e-01,9.298402164685550808e-01,9.709702122021250936e-01,8.888005832758636426e-01,8.797734470881568569e-01,9.425230330937435230e-01,9.510014140566156460e-01,4.510149374090262064e-01,9.841509150732805633e-01,7.109627295858129692e-01
8.887650836456318926e-01,4.671663033030604151e-01,1.156932882348045810e+00,1.000000000000000000e+00,9.360372710790356710e-01,8.633005540240247244e-01,1.000000000000000000e+00,8.882870235055486674e-01,2.220446049250313081e-16,9.677935723353124908e-01,9.678429108506424461e-01,8.525581393821310972e-01,9.771964295693107427e-01,9.857863842751731775e-01,1.000000000000000000e+00,9.579719945579201479e-01,1.000000000000000000e+00,7.868987613160384198e-01,9.271683982637249910e-01,9.439794906987473144e-01
1.000000000000000000e+00,8.924461445571255647e-01,1.048580196490477068e+00,1.000000000000000000e+00,9.227569040814809220e-01,1.000000000000000000e+00,9.104835349813481526e-01,9.861991580650679712e-01,9.677935723353124908e-01,0.000000000000000000e+00,9.700420295848750651e-01,9.166748492485490285e-01,8.471167529279510777e-01,9.915905719581112887e-01,8.025074400033991306e-01,9.740606889129314050e-01,1.000000000000000000e+00,9.337428323320718926e-01,1.000000000000000000e+00,9.278392817636520462e-01
9.759033963440142401e-01,9.861677020874923816e-01,1.170116465104830361e+00,9.856481181145048120e-01,7.992067903629372916e-01,8.795562832290537703e-01,7.918404873763573715e-01,9.624577635585884750e-01,9.678429108506424461e-01,9.700420295848750651e-01,0.000000000000000000e+00,9.763734382453421734e-01,9.696031096234176694e-01,9.820915743891867056e-01,9.767099141879844737e-01,5.919217814524578847e-01,9.990606030046885744e-01,9.508270734381290001e-01,6.564788782997574845e-01,8.735571230080992899e-01
8.846441076372733026e-01,8.179590153066105263e-01,9.586932495156692546e-01,9.870688037454777852e-01,8.708638777244464002e-01,8.210603933108071573e-01,1.000000000000000000e+00,9.298402164685550808e-01,8.525581393821310972e-01,9.166748492485490285e-01,9.763734382453421734e-01,4.999999999999999445e-01,9.243064036702409725e-01,1.049795412372113379e+00,9.044602132433019470e-01,9.754340109131769410e-01,9.847709928110797151e-01,8.202776531993567488e-01,9.449461599692986491e-01,9.034880439700692101e-01
9.700965740736189336e-01,9.203340768545182904e-01,1.194365465804501536e+00,9.226446904971228324e-01,9.653093888473180950e-01,9.728474619406299873e-01,9.836130707473150769e-01,9.709702122021250936e-01,9.771964295693107427e-01,8.471167529279510777e-01,9.696031096234176694e-01,9.243064036702408615e-01,3.555735774190518228e-01,1.258874329266602921e+00,9.009662679361869486e-01,9.388489837087450329e-01,9.779380242835877812e-01,9.651559638230112759e-01,8.717190796129806740e-01,9.682888823798595501e-01
1.001627314187063966e+00,1.089498956826356890e+00,7.779702537207785484e-01,1.058930793271285919e+00,1.008787301176913953e+00,1.080459016077932377e+00,1.122434208448349180e+00,8.888005832758636426e-01,9.857863842751731775e-01,9.915905719581112887e-01,9.820915743891867056e-01,1.049795412372113379e+00,1.258874329266602921e+00,3.330669073875469621e-16,1.168382455376848705e+00,1.177357663133459242e+00,1.252885656709437079e+00,1.033908571084486194e+00,1.211746039377123330e+00,1.079300355174886983e+00
1.000000000000000000e+00,8.722554290008257549e-01,9.569105907012936951e-01,9.788505743516190405e-01,1.000000000000000000e+00,8.238122437185776414e-01,8.876428515660252927e-01,8.797734470881568569e-01,1.000000000000000000e+00,8.025074400033991306e-01,9.767099141879844737e-01,9.044602132433019470e-01,9.009662679361869486e-01,1.168382455376848705e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.787465195244245963e-01,1.000000000000000000e+00,9.333998824716456255e-01,9.807512585660422832e-01
9.275342816340603758e-01,9.282813897132193848e-01,1.201216291802531755e+00,8.011917772495928958e-01,5.432507605935026351e-01,8.477939535183841580e-01,8.166060881012067174e-01,9.425230330937435230e-01,9.579719945579201479e-01,9.740606889129314050e-01,5.919217814524578847e-01,9.754340109131769410e-01,9.388489837087450329e-01,1.177357663133459242e+00,1.000000000000000000e+00,-2.220446049250313081e-16,9.192799245794817109e-01,9.470175181777664708e-01,9.671546167230911095e-01,5.890495325091921197e-01
9.998720584190777805e-01,1.000000000000000000e+00,1.222436171409843730e+00,9.734635621153402418e-01,9.830103749530770818e-01,8.585271891166482705e-01,9.928202747148308083e-01,9.510014140566156460e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.990606030046885744e-01,9.847709928110797151e-01,9.779380242835877812e-01,1.252885656709437079e+00,9.787465195244245963e-01,9.192799245794817109e-01,0.000000000000000000e+00,9.693228837084111316e-01,1.000000000000000000e+00,9.813345439413438953e-01
9.056282311695327270e-01,8.036767275632124008e-01,1.082222711498114220e+00,9.667266050108163089e-01,9.585271964595315497e-01,9.139422715075641301e-01,9.511866327064759652e-01,4.510149374090262064e-01,7.868987613160384198e-01,9.337428323320718926e-01,9.508270734381290001e-01,8.202776531993567488e-01,9.651559638230112759e-01,1.033908571084486194e+00,1.000000000000000000e+00,9.470175181777664708e-01,9.693228837084111316e-01,1.110223024625156540e-16,8.227645012603588270e-01,8.981492152512311478e-01
