# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,9.296636656891638095e-01,5.702626073728248590e-01,9.989156970417693016e-01,9.756294496145753170e-01,6.338694676131424455e-01,9.525318545444972917e-01,6.706244004677259785e-01,9.141350746728242882e-01,8.468002392216898988e-01,9.267577343626066666e-01,1.065986664874440937e+00,7.929862955786934897e-01,5.878545146572071722e-01,6.456489207363491634e-01,9.669008107304042365e-01,1.000000000000000000e+00,4.432772510231778318e-01,9.481898535923856119e-01,6.513423834027671777e-01
9.296636656891638095e-01,6.113745977708623380e-01,9.483941817692421727e-01,9.615522511303463693e-01,9.332177312282535775e-01,8.995852121999708961e-01,9.358383482003471698e-01,8.301671908605053885e-01,8.646005286268444445e-01,9.239612884346048993e-01,9.592064692410081639e-01,1.065888636334684891e+00,9.666970449880031291e-01,8.773454607185531273e-01,8.520014503128711114e-01,9.503564603673678723e-01,8.558206209551494359e-01,8.659070971783119353e-01,9.983402518085769950e-01,8.669280931357820075e-01
5.702626073728248590e-01,9.483941817692421727e-01,2.220446049250313081e-16,9.609820160282130930e-01,1.000000000000000000e+00,7.021367085389259577e-01,7.330182209634752422e-01,5.007756426374704306e-01,8.513212360143080915e-01,8.058639402374774274e-01,9.955918093178101058e-01,9.463590949703535316e-01,6.042867043014565898e-01,4.387102108615349438e-01,4.589797766794022627e-01,1.000000000000000000e+00,9.976243015381714985e-01,4.073586137485758485e-01,8.989351719836315979e-01,4.497995332352039410e-01
9.989156970417693016e-01,9.615522511303463693e-01,9.609820160282130930e-01,1.110223024625156540e-16,1.000000000000000000e+00,8.805144260447634874e-01,7.425251921558556623e-01,8.983064727824680018e-01,9.384000919535295804e-01,8.776772937351213777e-01,1.000000000000000000e+00,1.123777955477730961e+00,1.000000000000000000e+00,9.555967825453488551e-01,9.864271701874824938e-01,9.425716224714818514e-01,1.000000000000000000e+00,9.396609340943397060e-01,9.359094147031681299e-01,9.469254992070261778e-01
9.756294496145753170e-01,9.332177312282535775e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.275506595365362594e-01,9.136404696654845115e-01,9.761215783310500660e-01,9.396721651423647348e-01,1.000000000000000000e+00,8.669565825193442654e-01,1.014273009938075676e+00,9.380998694737789911e-01,9.831188031159801000e-01,9.521850468667893974e-01,1.000000000000000000e+00,9.917495170951763361e-01,9.627384872083265543e-01,9.338067784370108759e-01,9.836367005311111855e-01
6.338694676131424455e-01,8.995852121999708961e-01,7.021367085389259577e-01,8.805144260447634874e-01,9.275506595365362594e-01,2.220446049250313081e-16,5.281042674862858055e-01,6.701085104059369968e-01,6.425707049119897540e-01,8.974836029019245265e-01,1.000000000000000000e+00,9.751008342594659206e-01,7.386946977240946843e-01,5.526197586498717840e-01,6.616947646121711379e-01,1.000000000000000000e+00,9.031902281447208303e-01,4.989808918724940590e-01,9.661747228053387815e-01,6.827592781258892130e-01
9.525318545444972917e-01,9.358383482003471698e-01,7.330182209634752422e-01,7.425251921558556623e-01,9.136404696654845115e-01,5.281042674862858055e-01,0.000000000000000000e+00,9.117121375904830849e-01,9.509531754596241004e-01,8.427776033830575164e-01,9.404980734149644972e-01,9.156973137503848781e-01,9.050685942454866906e-01,8.021676831289440424e-01,7.958669714977326670e-01,1.000000000000000000e+00,9.217233472492443180e-01,8.120772930212432072e-01,6.491019217172220301e-01,8.005314701509159692e-01
6.706244004677259785e-01,8.301671908605053885e-01,5.007756426374704306e-01,8.983064727824680018e-01,9.761215783310500660e-01,6.701085104059369968e-01,9.117121375904830849e-01,-2.220446049250313081e-16,8.554873051855701460e-01,8.381409662527032900e-01,9.156509016479501550e-01,1.103700930169974281e+00,7.569418006633809037e-01,5.872219420538253853e-01,5.297047929937247490e-01,9.475921378520966165e-01,1.000000000000000000e+00,4.117217696670085747e-01,9.797773317837501494e-01,5.506469133297505758e-01
9.141350746728242882e-01,8.646005286268444445e-01,8.513212360143080915e-01,9.384000919535295804e-01,9.396721651423647348e-01,6.425707049119897540e-01,9.509531754596241004e-01,8.554873051855701460e-01,5.000000000000000000e-01,9.905124642978593297e-01,8.052820344118496454e-01,9.992707528516631132e-01,8.479448771226939519e-01,8.024444467080020793e-01,8.310455180508843354e-01,1.000000000000000000e+00,9.386584967355379172e-01,7.995436996674223362e-01,9.485834987192227619e-01,8.218142888179332806e-01
8.468002392216898988e-01,9.239612884346048993e-01,8.058639402374774274e-01,8.776772937351213777e-01,1.000000000000000000e+00,8.974836029019245265e-01,8.427776033830575164e-01,8.381409662527032900e-01,9.905124642978593297e-01,1.110223024625156540e-16,1.000000000000000000e+00,9.542030968325839746e-01,8.536575313721708191e-01,8.755998086145342363e-01,8.262831956544209877e-01,9.453946822375790537e-01,9.553390382942540393e-01,8.123557033095545332e-01,9.071408313236305476e-01,8.340657563350539760e-01
