# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,1.075395200664132078e+00,1.000000000000000000e+00,7.601402405916712901e-01,7.634214655676595518e-01,9.748318252181989996e-01,9.825974268616519680e-01,2.016387664714672789e-01,9.684023141577905447e-01,9.548997017899504280e-01,8.884394162591114918e-01,9.445569026478417562e-01,8.563114559024604944e-01,3.218316497075343063e-01,8.563671758643498499e-02,9.157288825117414488e-01,9.892724401880055307e-01,1.187572795877175347e-01,1.000000000000000000e+00,7.927507928809760518e-01
1.075395200664132078e+00,5.666432267033181258e-01,1.044716280837489686e+00,1.065095052658489028e+00,1.033736192289886890e+00,1.002738550607168655e+00,9.097283529422645065e-01,9.853571465615516001e-01,1.020649924426675126e+00,9.825521941715993357e-01,1.101475475021377104e+00,9.796146679498161092e-01,8.947017128632820393e-01,1.099938695558201562e+00,1.058267810449841750e+00,8.521382245429174329e-01,1.011330626231915053e+00,1.026704973549135147e+00,9.838051387799200409e-01,1.079507234276374961e+00
1.000000000000000000e+00,1.044716280837489686e+00,0.000000000000000000e+00,8.858580235708092276e-01,9.545298559138047922e-01,1.000000000000000000e+00,8.634173219158604029e-01,9.687912622642429472e-01,5.397081296844383758e-01,8.222034901070842672e-01,1.000000000000000000e+00,8.793427315823623136e-01,5.725022776162755900e-01,9.701061710046706699e-01,9.015631867952947909e-01,9.506125252087989086e-01,1.000000000000000000e+00,9.395242739395798237e-01,8.856884007578150753e-01,9.764928784288243735e-01
7.601402405916712901e-01,1.065095052658489028e+00,8.858580235708092276e-01,1.110223024625156540e-16,9.618992837155627695e-01,9.630364361909272697e-01,9.438729115048006824e-01,7.981106719303866504e-01,1.000000000000000000e+00,9.122210395273663286e-01,8.337499512684607428e-01,8.992928197186493833e-01,8.820264701347541036e-01,8.108269665589148412e-01,8.970355452030489563e-01,9.483741129654421620e-01,9.776053888422895355e-01,7.626011552783488190e-01,9.793209924279013823e-01,8.345294215454533981e-01
7.634214655676595518e-01,1.033736192289886890e+00,9.545298559138047922e-01,9.618992837155627695e-01,2.220446049250313081e-16,9.775920895046132930e-01,9.340367102294701018e-01,7.827459640757513659e-01,1.000000000000000000e+00,9.595414020508342690e-01,9.622099535377630630e-01,9.386574393792738169e-01,9.841269441022550968e-01,7.941122992355389432e-01,8.377452379295509122e-01,8.793312072105754496e-01,9.053735762171635226e-01,7.872260274021189996e-01,9.158852848287706294e-01,8.162743580171299973e-01
9.748318252181989996e-01,1.002738550607168655e+00,1.000000000000000000e+00,9.630364361909272697e-01,9.775920895046132930e-01,2.220446049250313081e-16,8.275138030551303370e-01,9.165205310681996398e-01,9.064328493981090862e-01,9.794978316403404328e-01,9.779788643242907087e-01,6.354048057809478234e-01,9.091536451337174363e-01,1.000000000000000000e+00,9.893161934903670351e-01,8.957095774589176607e-01,1.000000000000000000e+00,9.216697578054479090e-01,9.076213111331753458e-01,1.000000000000000000e+00
9.825974268616519680e-01,9.097283529422645065e-01,8.634173219158604029e-01,9.438729115048006824e-01,9.340367102294701018e-01,8.275138030551303370e-01,2.220446049250313081e-16,9.841142351965872503e-01,9.666441721438641110e-01,8.855058555575020529e-01,9.911091414010161360e-01,9.121968572091211369e-01,9.874702273673977571e-01,9.727725577594110717e-01,9.593667831120340495e-01,9.667712355968370863e-01,4.918743351609877745e-01,9.769339792378468612e-01,3.798840992588621290e-01,1.000000000000000000e+00
2.016387664714672789e-01,9.853571465615516001e-01,9.687912622642429472e-01,7.981106719303866504e-01,7.827459640757513659e-01,9.165205310681996398e-01,9.841142351965872503e-01,0.000000000000000000e+00,9.183495875007929854e-01,9.687709219594384802e-01,6.715569678430087786e-01,9.258375753417253939e-01,8.445927834431008474e-01,3.307939358569862431e-01,4.287198209758622536e-01,8.934207612822214761e-01,1.000000000000000000e+00,1.966270417587469010e-01,9.981581320054777606e-01,8.088201322055379450e-01
9.684023141577905447e-01,1.020649924426675126e+00,5.397081296844383758e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.064328493981090862e-01,9.666441721438641110e-01,9.183495875007929854e-01,2.220446049250313081e-16,1.000000000000000000e+00,1.000000000000000000e+00,9.254774623523664978e-01,8.851028803664634514e-01,9.489676710810082128e-01,9.531469722788961096e-01,9.730213161631540153e-01,1.000000000000000000e+00,9.684187473188807793e-01,1.000000000000000000e+00,9.838107190853817574e-01
9.548997017899504280e-01,9.825521941715993357e-01,8.222034901070842672e-01,9.122210395273663286e-01,9.595414020508342690e-01,9.794978316403404328e-01,8.855058555575020529e-01,9.687709219594384802e-01,1.000000000000000000e+00,1.110223024625156540e-16,9.570174973545781949e-01,9.448518647081078914e-01,9.783474483963094936e-01,9.744620122799030337e-01,9.506605453864107602e-01,9.877437229608444502e-01,9.332840328580914724e-01,9.711522164298409532e-01,9.049598627227911640e-01,9.425986768383786130e-01
