# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,8.030984976491437610e-01,5.825220900599176188e-01,1.000000000000000000e+00,9.365997604488072170e-01,9.240379661873108219e-01,9.234589564286501684e-01,2.452380115151874262e-01,9.102211562467957817e-01,8.672508559011076201e-01,9.524453858953390029e-01,7.771516214440629122e-01,9.399144952467293201e-01,3.516131318821188456e-01,3.823252609197770324e-01,4.562984332509432139e-01,9.819063609328576581e-01,1.166773182060307779e-01,7.109750028660954957e-01,9.740870162913685126e-01
8.030984976491437610e-01,0.000000000000000000e+00,7.863719864003151372e-01,8.727870620549649239e-01,9.617866710270476238e-01,4.634423187034558689e-01,8.638142869333279572e-01,8.157558870973916632e-01,2.624337145212610745e-01,9.436357817798419756e-01,8.158672264147539543e-01,7.351117655177048515e-01,9.237545602322146943e-01,8.426778406956045853e-01,8.790002583563588656e-01,7.317570560000534741e-01,8.704895359191996418e-01,7.915738393474713863e-01,9.169932569685547152e-01,9.639194806226819567e-01
5.825220900599176188e-01,7.863719864003151372e-01,0.000000000000000000e+00,9.234344053106505745e-01,1.000000000000000000e+00,9.107842337150775514e-01,1.000000000000000000e+00,5.716750034094169042e-01,9.081844372879391836e-01,1.000000000000000000e+00,9.992023579509498044e-01,9.309924421064678102e-01,1.147150669939653422e+00,6.191862088652305696e-01,6.010375846103732655e-01,7.373704300663770361e-01,1.000000000000000000e+00,6.660982732408458062e-01,7.712895090045790436e-01,1.000000000000000000e+00
1.000000000000000000e+00,8.727870620549649239e-01,9.234344053106505745e-01,1.110223024625156540e-16,8.875691914248948766e-01,8.960378178642891545e-01,9.873081310521694132e-01,3.206166691447445150e-01,8.989561548834477112e-01,9.601122372731765164e-01,9.963367410582449901e-01,8.846774225120870305e-01,8.427671520669585137e-01,6.283472539225788411e-01,7.567414095796526352e-01,6.193447090810901834e-01,9.733266000956420916e-01,6.358092505669704630e-01,9.764071389701809434e-01,9.794087390173112917e-01
9.365997604488072170e-01,9.617866710270476238e-01,1.000000000000000000e+00,8.875691914248948766e-01,1.110223024625156540e-16,1.000000000000000000e+00,8.835462435917533774e-01,9.692433711608571256e-01,1.000000000000000000e+00,9.363318672088692951e-01,9.245934083351299293e-01,8.823201796990375323e-01,1.074279220202636997e+00,9.859897445195822119e-01,9.019084714918012002e-01,7.980850451617016450e-01,9.183928291922326403e-01,9.441310466025860659e-01,9.366582249212147548e-01,9.030994208292481007e-01
9.240379661873108219e-01,4.634423187034558689e-01,9.107842337150775514e-01,8.960378178642891545e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.467472795966361820e-01,1.000000000000000000e+00,2.816567632793822717e-01,1.000000000000000000e+00,9.715613024471340120e-01,9.357305420962880316e-01,1.079949740396431546e+00,9.416128567412076489e-01,1.000000000000000000e+00,9.231551614358360913e-01,1.000000000000000000e+00,9.845300190044641298e-01,9.909484697241575102e-01,8.925767352925326747e-01
9.234589564286501684e-01,8.638142869333279572e-01,1.000000000000000000e+00,9.873081310521694132e-01,8.835462435917533774e-01,9.467472795966361820e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.497260693442680646e-01,1.000000000000000000e+00,5.851300127153513664e-01,9.429139071094596591e-01,1.131107111459419778e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.209069727111564463e-01,8.845711893392608216e-01,9.099527987129854001e-01,1.000000000000000000e+00
2.452380115151874262e-01,8.157558870973916632e-01,5.716750034094169042e-01,3.206166691447445150e-01,9.692433711608571256e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.110223024625156540e-16,9.695161341751685757e-01,9.431289617504790002e-01,9.379084357383578041e-01,8.000715840092440523e-01,9.049562341268606591e-01,3.036260654878556453e-01,3.312932735193253597e-01,5.036828545489355768e-01,9.791404158717622597e-01,1.660106492647551724e-01,8.197642338699298037e-01,1.000000000000000000e+00
9.102211562467957817e-01,2.624337145212610745e-01,9.081844372879391836e-01,8.989561548834477112e-01,1.000000000000000000e+00,2.816567632793822717e-01,9.497260693442680646e-01,9.695161341751685757e-01,2.220446049250313081e-16,9.680174947550698183e-01,8.719613517457830421e-01,9.359656755403812367e-01,9.752104362526676784e-01,9.505473195383109530e-01,1.000000000000000000e+00,9.001196654434771016e-01,9.607242128844794005e-01,9.446857046905251520e-01,9.315401311576357868e-01,1.000000000000000000e+00
8.672508559011076201e-01,9.436357817798419756e-01,1.000000000000000000e+00,9.601122372731765164e-01,9.363318672088692951e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.431289617504790002e-01,9.680174947550698183e-01,-2.220446049250313081e-16,1.000000000000000000e+00,1.000000000000000000e+00,1.069514709734456614e+00,9.577414131214784243e-01,8.790637075904195186e-01,9.976093534091390325e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.938877662692970905e-01,1.000000000000000000e+00
9.524453858953390029e-01,8.158672264147539543e-01,9.992023579509498044e-01,9.963367410582449901e-01,9.245934083351299293e-01,9.715613024471340120e-01,5.851300127153513664e-01,9.379084357383578041e-01,8.719613517457830421e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.358067354274322014e-01,1.117717921065747966e+00,9.479026157114820439e-01,1.000000000000000000e+00,9.862054259929677880e-01,3.900843835806798721e-01,9.593763768536530678e-01,9.794573427199919635e-01,1.000000000000000000e+00
7.771516214440629122e-01,7.351117655177048515e-01,9.309924421064678102e-01,8.846774225120870305e-01,8.823201796990375323e-01,9.357305420962880316e-01,9.429139071094596591e-01,8.000715840092440523e-01,9.359656755403812367e-01,1.000000000000000000e+00,9.358067354274322014e-01,2.220446049250313081e-16,1.001019581112813750e+00,8.306678289177841235e-01,8.368551037160174566e-01,7.634909121176264302e-01,9.704057140567168283e-01,7.869106544670557701e-01,9.276109117856135011e-01,9.326596849121071564e-01
9.399144952467293201e-01,9.237545602322146943e-01,1.147150669939653422e+00,8.427671520669585137e-01,1.074279220202636997e+00,1.079949740396431546e+00,1.131107111459419778e+00,9.049562341268606591e-01,9.752104362526676784e-01,1.069514709734456614e+00,1.117717921065747966e+00,1.001019581112813750e+00,0.000000000000000000e+00,8.425814421060607851e-01,1.004619644968764547e+00,8.766906738885741346e-01,1.216501307896888484e+00,8.956238654578801972e-01,1.062076268750143937e+00,1.219907330852383343e+00
3.516131318821188456e-01,8.426778406956045853e-01,6.191862088652305696e-01,6.283472539225788411e-01,9.859897445195822119e-01,9.416128567412076489e-01,1.000000000000000000e+00,3.036260654878556453e-01,9.505473195383109530e-01,9.577414131214784243e-01,9.479026157114820439e-01,8.306678289177841235e-01,8.425814421060607851e-01,0.000000000000000000e+00,3.973701129894070538e-01,3.229097401964206027e-01,9.838979438779106301e-01,2.009674528302193286e-01,9.030454820642477287e-01,1.000000000000000000e+00
