# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.653992601313524657e-01,6.928774651798956796e-01,6.650068149973633602e-01,9.532542109498136629e-01,9.771237389816187502e-01,8.753486889525543546e-01,1.000000000000000000e+00,8.177796591496184764e-01,8.961316729224243494e-01,8.630173158108986886e-01,9.991408328579296505e-01,8.292091214206527283e-01,9.033509139150912581e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.658352445759665006e-01,8.470589962362383707e-01
9.653992601313524657e-01,1.110223024625156540e-16,8.716783309776193756e-01,8.983048787896977805e-01,9.430128252721592386e-01,9.494720348989539316e-01,8.492268273745984253e-01,9.831372569782533821e-01,9.539752911631371735e-01,8.746914273316656052e-01,8.802496844313880686e-01,9.560242054869526607e-01,6.980852936155773625e-01,8.957740271236210861e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.728528514909218217e-01,9.995748665182846437e-01,9.659991543935758651e-01
6.928774651798956796e-01,8.716783309776193756e-01,4.953097621049549759e-01,9.850645263946626873e-01,8.853033117092291571e-01,9.772879397830338544e-01,8.510415922943187494e-01,9.873133035556240777e-01,9.210742864978906930e-01,8.897443763154968543e-01,8.628342066670540156e-01,9.491587970985063683e-01,8.430262636163659007e-01,9.939413058533881351e-01,9.477904275987543148e-01,9.964798859475623161e-01,9.051109737622813345e-01,9.791384694230882424e-01,8.783784766006923483e-01,8.778168115209921130e-01
6.650068149973633602e-01,8.983048787896977805e-01,9.850645263946626873e-01,0.000000000000000000e+00,7.566888529131414742e-01,9.681569177596511810e-01,8.589403574779168604e-01,9.945921827781597502e-01,9.443950031147404500e-01,8.770031344212000368e-01,8.831120620540292565e-01,9.864476590854871496e-01,9.826837285942683353e-01,8.456629202232767151e-01,9.926100616022069945e-01,1.000000000000000000e+00,9.347434205344854474e-01,1.000000000000000000e+00,8.545261715187728591e-01,8.649297352393992000e-01
9.532542109498136629e-01,9.430128252721592386e-01,8.853033117092291571e-01,7.566888529131414742e-01,5.000000000000000000e-01,9.221470266345392908e-01,8.791066421370741235e-01,9.263848551701826528e-01,8.944040807091331313e-01,8.084191662668134271e-01,8.635968255680365191e-01,9.238289920049425064e-01,9.128581807047275731e-01,9.051793341455940389e-01,9.209589268300159004e-01,9.221175067804595615e-01,8.778472023478507413e-01,9.480900349807808158e-01,8.461039801773508895e-01,9.004236452762686138e-01
9.771237389816187502e-01,9.494720348989539316e-01,9.772879397830338544e-01,9.681569177596511810e-01,9.221470266345392908e-01,4.763166037622327265e-01,9.978859702362865569e-01,8.037003820269543741e-01,8.101127237269293291e-01,9.816282182292261904e-01,1.000000000000000000e+00,9.583631591734291799e-01,1.000000000000000000e+00,7.844506023841703035e-01,8.098172714575396780e-01,9.264432736992689321e-01,9.776097537066326115e-01,8.002894031127329999e-01,9.649161837763886584e-01,1.000000000000000000e+00
8.753486889525543546e-01,8.492268273745984253e-01,8.510415922943187494e-01,8.589403574779168604e-01,8.791066421370741235e-01,9.978859702362865569e-01,0.000000000000000000e+00,9.907163847091186026e-01,1.000000000000000000e+00,7.561651444043866466e-01,4.467853862482862315e-01,9.870967348618829851e-01,7.891488382391610434e-01,9.678114016857712887e-01,9.759120029620907966e-01,9.771162113938597349e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.580610027779487003e-01,8.521634808626643576e-01
1.000000000000000000e+00,9.831372569782533821e-01,9.873133035556240777e-01,9.945921827781597502e-01,9.263848551701826528e-01,8.037003820269543741e-01,9.907163847091186026e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.756278322030803807e-01,9.946438978708929124e-01,1.000000000000000000e+00,1.000000000000000000e+00,6.494110272810634799e-01,4.291226856359756647e-01,1.000000000000000000e+00,1.000000000000000000e+00,4.418012390574295178e-01,9.044769643329427788e-01,1.000000000000000000e+00
8.177796591496184764e-01,9.539752911631371735e-01,9.210742864978906930e-01,9.443950031147404500e-01,8.944040807091331313e-01,8.101127237269293291e-01,1.000000000000000000e+00,1.000000000000000000e+00,4.440892098500626162e-16,9.912469648141259970e-01,1.000000000000000000e+00,8.299908089964551650e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.161188890465452594e-01,1.000000000000000000e+00,8.768805916044856152e-01,8.319083265994038356e-01
8.961316729224243494e-01,8.746914273316656052e-01,8.897443763154968543e-01,8.770031344212000368e-01,8.084191662668134271e-01,9.816282182292261904e-01,7.561651444043866466e-01,8.756278322030803807e-01,9.912469648141259970e-01,0.000000000000000000e+00,7.920961252025001675e-01,9.214985425821293763e-01,9.501069231951091432e-01,9.571168297563162897e-01,9.401259940914757918e-01,1.000000000000000000e+00,9.363558516981891344e-01,9.839647799986436238e-01,9.340399918411098623e-01,8.908334637165686853e-01
