# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,3.486332910714015076e-01,6.069860815981104052e-01,7.434752242569049319e-01,9.321286616001601688e-01,1.239220064604760196e+00,9.251788430109493255e-01,8.554490039277361513e-01,1.099123930151797435e+00,1.000000000000000000e+00,9.535870186450695618e-01,1.107251434759132902e+00,7.829771501393787414e-01,2.403385012955940869e-01,3.565979985002847297e-01,8.631941672601450843e-01,1.000000000000000000e+00,1.635105276329010815e-01,7.842373743906981831e-01,9.329121963180027066e-01
3.486332910714015076e-01,0.000000000000000000e+00,6.682544443851250460e-01,7.482102800047480962e-01,9.079851205916060763e-01,1.214561563336679306e+00,9.690350004450852817e-01,7.111014152894485907e-01,1.091380099117675861e+00,1.000000000000000000e+00,9.458425639707990218e-01,1.127322090375770358e+00,7.932747253376755125e-01,3.682947585387578160e-01,4.372122378941781795e-01,9.812013541249641202e-01,7.910445987792931177e-01,5.452735749948340871e-01,8.219276765023246778e-01,9.384635142149700959e-01
6.069860815981104052e-01,6.682544443851250460e-01,4.294861541802376670e-01,8.523798847466120820e-01,9.395408726473788441e-01,1.209255689400846601e+00,9.843527672616418922e-01,9.611720017463513122e-01,1.091142582838957598e+00,9.981026633008589499e-01,8.982945973001239537e-01,1.098754775221487900e+00,9.290611299397782963e-01,5.853750922910185839e-01,5.289391857623154669e-01,9.498401047349922521e-01,9.731167116128733863e-01,5.866212509946109321e-01,8.509566495976168543e-01,7.894134286907068532e-01
7.434752242569049319e-01,7.482102800047480962e-01,8.523798847466120820e-01,5.000000000000000000e-01,8.816699063118393909e-01,1.277788141532859356e+00,9.415491060642495746e-01,1.000000000000000000e+00,1.118246171387538901e+00,9.852035949696233974e-01,9.874416653944146915e-01,1.090307400913212765e+00,9.120030049083670542e-01,7.634949717154148052e-01,7.680427225225517907e-01,9.850657468237183911e-01,9.811127206390740652e-01,7.039533623230287418e-01,8.837634779218712655e-01,9.109156781173077810e-01
9.321286616001601688e-01,9.079851205916060763e-01,9.395408726473788441e-01,8.816699063118393909e-01,-2.220446049250313081e-16,1.387179561106077763e+00,9.895045331735625727e-01,9.525206164203184889e-01,1.215876300302930035e+00,9.378535603119074748e-01,9.308700171952669633e-01,1.166082325928450292e+00,1.013517251161740074e+00,9.284726244083175706e-01,9.382645796197099930e-01,9.857531532449019807e-01,9.310063467429406936e-01,9.498609238375481656e-01,9.233289234503717635e-01,9.165633814826269488e-01
1.239220064604760196e+00,1.214561563336679306e+00,1.209255689400846601e+00,1.277788141532859356e+00,1.387179561106077763e+00,1.110223024625156540e-16,1.312866734329061646e+00,1.109831854669112605e+00,1.088567745159366940e+00,1.181017482449260969e+00,1.080232711623636543e+00,1.057551779735978581e+00,1.270157976271058642e+00,1.170116322627549055e+00,1.288037258521387507e+00,1.341498823311657373e+00,1.160093546495754691e+00,1.305250820413083490e+00,1.055719712123179610e+00,1.262040078298813039e+00
9.251788430109493255e-01,9.690350004450852817e-01,9.843527672616418922e-01,9.415491060642495746e-01,9.895045331735625727e-01,1.312866734329061646e+00,1.110223024625156540e-16,9.878016198177823615e-01,1.156688990836251207e+00,9.422034414579854023e-01,9.597852921830227757e-01,1.065064037465121016e+00,1.089018730053442852e+00,9.805879122879586074e-01,9.411260331621722486e-01,9.976047732286968950e-01,9.837988703468117935e-01,9.318062199581849114e-01,9.566307115708999609e-01,8.870118351140435786e-01
8.554490039277361513e-01,7.111014152894485907e-01,9.611720017463513122e-01,1.000000000000000000e+00,9.525206164203184889e-01,1.109831854669112605e+00,9.878016198177823615e-01,0.000000000000000000e+00,1.080204844103160422e+00,9.519635094784796303e-01,9.759978458472930996e-01,1.023507538139277750e+00,1.128866849779836867e+00,6.702614677538303312e-01,9.954501534260654649e-01,7.727150753594196342e-01,9.387981852690679974e-01,9.330939860805542718e-01,9.306406201901397113e-01,9.227277652626364457e-01
1.099123930151797435e+00,1.091380099117675861e+00,1.091142582838957598e+00,1.118246171387538901e+00,1.215876300302930035e+00,1.088567745159366940e+00,1.156688990836251207e+00,1.080204844103160422e+00,0.000000000000000000e+00,1.086007831294560466e+00,1.157431437354726533e+00,9.122837316455298939e-01,1.183401646707026522e+00,1.096787554280999277e+00,1.056117381266886257e+00,1.130514591023738857e+00,1.190254622566481180e+00,1.364389230040192302e+00,1.114034618817662858e+00,1.099021310402019891e+00
1.000000000000000000e+00,1.000000000000000000e+00,9.981026633008589499e-01,9.852035949696233974e-01,9.378535603119074748e-01,1.181017482449260969e+00,9.422034414579854023e-01,9.519635094784796303e-01,1.086007831294560466e+00,2.220446049250313081e-16,9.914487606417520249e-01,1.229236723559905986e+00,1.100342562027778470e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.941047748883024227e-01,9.836528098251146046e-01,1.000000000000000000e+00,8.913222590074593166e-01,9.536120618644746694e-01
