# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.220784322109977227e-01,4.441934875459150334e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.750720011777571417e-01,7.584639911295829595e-01,1.000000000000000000e+00,9.639039666953338470e-01,1.000000000000000000e+00,1.000000000000000000e+00,2.374734052058943279e-01,5.497121864535703395e-01,8.205908525507209506e-01,8.617427984243515304e-01,1.105490121042810303e-01,9.127424859554352787e-01,3.002506235565669535e-01
9.220784322109977227e-01,1.110223024625156540e-16,9.566549424683995495e-01,1.000000000000000000e+00,1.000000000000000000e+00,5.885434323510079224e-01,8.979817064916156832e-01,7.429448411589383294e-01,7.306631228903399666e-01,7.760030710681391497e-01,1.000000000000000000e+00,9.633431796407367909e-01,9.236529399038714283e-01,8.316502621308100585e-01,9.154782774733661865e-01,9.644982373149313393e-01,9.728848120525558363e-01,9.180837065790432572e-01,9.990899175943945831e-01,8.435760188018013306e-01
4.441934875459150334e-01,9.566549424683995495e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.997735872456061657e-01,9.647356056191609408e-01,8.125349529459380271e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.347110308353213659e-01,1.000000000000000000e+00,4.498426936220694117e-01,7.445057017645718700e-01,1.000000000000000000e+00,9.360760922844946208e-01,5.342287779587200358e-01,9.412620769472039850e-01,5.040856684727277326e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.110223024625156540e-16,8.306767424886228879e-01,9.942306078569854710e-01,7.626475190582109320e-01,9.528562528900440531e-01,1.000000000000000000e+00,9.646443539850360072e-01,9.621280233033825402e-01,5.036631374001243611e-01,4.564023661954771383e-01,9.913181766224526958e-01,9.853412514680331968e-01,1.000000000000000000e+00,9.623250485021404010e-01,9.025000709256074671e-01,7.071489372304885501e-01,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.306767424886228879e-01,1.110223024625156540e-16,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.210313734434959487e-01,9.651114486835110640e-01,8.934380201230377461e-01,8.610160973216618441e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.360940246297630996e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,5.885434323510079224e-01,9.997735872456061657e-01,9.942306078569854710e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.124496847171486014e-01,6.080236100862613791e-01,3.372421716663119851e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.870699001286307617e-01,9.849123363703631284e-01,8.126417724094344708e-01,6.673462068989602924e-01,8.374436511794208782e-01,9.295477168744039620e-01,8.902478516100504891e-01,7.933806620538461640e-01,8.964065500541327225e-01
1.000000000000000000e+00,8.979817064916156832e-01,9.647356056191609408e-01,7.626475190582109320e-01,1.000000000000000000e+00,9.124496847171486014e-01,0.000000000000000000e+00,7.582994649159284783e-01,9.050161073504502385e-01,9.618853843961490124e-01,9.660299772860004852e-01,8.162061224377388235e-01,8.151572268600458804e-01,9.863455672688790088e-01,9.194941770351356958e-01,1.000000000000000000e+00,8.311908403055232597e-01,9.825219716591541141e-01,4.612776569335593768e-01,1.000000000000000000e+00
5.750720011777571417e-01,7.429448411589383294e-01,8.125349529459380271e-01,9.528562528900440531e-01,1.000000000000000000e+00,6.080236100862613791e-01,7.582994649159284783e-01,0.000000000000000000e+00,3.655136512929754167e-01,9.334346773050161694e-01,1.000000000000000000e+00,8.725360265428704354e-01,9.902951142118958661e-01,3.527269652346568529e-01,2.445465731696238043e-01,5.658220464337300193e-01,9.535914524435056272e-01,4.425248992139759752e-01,8.287819542558578778e-01,5.389726188646017935e-01
7.584639911295829595e-01,7.306631228903399666e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.372421716663119851e-01,9.050161073504502385e-01,3.655136512929754167e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.394784247636877250e-01,9.879337161625515451e-01,6.884256394816803404e-01,5.790502290267699470e-01,7.777457570712217327e-01,1.000000000000000000e+00,6.733656842489810224e-01,9.107944917198584900e-01,7.621849759829284476e-01
1.000000000000000000e+00,7.760030710681391497e-01,1.000000000000000000e+00,9.646443539850360072e-01,9.210313734434959487e-01,1.000000000000000000e+00,9.618853843961490124e-01,9.334346773050161694e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.390620092465903346e-01,9.667305834945676413e-01,9.770247575962383024e-01,1.000000000000000000e+00,9.559960116312614664e-01,8.969864482869751576e-01,9.791382831816447530e-01,1.000000000000000000e+00,9.073641418311551021e-01,1.000000000000000000e+00
9.639039666953338470e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.621280233033825402e-01,9.651114486835110640e-01,1.000000000000000000e+00,9.660299772860004852e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.390620092465903346e-01,1.110223024625156540e-16,9.026293948787066368e-01,9.709421981663910461e-01,1.000000000000000000e+00,8.840421084384894046e-01,7.954766090665245093e-01,9.993690083366459920e-01,9.129174927476677581e-01,9.549133578825836910e-01,1.000000000000000000e+00
1.000000000000000000e+00,9.633431796407367909e-01,9.347110308353213659e-01,5.036631374001243611e-01,8.934380201230377461e-01,7.870699001286307617e-01,8.162061224377388235e-01,8.725360265428704354e-01,8.394784247636877250e-01,9.667305834945676413e-01,9.026293948787066368e-01,0.000000000000000000e+00,6.002792986976477341e-01,9.554416736486188721e-01,8.808134447528115363e-01,9.513194683907435500e-01,9.542481707354093512e-01,8.961905481488038339e-01,8.106176614047396756e-01,9.159850348944333920e-01
1.000000000000000000e+00,9.236529399038714283e-01,1.000000000000000000e+00,4.564023661954771383e-01,8.610160973216618441e-01,9.849123363703631284e-01,8.151572268600458804e-01,9.902951142118958661e-01,9.879337161625515451e-01,9.770247575962383024e-01,9.709421981663910461e-01,6.002792986976477341e-01,-2.220446049250313081e-16,9.774360052980749503e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.918313892188360903e-01,1.000000000000000000e+00,7.900998348808991878e-01,9.555824298890324142e-01
2.374734052058943279e-01,8.316502621308100585e-01,4.498426936220694117e-01,9.913181766224526958e-01,1.000000000000000000e+00,8.126417724094344708e-01,9.863455672688790088e-01,3.527269652346568529e-01,6.884256394816803404e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.554416736486188721e-01,9.774360052980749503e-01,0.000000000000000000e+00,5.232313244743665992e-01,7.033754519180099862e-01,8.824122034296505435e-01,1.297187684075301606e-01,9.312839811843736104e-01,3.378478253424577193e-02
5.497121864535703395e-01,9.154782774733661865e-01,7.445057017645718700e-01,9.853412514680331968e-01,1.000000000000000000e+00,6.673462068989602924e-01,9.194941770351356958e-01,2.445465731696238043e-01,5.790502290267699470e-01,9.559960116312614664e-01,8.840421084384894046e-01,8.808134447528115363e-01,1.000000000000000000e+00,5.232313244743665992e-01,0.000000000000000000e+00,7.709818728980625258e-01,1.000000000000000000e+00,5.708030632408174210e-01,9.173085491869363839e-01,4.533500344117823433e-01
8.205908525507209506e-01,9.644982373149313393e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.374436511794208782e-01,1.000000000000000000e+00,5.658220464337300193e-01,7.777457570712217327e-01,8.969864482869751576e-01,7.954766090665245093e-01,9.513194683907435500e-01,1.000000000000000000e+00,7.033754519180099862e-01,7.709818728980625258e-01,2.220446049250313081e-16,9.832819505599500465e-01,8.954295216406589208e-01,1.000000000000000000e+00,8.568430408767571116e-01
8.617427984243515304e-01,9.728848120525558363e-01,9.360760922844946208e-01,9.623250485021404010e-01,1.000000000000000000e+00,9.295477168744039620e-01,8.311908403055232597e-01,9.535914524435056272e-01,1.000000000000000000e+00,9.791382831816447530e-01,9.993690083366459920e-01,9.542481707354093512e-01,8.918313892188360903e-01,8.824122034296505435e-01,1.000000000000000000e+00,9.832819505599500465e-01,3.330669073875469621e-16,8.814295353020225043e-01,8.003494174545255913e-01,9.379142439417967880e-01
1.105490121042810303e-01,9.180837065790432572e-01,5.342287779587200358e-01,9.025000709256074671e-01,9.360940246297630996e-01,8.902478516100504891e-01,9.825219716591541141e-01,4.425248992139759752e-01,6.733656842489810224e-01,1.000000000000000000e+00,9.129174927476677581e-01,8.961905481488038339e-01,1.000000000000000000e+00,1.297187684075301606e-01,5.708030632408174210e-01,8.954295216406589208e-01,8.814295353020225043e-01,0.000000000000000000e+00,9.774018602515359699e-01,2.382826393764131412e-01
9.127424859554352787e-01,9.990899175943945831e-01,9.412620769472039850e-01,7.071489372304885501e-01,1.000000000000000000e+00,7.933806620538461640e-01,4.612776569335593768e-01,8.287819542558578778e-01,9.107944917198584900e-01,9.073641418311551021e-01,9.549133578825836910e-01,8.106176614047396756e-01,7.900998348808991878e-01,9.312839811843736104e-01,9.173085491869363839e-01,1.000000000000000000e+00,8.003494174545255913e-01,9.774018602515359699e-01,0.000000000000000000e+00,1.000000000000000000e+00
3.002506235565669535e-01,8.435760188018013306e-01,5.040856684727277326e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.964065500541327225e-01,1.000000000000000000e+00,5.389726188646017935e-01,7.621849759829284476e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.159850348944333920e-01,9.555824298890324142e-01,3.378478253424577193e-02,4.533500344117823433e-01,8.568430408767571116e-01,9.379142439417967880e-01,2.382826393764131412e-01,1.000000000000000000e+00,0.000000000000000000e+00
