# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.121574850744205154e-01,7.258545385479167056e-01,9.638804377788942057e-01,8.681924620353873578e-01,9.034970111866221787e-01,9.638913856265961533e-01,9.780823268978293683e-01,9.301937497835326418e-01,9.591649831839091922e-01,9.810597004201742077e-01,8.194393379354183438e-01,1.000000000000000000e+00,7.801826253677294210e-01,9.662970615346997416e-01,9.783454318345562450e-01,9.916625711344173588e-01,7.509885043750559319e-01,7.940303277060882792e-01,1.012858056428203035e+00
9.121574850744205154e-01,-2.220446049250313081e-16,7.325031563958388503e-01,1.000000000000000000e+00,9.069810769286701380e-01,5.621006617459012311e-01,9.003655302126054583e-01,9.522975972386655830e-01,7.207699852152078535e-01,9.662174547544059022e-01,8.996199451893149845e-01,7.471112412560361182e-01,1.000000000000000000e+00,8.050864618210229473e-01,8.958788288217306439e-01,8.917351942512895535e-01,9.410052925049851025e-01,9.420590973746473251e-01,8.937967047480297467e-01,1.159884427689473529e+00
7.258545385479167056e-01,7.325031563958388503e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.695824394820667047e-01,9.093191278331141936e-01,9.547257742587860196e-01,7.678052826436303491e-01,9.179087363298545910e-01,9.892993137264007864e-01,9.836725835362034598e-01,9.524742731974362719e-01,1.000000000000000000e+00,8.184321777233671824e-01,7.521985727780082787e-01,9.607430251964691470e-01,9.612921380061910659e-01,3.418802574567156860e-01,8.622221382923901389e-01,8.397285168191729321e-01
9.638804377788942057e-01,1.000000000000000000e+00,1.000000000000000000e+00,3.508628692045896447e-01,9.480637320462224071e-01,9.951545794935074962e-01,9.894494145982629663e-01,9.960265978392870423e-01,9.880484460604730401e-01,1.000000000000000000e+00,9.682912725986568825e-01,9.487655767750295954e-01,6.697510651425639949e-01,9.939881759383468740e-01,9.698244636829487231e-01,8.589627540514320758e-01,9.673930324601131003e-01,9.955434031402525807e-01,9.523135233064563554e-01,1.143024360979395304e+00
8.681924620353873578e-01,9.069810769286701380e-01,8.695824394820667047e-01,9.480637320462224071e-01,-2.220446049250313081e-16,9.199530617698425949e-01,8.720504856512294456e-01,8.575084455239824210e-01,9.418792231473855914e-01,8.359963055182552116e-01,8.821896751172303430e-01,8.742882031618663952e-01,9.901556606062051902e-01,8.410211009108023994e-01,8.950200449427386795e-01,9.112196373907586189e-01,8.953612814396840758e-01,8.617470656113710437e-01,8.842452297798746308e-01,1.112874495163764577e+00
9.034970111866221787e-01,5.621006617459012311e-01,9.093191278331141936e-01,9.951545794935074962e-01,9.199530617698425949e-01,3.330669073875469621e-16,9.956506966975041673e-01,9.581499167933092975e-01,4.424841273084428872e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.543077023607892118e-01,9.853831895626971038e-01,7.449288413155970012e-01,9.108926449862456698e-01,9.428612663479571943e-01,9.837381084744674098e-01,9.166555353399860051e-01,9.312566511374800182e-01,1.102299634234821246e+00
9.638913856265961533e-01,9.003655302126054583e-01,9.547257742587860196e-01,9.894494145982629663e-01,8.720504856512294456e-01,9.956506966975041673e-01,0.000000000000000000e+00,9.642218180759772883e-01,1.000000000000000000e+00,7.315991582787659819e-01,6.465798448086680361e-01,9.306590102299658884e-01,9.859161499200203016e-01,1.000000000000000000e+00,8.373710933735237782e-01,9.897777176201305593e-01,7.281876637909798777e-01,9.542710798554530083e-01,7.093041198709270079e-01,1.155088161022278737e+00
9.780823268978293683e-01,9.522975972386655830e-01,7.678052826436303491e-01,9.960265978392870423e-01,8.575084455239824210e-01,9.581499167933092975e-01,9.642218180759772883e-01,1.110223024625156540e-16,1.000000000000000000e+00,9.223527020112513020e-01,9.541630221150351199e-01,9.597773539624874228e-01,9.641193123820002153e-01,9.744993129836655443e-01,1.000000000000000000e+00,9.945839279780829267e-01,9.788688337333634193e-01,5.593682444736167714e-01,9.623805259124386113e-01,9.059158864566679847e-01
9.301937497835326418e-01,7.207699852152078535e-01,9.179087363298545910e-01,9.880484460604730401e-01,9.418792231473855914e-01,4.424841273084428872e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.892021120240119814e-01,1.000000000000000000e+00,9.701690531999754841e-01,9.309764127863047189e-01,7.778344856045606992e-01,9.720585596977676657e-01,9.202567253407896164e-01,1.000000000000000000e+00,9.178053633478372442e-01,9.873711868662752300e-01,1.204152770241863291e+00
9.591649831839091922e-01,9.662174547544059022e-01,9.892993137264007864e-01,1.000000000000000000e+00,8.359963055182552116e-01,1.000000000000000000e+00,7.315991582787659819e-01,9.223527020112513020e-01,9.892021120240119814e-01,0.000000000000000000e+00,8.701096214552243024e-01,7.953857612155508239e-01,1.000000000000000000e+00,8.372442492582344853e-01,9.701020309110041095e-01,9.807351274824526177e-01,1.000000000000000000e+00,8.988797118536210329e-01,8.510448208734078257e-01,1.097280907649832216e+00
