# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,1.036316947120752507e+00,9.924459218047158027e-01,8.563169005118240751e-01,9.284594610848135865e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.590516369915728090e-01,9.490832710922985083e-01,6.582394432192938405e-01,1.000000000000000000e+00,8.912328233133236521e-01,1.000000000000000000e+00,4.535018970667450411e-01,5.044120971750347682e-01,9.628766074713325240e-01,9.912600083186305922e-01,2.691921001846747652e-01,9.696854128116180194e-01,4.897518571750019145e-01
1.036316947120752507e+00,6.856751881201349486e-01,1.041628091692823332e+00,1.072545561708006634e+00,1.061319658255756249e+00,1.053919852177681138e+00,1.072752342314925000e+00,1.116867779902925628e+00,1.135115094706928174e+00,1.001278247795015064e+00,1.095969743894575688e+00,1.063700865671122653e+00,1.056824885227590105e+00,1.031982026209344649e+00,1.038037346470432443e+00,9.773143720175592186e-01,1.125336721484637481e+00,1.035505800497895201e+00,1.161818276024969787e+00,1.049771236271702213e+00
9.924459218047158027e-01,1.041628091692823332e+00,5.000000000000000000e-01,9.923077723516162685e-01,9.211847384009901329e-01,9.049564634396539686e-01,9.907809817572865718e-01,9.086378194347997095e-01,9.908154959950894458e-01,9.622233688261467854e-01,9.337429420045000317e-01,1.018983015120398017e+00,9.694927378348670022e-01,9.924202739411027707e-01,1.000000000000000000e+00,9.062447826419168795e-01,9.534283902148594780e-01,9.589356432636435557e-01,9.679405938024138178e-01,9.945354751041360908e-01
8.563169005118240751e-01,1.072545561708006634e+00,9.923077723516162685e-01,0.000000000000000000e+00,9.137994363321355618e-01,9.758110207265978664e-01,9.412693581684201671e-01,8.324463502871192189e-01,1.000000000000000000e+00,9.984017005090687347e-01,9.528405510194880579e-01,7.919838208795987322e-01,8.280741876287193159e-01,9.354886403930559036e-01,9.409613696721714771e-01,9.509859900397424903e-01,9.725224949704583954e-01,9.049582316035967855e-01,9.536859443501920497e-01,9.034623888562055560e-01
9.284594610848135865e-01,1.061319658255756249e+00,9.211847384009901329e-01,9.137994363321355618e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.642612870727548469e-01,8.209134415297646425e-01,9.654079664257992910e-01,5.624087873049750108e-01,8.821148207729572199e-01,9.507655092831305277e-01,9.449600223756747797e-01,9.692049331717776939e-01,9.639897613866004189e-01,8.703189681483607387e-01,8.860554858823613822e-01,8.493264715947032029e-01,8.731306356428976123e-01,9.653847583489140183e-01
1.000000000000000000e+00,1.053919852177681138e+00,9.049564634396539686e-01,9.758110207265978664e-01,1.000000000000000000e+00,0.000000000000000000e+00,7.989395514548985888e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.505959332731048983e-01,1.009096399976202818e+00,9.992599605954139985e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.168439602282064893e-01,1.000000000000000000e+00,7.416374829779549538e-01,1.000000000000000000e+00
1.000000000000000000e+00,1.072752342314925000e+00,9.907809817572865718e-01,9.412693581684201671e-01,8.642612870727548469e-01,7.989395514548985888e-01,-2.220446049250313081e-16,9.785965443783887219e-01,9.715229662649382814e-01,8.528077955214103945e-01,3.777399941643807546e-01,9.926923901818666129e-01,8.945269166184874887e-01,9.845784521488808450e-01,9.923237809053132574e-01,9.482083396209465276e-01,5.043072523785354644e-01,1.000000000000000000e+00,6.517912608012652598e-01,9.707738933793353953e-01
9.590516369915728090e-01,1.116867779902925628e+00,9.086378194347997095e-01,8.324463502871192189e-01,8.209134415297646425e-01,1.000000000000000000e+00,9.785965443783887219e-01,0.000000000000000000e+00,9.537012354168836747e-01,9.254769306998774647e-01,1.000000000000000000e+00,9.722946850480722603e-01,9.116052343100699007e-01,9.235143578770411699e-01,9.423019336347356889e-01,9.326581471633969000e-01,9.940693917739935603e-01,9.747867461788928267e-01,9.324706865871139616e-01,9.255694272262409150e-01
9.490832710922985083e-01,1.135115094706928174e+00,9.908154959950894458e-01,1.000000000000000000e+00,9.654079664257992910e-01,1.000000000000000000e+00,9.715229662649382814e-01,9.537012354168836747e-01,1.110223024625156540e-16,1.000000000000000000e+00,1.000000000000000000e+00,1.016411642228544077e+00,1.000000000000000000e+00,7.130722770937836241e-01,7.008473413800602181e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.687117472641666449e-01,9.650509647096512378e-01,6.845922139655196137e-01
6.582394432192938405e-01,1.001278247795015064e+00,9.622233688261467854e-01,9.984017005090687347e-01,5.624087873049750108e-01,1.000000000000000000e+00,8.528077955214103945e-01,9.254769306998774647e-01,1.000000000000000000e+00,0.000000000000000000e+00,8.096288674841414235e-01,9.289919974596559937e-01,9.763371703985008754e-01,9.541978902822851882e-01,1.000000000000000000e+00,8.980700960001282152e-01,7.409962839480307428e-01,9.083514451890720709e-01,8.511362515492415515e-01,9.249462628288968036e-01
