# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,1.125579682901091116e+00,5.948074386091370958e-01,8.090113519081831850e-01,8.621596329428991012e-01,1.000000000000000000e+00,9.149827508363530537e-01,2.039390917524669389e-01,9.846471096182657368e-01,9.738697123637108932e-01,9.297611065464252977e-01,9.654384222021344941e-01,3.446915325948910480e-01,4.018852651848394686e-01,3.960474300362599731e-01,8.407086070825340318e-01,1.000000000000000000e+00,5.353147287977699786e-02,8.041993762794422684e-01,5.516426561546978746e-01
1.125579682901091116e+00,-2.220446049250313081e-16,1.083738783134421180e+00,1.095210766554827408e+00,1.234640131254612916e+00,1.119704549872272636e+00,1.176388993354686052e+00,1.061226555665075066e+00,1.117422476774106777e+00,8.566253128292928842e-01,1.138779872833807438e+00,1.085366337925103952e+00,1.176279209952464821e+00,1.227901115764153950e+00,1.177615985051104097e+00,1.092918228179109441e+00,1.117522642038948577e+00,1.106500557735772938e+00,1.285923193102281648e+00,1.194476169656736531e+00
5.948074386091370958e-01,1.083738783134421180e+00,0.000000000000000000e+00,7.394329779424734239e-01,8.353373436859208301e-01,1.000000000000000000e+00,8.573969320046268550e-01,3.984042282103391619e-01,9.546860497884233077e-01,9.015800361297031662e-01,8.892785625893917523e-01,9.564222841525075181e-01,7.656230510703927461e-01,5.166660842682752053e-01,5.195536713179368382e-01,7.818880726936384695e-01,1.000000000000000000e+00,3.847907686976262953e-01,8.906345163565673184e-01,5.900193969577742781e-01
8.090113519081831850e-01,1.095210766554827408e+00,7.394329779424734239e-01,1.110223024625156540e-16,8.826246992188463425e-01,9.273326051370346379e-01,9.580610181986822793e-01,7.951549312836947436e-01,9.575728184298205603e-01,8.680570496734956176e-01,9.724126137420064930e-01,8.019870229067952438e-01,4.285490012752595224e-01,8.434680225978815615e-01,8.124073466891150730e-01,8.428907067411762766e-01,8.167513971801758643e-01,8.237109937373681134e-01,9.415519771434421870e-01,9.153617181688871174e-01
8.621596329428991012e-01,1.234640131254612916e+00,8.353373436859208301e-01,8.826246992188463425e-01,0.000000000000000000e+00,9.766451594375712419e-01,9.142129082784399285e-01,7.625373716215293474e-01,9.792354222696626476e-01,8.675113074162560389e-01,9.184398269127456160e-01,9.572154446661012006e-01,9.593956397866958419e-01,9.401285381986976830e-01,9.330865442302505031e-01,8.857853075566917145e-01,9.579857659795548708e-01,8.143864682138071132e-01,9.266948898952360736e-01,8.966973860320590628e-01
1.000000000000000000e+00,1.119704549872272636e+00,1.000000000000000000e+00,9.273326051370346379e-01,9.766451594375712419e-01,0.000000000000000000e+00,9.811748797841061132e-01,9.118592135440476421e-01,9.824728464913625725e-01,9.645640970774324030e-01,9.565510873154781102e-01,8.131301562812779382e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.441139658064695794e-01,9.853130215919464474e-01,9.973265263809760750e-01,9.632197930087451621e-01
9.149827508363530537e-01,1.176388993354686052e+00,8.573969320046268550e-01,9.580610181986822793e-01,9.142129082784399285e-01,9.811748797841061132e-01,-2.220446049250313081e-16,8.832736434412272741e-01,9.875632640964739917e-01,9.368051808324181495e-01,1.000000000000000000e+00,9.766847646259957383e-01,9.647785371720719594e-01,8.820587329546116795e-01,8.618729364323804987e-01,8.835251072963846708e-01,9.890672245993399336e-01,9.040559112863388869e-01,3.879314470884438482e-01,9.087352385404715571e-01
2.039390917524669389e-01,1.061226555665075066e+00,3.984042282103391619e-01,7.951549312836947436e-01,7.625373716215293474e-01,9.118592135440476421e-01,8.832736434412272741e-01,0.000000000000000000e+00,9.908821871888122690e-01,9.685382745213068079e-01,9.275319083095519002e-01,1.000000000000000000e+00,9.155962289801411469e-01,3.828488237777218917e-01,3.699955048186779338e-01,6.537354872776615089e-01,1.000000000000000000e+00,1.215852642416106466e-01,8.806336163054491184e-01,5.515772718651493767e-01
9.846471096182657368e-01,1.117422476774106777e+00,9.546860497884233077e-01,9.575728184298205603e-01,9.792354222696626476e-01,9.824728464913625725e-01,9.875632640964739917e-01,9.908821871888122690e-01,5.000000000000000000e-01,8.578805275785241768e-01,1.000000000000000000e+00,8.718338175826696457e-01,9.575911379701574910e-01,9.582644349643736348e-01,9.679400342696018456e-01,7.936596782942286765e-01,8.472051677220620025e-01,9.591295756204778478e-01,9.860995089829729388e-01,9.500290201786467659e-01
9.738697123637108932e-01,8.566253128292928842e-01,9.015800361297031662e-01,8.680570496734956176e-01,8.675113074162560389e-01,9.645640970774324030e-01,9.368051808324181495e-01,9.685382745213068079e-01,8.578805275785241768e-01,2.220446049250313081e-16,9.066569854191406375e-01,7.715782669141053596e-01,9.845117767819664412e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.576046558153279431e-01,8.371026671384702578e-01,9.004164431187378081e-01,9.419649511643315432e-01,9.540954751391705901e-01
