# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,8.965477806784765136e-01,7.520817977802904952e-01,9.509310708447653582e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.937070370218393567e-01,1.000000000000000000e+00,9.851791399037741481e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.425516597116136985e-01,7.338995496501024007e-01,1.000000000000000000e+00,4.236665729396125180e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.965477806784765136e-01,0.000000000000000000e+00,9.114320790035308484e-01,8.216862728090856827e-01,9.714318769286929278e-01,9.288597944474188406e-01,9.706701660599686976e-01,9.613746054569278776e-01,1.000000000000000000e+00,8.918813761300665721e-01,8.992527506814831373e-01,8.287526853432397589e-01,7.572757680973717376e-01,9.305523918642687464e-01,8.758005736134040209e-01,9.061804423416980336e-01,9.868161931049584945e-01,9.284341992102244090e-01,9.744947052439163482e-01,9.308450837727527682e-01
7.520817977802904952e-01,9.114320790035308484e-01,0.000000000000000000e+00,9.773102197286348547e-01,9.651999481468771513e-01,8.428944911938898166e-01,9.653182101700734652e-01,8.958551453505780859e-01,8.372685703199992391e-01,8.338557405053057536e-01,9.956208972323220552e-01,9.345555573879564815e-01,1.000000000000000000e+00,8.655963107613220409e-01,8.224426157422152217e-01,7.648321511176436882e-01,9.279267175569327897e-01,8.315650799953104855e-01,9.693261351855237962e-01,9.650285969068377323e-01
9.509310708447653582e-01,8.216862728090856827e-01,9.773102197286348547e-01,0.000000000000000000e+00,7.991948874818238790e-01,9.388047907136578552e-01,9.174406385744965364e-01,9.675549136238994485e-01,9.498754171285435088e-01,9.345196459114393228e-01,1.000000000000000000e+00,8.591222403553917530e-01,7.740617617026681607e-01,9.387097885173254497e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.885093080447856728e-01,9.182722962794596100e-01,9.814674529148026405e-01,9.398798766097682389e-01
1.000000000000000000e+00,9.714318769286929278e-01,9.651999481468771513e-01,7.991948874818238790e-01,1.110223024625156540e-16,9.682237650501801518e-01,8.288685236716647475e-01,9.757891720622352549e-01,9.769059468324234885e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.723470791556375836e-01,8.559087399886563530e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.003274822827379564e-01,8.538605463735621237e-01,1.000000000000000000e+00
1.000000000000000000e+00,9.288597944474188406e-01,8.428944911938898166e-01,9.388047907136578552e-01,9.682237650501801518e-01,-2.220446049250313081e-16,8.144906197073492615e-01,1.000000000000000000e+00,2.044970285895982842e-01,9.128121934630106793e-01,1.000000000000000000e+00,8.950695842010492065e-01,8.384631104911295374e-01,9.158957796041931054e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.971302379697613016e-01,1.000000000000000000e+00,7.797916612433288819e-01,9.311958879071622341e-01
1.000000000000000000e+00,9.706701660599686976e-01,9.653182101700734652e-01,9.174406385744965364e-01,8.288685236716647475e-01,8.144906197073492615e-01,1.110223024625156540e-16,9.945060433251158294e-01,8.163386754701597026e-01,8.668409773889997894e-01,1.000000000000000000e+00,9.759878624984176243e-01,1.000000000000000000e+00,9.833185900503057519e-01,1.000000000000000000e+00,9.206983663226384618e-01,9.946335394376840666e-01,8.981385554109360125e-01,2.624555710034691680e-01,1.000000000000000000e+00
5.937070370218393567e-01,9.613746054569278776e-01,8.958551453505780859e-01,9.675549136238994485e-01,9.757891720622352549e-01,1.000000000000000000e+00,9.945060433251158294e-01,2.220446049250313081e-16,1.000000000000000000e+00,9.243853831278303623e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.861678257285985350e-01,9.423833691267577972e-01,1.000000000000000000e+00,6.380303554799547916e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,8.372685703199992391e-01,9.498754171285435088e-01,9.769059468324234885e-01,2.044970285895982842e-01,8.163386754701597026e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.011302072360054538e-01,1.000000000000000000e+00,8.729136557734459290e-01,8.383236511883456199e-01,9.095490549416902493e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.896945547902356033e-01,9.634881587156256533e-01,8.442631884240593410e-01,9.260737116384981649e-01
9.851791399037741481e-01,8.918813761300665721e-01,8.338557405053057536e-01,9.345196459114393228e-01,1.000000000000000000e+00,9.128121934630106793e-01,8.668409773889997894e-01,9.243853831278303623e-01,9.011302072360054538e-01,2.220446049250313081e-16,9.531356869868042869e-01,8.140527584375087944e-01,8.890463034235255302e-01,9.352767750822270632e-01,6.576409132013668613e-01,7.851373313470577653e-01,9.482834500381990273e-01,9.289099241612815971e-01,8.802315311263726461e-01,9.607355434191463539e-01
