# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.557902894511542957e-01,3.495353793516394747e-01,7.940425970552161816e-01,9.769508554396174604e-01,6.299471918066631426e-01,1.000000000000000000e+00,2.424803201191818580e-01,9.938085994684667801e-01,1.000000000000000000e+00,9.229172753098944249e-01,9.534849374201428418e-01,8.313500341887579692e-01,9.711968212157952030e-01,9.992720782050897865e-01,1.000000000000000000e+00,1.121595596796176819e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.819692927923121539e-01
9.557902894511542957e-01,2.176344370346868784e-01,7.215098748336075118e-01,1.000000000000000000e+00,1.000000000000000000e+00,4.837574038344154559e-01,9.956713929489863224e-01,9.678018034051326657e-01,7.930885904394966435e-01,9.864846195482772639e-01,9.713136403674057506e-01,9.177071578730860990e-01,6.790145350922202061e-01,9.402062813524434404e-01,9.923410014986571159e-01,1.000000000000000000e+00,1.165341751371335555e+00,1.000000000000000000e+00,8.725379235178447601e-01,8.940896198909138448e-01
3.495353793516394747e-01,7.215098748336075118e-01,0.000000000000000000e+00,9.651043844672978489e-01,9.985958149381763960e-01,9.317823030844050169e-01,1.000000000000000000e+00,3.399366263304184343e-01,9.645606774640181902e-01,1.000000000000000000e+00,8.777393178498128501e-01,9.524563372197286659e-01,8.055392102195010340e-01,9.548139471447012472e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.160031690365825208e+00,9.226398253941505700e-01,1.000000000000000000e+00,9.645472315084084869e-01
7.940425970552161816e-01,1.000000000000000000e+00,9.651043844672978489e-01,1.110223024625156540e-16,1.000000000000000000e+00,9.850060256211932153e-01,9.208734617412952517e-01,9.065370218607154973e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.411209326821444954e-01,9.816016397505169522e-01,9.719344854025615543e-01,9.515685385647749683e-01,9.044266122066271230e-01,9.776118014306480752e-01,1.153427695306542544e+00,9.406204532300228571e-01,8.401541267928003265e-01,1.000000000000000000e+00
9.769508554396174604e-01,1.000000000000000000e+00,9.985958149381763960e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.908926397047892465e-01,9.450888439100798566e-01,9.964215816917649793e-01,9.869335237464165189e-01,1.000000000000000000e+00,7.711983769596062466e-01,9.684094068239955666e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.140483380863817509e-01,9.314736977353827996e-01,1.222829248167949245e+00,9.739868097663894053e-01,9.876268354631919655e-01,1.000000000000000000e+00
6.299471918066631426e-01,4.837574038344154559e-01,9.317823030844050169e-01,9.850060256211932153e-01,9.908926397047892465e-01,0.000000000000000000e+00,9.768595149636616348e-01,9.452044168986648565e-01,7.307366103687367165e-01,1.000000000000000000e+00,9.411970840737741151e-01,9.187101813215852175e-01,7.678684844454169989e-01,9.802850310323067973e-01,9.703629808668932100e-01,9.992754205688368918e-01,1.128571089930923144e+00,1.000000000000000000e+00,8.409322616651583315e-01,9.825968482343775401e-01
1.000000000000000000e+00,9.956713929489863224e-01,1.000000000000000000e+00,9.208734617412952517e-01,9.450888439100798566e-01,9.768595149636616348e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.091199371737466173e-01,9.431542854558595534e-01,9.160186038949329479e-01,9.706259913231012337e-01,9.377035637194982565e-01,9.666827529132273611e-01,9.281950698644630959e-01,9.858819096563691264e-01,1.008429719874059272e+00,9.876978974505674636e-01,9.187011166401959361e-01,9.653292652519640527e-01
2.424803201191818580e-01,9.678018034051326657e-01,3.399366263304184343e-01,9.065370218607154973e-01,9.964215816917649793e-01,9.452044168986648565e-01,1.000000000000000000e+00,1.110223024625156540e-16,9.627018284399482262e-01,1.000000000000000000e+00,9.211647800381642659e-01,9.678904204529441557e-01,8.109921031996540908e-01,1.000000000000000000e+00,9.403846426415688464e-01,9.895401367767480139e-01,1.099357025384123610e+00,9.949847102752177319e-01,8.827683500553025198e-01,9.568469821380775064e-01
9.938085994684667801e-01,7.930885904394967545e-01,9.645606774640181902e-01,1.000000000000000000e+00,9.869335237464165189e-01,7.307366103687367165e-01,9.091199371737466173e-01,9.627018284399482262e-01,5.000000000000000000e-01,9.815260390577571492e-01,9.350122285049696780e-01,9.543043494374441327e-01,9.330011032346559041e-01,8.924086591365918419e-01,9.131449302304728288e-01,9.528336417152105664e-01,1.128455951126883239e+00,1.000000000000000000e+00,9.755478588661627981e-01,8.757831679750318621e-01
1.000000000000000000e+00,9.864846195482772639e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.431542854558595534e-01,1.000000000000000000e+00,9.815260390577571492e-01,2.220446049250313081e-16,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.885601441389292310e-01,1.000000000000000000e+00,1.210989192311004992e+00,8.803161744339533801e-01,1.000000000000000000e+00,9.845150298046279058e-01
