# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
4.440892098500626162e-16,9.088599300412342208e-01,9.510080086280319200e-01,1.000000000000000000e+00,9.059330310313937762e-01,9.545908009346111278e-01,1.000000000000000000e+00,9.869372214231704188e-01,8.740486178650005433e-01,7.843750908071192018e-01,9.757381533333235879e-01,8.614874641401599753e-01,9.667309588677632792e-01,9.954573638829855575e-01,9.367637024158029790e-01,9.958642563014424853e-01,9.860552290492632377e-01,1.566119339857483528e-01,9.810035369667104987e-01,6.822373444142271204e-01
9.088599300412342208e-01,0.000000000000000000e+00,8.469118885643428518e-01,9.691611066570781086e-01,8.242495376757295045e-01,3.579559706531376673e-01,8.720386289515151823e-01,8.615755032703532601e-01,3.406557120498715507e-01,8.901994658056786580e-01,8.612933220342173790e-01,8.799798625415719000e-01,9.256479104679109504e-01,7.315753080924973784e-01,9.406116222408620331e-01,9.108830063321321502e-01,9.675502142667409267e-01,8.404554704280340349e-01,9.015937810755731974e-01,1.000000000000000000e+00
9.510080086280319200e-01,8.469118885643428518e-01,2.220446049250313081e-16,9.312876973673768211e-01,9.050643657380049723e-01,8.767719985860180643e-01,9.451322283750525077e-01,8.350288970881756256e-01,8.489599595813138722e-01,1.000000000000000000e+00,9.667391326875042212e-01,9.003716965880899092e-01,9.366960486224272797e-01,8.344617238342679766e-01,1.000000000000000000e+00,7.707568268823793423e-01,9.778692683344389902e-01,8.932407444765414484e-01,9.563933487592676252e-01,9.319271804911389845e-01
1.000000000000000000e+00,9.691611066570781086e-01,9.312876973673768211e-01,2.220446049250313081e-16,9.995239074725280615e-01,9.411650803495770212e-01,9.728244736851459074e-01,8.006202620060768327e-01,9.901674272043815561e-01,1.000000000000000000e+00,8.186350725502428149e-01,1.000000000000000000e+00,9.920956461080809863e-01,9.610851312996426810e-01,9.792765867587481798e-01,9.540885317448176695e-01,9.939804128480647094e-01,1.000000000000000000e+00,9.920675324591186062e-01,9.699974139107003790e-01
9.059330310313937762e-01,8.242495376757295045e-01,9.050643657380049723e-01,9.995239074725280615e-01,2.220446049250313081e-16,8.309275543807843611e-01,8.099718342110520108e-01,8.266332366483289951e-01,7.962931617655768513e-01,7.868816731155188204e-01,9.698366353779273030e-01,8.544312669952351946e-01,8.979998358509462264e-01,7.228026859216734046e-01,9.683798403538743660e-01,8.334313461714559779e-01,1.000000000000000000e+00,8.788844619350710818e-01,8.045929199712417157e-01,8.050054268877879782e-01
9.545908009346111278e-01,3.579559706531376673e-01,8.767719985860180643e-01,9.411650803495770212e-01,8.309275543807843611e-01,0.000000000000000000e+00,8.813824368308644797e-01,8.687655237040607936e-01,2.852018794945870850e-01,1.000000000000000000e+00,8.231642112049140092e-01,8.908821384103031704e-01,9.089644104108609568e-01,7.414357961069546477e-01,1.000000000000000000e+00,9.374332130363700610e-01,9.669842141566225013e-01,8.654792889772052744e-01,8.947910600349778809e-01,8.381866995863419545e-01
1.000000000000000000e+00,8.720386289515151823e-01,9.451322283750525077e-01,9.728244736851459074e-01,8.099718342110520108e-01,8.813824368308644797e-01,0.000000000000000000e+00,9.106860550466155946e-01,8.776921298000819327e-01,8.516441075981164843e-01,7.728281529014112694e-01,9.744082275109371416e-01,8.006908130127662337e-01,8.595895492081637723e-01,9.529814213228214870e-01,9.464307560985513179e-01,8.288838716051918354e-01,9.964149021392340044e-01,2.881072300226796834e-01,7.909025873743575907e-01
9.869372214231704188e-01,8.615755032703532601e-01,8.350288970881756256e-01,8.006202620060768327e-01,8.266332366483289951e-01,8.687655237040607936e-01,9.106860550466155946e-01,0.000000000000000000e+00,8.429371020118769930e-01,9.441993764770379993e-01,8.598131957932853009e-01,9.156688612571772801e-01,8.943173623351974300e-01,7.022093115250076512e-01,9.385140143280279457e-01,9.735373017443974542e-01,9.965514478751179572e-01,9.432321301839330374e-01,8.850914419026729707e-01,1.000000000000000000e+00
8.740486178650005433e-01,3.406557120498715507e-01,8.489599595813138722e-01,9.901674272043815561e-01,7.962931617655768513e-01,2.852018794945870850e-01,8.776921298000819327e-01,8.429371020118769930e-01,1.110223024625156540e-16,9.473120976860034403e-01,8.366083839565525704e-01,8.579050852279141992e-01,8.928253455590081655e-01,6.844556558207373076e-01,1.000000000000000000e+00,8.652066911603584209e-01,9.739889304372412182e-01,8.777048278237847834e-01,9.329368880036911227e-01,7.711514440566379358e-01
7.843750908071192018e-01,8.901994658056786580e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.868816731155188204e-01,1.000000000000000000e+00,8.516441075981164843e-01,9.441993764770379993e-01,9.473120976860034403e-01,-2.220446049250313081e-16,1.000000000000000000e+00,9.070991123024114700e-01,8.568114075416584097e-01,7.804901234933284693e-01,1.000000000000000000e+00,9.739073777351057171e-01,1.000000000000000000e+00,7.957274260413265132e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.757381533333235879e-01,8.612933220342173790e-01,9.667391326875042212e-01,8.186350725502428149e-01,9.698366353779273030e-01,8.231642112049140092e-01,7.728281529014112694e-01,8.598131957932853009e-01,8.366083839565525704e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.970655992596971773e-01,8.859226646596664034e-01,8.237548562777552430e-01,9.821228866444553507e-01,9.441941777021719551e-01,8.680744584198551994e-01,9.222920588210680171e-01,7.967509188838601819e-01,9.313541452108671237e-01
8.614874641401599753e-01,8.799798625415719000e-01,9.003716965880899092e-01,1.000000000000000000e+00,8.544312669952351946e-01,8.908821384103031704e-01,9.744082275109371416e-01,9.156688612571772801e-01,8.579050852279141992e-01,9.070991123024114700e-01,9.970655992596971773e-01,2.144971738589729893e-01,9.936422627222936121e-01,9.197850667837617067e-01,9.585240389744615896e-01,8.585191259809510367e-01,9.866639125640641605e-01,9.119336362403441809e-01,9.610656442363396668e-01,9.336510735173944031e-01
9.667309588677632792e-01,9.256479104679109504e-01,9.366960486224272797e-01,9.920956461080809863e-01,8.979998358509462264e-01,9.089644104108609568e-01,8.006908130127662337e-01,8.943173623351974300e-01,8.928253455590081655e-01,8.568114075416584097e-01,8.859226646596664034e-01,9.936422627222936121e-01,2.220446049250313081e-16,8.807403308017777155e-01,9.765484777376813863e-01,7.728666149517037232e-01,8.895954316093811487e-01,9.301434688652912008e-01,8.731550129329064269e-01,8.371365909898069724e-01
9.954573638829855575e-01,7.315753080924973784e-01,8.344617238342679766e-01,9.610851312996426810e-01,7.228026859216734046e-01,7.414357961069546477e-01,8.595895492081637723e-01,7.022093115250076512e-01,6.844556558207373076e-01,7.804901234933284693e-01,8.237548562777552430e-01,9.197850667837617067e-01,8.807403308017777155e-01,1.110223024625156540e-16,9.125047189433057593e-01,8.906156265862715804e-01,9.801102292417847028e-01,1.000000000000000000e+00,8.454556954068082053e-01,9.524354724897198254e-01
9.367637024158029790e-01,9.406116222408620331e-01,1.000000000000000000e+00,9.792765867587481798e-01,9.683798403538743660e-01,1.000000000000000000e+00,9.529814213228214870e-01,9.385140143280279457e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.821228866444553507e-01,9.585240389744615896e-01,9.765484777376813863e-01,9.125047189433057593e-01,0.000000000000000000e+00,9.797261538288559723e-01,9.371838863661100527e-01,5.870706943424679469e-01,9.700888858949106019e-01,1.000000000000000000e+00
9.958642563014424853e-01,9.108830063321321502e-01,7.707568268823793423e-01,9.540885317448176695e-01,8.334313461714559779e-01,9.374332130363700610e-01,9.464307560985513179e-01,9.735373017443974542e-01,8.652066911603584209e-01,9.739073777351057171e-01,9.441941777021719551e-01,8.585191259809510367e-01,7.728666149517037232e-01,8.906156265862715804e-01,9.797261538288559723e-01,2.220446049250313081e-16,9.698594695055294812e-01,9.955387703152902557e-01,9.145860201031527081e-01,9.982218026370230923e-01
9.860552290492632377e-01,9.675502142667409267e-01,9.778692683344389902e-01,9.939804128480647094e-01,1.000000000000000000e+00,9.669842141566225013e-01,8.288838716051918354e-01,9.965514478751179572e-01,9.739889304372412182e-01,1.000000000000000000e+00,8.680744584198551994e-01,9.866639125640641605e-01,8.895954316093811487e-01,9.801102292417847028e-01,9.371838863661100527e-01,9.698594695055294812e-01,-2.220446049250313081e-16,9.800387253944135013e-01,8.011097041951676934e-01,8.763373590766390109e-01
1.566119339857483528e-01,8.404554704280340349e-01,8.932407444765414484e-01,1.000000000000000000e+00,8.788844619350710818e-01,8.654792889772052744e-01,9.964149021392340044e-01,9.432321301839330374e-01,8.777048278237847834e-01,7.957274260413265132e-01,9.222920588210680171e-01,9.119336362403441809e-01,9.301434688652912008e-01,1.000000000000000000e+00,5.870706943424679469e-01,9.955387703152902557e-01,9.800387253944135013e-01,0.000000000000000000e+00,9.579270832248458767e-01,9.464244907237242543e-01
9.810035369667104987e-01,9.015937810755731974e-01,9.563933487592676252e-01,9.920675324591186062e-01,8.045929199712417157e-01,8.947910600349778809e-01,2.881072300226796834e-01,8.850914419026729707e-01,9.329368880036911227e-01,1.000000000000000000e+00,7.967509188838601819e-01,9.610656442363396668e-01,8.731550129329064269e-01,8.454556954068082053e-01,9.700888858949106019e-01,9.145860201031527081e-01,8.011097041951676934e-01,9.579270832248458767e-01,2.220446049250313081e-16,8.538349254355060980e-01
6.822373444142271204e-01,1.000000000000000000e+00,9.319271804911389845e-01,9.699974139107003790e-01,8.050054268877879782e-01,8.381866995863419545e-01,7.909025873743575907e-01,1.000000000000000000e+00,7.711514440566379358e-01,1.000000000000000000e+00,9.313541452108671237e-01,9.336510735173944031e-01,8.371365909898069724e-01,9.524354724897198254e-01,1.000000000000000000e+00,9.982218026370230923e-01,8.763373590766390109e-01,9.464244907237242543e-01,8.538349254355060980e-01,0.000000000000000000e+00
