# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,8.742672428000173301e-01,4.156867270842004025e-01,9.675919927552267819e-01,1.000000000000000000e+00,7.410950445537708431e-01,9.367793618974854519e-01,1.000000000000000000e+00,6.684932647529164829e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.215467572937875440e-01,9.720653028145314067e-01,4.779185552496854061e-01,1.113954878636510548e-01,9.250986824813891563e-01,1.000000000000000000e+00,4.866835370328105315e-01,9.663261379199481471e-01,4.879964109444085985e-01
8.742672428000173301e-01,0.000000000000000000e+00,9.473403249194126685e-01,9.191063153696443777e-01,9.384219167426475217e-01,2.817849433990747832e-01,8.954752990353147535e-01,1.000000000000000000e+00,5.775984440263752795e-01,8.449495073064189343e-01,9.392799114624534873e-01,8.924413691941450733e-01,9.284928776915729598e-01,9.978682148068909186e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.791994882680175039e-01,1.000000000000000000e+00,9.727762723534464362e-01,1.000000000000000000e+00
4.156867270842004025e-01,9.473403249194126685e-01,0.000000000000000000e+00,9.994858794826415593e-01,9.502983970482240528e-01,7.878172864892321048e-01,9.719339610845281197e-01,1.000000000000000000e+00,6.219492274512897767e-01,1.000000000000000000e+00,9.802616672867285885e-01,9.194100744037912998e-01,9.932237036160022070e-01,5.703274144586041317e-01,5.773344655726284635e-01,8.653972984645219579e-01,9.893979540584856291e-01,1.955910616876134211e-01,9.570566258467675391e-01,-1.768405487166628820e-01
9.675919927552267819e-01,9.191063153696443777e-01,9.994858794826415593e-01,0.000000000000000000e+00,9.280970114058152420e-01,9.044787048359841375e-01,9.821348519836355928e-01,9.955871384731463936e-01,8.997251678278193054e-01,8.610381543467335863e-01,9.106431182959818793e-01,9.220331720056058611e-01,6.729460449837971758e-01,9.924445437620982302e-01,9.986382666114371753e-01,9.694824404729922573e-01,9.717268417979149087e-01,8.890551426707227201e-01,9.371212807254259980e-01,9.529554636831129022e-01
1.000000000000000000e+00,9.384219167426475217e-01,9.502983970482240528e-01,9.280970114058152420e-01,2.220446049250313081e-16,8.991464852542562225e-01,9.904043346499979972e-01,8.768328221045851301e-01,9.707033652493671783e-01,1.000000000000000000e+00,8.295451813141514474e-01,9.237526929704790168e-01,9.759611765823024143e-01,9.852321120728588788e-01,1.000000000000000000e+00,9.952019271714851456e-01,8.069050169429676789e-01,9.452377888544948314e-01,8.389890126425083583e-01,9.969205820849010857e-01
7.410950445537708431e-01,2.817849433990747832e-01,7.878172864892321048e-01,9.044787048359841375e-01,8.991464852542562225e-01,-2.220446049250313081e-16,8.623917775009214415e-01,1.000000000000000000e+00,5.197967925490610819e-01,1.000000000000000000e+00,9.706176103277880385e-01,8.643038313447796162e-01,9.295382939283133306e-01,9.245767199921057777e-01,5.650241379626896876e-01,8.628253964460146364e-01,9.333265395578204116e-01,8.163930623383892637e-01,9.350205485277929274e-01,9.177072800579588741e-01
9.367793618974854519e-01,8.954752990353147535e-01,9.719339610845281197e-01,9.821348519836355928e-01,9.904043346499979972e-01,8.623917775009214415e-01,-2.220446049250313081e-16,8.683396824884954679e-01,9.343131941097504445e-01,7.080143623403403197e-01,7.327949198091916472e-01,9.491703202940611206e-01,1.000000000000000000e+00,9.707146513507166619e-01,9.709422618239589298e-01,9.911076960670804903e-01,9.508871908048682764e-01,9.978365209550987824e-01,8.831637608932367822e-01,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.955871384731463936e-01,8.768328221045851301e-01,1.000000000000000000e+00,8.683396824884954679e-01,0.000000000000000000e+00,1.000000000000000000e+00,7.547948035933587096e-01,9.052417437222712859e-01,8.967357424846867930e-01,9.770713783369027183e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.611718107556467272e-01,9.946968781035333551e-01,9.932887681896144239e-01,8.412417888815058031e-01,4.074752059549054950e-01
6.684932647529164829e-01,5.775984440263752795e-01,6.219492274512897767e-01,8.997251678278193054e-01,9.707033652493671783e-01,5.197967925490610819e-01,9.343131941097504445e-01,1.000000000000000000e+00,2.220446049250313081e-16,9.401652735238806846e-01,9.653751675490304107e-01,9.076224060103164071e-01,4.535764213558781677e-01,9.475642760051086189e-01,3.344657869877231127e-01,9.070696615326263590e-01,8.653070969337006701e-01,7.503169626600820763e-01,9.791684544150305314e-01,9.158013760086753940e-01
1.000000000000000000e+00,8.449495073064189343e-01,1.000000000000000000e+00,8.610381543467335863e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.080143623403403197e-01,7.547948035933587096e-01,9.401652735238806846e-01,1.110223024625156540e-16,7.513253857176598327e-01,1.000000000000000000e+00,8.486555648668659968e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.617734531860934188e-01,7.669447942348572855e-01,7.367065315173320084e-01,9.037295193611896149e-01,1.000000000000000000e+00
