# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.601644969435019217e-01,1.199988857512894747e+00,9.010488780409413589e-01,9.838336455569980377e-01,1.050740359012043879e+00,1.000000000000000000e+00,9.196403762324800724e-01,8.454182969070246356e-01,7.156705882397738083e-01,9.075576809663520317e-01,9.664171097018827705e-01,9.892191207766615202e-01,7.296883996370100434e-01,1.000000000000000000e+00,9.670827350488334639e-01,8.563462962014383173e-01,8.984148934594133884e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.601644969435019217e-01,0.000000000000000000e+00,1.186404781305355538e+00,9.862560692650935712e-01,9.251050985361920498e-01,9.335760410049296354e-01,8.334664719005552280e-01,8.675938342386250168e-01,8.279364125822291642e-01,9.677652270451218008e-01,9.481974896614486781e-01,9.403828532317721756e-01,9.300017156968172216e-01,9.264385788195999005e-01,1.000000000000000000e+00,8.720931049824838244e-01,9.655727865090366624e-01,8.708883910559529484e-01,9.717214199314129219e-01,9.821042176885900199e-01
1.199988857512894747e+00,1.186404781305355538e+00,-2.220446049250313081e-16,1.253249336916785417e+00,1.289217616150780898e+00,1.118102727669959329e+00,1.310382574684379797e+00,1.159489017463848803e+00,1.231399512778642347e+00,1.114461332965793083e+00,1.325938809906175520e+00,1.314541869233045501e+00,1.319118643713238281e+00,1.114018797425795348e+00,1.021856146473674398e+00,1.256982610964925140e+00,1.322906962010544474e+00,1.125439014718349506e+00,1.311210009387078879e+00,1.185456194729105572e+00
9.010488780409413589e-01,9.862560692650935712e-01,1.253249336916785417e+00,1.110223024625156540e-16,9.512936031812755378e-01,1.068995291703742634e+00,8.267214908347814140e-01,9.711311861188972605e-01,1.000000000000000000e+00,9.762191213445082782e-01,8.747317251486586009e-01,5.563943866921898795e-01,9.101059903948547358e-01,9.491253851716322520e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.923291001207539708e-01,9.784230190054237219e-01,9.661669184889563056e-01,9.768327064442460239e-01
9.838336455569980377e-01,9.251050985361920498e-01,1.289217616150780898e+00,9.512936031812755378e-01,0.000000000000000000e+00,1.022491830022064008e+00,8.636467825202192028e-01,9.641373174389445966e-01,8.581187764647414395e-01,1.000000000000000000e+00,8.876264371199484859e-01,9.950207921136045019e-01,1.000000000000000000e+00,9.330873321771054885e-01,9.788687732855537726e-01,9.119292248423056524e-01,8.567724744295321937e-01,9.589870312843151723e-01,9.410732687152622011e-01,9.986441454584621402e-01
1.050740359012043879e+00,9.335760410049296354e-01,1.118102727669959329e+00,1.068995291703742634e+00,1.022491830022064008e+00,6.574032700416239106e-01,1.052447467778002022e+00,9.733794095615182496e-01,9.586730864601438196e-01,9.749043392431129273e-01,1.054537321529368965e+00,9.423399309122384437e-01,9.556819640457638876e-01,1.037364596607186717e+00,1.040779689710779277e+00,1.017734775563002625e+00,9.731147289486914431e-01,9.671643392772205639e-01,1.056364147652402607e+00,9.478689973729093055e-01
1.000000000000000000e+00,8.334664719005552280e-01,1.310382574684379797e+00,8.267214908347814140e-01,8.636467825202192028e-01,1.052447467778002022e+00,0.000000000000000000e+00,9.320793703266502250e-01,9.231041017922686498e-01,8.824585514559244448e-01,9.747470970596003870e-01,8.873008523505050427e-01,9.252756407341591327e-01,1.000000000000000000e+00,9.305362957500338261e-01,1.000000000000000000e+00,9.630297521423715201e-01,8.980080270097687833e-01,9.583228701806922878e-01,1.000000000000000000e+00
9.196403762324800724e-01,8.675938342386250168e-01,1.159489017463848803e+00,9.711311861188972605e-01,9.641373174389445966e-01,9.733794095615182496e-01,9.320793703266502250e-01,2.220446049250313081e-16,6.129254659465062094e-01,8.509437644388104793e-01,1.000000000000000000e+00,8.497759054877339624e-01,8.389004791675064299e-01,8.691776482303517071e-01,8.168692235116489231e-01,8.908009845216854350e-01,9.583334427188062721e-01,1.999772394414275345e-01,1.000000000000000000e+00,8.949846706402726504e-01
8.454182969070246356e-01,8.279364125822291642e-01,1.231399512778642347e+00,1.000000000000000000e+00,8.581187764647414395e-01,9.586730864601438196e-01,9.231041017922686498e-01,6.129254659465062094e-01,0.000000000000000000e+00,1.000000000000000000e+00,7.044007754294452361e-01,9.577068920268794194e-01,9.182677856602572408e-01,8.259884287265284453e-01,9.091560333340166222e-01,9.868373527163218917e-01,7.535039213505507760e-01,8.162661361160317153e-01,9.715428352093837816e-01,9.246802270090771492e-01
7.156705882397738083e-01,9.677652270451218008e-01,1.114461332965793083e+00,9.762191213445082782e-01,1.000000000000000000e+00,9.749043392431129273e-01,8.824585514559244448e-01,8.509437644388104793e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.098460078496561909e-01,9.585874160447019898e-01,9.862517250307899497e-01,7.425278196011164678e-01,9.625079544336325732e-01,9.080759997766576497e-01,8.429339957568383612e-01,1.000000000000000000e+00,5.700381881147794649e-01
