# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.570101241689957794e-01,4.743410820744188294e-01,1.000000000000000000e+00,9.489670459442671735e-01,1.245460590102089427e+00,9.986569528505994109e-01,8.404633641773548991e-01,9.272011320195951978e-01,9.317122667767359090e-01,9.321864445270131583e-01,9.503764720520418985e-01,1.000000000000000000e+00,7.624055358495722690e-01,8.560424400682062895e-01,8.324743472684892343e-01,9.561539478444663898e-01,4.294696452980446555e-01,8.330604487719041051e-01,7.273342872478352206e-01
9.570101241689957794e-01,0.000000000000000000e+00,8.943199834429381712e-01,9.227755180802640345e-01,8.203631661709543943e-01,4.099466844101096186e-01,6.354884579224814312e-01,9.008063703481650197e-01,2.558341794891325627e-01,9.574024744327963576e-01,9.414743006450767560e-01,9.856096638417692901e-01,1.000000000000000000e+00,6.305251178172914805e-01,8.794599599144766744e-01,1.000000000000000000e+00,9.279054512614012262e-01,9.158157939356528221e-01,9.493952762604711548e-01,6.709554853430157451e-01
4.743410820744188294e-01,8.943199834429381712e-01,-2.220446049250313081e-16,8.872307699993414731e-01,9.862787273363849971e-01,1.113524545805594013e+00,9.281074595683947992e-01,6.452779045758650911e-01,8.899518777329367136e-01,7.883437757008223690e-01,9.568704321783523259e-01,8.838062349383754013e-01,9.875758527385560814e-01,8.065435293440681441e-01,6.741811867513507472e-01,9.022570223338269857e-01,9.800286869807728340e-01,3.505614102279964728e-01,7.258126389617642893e-01,8.400725158431161521e-01
1.000000000000000000e+00,9.227755180802640345e-01,8.872307699993414731e-01,0.000000000000000000e+00,9.988283419052362833e-01,1.072588812857734109e+00,8.738960147834177183e-01,9.548944914245376392e-01,9.055852944917874847e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.349064134088280964e-01,9.857168007706886836e-01,8.371614166124878853e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.516304510315566345e-01,8.991263427831290844e-01,8.520529149161557569e-01
9.489670459442671735e-01,8.203631661709543943e-01,9.862787273363849971e-01,9.988283419052362833e-01,0.000000000000000000e+00,1.070886797244889888e+00,9.955838141511217376e-01,9.843031808607090039e-01,8.336450782528400660e-01,1.000000000000000000e+00,9.114555496043759142e-01,9.821877793208561025e-01,1.000000000000000000e+00,8.261009012097224602e-01,9.548390468010704568e-01,9.482285303035020707e-01,9.175803525041668074e-01,9.657944836132885680e-01,7.826562699572499060e-01,8.653284436921248046e-01
1.245460590102089427e+00,4.099466844101096186e-01,1.113524545805594013e+00,1.072588812857734109e+00,1.070886797244889888e+00,2.220446049250313081e-16,1.165901694183348214e+00,1.140230886808060173e+00,6.897897811046516114e-01,1.329161335282335932e+00,1.241413476761626056e+00,1.212105083846210851e+00,1.166841300997787823e+00,8.992232529600080460e-01,1.208456458602797490e+00,1.086792496307971145e+00,1.255330726074173064e+00,1.156802523955029249e+00,1.101994189760848730e+00,9.146098074649520182e-01
9.986569528505994109e-01,6.354884579224814312e-01,9.281074595683947992e-01,8.738960147834177183e-01,9.955838141511217376e-01,1.165901694183348214e+00,0.000000000000000000e+00,8.348884494258421718e-01,9.175414011745586240e-01,9.916016631808732829e-01,8.472543347399081881e-01,8.527499799207568509e-01,1.000000000000000000e+00,9.792292016487179618e-01,1.000000000000000000e+00,9.590539672445812514e-01,9.698653646981548748e-01,9.299179133500490302e-01,1.000000000000000000e+00,9.331927920697135059e-01
8.404633641773548991e-01,9.008063703481650197e-01,6.452779045758650911e-01,9.548944914245376392e-01,9.843031808607090039e-01,1.140230886808060173e+00,8.348884494258421718e-01,1.110223024625156540e-16,9.996794855834297833e-01,9.409743045931949768e-01,9.949968640252282448e-01,9.709755468926667410e-01,9.530895577089951720e-01,1.000000000000000000e+00,7.532261161574262953e-01,9.667936790838344008e-01,9.799513376068351711e-01,9.249408510826356844e-01,8.240548977494313032e-01,1.000000000000000000e+00
9.272011320195951978e-01,2.558341794891325627e-01,8.899518777329367136e-01,9.055852944917874847e-01,8.336450782528400660e-01,6.897897811046516114e-01,9.175414011745586240e-01,9.996794855834297833e-01,0.000000000000000000e+00,9.480004618171625763e-01,9.569268317361423470e-01,9.751004959207910661e-01,1.000000000000000000e+00,5.753041681761934534e-01,9.008435610266531945e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.349853004169461634e-01,9.232862595458570798e-01,6.314153049987056843e-01
9.317122667767359090e-01,9.574024744327963576e-01,7.883437757008223690e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.329161335282335932e+00,9.916016631808732829e-01,9.409743045931949768e-01,9.480004618171625763e-01,0.000000000000000000e+00,8.766821302176932562e-01,9.652553822512331960e-01,1.000000000000000000e+00,9.812308160747950092e-01,8.341406289444742717e-01,9.874566630994329186e-01,9.565326111177624435e-01,7.959939499791557349e-01,9.786040314006987373e-01,9.547592662874713199e-01
9.321864445270131583e-01,9.414743006450767560e-01,9.568704321783523259e-01,1.000000000000000000e+00,9.114555496043759142e-01,1.241413476761626056e+00,8.472543347399081881e-01,9.949968640252282448e-01,9.569268317361423470e-01,8.766821302176932562e-01,-2.220446049250313081e-16,9.469078569076895269e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.808783142442824454e-01,7.453951888077329224e-01,8.550476728013824967e-01,1.000000000000000000e+00
9.503764720520418985e-01,9.856096638417692901e-01,8.838062349383754013e-01,8.349064134088280964e-01,9.821877793208561025e-01,1.212105083846210851e+00,8.527499799207568509e-01,9.709755468926667410e-01,9.751004959207910661e-01,9.652553822512331960e-01,9.469078569076895269e-01,5.201520002705897205e-01,9.313399386884689823e-01,9.322476164681771094e-01,7.118479318020805025e-01,9.959384480271578077e-01,9.617446582620484685e-01,9.406757454331401425e-01,8.933995038347029016e-01,9.162950842530920292e-01
1.000000000000000000e+00,1.000000000000000000e+00,9.875758527385560814e-01,9.857168007706886836e-01,1.000000000000000000e+00,1.166841300997787823e+00,1.000000000000000000e+00,9.530895577089951720e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.313399386884689823e-01,1.110223024625156540e-16,1.000000000000000000e+00,8.701758270500148384e-01,9.768771965676660285e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.203623850445845633e-01,9.877836750238647712e-01
7.624055358495722690e-01,6.305251178172914805e-01,8.065435293440681441e-01,8.371614166124878853e-01,8.261009012097224602e-01,8.992232529600080460e-01,9.792292016487179618e-01,1.000000000000000000e+00,5.753041681761934534e-01,9.812308160747950092e-01,1.000000000000000000e+00,9.322476164681771094e-01,1.000000000000000000e+00,1.110223024625156540e-16,9.912670439112946097e-01,8.711460957944945349e-01,1.000000000000000000e+00,9.317488640226747609e-01,9.835323240890196939e-01,-4.759126989447581835e-03
8.560424400682062895e-01,8.794599599144766744e-01,6.741811867513507472e-01,1.000000000000000000e+00,9.548390468010704568e-01,1.208456458602797490e+00,1.000000000000000000e+00,7.532261161574262953e-01,9.008435610266531945e-01,8.341406289444742717e-01,1.000000000000000000e+00,7.118479318020805025e-01,8.701758270500148384e-01,9.912670439112946097e-01,0.000000000000000000e+00,9.601204659694124732e-01,9.900316675160100166e-01,8.311259597877754812e-01,9.311541542069201594e-01,8.902947377064608370e-01
