# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,8.742692180364208809e-01,9.348211102227957925e-01,1.000000000000000000e+00,9.952740169305294149e-01,1.000000000000000000e+00,8.928376003894409330e-01,4.382977160627496982e-01,7.453769402917508335e-01,8.953802975481470749e-01,8.323118013813416427e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.408921997036047591e-01,1.930040547785959459e-01,9.642761156144988854e-01,1.000000000000000000e+00,6.233241517632472917e-01,1.000000000000000000e+00,2.443131888154240761e-01
8.742692180364208809e-01,4.633050115801247149e-01,9.708595212999883151e-01,1.000000000000000000e+00,8.180916651174974241e-01,9.636831111575556719e-01,9.754826593067149609e-01,8.056493839884544261e-01,8.605250666555800398e-01,9.313774767951561451e-01,9.263944419582519352e-01,9.375478122487477251e-01,9.612704283884938583e-01,7.472088596632420199e-01,7.983134826139965945e-01,9.554569819057758817e-01,9.864675686416809475e-01,8.853473470617324592e-01,9.963461507169130149e-01,8.026607112423629342e-01
9.348211102227957925e-01,9.708595212999883151e-01,0.000000000000000000e+00,5.972170013310643677e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.174052355528710345e-01,9.068986160174608013e-01,9.645674113965320151e-01,9.753300680253613741e-01,9.029288754830885333e-01,9.710208863864201456e-01,6.424679259390049246e-01,9.246264357231737119e-01,9.238363250851776565e-01,9.854446457266035075e-01,8.480510243137726611e-01,7.831601945882837867e-01,9.183004587811134378e-01,9.167173039718311545e-01
1.000000000000000000e+00,1.000000000000000000e+00,5.972170013310643677e-01,0.000000000000000000e+00,9.631319147208744491e-01,7.821259639789961415e-01,9.971207284770672308e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.274671374522251099e-01,9.345041875814907861e-01,9.325686149227186972e-01,6.547839816847718097e-01,9.558596553853792033e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.869248250465512129e-01,9.705773279977965018e-01,9.370752461242983777e-01,9.985829541491566541e-01
9.952740169305294149e-01,8.180916651174974241e-01,1.000000000000000000e+00,9.631319147208744491e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.451307700442748150e-01,8.829301198488321845e-01,9.435029144652804511e-01,8.808438223578393123e-01,9.624058490926777898e-01,8.636306423515415220e-01,8.889609997521205065e-01,8.924691329044700527e-01,9.681863688657174061e-01,8.980564989907250384e-01,9.427389946331818926e-01,9.404847914244759410e-01,9.612629736437288130e-01,9.356966669671166192e-01
1.000000000000000000e+00,9.636831111575556719e-01,1.000000000000000000e+00,7.821259639789961415e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.885607640225777759e-01,9.110551607116922357e-01,1.000000000000000000e+00,9.163669339541932191e-01,9.117436916982489814e-01,9.304878350422907118e-01,7.466664825515174631e-01,1.000000000000000000e+00,9.993867525366662008e-01,9.807616239495557942e-01,1.000000000000000000e+00,9.325545731262763205e-01
8.928376003894409330e-01,9.754826593067149609e-01,8.174052355528710345e-01,9.971207284770672308e-01,9.451307700442748150e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.907454210258200833e-01,1.000000000000000000e+00,1.000000000000000000e+00,4.609138982458270695e-01,9.579822055635244249e-01,1.000000000000000000e+00,9.443260289881194591e-01,8.935027476064689722e-01,1.000000000000000000e+00,8.924847380882495740e-01,9.400513316904082206e-01,7.564122476649683957e-01,8.826869689630533200e-01
4.382977160627496982e-01,8.056493839884544261e-01,9.068986160174608013e-01,1.000000000000000000e+00,8.829301198488321845e-01,1.000000000000000000e+00,9.907454210258200833e-01,0.000000000000000000e+00,8.139685524013571261e-01,8.913784333988181707e-01,1.000000000000000000e+00,9.841976206382724301e-01,9.773471771158429577e-01,6.635852531959820499e-01,5.087844460077608488e-01,9.245322568890864678e-01,8.380975431546786591e-01,7.544918660632349283e-01,9.901973010059117453e-01,5.117221953355278741e-01
7.453769402917508335e-01,8.605250666555800398e-01,9.645674113965320151e-01,1.000000000000000000e+00,9.435029144652804511e-01,8.885607640225777759e-01,1.000000000000000000e+00,8.139685524013571261e-01,2.220446049250313081e-16,9.089472475686422026e-01,9.342229473359840997e-01,9.808508652867385935e-01,1.000000000000000000e+00,9.154150643696989942e-01,9.215601980611916044e-01,9.943026556750785838e-01,1.000000000000000000e+00,8.507862846562764814e-01,1.000000000000000000e+00,9.741671917919469958e-01
8.953802975481470749e-01,9.313774767951561451e-01,9.753300680253613741e-01,8.274671374522251099e-01,8.808438223578393123e-01,9.110551607116922357e-01,1.000000000000000000e+00,8.913784333988181707e-01,9.089472475686422026e-01,4.999999999999998890e-01,8.235170883540572362e-01,9.420891133825298747e-01,9.603527204595363465e-01,9.565659230031648974e-01,8.557816541160971902e-01,9.690065271706370664e-01,9.681553302959200469e-01,9.400473858454501119e-01,1.000000000000000000e+00,1.000000000000000000e+00
