# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,9.550338079618978515e-01,6.038643285709267561e-01,9.919882569514989479e-01,9.201938199080583747e-01,1.000000000000000000e+00,9.212589711524215019e-01,7.781126575458495731e-01,1.000000000000000000e+00,8.061287913615038381e-01,9.008426752208879007e-01,1.000000000000000000e+00,9.603841987945579417e-01,3.652896462625963014e-01,3.449352349403060902e-01,7.727541274607883093e-01,8.961357792739665928e-01,2.404983278167727168e-01,9.564760306657672517e-01,3.621233512332850957e-01
9.550338079618978515e-01,5.610465233814765362e-01,1.059003465130204269e+00,1.024175821383445317e+00,1.008412471671603639e+00,1.077379816955656766e+00,9.911731448924867571e-01,1.007897788713526088e+00,8.351685819946315092e-01,1.004319763198202153e+00,1.009638094821414755e+00,1.014170383615199622e+00,8.953768985176038253e-01,1.059023300770951748e+00,1.056090204791194864e+00,1.061899791363694501e+00,1.021905453724403001e+00,9.041962941392927000e-01,9.450490767813980453e-01,1.067721207166944408e+00
6.038643285709267561e-01,1.059003465130204269e+00,0.000000000000000000e+00,9.948178437267585217e-01,1.000000000000000000e+00,9.651565059660537349e-01,9.065745449850393101e-01,9.163988993546910988e-01,1.000000000000000000e+00,9.847984968267675665e-01,9.601147559527701825e-01,1.000000000000000000e+00,1.000000000000000000e+00,6.599046277531277482e-01,6.591720226339949917e-01,1.000000000000000000e+00,9.849570485029579547e-01,5.394281256014363812e-01,9.565573079838615156e-01,6.366262616137881025e-01
9.919882569514989479e-01,1.024175821383445317e+00,9.948178437267585217e-01,2.220446049250313081e-16,9.591847945574656364e-01,9.411030630329244584e-01,9.678802226878253645e-01,9.021941397432138299e-01,9.892489756036475512e-01,9.687969241547685906e-01,1.000000000000000000e+00,7.830433601315469616e-01,8.995084334635137235e-01,9.839932540756860524e-01,9.962654756868632999e-01,9.749932862356722740e-01,9.549460641638833902e-01,9.892873440888569903e-01,9.623806622434420976e-01,9.262172959375051251e-01
9.201938199080583747e-01,1.008412471671603639e+00,1.000000000000000000e+00,9.591847945574656364e-01,0.000000000000000000e+00,9.575031941628271426e-01,9.703514310533234433e-01,9.430456890909958423e-01,1.000000000000000000e+00,9.208843782194705563e-01,9.207606461568038636e-01,1.000000000000000000e+00,9.429277792722783325e-01,9.291633305987189173e-01,9.240281281824576087e-01,9.787593899741166004e-01,7.852684766067038469e-01,9.472201861933599032e-01,8.941255986853382520e-01,9.404853625249286475e-01
1.000000000000000000e+00,1.077379816955656766e+00,9.651565059660537349e-01,9.411030630329244584e-01,9.575031941628271426e-01,0.000000000000000000e+00,9.396428806956256263e-01,9.204753742934668193e-01,1.000000000000000000e+00,9.448151883393849371e-01,9.912187458515222538e-01,8.690165029423484455e-01,9.885222025784587974e-01,9.539426618178286077e-01,9.600535505338824160e-01,9.915113937058427362e-01,9.479399375338481981e-01,8.216329011457206288e-01,1.000000000000000000e+00,9.574799172264328861e-01
9.212589711524215019e-01,9.911731448924867571e-01,9.065745449850393101e-01,9.678802226878253645e-01,9.703514310533234433e-01,9.396428806956256263e-01,-2.220446049250313081e-16,9.162470843614070048e-01,9.920754461029990257e-01,1.000000000000000000e+00,8.538912255657840067e-01,9.801240877102399551e-01,9.579097030845566962e-01,9.291019905882335062e-01,9.595697397779009430e-01,9.805904687740840675e-01,5.314172576717062224e-01,9.941894086893190430e-01,9.850886474395815773e-01,9.622434287039335343e-01
7.781126575458495731e-01,1.007897788713526088e+00,9.163988993546910988e-01,9.021941397432138299e-01,9.430456890909958423e-01,9.204753742934668193e-01,9.162470843614070048e-01,0.000000000000000000e+00,7.208069914847841098e-01,9.404367625871741243e-01,9.127818186941537570e-01,9.116669194912235819e-01,9.303570494865384122e-01,8.768990819608917242e-01,8.703501268420799075e-01,8.630668162989807435e-01,8.268754519722747443e-01,7.525521845013314337e-01,9.792448097701885734e-01,8.753780910767393619e-01
1.000000000000000000e+00,8.351685819946315092e-01,1.000000000000000000e+00,9.892489756036475512e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.920754461029990257e-01,7.208069914847841098e-01,2.220446049250313081e-16,9.085219337705667808e-01,9.939409424893232980e-01,9.640774390025361740e-01,9.928910683225551370e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.990656658353674890e-01,9.913771939713357240e-01,9.680845665399304689e-01,9.893980777682276351e-01,1.000000000000000000e+00
8.061287913615038381e-01,1.004319763198202153e+00,9.847984968267675665e-01,9.687969241547685906e-01,9.208843782194705563e-01,9.448151883393849371e-01,1.000000000000000000e+00,9.404367625871741243e-01,9.085219337705667808e-01,-2.220446049250313081e-16,8.541972864549296496e-01,8.035083916946876847e-01,9.830266413609441978e-01,9.527281187258036521e-01,9.453089564818357715e-01,1.000000000000000000e+00,9.332919088214585157e-01,6.516606021756191636e-01,9.609564786059628938e-01,6.429691440776750255e-01
