# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,9.872127598808670967e-01,9.558075028251297178e-01,9.792378363858567081e-01,9.101161573669095395e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.913041976525843069e-01,1.000000000000000000e+00,8.941797933576418611e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.760930333511782520e-01,6.326963429261323046e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.556252131063470712e-01,9.759129909873108799e-01,9.554288338333160047e-01
9.872127598808670967e-01,4.705621827193299245e-01,9.562814613246590767e-01,6.437398363703590309e-01,9.729504802457143997e-01,8.518849998036764903e-01,6.571855840160862883e-01,9.442375691092210754e-01,9.201869087350571519e-01,8.833472646095701375e-01,8.698367818394421302e-01,9.639887955949113518e-01,7.566375429548120035e-01,9.417378358049786069e-01,9.608580967214300772e-01,6.832624283756248973e-01,9.907473029365144734e-01,9.243617264783369203e-01,1.000000000000000000e+00,8.631065106286888167e-01
9.558075028251297178e-01,9.562814613246590767e-01,2.220446049250313081e-16,8.636282128091072874e-01,8.595035207823873424e-01,8.345789532371088448e-01,8.576735303472710070e-01,6.812987239629192393e-01,9.655651731994980835e-01,7.445474231006714572e-01,9.422246479990087353e-01,9.263203058156300740e-01,8.632713857234459720e-01,7.450379081439074680e-01,8.126197614457266738e-01,8.234546386813512697e-01,1.000000000000000000e+00,7.691661629256963950e-01,1.000000000000000000e+00,8.357058543405080364e-01
9.792378363858567081e-01,6.437398363703590309e-01,8.636282128091072874e-01,0.000000000000000000e+00,8.691739546541390471e-01,5.695752025155316201e-01,5.075681289633805493e-01,9.389253826504815326e-01,1.000000000000000000e+00,9.079813824120466226e-01,9.289689122551023637e-01,9.267498717410798115e-01,8.877532652881577890e-01,7.835402196124130469e-01,7.145435616575362969e-01,7.028478464937404357e-01,9.904407613718174686e-01,9.860266909479944442e-01,1.000000000000000000e+00,9.015929744766473242e-01
9.101161573669095395e-01,9.729504802457143997e-01,8.595035207823873424e-01,8.691739546541390471e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.681157689074285644e-01,8.732956537196938651e-01,8.596256033683249420e-01,8.062283198428823461e-01,1.000000000000000000e+00,9.384339235558264436e-01,8.772516562523486883e-01,8.751871144729088670e-01,9.404095848418212444e-01,8.586055944744190871e-01,1.000000000000000000e+00,8.567650222804037430e-01,1.000000000000000000e+00,8.088618286087096987e-01
1.000000000000000000e+00,8.518849998036764903e-01,8.345789532371088448e-01,5.695752025155316201e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,6.888187916598264016e-01,2.688282096149982592e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.869829974030189801e-01,1.000000000000000000e+00,7.864368889319446332e-01,7.219566625827213979e-01,9.899350174035822514e-01,1.000000000000000000e+00,8.562555785083564297e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,6.571855840160862883e-01,8.576735303472710070e-01,5.075681289633805493e-01,9.681157689074285644e-01,1.000000000000000000e+00,0.000000000000000000e+00,8.122940300743738407e-01,1.000000000000000000e+00,8.796496502208871471e-01,6.624412434294895125e-01,9.753917241440535069e-01,7.719523424905481157e-01,8.637988597925962964e-01,8.944914759164668272e-01,8.648130269374922907e-01,9.543855056872798670e-01,9.672873648179270978e-01,9.701760509408368094e-01,8.050886118008104830e-01
7.913041976525843069e-01,9.442375691092210754e-01,6.812987239629192393e-01,9.389253826504815326e-01,8.732956537196938651e-01,6.888187916598264016e-01,8.122940300743738407e-01,0.000000000000000000e+00,8.425053443263772479e-01,9.156014986690337309e-01,1.000000000000000000e+00,9.517643717302483042e-01,8.419324667125663852e-01,4.393024885327984075e-01,5.016557196217972248e-01,9.568258568020999721e-01,1.000000000000000000e+00,6.331743215905512034e-01,1.000000000000000000e+00,9.064708613965020145e-01
1.000000000000000000e+00,9.201869087350571519e-01,9.655651731994980835e-01,1.000000000000000000e+00,8.596256033683249420e-01,2.688282096149982592e-01,1.000000000000000000e+00,8.425053443263772479e-01,4.188694745919339102e-01,1.000000000000000000e+00,6.574569300929993254e-01,9.693728723809456049e-01,1.000000000000000000e+00,9.758133415022511858e-01,9.907405042155570385e-01,9.092644733418873138e-01,9.960571522958843182e-01,9.751022252477479224e-01,1.000000000000000000e+00,9.388351737866951208e-01
8.941797933576418611e-01,8.833472646095701375e-01,7.445474231006714572e-01,9.079813824120466226e-01,8.062283198428823461e-01,1.000000000000000000e+00,8.796496502208871471e-01,9.156014986690337309e-01,1.000000000000000000e+00,1.110223024625156540e-16,9.183632045667882160e-01,9.422306060941343375e-01,9.762012203508869668e-01,9.480869270203504673e-01,9.406207241850418344e-01,8.834792733111296315e-01,9.037334327309257676e-01,9.610968559383381571e-01,9.642033887458840713e-01,8.598978052629435709e-01
