# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.941147534410407216e-01,9.768210139218973520e-01,9.238797863235178598e-01,8.360829376996676832e-01,9.088557729654582751e-01,9.243641570334523161e-01,7.118078920385295660e-01,1.000000000000000000e+00,9.508395352292989822e-01,9.439548814354130624e-01,1.112928563249057090e+00,9.565697903140100156e-01,8.810197503013837972e-01,1.000000000000000000e+00,5.750545838094194284e-01,1.000000000000000000e+00,1.056089524510562816e-01,8.534816010551007359e-01,1.000000000000000000e+00
9.941147534410407216e-01,5.000000000000000000e-01,8.669226739048986330e-01,9.880500183692078053e-01,9.993430312635378510e-01,6.769254777186552996e-01,9.922531466282347168e-01,9.757335267721332084e-01,7.400752099282109642e-01,9.848209842578793394e-01,9.903290229187232674e-01,1.222480791273317546e+00,9.116171316548359327e-01,8.042994120990532014e-01,8.718550678664760412e-01,9.029375823058621853e-01,1.000000000000000000e+00,9.900232657780840828e-01,9.696028268390529670e-01,1.000000000000000000e+00
9.768210139218973520e-01,8.669226739048986330e-01,4.923123753655945234e-01,9.555427515411911710e-01,9.722807676713893787e-01,9.275499893149763420e-01,9.481320244727874380e-01,8.891204407642702146e-01,9.689641456408712994e-01,8.680240914926111717e-01,9.624573818881989595e-01,1.090174505038905117e+00,8.449072594085607069e-01,8.680142733150960632e-01,9.226649831554152303e-01,9.567785998740222508e-01,9.510089180656142727e-01,9.719328614429014745e-01,9.278586074331232059e-01,9.798003926091627402e-01
9.238797863235178598e-01,9.880500183692078053e-01,9.555427515411911710e-01,-2.220446049250313081e-16,1.000000000000000000e+00,9.578255932844393916e-01,9.136674666658363142e-01,9.230186009906687916e-01,9.415442393838067137e-01,9.173089314591852395e-01,9.323986971583287930e-01,1.195177340004620170e+00,9.427094636963493368e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.583096503958948853e-01,9.298103932865814381e-01,1.000000000000000000e+00,9.066933277849753559e-01,1.000000000000000000e+00
8.360829376996676832e-01,9.993430312635378510e-01,9.722807676713893787e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.820492973814239912e-01,9.788130824610828951e-01,1.000000000000000000e+00,9.726833773604249833e-01,1.000000000000000000e+00,1.228443111326366965e+00,9.394502436484768459e-01,9.893393087401607389e-01,1.000000000000000000e+00,9.077683390006731079e-01,8.203104274592158962e-01,8.441795600578644310e-01,6.894937124055954270e-01,1.000000000000000000e+00
9.088557729654582751e-01,6.769254777186552996e-01,9.275499893149763420e-01,9.578255932844393916e-01,1.000000000000000000e+00,1.110223024625156540e-16,9.070661054005775270e-01,9.758194419592325364e-01,7.367460892438566500e-01,9.473441183003732391e-01,9.866236161210550915e-01,1.196799440331080877e+00,9.672886282908148559e-01,1.000000000000000000e+00,9.897622491866376881e-01,5.881999039193773759e-01,1.000000000000000000e+00,9.206821576456654110e-01,7.190345380740856829e-01,1.000000000000000000e+00
9.243641570334523161e-01,9.922531466282347168e-01,9.481320244727874380e-01,9.136674666658363142e-01,9.820492973814239912e-01,9.070661054005775270e-01,0.000000000000000000e+00,9.450691610159291933e-01,9.142950551000441628e-01,8.473627837849495581e-01,8.566854053403589742e-01,1.203619969569667880e+00,8.385993202271568858e-01,9.974522162721214391e-01,9.389282579593049016e-01,9.453641324350079422e-01,8.356105986007381636e-01,9.115826297265279266e-01,8.754988735178367287e-01,9.779004960193879992e-01
7.118078920385295660e-01,9.757335267721332084e-01,8.891204407642702146e-01,9.230186009906687916e-01,9.788130824610828951e-01,9.758194419592325364e-01,9.450691610159291933e-01,2.220446049250313081e-16,9.816531096388513289e-01,9.389818464084958016e-01,9.517085441264114820e-01,8.875208372659530998e-01,8.544435328453272582e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.131833487372336133e-01,9.789377040772906380e-01,9.408515698957619078e-01,7.017595811996041322e-01,1.000000000000000000e+00
1.000000000000000000e+00,7.400752099282109642e-01,9.689641456408712994e-01,9.415442393838067137e-01,1.000000000000000000e+00,7.367460892438566500e-01,9.142950551000441628e-01,9.816531096388513289e-01,1.110223024625156540e-16,9.545851279885825269e-01,1.000000000000000000e+00,1.333836141567607436e+00,9.443541684853234974e-01,1.000000000000000000e+00,9.625304871128347317e-01,9.543589252070918683e-01,9.957722771666170924e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.508395352292989822e-01,9.848209842578793394e-01,8.680240914926111717e-01,9.173089314591852395e-01,9.726833773604249833e-01,9.473441183003732391e-01,8.473627837849495581e-01,9.389818464084958016e-01,9.545851279885825269e-01,0.000000000000000000e+00,9.575866624463644783e-01,8.678319214941009330e-01,9.028582432866705254e-01,9.717828309307493528e-01,9.482452878143790009e-01,9.934024430793118032e-01,7.499774584016396517e-01,9.570338460960831073e-01,9.776533302972731931e-01,9.122824634553778900e-01
