# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.019792207069676770e-01,5.237873401475335866e-01,8.270465298748108651e-01,7.166124649701028915e-01,8.340135042253324915e-01,8.556430797499163798e-01,2.558545991638395689e-01,8.671580720382885410e-01,6.708761051875936632e-01,1.000000000000000000e+00,8.719678870787480607e-01,5.564726227978533668e-01,3.146471820329004299e-01,2.546832197631435646e-01,7.052833166311430757e-01,9.348555367632274127e-01,2.124138509485672399e-01,9.656408443903454764e-01,3.298451810610878443e-01
9.019792207069676770e-01,1.110223024625156540e-16,9.460929019679074070e-01,8.525944907376105109e-01,9.493447797034069158e-01,8.990739165455881032e-01,9.461924491164417361e-01,8.919752231982129853e-01,4.668344362725068697e-01,9.213850570209769497e-01,1.000000000000000000e+00,9.053881753523731479e-01,8.411843804308264394e-01,8.839591848354599879e-01,8.996255300164517354e-01,7.498751364613385206e-01,8.859928532104287546e-01,8.921906935614557499e-01,9.477308406562797716e-01,8.664829281056684041e-01
5.237873401475335866e-01,9.460929019679074070e-01,0.000000000000000000e+00,8.119977749051843219e-01,7.911506353155008942e-01,7.099356966085377252e-01,9.673915660005446560e-01,5.907647749707742868e-01,9.266755817959838604e-01,9.077001117709698752e-01,1.000000000000000000e+00,9.107371202905905072e-01,6.135250980673069288e-01,6.984536642254922656e-01,6.723927443940445059e-01,9.466864759964422893e-01,8.873283766129335115e-01,6.205884025652902425e-01,9.323680687245519128e-01,6.513031669277973279e-01
8.270465298748108651e-01,8.525944907376105109e-01,8.119977749051843219e-01,4.631389474135825246e-01,8.087384699238133745e-01,8.673531548821566961e-01,9.605868501644201363e-01,7.688684262474640985e-01,8.231957542122478877e-01,6.113418617719745818e-01,9.701723815496456904e-01,9.194187489164966642e-01,6.124953298421860204e-01,7.440027903658192887e-01,8.141183116225985117e-01,9.625172340701659834e-01,9.043705766564834603e-01,7.328149875686557069e-01,9.646237689349554945e-01,7.852706303089013185e-01
7.166124649701028915e-01,9.493447797034069158e-01,7.911506353155008942e-01,8.087384699238133745e-01,2.220446049250313081e-16,9.406055630590890448e-01,7.517269456337709599e-01,7.769724833644658935e-01,7.961841476963940067e-01,9.358166490731224529e-01,1.000000000000000000e+00,8.651571154689537968e-01,7.942013469832529537e-01,7.531399866668362364e-01,8.033350932003640033e-01,1.000000000000000000e+00,9.732993072082274377e-01,8.673715737217736477e-01,9.715906211273157567e-01,7.236849621669803057e-01
8.340135042253324915e-01,8.990739165455881032e-01,7.099356966085377252e-01,8.673531548821566961e-01,9.406055630590890448e-01,0.000000000000000000e+00,9.515670571664472943e-01,7.548956309789409680e-01,9.528709570553957064e-01,9.148864220089106825e-01,9.461574632210594249e-01,9.532418720633915044e-01,8.698338055655683299e-01,7.209804341328601707e-01,7.176733401386702349e-01,1.000000000000000000e+00,8.508946698927478680e-01,7.224421780210469324e-01,9.180460257690700177e-01,7.468731270671762346e-01
8.556430797499163798e-01,9.461924491164417361e-01,9.673915660005446560e-01,9.605868501644201363e-01,7.517269456337709599e-01,9.515670571664472943e-01,0.000000000000000000e+00,9.307426371122705655e-01,8.169333322130740704e-01,8.265039344952076483e-01,9.093476291045510251e-01,8.791500226108591720e-01,9.006289398441010841e-01,8.860147928004570295e-01,8.888743029350981706e-01,8.446699173044440734e-01,7.858276259433305544e-01,9.330091828883755323e-01,9.906461248078780590e-01,7.506420301291525377e-01
2.558545991638395689e-01,8.919752231982129853e-01,5.907647749707742868e-01,7.688684262474640985e-01,7.769724833644658935e-01,7.548956309789409680e-01,9.307426371122705655e-01,2.220446049250313081e-16,8.711536412745153335e-01,7.258923953872271628e-01,9.703986380083191587e-01,8.693811853333481832e-01,6.295002875104542817e-01,3.236399689625719667e-01,2.890503238759684068e-01,9.670982371095309116e-01,8.051154239361987264e-01,2.345824390292928774e-01,9.420593091294013899e-01,2.989886207300782583e-01
8.671580720382885410e-01,4.668344362725068697e-01,9.266755817959838604e-01,8.231957542122478877e-01,7.961841476963940067e-01,9.528709570553957064e-01,8.169333322130740704e-01,8.711536412745153335e-01,-2.220446049250313081e-16,8.021482979604515062e-01,9.210428143690871927e-01,8.319895473518694740e-01,8.409892961601198591e-01,8.437267819773355271e-01,8.197192192132495281e-01,7.171362057893617692e-01,8.205291085895892733e-01,8.448594649638379028e-01,9.120419220178990205e-01,8.609655363686712359e-01
6.708761051875936632e-01,9.213850570209769497e-01,9.077001117709698752e-01,6.113418617719745818e-01,9.358166490731224529e-01,9.148864220089106825e-01,8.265039344952076483e-01,7.258923953872271628e-01,8.021482979604515062e-01,-2.220446049250313081e-16,9.333934851416811895e-01,8.684891607210099007e-01,8.058073780665759855e-01,7.333801824204566611e-01,7.147775018813109504e-01,9.260517190531474263e-01,7.230720663977694418e-01,7.311965898644423589e-01,9.803037519869991501e-01,7.728746496087451900e-01
