# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,1.101003429036346848e+00,6.604957688796723181e-01,1.010777776614699475e+00,1.081504253661923487e+00,1.056236360803168406e+00,1.084979420967161712e+00,9.465030940571895757e-01,1.101197120389544315e+00,9.779891074519615479e-01,1.278426923330321818e+00,9.719683383401431787e-01,1.039277239067257330e+00,8.638719190593789898e-01,8.909543598881575210e-01,8.902819061373523635e-01,1.302002737846879032e+00,9.669295640019947013e-01,1.126545872903498502e+00,8.520668510860933687e-01
1.101003429036346848e+00,0.000000000000000000e+00,8.816505282002858879e-01,7.817749141037320104e-01,9.789073084655746104e-01,3.796254436472482618e-01,9.685186055934925653e-01,7.429665993577065919e-01,8.702333252744369751e-01,9.467303375023822243e-01,9.268509388905288304e-01,9.931982537018366752e-01,8.374202927187065493e-01,7.576885169309165446e-01,1.000000000000000000e+00,8.740917739799834996e-01,9.838805002605746086e-01,9.605420131153198371e-01,9.689557103425900930e-01,7.972940678086711808e-01
6.604957688796723181e-01,8.816505282002858879e-01,0.000000000000000000e+00,9.264130927558008599e-01,9.633908334705364451e-01,9.691456113695393615e-01,1.000000000000000000e+00,7.592801984777937108e-01,1.000000000000000000e+00,9.513028814430247726e-01,1.000000000000000000e+00,9.393625603251206657e-01,9.851951374232694736e-01,6.897418963630093103e-01,8.502490249115363108e-01,9.114594625002159223e-01,1.000000000000000000e+00,9.642971610471492427e-01,1.000000000000000000e+00,7.758558479012120923e-01
1.010777776614699475e+00,7.817749141037320104e-01,9.264130927558008599e-01,1.110223024625156540e-16,7.143052968249519186e-01,7.771656565863596100e-01,9.780988910031234163e-01,8.490950596650894688e-01,7.973775600077335213e-01,7.882619057738708968e-01,9.852937530431546964e-01,9.594455687675569333e-01,8.215810820958733274e-01,7.204493775241054276e-01,8.843588480289374942e-01,8.865454669865390214e-01,9.643505930975718732e-01,9.008745034617351433e-01,9.563471599124502287e-01,7.548104917855358309e-01
1.081504253661923487e+00,9.789073084655746104e-01,9.633908334705364451e-01,7.143052968249519186e-01,0.000000000000000000e+00,9.886462249034103644e-01,9.132909112561706788e-01,7.306673318725042110e-01,8.676722320284639967e-01,7.506619903320536080e-01,9.786433601967050588e-01,9.508867334990402931e-01,8.358999220280292075e-01,8.751903649003910379e-01,7.825221451217415636e-01,9.480677746205828926e-01,9.544284810706317179e-01,8.585888052761524447e-01,9.459049817947811079e-01,8.893572304228080094e-01
1.056236360803168406e+00,3.796254436472482618e-01,9.691456113695393615e-01,7.771656565863596100e-01,9.886462249034103644e-01,-2.220446049250313081e-16,9.718614696388746532e-01,9.596636247260826869e-01,9.305054255177866995e-01,9.267755284322236609e-01,9.793423387986058826e-01,9.938914729504521040e-01,8.295256182008474699e-01,7.554474967547323283e-01,1.000000000000000000e+00,8.720870084799596800e-01,1.000000000000000000e+00,9.367107055212724465e-01,9.875762390505046229e-01,7.809995251866910237e-01
1.084979420967161712e+00,9.685186055934925653e-01,1.000000000000000000e+00,9.780988910031234163e-01,9.132909112561706788e-01,9.718614696388746532e-01,-2.220446049250313081e-16,9.806840561601536388e-01,9.524233189971852420e-01,8.155813598432923861e-01,8.678177084033141808e-01,8.747194872955786904e-01,1.000000000000000000e+00,7.422742129242546616e-01,9.708575168514809173e-01,1.000000000000000000e+00,8.552848639961803112e-01,1.000000000000000000e+00,7.744025529149334286e-01,7.033963789426718183e-01
9.465030940571895757e-01,7.429665993577065919e-01,7.592801984777937108e-01,8.490950596650894688e-01,7.306673318725042110e-01,9.596636247260826869e-01,9.806840561601536388e-01,0.000000000000000000e+00,9.735073092147197293e-01,6.189683470557051370e-01,8.981143445148044302e-01,5.975520896283620376e-01,8.535441169753458235e-01,9.394469796631673697e-01,6.026075746910921627e-01,1.000000000000000000e+00,9.859030299964887112e-01,8.677065400147125906e-01,9.847159254285597907e-01,4.121154343077242377e-01
1.101197120389544315e+00,8.702333252744369751e-01,1.000000000000000000e+00,7.973775600077335213e-01,8.676722320284639967e-01,9.305054255177866995e-01,9.524233189971852420e-01,9.735073092147197293e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.585303649811163229e-01,9.362131984050725553e-01,9.463160593393060704e-01,8.983176936882332209e-01,9.401763524277131356e-01,9.901315486641356634e-01,9.873590362874891113e-01,9.122039972976287991e-01,9.470615328009142075e-01,9.258658026939635688e-01
9.779891074519615479e-01,9.467303375023822243e-01,9.513028814430247726e-01,7.882619057738708968e-01,7.506619903320536080e-01,9.267755284322236609e-01,8.155813598432923861e-01,6.189683470557051370e-01,1.000000000000000000e+00,3.330669073875469621e-16,9.328002824588300657e-01,8.442303655304838061e-01,8.444967395074536309e-01,9.984235783458986768e-01,7.875850939258028927e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.522204619289598382e-01,7.750671846755895489e-01,9.462649472367747894e-01
