# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.834005810034754935e-01,8.581396446530002997e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.479904041403591997e-01,1.000000000000000000e+00,6.451442495437256230e-01,1.000000000000000000e+00,8.822622978626666335e-01,1.000000000000000000e+00,7.639568571955976939e-01,9.161077202899967631e-01,7.029846478157448786e-01,8.018986300668111689e-01,9.631829230692789956e-01,1.000000000000000000e+00,8.573978907572668007e-01,9.977803952957209344e-01,8.209120534811329417e-01
9.834005810034754935e-01,-2.220446049250313081e-16,8.903460874762890720e-01,9.469989009428819715e-01,8.356434806275421234e-01,3.515161274435398830e-01,9.403578369430087847e-01,6.219588275196775706e-01,9.258566419515230628e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.400899757111064181e-01,9.314742106482900574e-01,9.075107633963879206e-01,8.887077742833285887e-01,1.000000000000000000e+00,9.642026954526973226e-01,9.168897984340457219e-01,7.160860238172539471e-01,9.304442920181404952e-01
8.581396446530002997e-01,8.903460874762890720e-01,4.719909946060434347e-01,9.271818805675808850e-01,8.781761526838218757e-01,8.374453631379366048e-01,8.711205488636355465e-01,8.260875752868890309e-01,9.410753061699638211e-01,9.841403689178289671e-01,9.375694033832944196e-01,8.285913070955606141e-01,8.798182369963422067e-01,7.547066234826261821e-01,6.107674109290448516e-01,9.155268961649021264e-01,8.922321340396091038e-01,7.633334408247338665e-01,9.301547461008726758e-01,6.040509193492793472e-01
1.000000000000000000e+00,9.469989009428819715e-01,9.271818805675808850e-01,0.000000000000000000e+00,9.005696521653652198e-01,7.500412803602488632e-01,9.801319584080011582e-01,8.733345434309706112e-01,6.924404290914202287e-01,9.062146307998508732e-01,9.672368428650004457e-01,9.223958509194395416e-01,7.231242042303623885e-01,9.349097206291724360e-01,8.641021870974611163e-01,9.126452427117696109e-01,9.645127310444014945e-01,9.735403780643887561e-01,9.745782238084269578e-01,8.773392090452324377e-01
1.000000000000000000e+00,8.356434806275421234e-01,8.781761526838218757e-01,9.005696521653652198e-01,1.110223024625156540e-16,8.246561486024310828e-01,7.494381362285144066e-01,7.426116904110854344e-01,9.608365997394061608e-01,9.488726678221521826e-01,1.000000000000000000e+00,8.983985829818602609e-01,9.132908702966906489e-01,8.294712505707320105e-01,9.770674041362752416e-01,8.149421043203033399e-01,1.000000000000000000e+00,9.603914945323415164e-01,1.000000000000000000e+00,9.832391826890607422e-01
8.479904041403591997e-01,3.515161274435398830e-01,8.374453631379366048e-01,7.500412803602488632e-01,8.246561486024310828e-01,2.220446049250313081e-16,9.095965197943729486e-01,8.054952977739796571e-01,9.208627197041534540e-01,9.933619426452741097e-01,1.000000000000000000e+00,6.526256491564648154e-01,9.154537262506050599e-01,8.279193567112319574e-01,9.462939535174416106e-01,9.882143836887719024e-01,1.000000000000000000e+00,7.036475473783936341e-01,1.000000000000000000e+00,9.458117282761224764e-01
1.000000000000000000e+00,9.403578369430087847e-01,8.711205488636355465e-01,9.801319584080011582e-01,7.494381362285144066e-01,9.095965197943729486e-01,1.110223024625156540e-16,9.198228447220966331e-01,9.412576453024259493e-01,9.368421198152766527e-01,4.945481956484311103e-01,9.296583178550783533e-01,9.620114524599641115e-01,8.693790040591126145e-01,7.157720994575634821e-01,9.654402578918037658e-01,4.587756424260113208e-01,8.737509801867280324e-01,5.775670446878657938e-01,7.587795926755083187e-01
6.451442495437256230e-01,6.219588275196775706e-01,8.260875752868890309e-01,8.733345434309706112e-01,7.426116904110854344e-01,8.054952977739796571e-01,9.198228447220966331e-01,0.000000000000000000e+00,9.741212896376316710e-01,9.232019778818562061e-01,1.000000000000000000e+00,7.240976103648500972e-01,8.697862420172468578e-01,6.957159008141238221e-01,8.771707122949709001e-01,7.773363525502547944e-01,9.957693313761010190e-01,7.356476848332356155e-01,9.595917495819782372e-01,8.579696524370277189e-01
1.000000000000000000e+00,9.258566419515230628e-01,9.410753061699638211e-01,6.924404290914202287e-01,9.608365997394061608e-01,9.208627197041534540e-01,9.412576453024259493e-01,9.741212896376316710e-01,4.885950005815977715e-01,9.745378765139838251e-01,9.109227494762690558e-01,9.648274085707669867e-01,9.294985713403944860e-01,9.361574868307301900e-01,9.456452141583018278e-01,9.857337425682102250e-01,9.602553070494279641e-01,8.033145851128564718e-01,9.626005495737564033e-01,9.612305408799750595e-01
8.822622978626666335e-01,1.000000000000000000e+00,9.841403689178289671e-01,9.062146307998508732e-01,9.488726678221521826e-01,9.933619426452741097e-01,9.368421198152766527e-01,9.232019778818562061e-01,9.745378765139838251e-01,0.000000000000000000e+00,8.911359804876728408e-01,9.308010899812635408e-01,9.377284206065287231e-01,8.429480294275649710e-01,9.073584177924298722e-01,9.996505302835133611e-01,9.119890411321444068e-01,8.471833004962148195e-01,8.331153905879262744e-01,9.024248787945028383e-01
1.000000000000000000e+00,1.000000000000000000e+00,9.375694033832944196e-01,9.672368428650004457e-01,1.000000000000000000e+00,1.000000000000000000e+00,4.945481956484311103e-01,1.000000000000000000e+00,9.109227494762690558e-01,8.911359804876728408e-01,0.000000000000000000e+00,9.765761292036096997e-01,9.784784841643657805e-01,8.498642674449319312e-01,7.522769149250636556e-01,9.380316885444114350e-01,3.349288220083624923e-01,8.163001497206343604e-01,6.324957424712838172e-01,6.999914278624244091e-01
7.639568571955976939e-01,9.400899757111064181e-01,8.285913070955606141e-01,9.223958509194395416e-01,8.983985829818602609e-01,6.526256491564648154e-01,9.296583178550783533e-01,7.240976103648500972e-01,9.648274085707670977e-01,9.308010899812635408e-01,9.765761292036096997e-01,3.671609608331013463e-01,8.496031277069198140e-01,8.173306057639313504e-01,8.491184373015128184e-01,8.238629468632803210e-01,1.000000000000000000e+00,9.405049707008004134e-01,1.000000000000000000e+00,8.601968687906793587e-01
9.161077202899967631e-01,9.314742106482900574e-01,8.798182369963422067e-01,7.231242042303623885e-01,9.132908702966906489e-01,9.154537262506050599e-01,9.620114524599641115e-01,8.697862420172468578e-01,9.294985713403944860e-01,9.377284206065287231e-01,9.784784841643657805e-01,8.496031277069198140e-01,0.000000000000000000e+00,8.849682295164226220e-01,7.995758085202618881e-01,8.905347327468744467e-01,9.977804450794954816e-01,8.707922212812782004e-01,9.996718753693408788e-01,8.552661912433374702e-01
7.029846478157448786e-01,9.075107633963879206e-01,7.547066234826261821e-01,9.349097206291724360e-01,8.294712505707320105e-01,8.279193567112319574e-01,8.693790040591126145e-01,6.957159008141238221e-01,9.361574868307300790e-01,8.429480294275649710e-01,8.498642674449319312e-01,8.173306057639313504e-01,8.849682295164226220e-01,4.271210686462959538e-01,5.365859301757149868e-01,7.680793235724994172e-01,8.655478406651202494e-01,9.458455290296272633e-01,8.116881192991980409e-01,5.187499071336648671e-01
8.018986300668111689e-01,8.887077742833285887e-01,6.107674109290448516e-01,8.641021870974611163e-01,9.770674041362752416e-01,9.462939535174416106e-01,7.157720994575634821e-01,8.771707122949709001e-01,9.456452141583018278e-01,9.073584177924298722e-01,7.522769149250636556e-01,8.491184373015128184e-01,7.995758085202618881e-01,5.365859301757149868e-01,3.330669073875469621e-16,9.289270374591018786e-01,8.087042095383618623e-01,8.553088543579356884e-01,7.408708494566190739e-01,2.035149714201512916e-01
9.631829230692789956e-01,1.000000000000000000e+00,9.155268961649021264e-01,9.126452427117696109e-01,8.149421043203033399e-01,9.882143836887719024e-01,9.654402578918037658e-01,7.773363525502547944e-01,9.857337425682102250e-01,9.996505302835133611e-01,9.380316885444114350e-01,8.238629468632803210e-01,8.905347327468744467e-01,7.680793235724994172e-01,9.289270374591018786e-01,0.000000000000000000e+00,9.324509320980526317e-01,8.836830272787936646e-01,9.273143706590608604e-01,9.903296568810164846e-01
1.000000000000000000e+00,9.642026954526973226e-01,8.922321340396091038e-01,9.645127310444014945e-01,1.000000000000000000e+00,1.000000000000000000e+00,4.587756424260113208e-01,9.957693313761010190e-01,9.602553070494279641e-01,9.119890411321444068e-01,3.349288220083624923e-01,1.000000000000000000e+00,9.977804450794954816e-01,8.655478406651202494e-01,8.087042095383618623e-01,9.324509320980526317e-01,2.220446049250313081e-16,8.407175439401678441e-01,5.473465914358222051e-01,8.464117757811132625e-01
8.573978907572668007e-01,9.168897984340457219e-01,7.633334408247338665e-01,9.735403780643887561e-01,9.603914945323415164e-01,7.036475473783936341e-01,8.737509801867280324e-01,7.356476848332356155e-01,8.033145851128564718e-01,8.471833004962148195e-01,8.163001497206343604e-01,9.405049707008004134e-01,8.707922212812782004e-01,9.458455290296272633e-01,8.553088543579356884e-01,8.836830272787936646e-01,8.407175439401678441e-01,0.000000000000000000e+00,9.534207786172341770e-01,8.718241521680936135e-01
9.977803952957209344e-01,7.160860238172539471e-01,9.301547461008726758e-01,9.745782238084269578e-01,1.000000000000000000e+00,1.000000000000000000e+00,5.775670446878657938e-01,9.595917495819782372e-01,9.626005495737564033e-01,8.331153905879262744e-01,6.324957424712838172e-01,1.000000000000000000e+00,9.996718753693408788e-01,8.116881192991980409e-01,7.408708494566190739e-01,9.273143706590608604e-01,5.473465914358222051e-01,9.534207786172341770e-01,2.220446049250313081e-16,9.199629353572099655e-01
8.209120534811329417e-01,9.304442920181404952e-01,6.040509193492793472e-01,8.773392090452324377e-01,9.832391826890607422e-01,9.458117282761224764e-01,7.587795926755083187e-01,8.579696524370277189e-01,9.612305408799750595e-01,9.024248787945028383e-01,6.999914278624244091e-01,8.601968687906793587e-01,8.552661912433374702e-01,5.187499071336648671e-01,2.035149714201512916e-01,9.903296568810164846e-01,8.464117757811132625e-01,8.718241521680936135e-01,9.199629353572099655e-01,0.000000000000000000e+00
