# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,9.596455962456253985e-01,8.666094128014892872e-01,1.000000000000000000e+00,8.902137994912566743e-01,9.927621831079116443e-01,9.042145348862604681e-01,3.344405681032022182e-01,1.000000000000000000e+00,8.762827828596836399e-01,1.000000000000000000e+00,8.612663102164591633e-01,1.000000000000000000e+00,4.271278465659784640e-01,8.996954419861802332e-02,1.000000000000000000e+00,1.000000000000000000e+00,4.087782094138490141e-01,9.671271938549637071e-01,9.249691048365360491e-02
9.596455962456253985e-01,-2.220446049250313081e-16,9.782285776815458078e-01,1.000000000000000000e+00,9.440614254240907721e-01,6.709691231373051679e-01,1.000000000000000000e+00,9.481708674291878802e-01,6.374718227716522634e-01,8.323726777386379894e-01,9.765140900261516377e-01,9.234237367605777624e-01,9.366481266898204483e-01,9.291725704294850896e-01,1.000000000000000000e+00,9.190226934742073972e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
8.666094128014892872e-01,9.782285776815458078e-01,5.183669967124460154e-01,8.601892685231907754e-01,9.359866486386573259e-01,9.848805169908197987e-01,9.530645242281837737e-01,7.600783262925547845e-01,9.144794306102772552e-01,9.560539642220252654e-01,9.698947260696874073e-01,9.315340166531704824e-01,9.564091865565410577e-01,6.689747795049886259e-01,6.971434225076075242e-01,5.763827072954346153e-01,1.000000000000000000e+00,9.359777418364264578e-01,9.051581493284576174e-01,8.484599090874170857e-01
1.000000000000000000e+00,1.000000000000000000e+00,8.601892685231907754e-01,3.165321431553306253e-01,9.634117775323185473e-01,1.000000000000000000e+00,9.243826584136585200e-01,9.933405047894762196e-01,1.000000000000000000e+00,9.839001578067033682e-01,9.942657576918293438e-01,8.477238424346127399e-01,7.244695307996313893e-01,9.689239306528540929e-01,9.923439358831698254e-01,8.098667996008821479e-01,9.690010800945512148e-01,9.355189261410480350e-01,8.019478960752832730e-01,1.000000000000000000e+00
8.902137994912566743e-01,9.440614254240907721e-01,9.359866486386573259e-01,9.634117775323185473e-01,0.000000000000000000e+00,9.407230633944571041e-01,8.711188210212004179e-01,9.082855393443470815e-01,9.503984643923233389e-01,9.679216168604096726e-01,1.000000000000000000e+00,7.434964134597337182e-01,9.501747565106599680e-01,9.131482533120565126e-01,8.654036920760672658e-01,1.000000000000000000e+00,9.774032822240266150e-01,8.546847642412712664e-01,9.790193970566087867e-01,8.535097477987050318e-01
9.927621831079116443e-01,6.709691231373051679e-01,9.848805169908197987e-01,1.000000000000000000e+00,9.407230633944571041e-01,1.372593816588630611e-01,9.463527662157888987e-01,8.827777796101063945e-01,2.732851506826947663e-01,9.468924267007741147e-01,9.948362379949258205e-01,9.449364822634347405e-01,1.000000000000000000e+00,8.787626500825316267e-01,9.762025645498206838e-01,9.717313382287797729e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.702847872139015450e-01
9.042145348862604681e-01,1.000000000000000000e+00,9.530645242281837737e-01,9.243826584136585200e-01,8.711188210212004179e-01,9.463527662157888987e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.690033367755435112e-01,8.553032964059505971e-01,8.132612295943620895e-01,9.542359124924782998e-01,9.640761754426013797e-01,9.480487741717701367e-01,9.822160230823401283e-01,9.146619494831969011e-01,1.000000000000000000e+00,9.155965669732663015e-01,1.000000000000000000e+00
3.344405681032022182e-01,9.481708674291878802e-01,7.600783262925547845e-01,9.933405047894762196e-01,9.082855393443470815e-01,8.827777796101063945e-01,1.000000000000000000e+00,2.220446049250313081e-16,9.401055786102398004e-01,8.912742145153371709e-01,1.000000000000000000e+00,9.390470699839241764e-01,1.000000000000000000e+00,5.846832296712047849e-01,4.888369481380236969e-01,1.000000000000000000e+00,1.000000000000000000e+00,6.982881746177063143e-01,1.000000000000000000e+00,5.038358170004371139e-01
1.000000000000000000e+00,6.374718227716522634e-01,9.144794306102772552e-01,1.000000000000000000e+00,9.503984643923233389e-01,2.732851506826947663e-01,1.000000000000000000e+00,9.401055786102398004e-01,-2.220446049250313081e-16,9.127700176497126616e-01,8.353606476140020831e-01,9.100272341150902333e-01,9.775702112301966062e-01,1.000000000000000000e+00,9.273488500356870112e-01,9.454066249846041492e-01,9.663433857325191001e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
8.762827828596836399e-01,8.323726777386379894e-01,9.560539642220252654e-01,9.839001578067033682e-01,9.679216168604096726e-01,9.468924267007741147e-01,9.690033367755435112e-01,8.912742145153371709e-01,9.127700176497126616e-01,-2.220446049250313081e-16,1.000000000000000000e+00,9.418656347592244682e-01,9.693789136213104563e-01,8.834222029990971281e-01,8.619857199768589107e-01,9.083350890082253493e-01,9.892236295365899323e-01,8.664476110968278855e-01,9.726665302595238760e-01,8.625328856194515170e-01
1.000000000000000000e+00,9.765140900261516377e-01,9.698947260696874073e-01,9.942657576918293438e-01,1.000000000000000000e+00,9.948362379949258205e-01,8.553032964059505971e-01,1.000000000000000000e+00,8.353606476140020831e-01,1.000000000000000000e+00,-2.220446049250313081e-16,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.722009121803416587e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.264146173992358069e-01,1.000000000000000000e+00
8.612663102164591633e-01,9.234237367605777624e-01,9.315340166531704824e-01,8.477238424346127399e-01,7.434964134597337182e-01,9.449364822634347405e-01,8.132612295943620895e-01,9.390470699839241764e-01,9.100272341150902333e-01,9.418656347592244682e-01,1.000000000000000000e+00,2.220446049250313081e-16,7.367726538965018168e-01,8.740564042901779462e-01,8.435122215194186257e-01,8.329913046826322720e-01,9.447829888857357528e-01,8.929748497110592265e-01,9.790753194338129850e-01,8.528292470525283830e-01
1.000000000000000000e+00,9.366481266898204483e-01,9.564091865565410577e-01,7.244695307996313893e-01,9.501747565106599680e-01,1.000000000000000000e+00,9.542359124924782998e-01,1.000000000000000000e+00,9.775702112301966062e-01,9.693789136213104563e-01,1.000000000000000000e+00,7.367726538965018168e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.548130730011601397e-01,9.472952875758610114e-01,8.416814612217931035e-01,1.000000000000000000e+00
4.271278465659784640e-01,9.291725704294850896e-01,6.689747795049886259e-01,9.689239306528540929e-01,9.131482533120565126e-01,8.787626500825316267e-01,9.640761754426013797e-01,5.846832296712047849e-01,1.000000000000000000e+00,8.834222029990971281e-01,1.000000000000000000e+00,8.740564042901779462e-01,1.000000000000000000e+00,1.110223024625156540e-16,4.464629114488311012e-01,9.264244535766505972e-01,1.000000000000000000e+00,6.795894157622689447e-01,9.295106022774577426e-01,4.021529829090131347e-01
8.996954419861802332e-02,1.000000000000000000e+00,6.971434225076075242e-01,9.923439358831698254e-01,8.654036920760672658e-01,9.762025645498206838e-01,9.480487741717701367e-01,4.888369481380236969e-01,9.273488500356870112e-01,8.619857199768589107e-01,1.000000000000000000e+00,8.435122215194186257e-01,1.000000000000000000e+00,4.464629114488311012e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.529335519477508232e-01,1.000000000000000000e+00,2.342694659545521141e-01
