# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,9.651109382339778664e-01,7.375357490484681922e-01,9.405243634140678655e-01,7.399545140677604715e-01,7.749088635906553613e-01,1.000000000000000000e+00,5.348983016090050890e-01,7.312746744968439128e-01,9.533947855277539185e-01,9.692114999236833839e-01,9.271008589136180422e-01,9.173631500188742516e-01,6.379768438095345662e-01,3.236493536134806837e-01,9.560035997436910904e-01,1.000000000000000000e+00,3.096895435422212239e-01,9.120693014419385403e-01,9.129158171987179493e-01
9.651109382339778664e-01,0.000000000000000000e+00,9.922473860650954380e-01,1.000000000000000000e+00,7.677417705820248628e-01,3.254729532751504673e-01,1.000000000000000000e+00,9.863117184025160800e-01,4.432015989916574528e-01,9.123369610948686148e-01,1.000000000000000000e+00,8.297870802705351601e-01,1.000000000000000000e+00,9.847036528353975138e-01,8.689697855788566239e-01,8.867696738414313495e-01,1.000000000000000000e+00,8.659767025132028007e-01,9.578732674544947479e-01,1.000000000000000000e+00
7.375357490484681922e-01,9.922473860650954380e-01,0.000000000000000000e+00,8.777836067224700223e-01,6.738851980784845708e-01,7.341773988579268773e-01,7.718497465027687188e-01,6.545756369588877632e-01,8.227309069962027710e-01,9.817242338642812038e-01,8.978658022435834773e-01,9.408437016657216212e-01,8.783771190629171555e-01,5.067631294243588602e-01,7.016177186630010443e-01,9.468220379866398861e-01,8.180023263037767833e-01,8.584092433420693613e-01,6.948084781369557872e-01,7.703706794629493482e-01
9.405243634140678655e-01,1.000000000000000000e+00,8.777836067224700223e-01,2.220446049250313081e-16,9.813830338527854691e-01,9.575704508172153684e-01,9.897538200992348489e-01,9.483700304417559401e-01,9.750522528009831769e-01,1.000000000000000000e+00,9.793525869632898617e-01,8.253541160878112848e-01,8.818573737504951104e-01,9.598566426109954586e-01,9.551116958101679710e-01,9.694988984904280294e-01,9.256045727312354199e-01,9.330168184455885916e-01,8.858582841674005337e-01,9.611951583196849391e-01
7.399545140677604715e-01,7.677417705820248628e-01,6.738851980784845708e-01,9.813830338527854691e-01,0.000000000000000000e+00,7.658255709958899926e-01,1.000000000000000000e+00,7.278614047347238269e-01,8.905339138568458823e-01,1.000000000000000000e+00,8.858148285600984106e-01,9.231883969321224015e-01,9.444720055518022184e-01,8.769858540661626956e-01,7.337141725150411187e-01,8.796086513960300612e-01,9.689410760373657894e-01,8.241196659490857002e-01,9.474585404966738844e-01,1.000000000000000000e+00
7.749088635906553613e-01,3.254729532751504673e-01,7.341773988579268773e-01,9.575704508172153684e-01,7.658255709958899926e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.089177966288244370e-01,5.152328168400865938e-02,8.359497402330481330e-01,1.000000000000000000e+00,6.818574057027895208e-01,1.000000000000000000e+00,7.431757179886500086e-01,7.704170381921413568e-01,8.875173095739170570e-01,1.000000000000000000e+00,6.695109946704238535e-01,8.880531161585072386e-01,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,7.718497465027687188e-01,9.897538200992348489e-01,1.000000000000000000e+00,1.000000000000000000e+00,2.220446049250313081e-16,9.913506584040105984e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.550216663783358539e-01,9.566009975306863922e-01,1.000000000000000000e+00,9.573568130666638698e-01,9.998803520556038826e-01,9.828301999273649781e-01,8.933265804242315200e-01,1.000000000000000000e+00,8.727000323575511143e-01,1.000000000000000000e+00
5.348983016090050890e-01,9.863117184025160800e-01,6.545756369588877632e-01,9.483700304417559401e-01,7.278614047347238269e-01,9.089177966288244370e-01,9.913506584040105984e-01,0.000000000000000000e+00,9.528859514812266784e-01,9.902150446050188570e-01,9.339279571974743455e-01,8.990723971127034808e-01,8.974538162207543746e-01,6.813465545482921826e-01,6.693371931029031829e-01,9.994481895321878362e-01,7.906369005379869641e-01,6.701330173703403670e-01,8.223442790951227543e-01,8.125470037766940878e-01
7.312746744968439128e-01,4.432015989916574528e-01,8.227309069962027710e-01,9.750522528009831769e-01,8.905339138568458823e-01,5.152328168400865938e-02,1.000000000000000000e+00,9.528859514812266784e-01,1.110223024625156540e-16,9.906422161100568724e-01,1.000000000000000000e+00,9.375971118427506301e-01,1.000000000000000000e+00,9.543730400353214183e-01,7.814019504061622268e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.161728952960357830e-01,7.971944568628019923e-01,1.000000000000000000e+00
9.533947855277539185e-01,9.123369610948686148e-01,9.817242338642812038e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.359497402330481330e-01,1.000000000000000000e+00,9.902150446050188570e-01,9.906422161100568724e-01,2.220446049250313081e-16,9.837195860486626087e-01,9.797338698942918978e-01,9.693089128146378242e-01,9.770963521340823021e-01,1.000000000000000000e+00,9.835617889195960029e-01,9.762606971457529204e-01,1.000000000000000000e+00,9.483703168891365332e-01,1.000000000000000000e+00
