# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,9.211099876809027975e-01,7.542253739599527051e-01,9.868721589721285437e-01,7.336628128019981876e-01,1.000000000000000000e+00,9.721755878018453201e-01,1.728557507402677107e-01,8.832601395580562675e-01,1.000000000000000000e+00,9.536998286576156003e-01,8.813690571456508360e-01,1.000000000000000000e+00,3.618632081524885136e-01,2.500734935211107457e-01,9.376630250482950180e-01,9.362588017987526490e-01,1.107542994006148751e-01,8.839454642962256692e-01,4.044152049116932490e-01
9.211099876809027975e-01,2.220446049250313081e-16,1.000000000000000000e+00,9.624652174308472308e-01,9.345112854085591003e-01,2.718644501677556224e-01,1.000000000000000000e+00,9.532738468922806740e-01,3.912031228652212977e-01,9.950207169817570918e-01,9.903299748915986855e-01,8.880325567131432951e-01,9.519364238187053573e-01,9.842097682981298945e-01,9.557969723879305990e-01,1.000000000000000000e+00,9.480877452269093064e-01,1.000000000000000000e+00,9.386572474458412252e-01,9.653400855488003529e-01
7.542253739599527051e-01,1.000000000000000000e+00,-2.220446049250313081e-16,1.000000000000000000e+00,9.759062672317193599e-01,9.777126267176099450e-01,9.464411434564313774e-01,7.265020722317203639e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.293644894973768222e-01,9.179955743276337898e-01,1.000000000000000000e+00,7.901043539549799100e-01,7.981632711932660218e-01,8.439855902932337228e-01,9.278151630249629189e-01,7.416094410091467193e-01,9.180524786399917314e-01,8.186089965966822923e-01
9.868721589721285437e-01,9.624652174308472308e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.948181101108384272e-01,8.726789152873749567e-01,9.262005815277991605e-01,1.000000000000000000e+00,9.738894550839684028e-01,1.000000000000000000e+00,9.758577060799746850e-01,9.641409576746511334e-01,7.097306268307921329e-01,1.000000000000000000e+00,8.712030264626035025e-01,1.000000000000000000e+00,9.846434671199703059e-01,1.000000000000000000e+00,9.615019206416328679e-01,1.000000000000000000e+00
7.336628128019981876e-01,9.345112854085591003e-01,9.759062672317193599e-01,9.948181101108384272e-01,1.110223024625156540e-16,8.651036869270001262e-01,9.684835942592523450e-01,9.100271481613979585e-01,9.585968259848097750e-01,1.000000000000000000e+00,9.495267519215796481e-01,8.909277659813097383e-01,9.799648928445496843e-01,8.954791046550575340e-01,8.159061571208681141e-01,9.575840925327012698e-01,9.701871108208911521e-01,7.693654263535147919e-01,9.785106957077850387e-01,7.937522684756342928e-01
1.000000000000000000e+00,2.718644501677556224e-01,9.777126267176099450e-01,8.726789152873749567e-01,8.651036869270001262e-01,1.110223024625156540e-16,9.444875590420276357e-01,9.417176241188984775e-01,3.478002057252949086e-01,1.000000000000000000e+00,9.429338792270143266e-01,9.405664136658300478e-01,8.642283745848531318e-01,1.000000000000000000e+00,9.690921571149690994e-01,9.219466797365610811e-01,9.291098940420647878e-01,9.520523083118090923e-01,9.369749816454888691e-01,1.000000000000000000e+00
9.721755878018453201e-01,1.000000000000000000e+00,9.464411434564313774e-01,9.262005815277991605e-01,9.684835942592523450e-01,9.444875590420276357e-01,0.000000000000000000e+00,9.736036972340751383e-01,9.928443508636717318e-01,9.348570475020783199e-01,7.207936584001771729e-01,9.315729900016229692e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.562538506444384634e-01,9.047544574300053766e-01,9.227702406085973585e-01,9.649225640101308787e-01,9.279245386597902989e-01,9.553117190732864916e-01
1.728557507402677107e-01,9.532738468922806740e-01,7.265020722317203639e-01,1.000000000000000000e+00,9.100271481613979585e-01,9.417176241188984775e-01,9.736036972340751383e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.179424150062486243e-01,9.235778252353393780e-01,1.000000000000000000e+00,3.435263829184976858e-01,2.501644406306685608e-01,9.605939028992699358e-01,9.408012135088956729e-01,2.151905977964628791e-01,9.154782306322747365e-01,3.525507410796029362e-01
8.832601395580562675e-01,3.912031228652212977e-01,1.000000000000000000e+00,9.738894550839684028e-01,9.585968259848097750e-01,3.478002057252949086e-01,9.928443508636717318e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.394428324656156626e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.126216264024263891e-01,9.438981874914558201e-01,9.421021161640636965e-01,1.000000000000000000e+00,9.887957977816927979e-01,9.192998141143843283e-01,9.927562461763995705e-01,9.693037859490211128e-01
1.000000000000000000e+00,9.950207169817570918e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.348570475020783199e-01,1.000000000000000000e+00,9.394428324656156626e-01,2.220446049250313081e-16,8.931442946915086889e-01,9.014557539400340769e-01,9.863385260311339220e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.849092486013018011e-01,9.607139567042115580e-01,9.927083430752865478e-01,1.000000000000000000e+00
