# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,8.643724021454226580e-01,9.384243605736617422e-01,9.206889945003225995e-01,9.174282873299826058e-01,8.876020461772287096e-01,8.513162804178956433e-01,6.170647737285576140e-01,9.474615143297053788e-01,9.637180632845875339e-01,1.000000000000000000e+00,1.108175947918511817e+00,8.392702357394578039e-01,7.616410606074881517e-01,9.911884416299712175e-01,9.716699949839985306e-01,1.000000000000000000e+00,5.640141219556487062e-01,7.853816308615371167e-01,9.116362851220662922e-01
8.643724021454226580e-01,0.000000000000000000e+00,9.704963904326150415e-01,1.000000000000000000e+00,9.985840307447769737e-01,9.415516334153144484e-01,9.641709765790078546e-01,8.684814966019186455e-01,9.465658512776429223e-01,9.933298303164863619e-01,1.000000000000000000e+00,1.213099433585964837e+00,9.081060075420541722e-01,9.930901470442369261e-01,9.756888423021179424e-01,9.957696163052068838e-01,1.000000000000000000e+00,7.778662176438309039e-01,9.742675992047468148e-01,9.380782334484256690e-01
9.384243605736617422e-01,9.704963904326150415e-01,3.324371316485257299e-01,9.125575251763158313e-01,8.722428215352433511e-01,9.513192464614981247e-01,9.312939572386208509e-01,8.296771183244239234e-01,9.462119402738817797e-01,9.850510902736059338e-01,8.967642094750700732e-01,1.240161285068247743e+00,8.243581283763586898e-01,8.034423846551095316e-01,8.341527741542911212e-01,8.146762497774064915e-01,1.000000000000000000e+00,9.539073015699083280e-01,8.832816194639871998e-01,9.085902022024826552e-01
9.206889945003225995e-01,1.000000000000000000e+00,9.125575251763158313e-01,2.220446049250313081e-16,1.000000000000000000e+00,9.314748343592541557e-01,8.625182569744408445e-01,9.586668010307402010e-01,9.429039351595884799e-01,9.747658650105281986e-01,1.000000000000000000e+00,1.090327450854575719e+00,7.814688981940570711e-01,1.000000000000000000e+00,9.586761941559807099e-01,6.116479481073160418e-01,8.647909994206972595e-01,9.835028905806206811e-01,7.974192132305804037e-01,8.559295703557177060e-01
9.174282873299826058e-01,9.985840307447769737e-01,8.722428215352433511e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.553580117230865421e-01,8.360285551615633803e-01,9.098982865131111097e-01,8.997178607395661665e-01,9.682926743256961011e-01,1.000000000000000000e+00,1.179897170983156052e+00,8.620751257146771485e-01,9.511540390806615397e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.855652238011987087e-01,9.050039962921971881e-01,8.273796560543380529e-01,7.573423801904493047e-01
8.876020461772287096e-01,9.415516334153144484e-01,9.513192464614981247e-01,9.314748343592541557e-01,9.553580117230865421e-01,1.110223024625156540e-16,9.713613750156506743e-01,1.000000000000000000e+00,9.315775104294132802e-01,9.602611942059687822e-01,1.000000000000000000e+00,1.149628872546996750e+00,9.110339683051946746e-01,1.000000000000000000e+00,9.573324790969848230e-01,9.279216999028920831e-01,1.000000000000000000e+00,8.513031618775848131e-01,9.274165081426234414e-01,9.412524528101494647e-01
8.513162804178956433e-01,9.641709765790078546e-01,9.312939572386208509e-01,8.625182569744408445e-01,8.360285551615633803e-01,9.713613750156506743e-01,2.220446049250313081e-16,8.246423303198078258e-01,9.871141707097825790e-01,9.810667937910815262e-01,1.000000000000000000e+00,9.664839091507242408e-01,7.410331364609378246e-01,9.132111236811860655e-01,8.836738909845804901e-01,8.550571817393206597e-01,8.982328575381252067e-01,9.258614795349259241e-01,8.614556537182366247e-01,8.891839036663070628e-01
6.170647737285576140e-01,8.684814966019186455e-01,8.296771183244239234e-01,9.586668010307402010e-01,9.098982865131111097e-01,1.000000000000000000e+00,8.246423303198078258e-01,1.110223024625156540e-16,9.774094273178164372e-01,8.174708411817267484e-01,1.000000000000000000e+00,1.236562614292891826e+00,9.042233616995051237e-01,7.825243332651320438e-01,9.596502862562881209e-01,1.000000000000000000e+00,9.007450668809044991e-01,7.604884617827463167e-01,8.251328389192668089e-01,6.251474916413484184e-01
9.474615143297053788e-01,9.465658512776429223e-01,9.462119402738818907e-01,9.429039351595884799e-01,8.997178607395661665e-01,9.315775104294132802e-01,9.871141707097825790e-01,9.774094273178164372e-01,5.000000000000000000e-01,8.582960843783635774e-01,1.000000000000000000e+00,1.133034571468992446e+00,9.929598303000386483e-01,8.787206654345527390e-01,8.883911649493692053e-01,9.379631354286162015e-01,9.575532400266983935e-01,9.142218529012358097e-01,9.518979478836562258e-01,9.943982656416147092e-01
9.637180632845875339e-01,9.933298303164863619e-01,9.850510902736059338e-01,9.747658650105281986e-01,9.682926743256961011e-01,9.602611942059687822e-01,9.810667937910815262e-01,8.174708411817267484e-01,8.582960843783635774e-01,1.110223024625156540e-16,9.769008463423626276e-01,1.150476672918502974e+00,9.337265113129289418e-01,8.514973437333935857e-01,8.346388226660935716e-01,9.461761067034636374e-01,9.518759980784740060e-01,9.739854934193018510e-01,9.706224603954185515e-01,7.294312122009025678e-01
