# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
5.000000000000000000e-01,9.065012133312436715e-01,7.550933730639874941e-01,9.374478053347025108e-01,9.628875141346074917e-01,9.631471520025920441e-01,8.705773096928184351e-01,8.974865318672390346e-01,9.903071166657406721e-01,9.566919481753306531e-01,9.393401721779279789e-01,9.862596615319901838e-01,9.551544177576589689e-01,9.605981827609559875e-01,9.369453211379538127e-01,8.456820464208422150e-01,1.000000000000000000e+00,7.672736856954948115e-01,9.040556369351416821e-01,9.645967573398355199e-01
9.065012133312436715e-01,0.000000000000000000e+00,8.721624566483781038e-01,9.454941281964239774e-01,9.867647151924904270e-01,9.555354548717410745e-01,9.856066352911354578e-01,9.648870032215769443e-01,7.507211611649318161e-01,1.000000000000000000e+00,9.768927732798012853e-01,9.405899462352826923e-01,9.476672717659933021e-01,9.191662154068290791e-01,8.903019374865734914e-01,9.635933039966670943e-01,9.744634997301359070e-01,9.345156449950895450e-01,9.882896288054674461e-01,9.747863360980589809e-01
7.550933730639874941e-01,8.721624566483781038e-01,0.000000000000000000e+00,9.801062975161898283e-01,9.466787072367022216e-01,1.000000000000000000e+00,8.887695003692651641e-01,1.000000000000000000e+00,7.791803222402411411e-01,9.024498468868902279e-01,8.437034747173468574e-01,9.247169891874756908e-01,1.000000000000000000e+00,9.377966897931599988e-01,8.783611042471549668e-01,1.000000000000000000e+00,1.000000000000000000e+00,6.888313239555525769e-01,9.199914980700832912e-01,9.630878885616803720e-01
9.374478053347023998e-01,9.454941281964239774e-01,9.801062975161898283e-01,2.981677086386024245e-01,9.711014100293930973e-01,9.699425793138226615e-01,8.955720701027871655e-01,9.603612098548544029e-01,9.384474201315305963e-01,9.492658712329689052e-01,8.760698920566463155e-01,8.383534268623746843e-01,7.792843777151944318e-01,9.990884614036094069e-01,9.422822724417662110e-01,9.658432608967101318e-01,9.596497476143400762e-01,8.645426638747393255e-01,8.811397833351959363e-01,1.000000000000000000e+00
9.628875141346074917e-01,9.867647151924904270e-01,9.466787072367022216e-01,9.711014100293930973e-01,1.110223024625156540e-16,9.986467440766080284e-01,8.112513092220079436e-01,9.335067561914969225e-01,9.820520506743861677e-01,7.993675200540888426e-01,9.776185460975884700e-01,9.940834179987326769e-01,9.887749853485261475e-01,9.343173041132910583e-01,9.127141944279437702e-01,9.581577326123633664e-01,1.000000000000000000e+00,9.443978530235833668e-01,7.756687088656255558e-01,9.877848348229191222e-01
9.631471520025920441e-01,9.555354548717410745e-01,1.000000000000000000e+00,9.699425793138226615e-01,9.986467440766080284e-01,1.110223024625156540e-16,9.801709262645644793e-01,8.151771217809649084e-01,1.000000000000000000e+00,9.875543523317008576e-01,1.000000000000000000e+00,8.947214002885442996e-01,9.532396317939167973e-01,1.000000000000000000e+00,9.521635093257609928e-01,1.000000000000000000e+00,9.020858488073065784e-01,9.315728961596582147e-01,9.798685361566453755e-01,1.000000000000000000e+00
8.705773096928184351e-01,9.856066352911354578e-01,8.887695003692651641e-01,8.955720701027871655e-01,8.112513092220079436e-01,9.801709262645644793e-01,-2.220446049250313081e-16,8.117769296510609633e-01,9.596469261126222561e-01,1.000000000000000000e+00,9.169794189399047557e-01,1.000000000000000000e+00,9.512041125247993056e-01,9.370007472614595434e-01,8.890024787718389110e-01,8.367600268569120869e-01,9.261040572485420563e-01,9.363676475566231616e-01,4.508220918256077292e-01,1.000000000000000000e+00
8.974865318672390346e-01,9.648870032215769443e-01,1.000000000000000000e+00,9.603612098548544029e-01,9.335067561914969225e-01,8.151771217809649084e-01,8.117769296510609633e-01,1.110223024625156540e-16,9.722880951114918346e-01,1.000000000000000000e+00,9.738031895392783577e-01,9.620339781873101792e-01,9.230233351811016895e-01,9.432690441187455699e-01,1.000000000000000000e+00,7.442356758350552326e-01,1.000000000000000000e+00,9.196908818973524857e-01,8.734419366101188187e-01,9.529978574684506709e-01
9.903071166657406721e-01,7.507211611649318161e-01,7.791803222402411411e-01,9.384474201315305963e-01,9.820520506743861677e-01,1.000000000000000000e+00,9.596469261126222561e-01,9.722880951114918346e-01,0.000000000000000000e+00,9.612831716421655903e-01,7.386901120099560458e-01,9.524079256735209498e-01,9.799463494633109395e-01,9.079138012250763667e-01,9.339958164374954075e-01,9.675150790299583692e-01,1.000000000000000000e+00,9.716304020723995905e-01,9.324615242113800662e-01,1.000000000000000000e+00
9.566919481753306531e-01,1.000000000000000000e+00,9.024498468868902279e-01,9.492658712329689052e-01,7.993675200540888426e-01,9.875543523317008576e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.612831716421655903e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.454621637826647884e-01,8.760233469682946472e-01,9.109134771528069052e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.823407544257697577e-01,9.243367347811671797e-01,1.000000000000000000e+00,9.426028843207397978e-01
9.393401721779279789e-01,9.768927732798012853e-01,8.437034747173468574e-01,8.760698920566463155e-01,9.776185460975884700e-01,1.000000000000000000e+00,9.169794189399047557e-01,9.738031895392783577e-01,7.386901120099560458e-01,1.000000000000000000e+00,2.220446049250313081e-16,8.471395138565454008e-01,9.799539085755815115e-01,9.663542728428551332e-01,9.557344536228212784e-01,9.755193429453875575e-01,1.000000000000000000e+00,9.844646377671898430e-01,8.460356841074100354e-01,8.578188333522960285e-01
9.862596615319901838e-01,9.405899462352826923e-01,9.247169891874756908e-01,8.383534268623746843e-01,9.940834179987326769e-01,8.947214002885442996e-01,1.000000000000000000e+00,9.620339781873101792e-01,9.524079256735209498e-01,9.454621637826647884e-01,8.471395138565454008e-01,1.110223024625156540e-16,8.989006750150517755e-01,7.200267554884556276e-01,9.060792594751224671e-01,9.623763877189053240e-01,9.935696067149875077e-01,9.463112178951630371e-01,9.192482046989340905e-01,9.074599667787872637e-01
9.551544177576589689e-01,9.476672717659933021e-01,1.000000000000000000e+00,7.792843777151944318e-01,9.887749853485261475e-01,9.532396317939167973e-01,9.512041125247993056e-01,9.230233351811016895e-01,9.799463494633109395e-01,8.760233469682946472e-01,9.799539085755815115e-01,8.989006750150517755e-01,-2.220446049250313081e-16,9.726713257852853678e-01,1.000000000000000000e+00,9.564333576813393023e-01,7.808327789763058746e-01,9.919139077712072483e-01,9.215973491764112291e-01,9.634760304184274426e-01
9.605981827609559875e-01,9.191662154068290791e-01,9.377966897931599988e-01,9.990884614036094069e-01,9.343173041132910583e-01,1.000000000000000000e+00,9.370007472614595434e-01,9.432690441187455699e-01,9.079138012250763667e-01,9.109134771528069052e-01,9.663542728428551332e-01,7.200267554884556276e-01,9.726713257852853678e-01,0.000000000000000000e+00,7.648833152639442634e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.150677126142150675e-01,1.000000000000000000e+00,3.138813015365965464e-01
9.369453211379538127e-01,8.903019374865734914e-01,8.783611042471549668e-01,9.422822724417662110e-01,9.127141944279437702e-01,9.521635093257609928e-01,8.890024787718389110e-01,1.000000000000000000e+00,9.339958164374954075e-01,1.000000000000000000e+00,9.557344536228212784e-01,9.060792594751224671e-01,1.000000000000000000e+00,7.648833152639442634e-01,2.220446049250313081e-16,1.000000000000000000e+00,1.000000000000000000e+00,9.592189566522534294e-01,9.190699479511208470e-01,8.057181165991533778e-01
8.456820464208422150e-01,9.635933039966670943e-01,1.000000000000000000e+00,9.658432608967101318e-01,9.581577326123633664e-01,1.000000000000000000e+00,8.367600268569120869e-01,7.442356758350552326e-01,9.675150790299583692e-01,1.000000000000000000e+00,9.755193429453875575e-01,9.623763877189053240e-01,9.564333576813393023e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.803219941598565468e-01,8.515509791209893153e-01,1.000000000000000000e+00
1.000000000000000000e+00,9.744634997301359070e-01,1.000000000000000000e+00,9.596497476143400762e-01,1.000000000000000000e+00,9.020858488073065784e-01,9.261040572485420563e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.823407544257697577e-01,1.000000000000000000e+00,9.935696067149875077e-01,7.808327789763058746e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
7.672736856954948115e-01,9.345156449950895450e-01,6.888313239555525769e-01,8.645426638747393255e-01,9.443978530235833668e-01,9.315728961596582147e-01,9.363676475566231616e-01,9.196908818973524857e-01,9.716304020723995905e-01,9.243367347811671797e-01,9.844646377671898430e-01,9.463112178951630371e-01,9.919139077712072483e-01,8.150677126142150675e-01,9.592189566522534294e-01,9.803219941598565468e-01,1.000000000000000000e+00,5.696573207419477480e-01,9.708176054433678148e-01,6.962464632328128067e-01
9.040556369351416821e-01,9.882896288054674461e-01,9.199914980700832912e-01,8.811397833351959363e-01,7.756687088656255558e-01,9.798685361566453755e-01,4.508220918256077292e-01,8.734419366101188187e-01,9.324615242113800662e-01,1.000000000000000000e+00,8.460356841074100354e-01,9.192482046989340905e-01,9.215973491764112291e-01,1.000000000000000000e+00,9.190699479511208470e-01,8.515509791209893153e-01,1.000000000000000000e+00,9.708176054433678148e-01,1.110223024625156540e-16,1.000000000000000000e+00
9.645967573398355199e-01,9.747863360980589809e-01,9.630878885616803720e-01,1.000000000000000000e+00,9.877848348229191222e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.529978574684506709e-01,1.000000000000000000e+00,9.426028843207397978e-01,8.578188333522960285e-01,9.074599667787872637e-01,9.634760304184274426e-01,3.138813015365965464e-01,8.057181165991533778e-01,1.000000000000000000e+00,1.000000000000000000e+00,6.962464632328128067e-01,1.000000000000000000e+00,0.000000000000000000e+00
