# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,1.000000000000000000e+00,8.662191984155086510e-01,8.857847867212504944e-01,9.170595316585800072e-01,1.000000000000000000e+00,9.208047233395988407e-01,4.345176803744198457e-01,9.784627553374430908e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.401003545595976174e-01,9.611440657837717616e-01,7.327401570927107866e-01,9.596603990508872917e-01,1.000000000000000000e+00,2.708541868130510677e-01,9.586007051697509329e-01,6.605076560795586360e-01
1.000000000000000000e+00,2.220446049250313081e-16,1.000000000000000000e+00,8.703547215387494873e-01,1.000000000000000000e+00,7.119705270964744592e-01,9.983929551177929129e-01,9.864932285339494955e-01,1.000000000000000000e+00,8.967670122807129829e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.997287968332690955e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.455683636394525138e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.662191984155086510e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.876643071828662412e-01,8.470940465410481401e-01,9.572161241013897870e-01,9.751227386014980070e-01,8.119027962769445050e-01,9.742129327767380387e-01,9.071846553803014634e-01,1.000000000000000000e+00,9.594551264337032315e-01,9.268863893039246404e-01,9.675373702744063387e-01,9.442313866751955720e-01,7.893124134103214340e-01,1.000000000000000000e+00,8.362063503168318812e-01,1.000000000000000000e+00,8.558455216154330358e-01
8.857847867212504944e-01,8.703547215387494873e-01,9.876643071828662412e-01,5.000000000000000000e-01,9.746237926980952926e-01,9.755062798197640106e-01,9.833733267066246952e-01,9.445546808604663447e-01,9.828476767033160755e-01,9.838220920414598725e-01,9.647731017335654524e-01,8.748608955781842500e-01,9.589958790873631678e-01,9.899715697237188028e-01,9.506688935917154692e-01,9.859831166390866652e-01,1.000000000000000000e+00,8.731689014837817897e-01,9.785804193100524628e-01,9.922704894415990129e-01
9.170595316585800072e-01,1.000000000000000000e+00,8.470940465410481401e-01,9.746237926980952926e-01,1.110223024625156540e-16,8.083026422375436670e-01,9.538589892074816889e-01,9.332946153677678103e-01,8.962457982113615218e-01,7.605601132740403836e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.478610163815319956e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.372992682050861335e-01,9.083262723024222440e-01,1.000000000000000000e+00,9.302564005152973436e-01
1.000000000000000000e+00,7.119705270964744592e-01,9.572161241013897870e-01,9.755062798197640106e-01,8.083026422375436670e-01,0.000000000000000000e+00,9.224956377952135966e-01,9.997921567912377849e-01,8.627106228296161916e-01,7.128592596809379955e-01,1.000000000000000000e+00,7.628870415838598928e-01,1.000000000000000000e+00,9.596363239018603775e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.931306642440513865e-01,1.000000000000000000e+00,9.697287801981869793e-01
9.208047233395988407e-01,9.983929551177929129e-01,9.751227386014980070e-01,9.833733267066246952e-01,9.538589892074816889e-01,9.224956377952135966e-01,0.000000000000000000e+00,9.250159216368003534e-01,1.000000000000000000e+00,9.404460986411027346e-01,4.379854487340425484e-01,9.643969721677947415e-01,9.839580055085462851e-01,9.511635320791914650e-01,8.964681170687530676e-01,8.892446465278378565e-01,9.122848893259543068e-01,9.537143611953893263e-01,4.294510827013887644e-01,9.280115533205479661e-01
4.345176803744198457e-01,9.864932285339494955e-01,8.119027962769445050e-01,9.445546808604663447e-01,9.332946153677678103e-01,9.997921567912377849e-01,9.250159216368003534e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.289903759613784562e-01,9.056228773915215857e-01,1.000000000000000000e+00,6.546842740453961973e-01,7.566464727189352590e-01,1.000000000000000000e+00,8.396067745426603057e-01,1.000000000000000000e+00,3.419425345086017920e-01,9.641677810210812494e-01,7.266360081046885355e-01
9.784627553374430908e-01,1.000000000000000000e+00,9.742129327767380387e-01,9.828476767033160755e-01,8.962457982113615218e-01,8.627106228296161916e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.245561889462616145e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.345214354132416190e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.364154569396077044e-01
1.000000000000000000e+00,8.967670122807129829e-01,9.071846553803014634e-01,9.838220920414598725e-01,7.605601132740403836e-01,7.128592596809379955e-01,9.404460986411027346e-01,9.289903759613784562e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.549894222439765379e-01,9.512680143963290202e-01,9.879849422763636868e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.115862737637953073e-01,9.777372573602433059e-01,9.233243695313183563e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.647731017335654524e-01,1.000000000000000000e+00,1.000000000000000000e+00,4.379854487340425484e-01,9.056228773915215857e-01,1.000000000000000000e+00,9.549894222439765379e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.931595910222064116e-01,1.000000000000000000e+00,9.713992626812588682e-01,1.000000000000000000e+00,9.834377633790025719e-01,4.062162235468568250e-01,9.604288976471345718e-01
1.000000000000000000e+00,1.000000000000000000e+00,9.594551264337032315e-01,8.748608955781842500e-01,1.000000000000000000e+00,7.628870415838598928e-01,9.643969721677947415e-01,1.000000000000000000e+00,7.245561889462616145e-01,9.512680143963290202e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.332979810997901193e-01,9.250390839821114319e-01,1.000000000000000000e+00,9.834572978303735002e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
