# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,9.605191439906077822e-01,9.136275198292358457e-01,1.000000000000000000e+00,9.533763357523441506e-01,4.320832864028592013e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.367365231208180099e-01,1.010332721424834324e+00,1.000000000000000000e+00,1.180337685139791537e+00,5.580782048240082727e-01,9.158420236407638360e-01,9.522981736857992763e-01,9.818941907839470185e-01,9.324422509507468426e-01,4.706819591070318110e-01,9.040034271454540082e-01,1.215526593033517955e+00
9.605191439906077822e-01,1.110223024625156540e-16,9.588812027941808758e-01,8.622137884823880549e-01,9.777688687937466927e-01,9.976813672414244216e-01,9.190766142443483888e-01,9.693636131061942329e-01,6.197160118114388716e-01,1.151459184167903160e+00,8.111144039365021374e-01,1.273351113945734747e+00,9.916195873322432019e-01,1.056558916072346310e+00,9.904310980362551753e-01,8.646037012248104503e-01,7.356039537235872228e-01,9.644022860171166389e-01,8.965965937908273453e-01,1.302718748090879952e+00
9.136275198292358457e-01,9.588812027941808758e-01,3.583613114188235471e-01,1.000000000000000000e+00,9.330481079628861751e-01,1.000000000000000000e+00,9.979028220661541049e-01,9.452300244612040769e-01,9.186486604672420286e-01,1.040903536553270614e+00,8.931794936337367208e-01,1.116298508942649814e+00,7.220740006364219088e-01,1.070293946857727274e+00,9.622674284581894666e-01,9.054166836974041344e-01,1.000000000000000000e+00,8.826763513128954575e-01,8.945983934928509740e-01,1.123286161881104750e+00
1.000000000000000000e+00,8.622137884823880549e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.459729971044433805e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.873884164918650397e-01,9.263026501392943590e-01,1.157831012046842467e+00,1.000000000000000000e+00,1.266795719966696598e+00,8.745472936187695945e-01,1.148241327282587321e+00,9.415869096253985937e-01,8.655902662360930311e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.459673299480117148e-01,1.216796901465292180e+00
9.533763357523441506e-01,9.777688687937466927e-01,9.330481079628861751e-01,9.459729971044433805e-01,1.110223024625156540e-16,9.744765124557478453e-01,8.790351386029634506e-01,9.716313475533564503e-01,9.308038754119914993e-01,1.031383205502884204e+00,1.000000000000000000e+00,1.275238961841970387e+00,9.324784021595874384e-01,9.905010039604266181e-01,9.635291067246992691e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.721440297339366543e-01,8.534364162853299574e-01,1.159155396943744920e+00
4.320832864028592013e-01,9.976813672414244216e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.744765124557478453e-01,1.110223024625156540e-16,1.000000000000000000e+00,1.000000000000000000e+00,8.999379849034088164e-01,1.034985017456226952e+00,1.000000000000000000e+00,1.224749928231996243e+00,1.000000000000000000e+00,9.870748653718179888e-01,9.888721968629043957e-01,1.000000000000000000e+00,1.000000000000000000e+00,6.687074316482892744e-01,9.210928054837330681e-01,1.185226229930371966e+00
1.000000000000000000e+00,9.190766142443483888e-01,9.979028220661541049e-01,1.000000000000000000e+00,8.790351386029634506e-01,1.000000000000000000e+00,-2.220446049250313081e-16,9.525996611281466464e-01,1.000000000000000000e+00,1.197067671323767568e+00,9.388699642981042093e-01,1.284230873912474591e+00,1.000000000000000000e+00,1.085735670961002430e+00,9.979189762369616856e-01,9.923308948477403968e-01,1.000000000000000000e+00,9.797206898484174253e-01,8.805623985026358458e-01,1.271054441415205849e+00
1.000000000000000000e+00,9.693636131061942329e-01,9.452300244612040769e-01,9.873884164918650397e-01,9.716313475533564503e-01,1.000000000000000000e+00,9.525996611281466464e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.140303932016956345e+00,9.350061769981548032e-01,1.143086727951604153e+00,8.817171965826174906e-01,1.135834526632360841e+00,1.000000000000000000e+00,8.665784498978106321e-01,9.222185752946630011e-01,1.000000000000000000e+00,9.694176734893921177e-01,1.212120454087862065e+00
9.367365231208180099e-01,6.197160118114388716e-01,9.186486604672420286e-01,9.263026501392943590e-01,9.308038754119914993e-01,8.999379849034088164e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.110223024625156540e-16,1.146349899556078134e+00,7.980613049606990472e-01,1.126551653896977756e+00,6.412406075551420059e-01,7.702208795343847836e-01,9.366598599022950555e-01,8.329358184871086257e-01,9.341918919915560560e-01,9.535928379331277682e-01,8.673698309007585872e-01,1.226414943034135785e+00
1.010332721424834324e+00,1.151459184167903160e+00,1.040903536553270614e+00,1.157831012046842467e+00,1.031383205502884204e+00,1.034985017456226952e+00,1.197067671323767568e+00,1.140303932016956345e+00,1.146349899556078134e+00,2.220446049250313081e-16,1.096935492367831388e+00,1.212848906931909720e+00,1.068921213558809757e+00,1.127914332149229537e+00,1.000625455297392552e+00,1.099633056718631874e+00,1.110098717768573939e+00,1.095578697759702624e+00,1.090320896772132064e+00,9.196570478089354239e-01
1.000000000000000000e+00,8.111144039365021374e-01,8.931794936337367208e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.388699642981042093e-01,9.350061769981548032e-01,7.980613049606990472e-01,1.096935492367831388e+00,0.000000000000000000e+00,1.151475792993043923e+00,9.822946096078266631e-01,9.858692172329220904e-01,1.000000000000000000e+00,7.131339963633696044e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.002303386857146927e-01,1.132304810738702372e+00
1.180337685139791537e+00,1.273351113945734747e+00,1.116298508942649814e+00,1.266795719966696598e+00,1.275238961841970387e+00,1.224749928231996243e+00,1.284230873912474591e+00,1.143086727951604153e+00,1.126551653896977756e+00,1.212848906931909720e+00,1.151475792993043923e+00,2.220446049250313081e-16,1.015368158150774081e+00,1.177129978502557961e+00,9.839939068083395357e-01,1.251214635908470596e+00,1.271186507180517511e+00,1.241109731272038275e+00,1.203981685494371678e+00,1.074320677407225366e+00
5.580782048240082727e-01,9.916195873322432019e-01,7.220740006364219088e-01,8.745472936187695945e-01,9.324784021595874384e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.817171965826174906e-01,6.412406075551420059e-01,1.068921213558809757e+00,9.822946096078266631e-01,1.015368158150774081e+00,0.000000000000000000e+00,9.628906418504897813e-01,1.000000000000000000e+00,9.235926927317374968e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.596186409555808261e-01,1.162263047379690439e+00
9.158420236407638360e-01,1.056558916072346310e+00,1.070293946857727274e+00,1.148241327282587321e+00,9.905010039604266181e-01,9.870748653718179888e-01,1.085735670961002430e+00,1.135834526632360841e+00,7.702208795343847836e-01,1.127914332149229537e+00,9.858692172329220904e-01,1.177129978502557961e+00,9.628906418504897813e-01,0.000000000000000000e+00,1.032101787155719430e+00,1.104793777584962111e+00,1.118532404049221496e+00,1.013821833654783733e+00,1.006481075953908677e+00,1.106903479746249808e+00
9.522981736857992763e-01,9.904310980362551753e-01,9.622674284581894666e-01,9.415869096253985937e-01,9.635291067246992691e-01,9.888721968629043957e-01,9.979189762369616856e-01,1.000000000000000000e+00,9.366598599022950555e-01,1.000625455297392552e+00,1.000000000000000000e+00,9.839939068083395357e-01,1.000000000000000000e+00,1.032101787155719430e+00,1.110223024625156540e-16,1.000000000000000000e+00,1.000000000000000000e+00,8.741971117669917746e-01,9.168578518858587767e-01,1.130434458424398603e+00
9.818941907839470185e-01,8.646037012248104503e-01,9.054166836974041344e-01,8.655902662360930311e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.923308948477403968e-01,8.665784498978106321e-01,8.329358184871086257e-01,1.099633056718631874e+00,7.131339963633696044e-01,1.251214635908470596e+00,9.235926927317374968e-01,1.104793777584962111e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.600938737356181196e-01,1.098151776064466123e+00
9.324422509507468426e-01,7.356039537235872228e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.222185752946630011e-01,9.341918919915560560e-01,1.110098717768573939e+00,1.000000000000000000e+00,1.271186507180517511e+00,1.000000000000000000e+00,1.118532404049221496e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.110223024625156540e-16,1.000000000000000000e+00,9.963980066951995118e-01,1.192680229126929392e+00
4.706819591070318110e-01,9.644022860171166389e-01,8.826763513128954575e-01,1.000000000000000000e+00,9.721440297339366543e-01,6.687074316482892744e-01,9.797206898484174253e-01,1.000000000000000000e+00,9.535928379331277682e-01,1.095578697759702624e+00,1.000000000000000000e+00,1.241109731272038275e+00,1.000000000000000000e+00,1.013821833654783733e+00,8.741971117669917746e-01,1.000000000000000000e+00,1.000000000000000000e+00,2.220446049250313081e-16,9.852360991509421240e-01,1.237446739773284232e+00
9.040034271454540082e-01,8.965965937908273453e-01,8.945983934928509740e-01,8.459673299480117148e-01,8.534364162853299574e-01,9.210928054837330681e-01,8.805623985026358458e-01,9.694176734893921177e-01,8.673698309007585872e-01,1.090320896772132064e+00,8.002303386857146927e-01,1.203981685494371678e+00,8.596186409555808261e-01,1.006481075953908677e+00,9.168578518858587767e-01,6.600938737356181196e-01,9.963980066951995118e-01,9.852360991509421240e-01,0.000000000000000000e+00,1.205948418200557981e+00
1.215526593033517955e+00,1.302718748090879952e+00,1.123286161881104750e+00,1.216796901465292180e+00,1.159155396943744920e+00,1.185226229930371966e+00,1.271054441415205849e+00,1.212120454087862065e+00,1.226414943034135785e+00,9.196570478089354239e-01,1.132304810738702372e+00,1.074320677407225366e+00,1.162263047379690439e+00,1.106903479746249808e+00,1.130434458424398603e+00,1.098151776064466123e+00,1.192680229126929392e+00,1.237446739773284232e+00,1.205948418200557981e+00,1.110223024625156540e-16
