# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,9.217357715919358707e-01,9.034015883950551329e-01,9.344609649735493573e-01,8.028780711966942985e-01,9.113872967055672847e-01,8.877863884254860727e-01,6.210882394591050737e-01,8.467300630986216436e-01,1.000000000000000000e+00,9.161648674564216721e-01,1.000000000000000000e+00,8.835938450720880466e-01,8.977292675182585446e-01,3.023223365394396289e-01,7.990741808482944020e-01,1.000000000000000000e+00,3.861988513637704123e-01,9.927909266420458234e-01,9.102156707171948913e-01
9.217357715919358707e-01,5.000000000000000000e-01,8.985926618441095748e-01,8.881731743201419782e-01,8.620524867475514164e-01,9.367625490963645829e-01,9.365946366438695492e-01,9.383956553105252674e-01,8.397435344590594708e-01,9.572928108332863228e-01,9.622196963997172725e-01,8.697825278296377194e-01,9.510196413970311013e-01,8.680937191538878883e-01,9.428444240355730033e-01,8.352340592592051305e-01,1.000000000000000000e+00,9.533450962757471503e-01,9.623646523187894264e-01,8.903445407974178716e-01
9.034015883950551329e-01,8.985926618441095748e-01,0.000000000000000000e+00,8.959357707028653417e-01,8.135639642990201148e-01,8.836885958300267907e-01,8.661824076371917869e-01,8.485230007162301025e-01,9.110127499206746027e-01,8.284446734615414920e-01,8.836004032958266752e-01,1.000000000000000000e+00,8.247276456946603940e-01,5.683432948504685278e-01,8.985616187585495629e-01,8.739141496936377873e-01,9.548812469120490087e-01,8.009690085630136736e-01,9.947169298079374666e-01,5.995225580829668388e-01
9.344609649735493573e-01,8.881731743201419782e-01,8.959357707028653417e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.933096357667168474e-01,9.733178857068393031e-01,9.582066139522955606e-01,9.883521124119500900e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.930997183519092442e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.630839068605591580e-01,9.484660908383324429e-01,1.000000000000000000e+00,9.608687277026103368e-01,1.000000000000000000e+00
8.028780711966942985e-01,8.620524867475514164e-01,8.135639642990201148e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.051445332407881406e-01,9.712831825088756865e-01,8.253244779471042847e-01,8.376151830261946429e-01,9.721473260091774149e-01,9.773770188286543537e-01,8.007825820651345294e-01,9.119995333673990290e-01,9.693831645329182845e-01,7.888091538638388744e-01,7.910866242200953469e-01,8.213627205969883383e-01,9.663418287427193443e-01,9.753180014335859349e-01,9.746047694323537458e-01
9.113872967055672847e-01,9.367625490963645829e-01,8.836885958300267907e-01,8.933096357667168474e-01,9.051445332407881406e-01,0.000000000000000000e+00,9.372274211912635655e-01,8.894193889487387317e-01,9.651306266461255889e-01,9.272463744860278689e-01,9.481443897697597878e-01,9.343906523054169577e-01,9.187720822080237548e-01,8.576680818208041179e-01,9.354598697432838783e-01,9.265756917485431510e-01,9.410379694305747167e-01,9.306468600443017491e-01,9.210062679101043148e-01,8.828065812021693715e-01
8.877863884254860727e-01,9.365946366438695492e-01,8.661824076371917869e-01,9.733178857068393031e-01,9.712831825088756865e-01,9.372274211912635655e-01,0.000000000000000000e+00,8.760593092914161772e-01,9.157914371752535754e-01,9.531531526561977108e-01,5.211525478428563618e-01,1.000000000000000000e+00,9.692436327391150686e-01,9.315238646455010763e-01,9.005612215707314849e-01,8.790228763620994146e-01,8.918631502552837320e-01,9.521601476249769158e-01,1.000000000000000000e+00,9.099969030472562226e-01
6.210882394591050737e-01,9.383956553105252674e-01,8.485230007162301025e-01,9.582066139522955606e-01,8.253244779471042847e-01,8.894193889487387317e-01,8.760593092914161772e-01,4.475761532377289798e-01,9.235262186734034540e-01,9.893543570425220590e-01,9.191196365722787975e-01,1.000000000000000000e+00,9.015392016454024660e-01,8.324183245149705535e-01,7.192134208163629694e-01,7.676570608345538727e-01,1.000000000000000000e+00,6.074756023826177742e-01,9.487921183426569760e-01,8.099250609214867502e-01
8.467300630986216436e-01,8.397435344590594708e-01,9.110127499206746027e-01,9.883521124119500900e-01,8.376151830261946429e-01,9.651306266461255889e-01,9.157914371752535754e-01,9.235262186734034540e-01,5.000000000000000000e-01,9.272297924602469488e-01,1.000000000000000000e+00,9.170015785770926353e-01,9.331823693977736589e-01,9.834575794811245553e-01,1.000000000000000000e+00,8.448790089220648003e-01,9.636701859833811667e-01,6.820140064428883431e-01,8.931008701490091850e-01,9.496516890445125814e-01
1.000000000000000000e+00,9.572928108332863228e-01,8.284446734615414920e-01,1.000000000000000000e+00,9.721473260091774149e-01,9.272463744860278689e-01,9.531531526561977108e-01,9.893543570425220590e-01,9.272297924602469488e-01,2.220446049250313081e-16,8.462095070462685165e-01,8.654462292305538096e-01,8.727444329586021565e-01,8.000953229917214804e-01,9.431818840937415960e-01,1.000000000000000000e+00,9.494316260425295084e-01,7.470895290457237881e-01,9.511297336686198589e-01,7.342956243693637974e-01
9.161648674564216721e-01,9.622196963997172725e-01,8.836004032958266752e-01,1.000000000000000000e+00,9.773770188286543537e-01,9.481443897697597878e-01,5.211525478428563618e-01,9.191196365722787975e-01,1.000000000000000000e+00,8.462095070462685165e-01,0.000000000000000000e+00,8.965429528830454187e-01,8.835832091120662257e-01,9.042152122314306428e-01,9.234090149809798254e-01,8.810427418861654925e-01,1.000000000000000000e+00,9.221280674197085414e-01,1.000000000000000000e+00,9.009347801985122528e-01
1.000000000000000000e+00,8.697825278296377194e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.007825820651345294e-01,9.343906523054169577e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.170015785770926353e-01,8.654462292305538096e-01,8.965429528830454187e-01,0.000000000000000000e+00,9.993131061689420891e-01,9.980631905218353417e-01,1.000000000000000000e+00,9.845707382038675348e-01,9.258722626036900438e-01,1.000000000000000000e+00,9.707629244911156752e-01,9.924664487404710744e-01
8.835938450720880466e-01,9.510196413970311013e-01,8.247276456946603940e-01,9.930997183519092442e-01,9.119995333673990290e-01,9.187720822080237548e-01,9.692436327391150686e-01,9.015392016454024660e-01,9.331823693977736589e-01,8.727444329586021565e-01,8.835832091120662257e-01,9.993131061689420891e-01,2.220446049250313081e-16,8.039785553921394712e-01,9.349122026028711119e-01,7.869972928642681165e-01,9.893858287305556942e-01,9.230931174283859564e-01,9.463147644260228031e-01,7.886581987139336114e-01
8.977292675182585446e-01,8.680937191538878883e-01,5.683432948504685278e-01,1.000000000000000000e+00,9.693831645329182845e-01,8.576680818208041179e-01,9.315238646455010763e-01,8.324183245149705535e-01,9.834575794811245553e-01,8.000953229917214804e-01,9.042152122314306428e-01,9.980631905218353417e-01,8.039785553921394712e-01,0.000000000000000000e+00,8.383276675989888016e-01,8.274753480932653948e-01,1.000000000000000000e+00,6.065143922844349333e-01,9.723315795543249207e-01,1.536513557983607559e-01
3.023223365394396289e-01,9.428444240355730033e-01,8.985616187585495629e-01,1.000000000000000000e+00,7.888091538638388744e-01,9.354598697432838783e-01,9.005612215707314849e-01,7.192134208163629694e-01,1.000000000000000000e+00,9.431818840937415960e-01,9.234090149809798254e-01,1.000000000000000000e+00,9.349122026028711119e-01,8.383276675989888016e-01,3.330669073875469621e-16,8.831238347451542126e-01,1.000000000000000000e+00,5.700102147307224421e-01,9.967663982536865142e-01,7.515016834417242997e-01
7.990741808482944020e-01,8.352340592592051305e-01,8.739141496936377873e-01,7.630839068605591580e-01,7.910866242200953469e-01,9.265756917485431510e-01,8.790228763620994146e-01,7.676570608345538727e-01,8.448790089220648003e-01,1.000000000000000000e+00,8.810427418861654925e-01,9.845707382038675348e-01,7.869972928642681165e-01,8.274753480932653948e-01,8.831238347451542126e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.817414069901323703e-01,9.967930252951038295e-01,8.319546734576006575e-01
