# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.418579126148405312e-01,4.983747451001118156e-01,9.946064073489666590e-01,9.907292428949566743e-01,9.071643903971905454e-01,1.000000000000000000e+00,2.722354726513909196e-01,1.000000000000000000e+00,9.891805889970287646e-01,1.000000000000000000e+00,1.000000000000000000e+00,6.968575805153141012e-01,1.094057906979372996e+00,8.082717866523260186e-01,7.855547473702522154e-01,1.000000000000000000e+00,2.042077723705377768e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.418579126148405312e-01,0.000000000000000000e+00,9.298003390013237501e-01,8.179407565690088866e-01,7.491950204354731468e-01,2.494376088699327143e-01,9.306801144370140388e-01,9.241490177698872266e-01,8.105830496699127918e-01,6.326723892895105283e-01,8.686469748459493267e-01,8.796342917074915224e-01,9.721751947403429739e-01,1.041355225205514712e+00,9.193113140418145424e-01,1.000000000000000000e+00,8.864998447578110730e-01,9.317979208481977915e-01,9.798505799491928903e-01,8.642517565365508414e-01
4.983747451001118156e-01,9.298003390013237501e-01,0.000000000000000000e+00,9.587868108910669873e-01,1.000000000000000000e+00,9.193438636106276984e-01,1.000000000000000000e+00,9.662341405163616948e-01,9.144428554021180044e-01,1.000000000000000000e+00,9.574801746467279662e-01,8.965821666246539534e-01,7.229644825809975472e-01,1.126139499735727689e+00,4.785034732158754966e-01,7.796525440302704002e-01,9.511680602142271734e-01,4.548391710187769110e-01,1.000000000000000000e+00,8.677543901477924315e-01
9.946064073489666590e-01,8.179407565690088866e-01,9.587868108910669873e-01,0.000000000000000000e+00,7.559393286044169269e-01,8.010365314566382233e-01,9.772739070434584008e-01,1.000000000000000000e+00,9.551640540513651745e-01,6.151364300777958372e-01,8.913545042243030680e-01,5.552102863592225379e-01,7.425134417461243252e-01,9.777929596012493452e-01,8.695887929314884968e-01,1.000000000000000000e+00,9.391118228967506587e-01,1.000000000000000000e+00,9.454778355836888082e-01,7.704149995739384416e-01
9.907292428949566743e-01,7.491950204354731468e-01,1.000000000000000000e+00,7.559393286044169269e-01,0.000000000000000000e+00,7.486458485550347985e-01,1.000000000000000000e+00,9.824241612645846500e-01,9.284153982923761816e-01,6.233758715420714136e-01,1.000000000000000000e+00,8.175319392406430463e-01,9.868273223467288746e-01,1.052885238569851056e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.200806110991942566e-01,1.000000000000000000e+00,9.597590552476146231e-01,1.000000000000000000e+00
9.071643903971905454e-01,2.494376088699327143e-01,9.193438636106276984e-01,8.010365314566382233e-01,7.486458485550347985e-01,0.000000000000000000e+00,9.603748585386866488e-01,9.106940454464971246e-01,8.346670322797922204e-01,5.728793328263799278e-01,8.243983057770283285e-01,8.490651839946292689e-01,9.483515683892285164e-01,1.020981549045012926e+00,9.457438328521098336e-01,9.428190448517421718e-01,8.545979100694178765e-01,9.624611751724695408e-01,9.722964553741237914e-01,8.165948994763803093e-01
1.000000000000000000e+00,9.306801144370140388e-01,1.000000000000000000e+00,9.772739070434584008e-01,1.000000000000000000e+00,9.603748585386866488e-01,-2.220446049250313081e-16,9.900485940496953630e-01,9.600645577213517967e-01,9.925078745431517024e-01,9.304667024867455671e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.257116019777489768e+00,9.839877463326782703e-01,9.539509242472393735e-01,9.443464490752395690e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.534725539260506810e-01
2.722354726513909196e-01,9.241490177698872266e-01,9.662341405163616948e-01,1.000000000000000000e+00,9.824241612645846500e-01,9.106940454464971246e-01,9.900485940496953630e-01,0.000000000000000000e+00,9.555476726612656124e-01,8.641523906835307800e-01,1.000000000000000000e+00,1.000000000000000000e+00,6.824790444216153329e-01,1.059498404372088531e+00,8.238086021484626320e-01,7.748252736215873737e-01,1.000000000000000000e+00,2.405185872541666381e-01,9.833358078732440388e-01,1.000000000000000000e+00
1.000000000000000000e+00,8.105830496699127918e-01,9.144428554021180044e-01,9.551640540513651745e-01,9.284153982923761816e-01,8.346670322797922204e-01,9.600645577213517967e-01,9.555476726612656124e-01,2.220446049250313081e-16,9.193086720019891800e-01,7.792127722116665156e-01,9.772969258352257604e-01,9.884672331863362249e-01,1.105659732509833182e+00,9.630430555553570748e-01,8.895562220067358972e-01,8.926515888507768892e-01,9.884031159487290941e-01,9.391398451715422535e-01,9.014170392285518751e-01
9.891805889970287646e-01,6.326723892895105283e-01,1.000000000000000000e+00,6.151364300777958372e-01,6.233758715420714136e-01,5.728793328263799278e-01,9.925078745431517024e-01,8.641523906835307800e-01,9.193086720019891800e-01,1.110223024625156540e-16,8.504527643542002524e-01,6.696250254447079220e-01,1.000000000000000000e+00,8.951603971352579681e-01,9.516953581925389205e-01,9.822665064238881305e-01,8.757106689397052834e-01,9.876264289475759073e-01,1.000000000000000000e+00,7.178768699492025229e-01
