# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,1.000000000000000000e+00,1.022115871661583908e+00,8.622608346823820158e-01,9.321765219802512492e-01,1.000000000000000000e+00,9.070483889385644316e-01,2.622438546066729881e-01,9.795603759260521626e-01,9.453156218498471874e-01,9.874034705074731244e-01,9.993765777816567830e-01,9.903817421816789590e-01,9.657659106998377485e-01,8.643852344536094856e-01,9.187998716293940271e-01,9.422547014711877278e-01,7.913130581637720651e-01,8.441641520436320434e-01,9.070140380244912093e-01
1.000000000000000000e+00,0.000000000000000000e+00,1.087040929011460211e+00,1.000000000000000000e+00,9.784919142447801033e-01,9.936670264650421247e-01,1.000000000000000000e+00,9.653745483597968580e-01,7.710989090266745505e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.339550639872741256e-01,9.402439191501806848e-01,9.548158981931498257e-01,8.908662363003179152e-01,9.882566571862007043e-01,1.000000000000000000e+00,9.365420319011360517e-01,9.567230526057799445e-01
1.022115871661583908e+00,1.087040929011460211e+00,3.766543168647816797e-01,1.078775831607253544e+00,1.062004524166761499e+00,9.592813075168036274e-01,9.794402518514018219e-01,9.851438682971904726e-01,9.320216542981605290e-01,1.017716008475483047e+00,1.055401655659261362e+00,1.096969750771330521e+00,1.135805339550469917e+00,1.042156133711795718e+00,1.028204157726219314e+00,9.785539561137581721e-01,1.031105885595342553e+00,8.930689937024840486e-01,1.017231017600480181e+00,1.005303565673714150e+00
8.622608346823820158e-01,1.000000000000000000e+00,1.078775831607253544e+00,1.110223024625156540e-16,8.799119508955737246e-01,9.988536967245309484e-01,1.000000000000000000e+00,9.245074825502815896e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.224052762548653916e-01,1.068837829580589371e+00,8.946957574877550945e-01,9.491620991423790343e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.745970949781682879e-01,9.959885227133584706e-01
9.321765219802512492e-01,9.784919142447801033e-01,1.062004524166761499e+00,8.799119508955737246e-01,0.000000000000000000e+00,9.777532967395359265e-01,9.838300958970869203e-01,1.000000000000000000e+00,9.743816335114001692e-01,9.614382849265571407e-01,9.563904275431898139e-01,9.946234641417454059e-01,1.202899592202484769e+00,9.651862680169930320e-01,8.238669449225286545e-01,9.031914464477729387e-01,1.000000000000000000e+00,9.744628227636988882e-01,9.470793321639461304e-01,9.881632096457093617e-01
1.000000000000000000e+00,9.936670264650421247e-01,9.592813075168036274e-01,9.988536967245309484e-01,9.777532967395359265e-01,2.220446049250313081e-16,7.052254717780850335e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.350336564118349347e-01,8.523833853909769109e-01,9.577721690226594919e-01,1.145959335120236622e+00,9.258738062292067861e-01,1.000000000000000000e+00,6.707835084496904798e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.939079512529849669e-01,9.027594801514478018e-01
9.070483889385644316e-01,1.000000000000000000e+00,9.794402518514018219e-01,1.000000000000000000e+00,9.838300958970869203e-01,7.052254717780850335e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.918724154782771141e-01,9.880274944480009758e-01,8.929053134584563622e-01,8.551771986345348964e-01,1.169209274694241518e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.487434020663412682e-01,7.501569298668775421e-01,1.000000000000000000e+00,9.543579550629457398e-01,9.223803965569588037e-01
2.622438546066729881e-01,9.653745483597968580e-01,9.851438682971904726e-01,9.245074825502815896e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.110223024625156540e-16,1.000000000000000000e+00,8.661231884963113137e-01,9.081870953147664904e-01,8.724415770293406647e-01,1.036111209236836750e+00,9.379899889086051878e-01,9.636000919187506231e-01,9.201471573291754025e-01,9.553695388124846533e-01,8.302425025962583138e-01,8.030903479213941099e-01,9.220167290804677229e-01
9.795603759260521626e-01,7.710989090266745505e-01,9.320216542981605290e-01,1.000000000000000000e+00,9.743816335114001692e-01,1.000000000000000000e+00,8.918724154782771141e-01,1.000000000000000000e+00,0.000000000000000000e+00,8.446572059403838484e-01,8.015837040744616671e-01,9.954852248189325348e-01,1.095168042674059317e+00,9.705937877573187489e-01,9.707150375343769344e-01,1.000000000000000000e+00,9.234328711741730533e-01,8.827067126814833742e-01,1.000000000000000000e+00,9.448448346071030013e-01
9.453156218498471874e-01,1.000000000000000000e+00,1.017716008475483047e+00,1.000000000000000000e+00,9.614382849265571407e-01,7.350336564118349347e-01,9.880274944480009758e-01,8.661231884963113137e-01,8.446572059403838484e-01,1.110223024625156540e-16,8.148977601713927044e-01,9.905834984332425597e-01,1.085439386076028523e+00,8.465962993507414325e-01,9.366708322379748708e-01,8.868275099979471277e-01,1.000000000000000000e+00,8.499726259482139890e-01,8.871437240611551589e-01,8.331746520817276958e-01
