# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.390350402924811934e-01,8.899626551814443509e-01,1.000000000000000000e+00,9.296434489213588614e-01,9.214636108009837123e-01,8.070156810845963147e-01,8.959254299713348413e-01,9.055071215885711622e-01,9.273727286700248484e-01,9.152358666880742177e-01,8.611353253420694909e-01,9.429180361526704468e-01,7.775148060802519190e-01,6.998024554647488404e-01,1.000000000000000000e+00,9.306655688879532651e-01,3.752734356519389358e-01,9.509814617048627516e-01,7.821046191548024495e-01
9.390350402924811934e-01,4.387713869084625684e-01,9.583616667941912137e-01,9.726495906385106416e-01,7.228298412575608900e-01,4.693464049121190418e-01,8.113992408080608065e-01,7.534013626065163560e-01,5.615111528420815290e-01,7.544646860340135097e-01,9.120747547289633772e-01,9.580321149062086539e-01,9.729264097970189429e-01,9.151372221530116313e-01,5.613173632207321129e-01,1.000000000000000000e+00,9.012900486052465299e-01,9.423623731718249186e-01,9.975644176258198215e-01,9.088408956395934712e-01
8.899626551814443509e-01,9.583616667941912137e-01,0.000000000000000000e+00,1.000000000000000000e+00,7.472652065351848005e-01,1.000000000000000000e+00,8.965643319991316584e-01,7.145026614088818562e-01,9.334341156914012227e-01,1.000000000000000000e+00,9.879651759066359062e-01,9.445696538186725277e-01,9.965683154635477381e-01,9.155222299300236344e-01,8.166336026380520696e-01,9.248947460430676504e-01,9.586703009987230795e-01,8.145427274174760202e-01,9.826496830527405857e-01,4.184347900453548874e-01
1.000000000000000000e+00,9.726495906385106416e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.325780322319334736e-01,9.606706478155446760e-01,9.652794135907385442e-01,1.000000000000000000e+00,9.335495127299011653e-01,1.000000000000000000e+00,9.974552874119098078e-01,8.475708792247054202e-01,8.683877612520567446e-01,9.465310822663890455e-01,1.000000000000000000e+00,9.885743039744132599e-01,9.168260796635281373e-01,9.875913555752847683e-01,9.720936587718314037e-01,9.688933283250572570e-01
9.296434489213588614e-01,7.228298412575608900e-01,7.472652065351848005e-01,9.325780322319334736e-01,2.220446049250313081e-16,7.038921505734894168e-01,8.328857222024789175e-01,7.230329112404323411e-01,7.399713189789955958e-01,1.000000000000000000e+00,9.553381051524683087e-01,1.000000000000000000e+00,1.000000000000000000e+00,6.912549341094063049e-01,8.803384493640535879e-01,9.701340069732184990e-01,9.127765323962101496e-01,9.482723672641966139e-01,9.527308767966105041e-01,7.322568322119726858e-01
9.214636108009837123e-01,4.693464049121190418e-01,1.000000000000000000e+00,9.606706478155446760e-01,7.038921505734894168e-01,0.000000000000000000e+00,7.941246957062151335e-01,6.445814111208552077e-01,5.097423798560085650e-01,7.224320155247808684e-01,9.476352360267586983e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.165924586697385967e-01,7.465892671393450364e-01,1.000000000000000000e+00,9.665875933763506955e-01,9.379986947783638396e-01,1.000000000000000000e+00,6.056441677110133703e-01
8.070156810845963147e-01,8.113992408080608065e-01,8.965643319991316584e-01,9.652794135907385442e-01,8.328857222024789175e-01,7.941246957062151335e-01,0.000000000000000000e+00,7.955841573335027395e-01,8.001249993073269451e-01,7.086629029922564271e-01,8.480935501435907797e-01,9.752078196018665324e-01,9.615353233280002909e-01,8.289175779298252333e-01,8.717921384297103726e-01,9.613162833840279697e-01,8.452327907044782096e-01,9.644375467181708350e-01,8.855590965199769959e-01,8.820712660652627601e-01
8.959254299713348413e-01,7.534013626065163560e-01,7.145026614088818562e-01,1.000000000000000000e+00,7.230329112404323411e-01,6.445814111208552077e-01,7.955841573335027395e-01,2.220446049250313081e-16,8.334873945107774684e-01,8.985560041627949079e-01,9.252086388911513470e-01,1.000000000000000000e+00,9.733356556466776777e-01,8.948660944699723396e-01,8.859579928565453066e-01,9.434861232895791483e-01,8.444428958816588837e-01,9.557513881700856473e-01,1.000000000000000000e+00,8.959390265430822176e-01
9.055071215885711622e-01,5.615111528420815290e-01,9.334341156914012227e-01,9.335495127299011653e-01,7.399713189789955958e-01,5.097423798560085650e-01,8.001249993073269451e-01,8.334873945107774684e-01,2.736468714015125037e-01,8.746101521834122039e-01,9.324917916848940447e-01,1.000000000000000000e+00,9.684979463950045275e-01,9.045269436985166056e-01,7.693543664077482358e-01,9.896127782149419794e-01,9.796882176001711073e-01,9.752947272701542047e-01,7.602557020078835048e-01,9.505308033201924633e-01
9.273727286700248484e-01,7.544646860340135097e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.224320155247808684e-01,7.086629029922564271e-01,8.985560041627949079e-01,8.746101521834122039e-01,0.000000000000000000e+00,9.194480170976202515e-01,9.879627824029179051e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.683076921777146184e-01,1.000000000000000000e+00,8.722026120342977196e-01,1.000000000000000000e+00,9.527727671609286242e-01,1.000000000000000000e+00
9.152358666880742177e-01,9.120747547289632662e-01,9.879651759066359062e-01,9.974552874119098078e-01,9.553381051524683087e-01,9.476352360267586983e-01,8.480935501435907797e-01,9.252086388911513470e-01,9.324917916848940447e-01,9.194480170976202515e-01,5.000000000000000000e-01,1.000000000000000000e+00,9.761107738466090478e-01,9.247535859675111158e-01,9.425410538452166920e-01,9.970752898352250870e-01,8.528549363730913990e-01,9.181264729314826400e-01,9.459189952997277828e-01,8.938176552002659037e-01
8.611353253420694909e-01,9.580321149062086539e-01,9.445696538186725277e-01,8.475708792247054202e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.752078196018665324e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.879627824029179051e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.489056601216815379e-01,9.463492367263194316e-01,9.405360252153626144e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.169703961528063108e-01,1.000000000000000000e+00,9.278454883371749506e-01
9.429180361526704468e-01,9.729264097970189429e-01,9.965683154635477381e-01,8.683877612520567446e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.615353233280002909e-01,9.733356556466776777e-01,9.684979463950045275e-01,1.000000000000000000e+00,9.761107738466090478e-01,9.489056601216815379e-01,2.220446049250313081e-16,9.425124969744015369e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.101095666870192558e-01,8.341820588384312174e-01,6.407239355805736114e-01,9.898547653862820317e-01
7.775148060802519190e-01,9.151372221530116313e-01,9.155222299300236344e-01,9.465310822663890455e-01,6.912549341094063049e-01,9.165924586697385967e-01,8.289175779298252333e-01,8.948660944699723396e-01,9.045269436985166056e-01,1.000000000000000000e+00,9.247535859675111158e-01,9.463492367263194316e-01,9.425124969744015369e-01,-2.220446049250313081e-16,1.000000000000000000e+00,1.000000000000000000e+00,9.940150943562828800e-01,9.110892538242570948e-01,9.067197826112768366e-01,1.126372987171083695e-01
6.998024554647488404e-01,5.613173632207321129e-01,8.166336026380520696e-01,1.000000000000000000e+00,8.803384493640535879e-01,7.465892671393450364e-01,8.717921384297103726e-01,8.859579928565453066e-01,7.693543664077482358e-01,9.683076921777146184e-01,9.425410538452166920e-01,9.405360252153626144e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.110223024625156540e-16,1.000000000000000000e+00,1.000000000000000000e+00,6.515977412623297216e-01,9.874381400266488695e-01,9.590768986948888797e-01
1.000000000000000000e+00,1.000000000000000000e+00,9.248947460430676504e-01,9.885743039744132599e-01,9.701340069732184990e-01,1.000000000000000000e+00,9.613162833840279697e-01,9.434861232895791483e-01,9.896127782149419794e-01,1.000000000000000000e+00,9.970752898352250870e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.591523162994222140e-01,9.645265875203291595e-01,1.000000000000000000e+00
9.306655688879532651e-01,9.012900486052465299e-01,9.586703009987230795e-01,9.168260796635281373e-01,9.127765323962101496e-01,9.665875933763506955e-01,8.452327907044782096e-01,8.444428958816588837e-01,9.796882176001711073e-01,8.722026120342977196e-01,8.528549363730913990e-01,1.000000000000000000e+00,9.101095666870192558e-01,9.940150943562828800e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.110223024625156540e-16,9.995190880958828572e-01,1.000000000000000000e+00,1.000000000000000000e+00
3.752734356519389358e-01,9.423623731718249186e-01,8.145427274174760202e-01,9.875913555752847683e-01,9.482723672641966139e-01,9.379986947783638396e-01,9.644375467181708350e-01,9.557513881700856473e-01,9.752947272701542047e-01,1.000000000000000000e+00,9.181264729314826400e-01,8.169703961528063108e-01,8.341820588384312174e-01,9.110892538242570948e-01,6.515977412623297216e-01,9.591523162994222140e-01,9.995190880958828572e-01,-2.220446049250313081e-16,9.988644256058062387e-01,9.034745713209432205e-01
9.509814617048627516e-01,9.975644176258198215e-01,9.826496830527405857e-01,9.720936587718314037e-01,9.527308767966105041e-01,1.000000000000000000e+00,8.855590965199769959e-01,1.000000000000000000e+00,7.602557020078835048e-01,9.527727671609286242e-01,9.459189952997277828e-01,1.000000000000000000e+00,6.407239355805736114e-01,9.067197826112768366e-01,9.874381400266488695e-01,9.645265875203291595e-01,1.000000000000000000e+00,9.988644256058062387e-01,-2.220446049250313081e-16,8.984949931378107824e-01
7.821046191548024495e-01,9.088408956395934712e-01,4.184347900453548874e-01,9.688933283250572570e-01,7.322568322119726858e-01,6.056441677110133703e-01,8.820712660652627601e-01,8.959390265430822176e-01,9.505308033201924633e-01,1.000000000000000000e+00,8.938176552002659037e-01,9.278454883371749506e-01,9.898547653862820317e-01,1.126372987171083695e-01,9.590768986948888797e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.034745713209432205e-01,8.984949931378107824e-01,0.000000000000000000e+00
