# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.955350096287670647e-01,6.671579980171115087e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.576017739807787255e-01,1.000000000000000000e+00,6.427823643434970036e-01,1.000000000000000000e+00,8.323563275066110378e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.014562882545675837e-01,9.454110052979601830e-01,7.569480612220539362e-01,1.000000000000000000e+00,4.661868385666202430e-01,1.000000000000000000e+00,8.288825458871786900e-01
9.955350096287670647e-01,1.110223024625156540e-16,1.000000000000000000e+00,6.892209381051852546e-01,7.748213113528763518e-01,5.836298617971062974e-01,8.669172646282883310e-01,8.158410330037190183e-01,3.898406924726267597e-01,8.862840068899182633e-01,8.476708284201235344e-01,8.741909777345958643e-01,7.994530910001330648e-01,1.000000000000000000e+00,9.649201734887845605e-01,9.290032973157315022e-01,8.270306769137218961e-01,1.000000000000000000e+00,8.262159478771471388e-01,9.924516476993887615e-01
6.671579980171115087e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.682360401429509489e-01,8.466086463407367368e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.984667030088809847e-01,9.459074426783717904e-01,6.634532306343398078e-01,9.606561109661669873e-01,9.105510764821155290e-01,8.366983975322728195e-01,1.000000000000000000e+00,9.215319392954695044e-01,6.938678117331508188e-01,1.000000000000000000e+00,7.249948118629994109e-01,1.000000000000000000e+00,9.574227808985984467e-01
1.000000000000000000e+00,6.892209381051852546e-01,9.682360401429509489e-01,0.000000000000000000e+00,9.294642641424841756e-01,1.000000000000000000e+00,6.815564708894734647e-01,8.212727815551010835e-01,9.916509383145235557e-01,9.160530768064771845e-01,9.796588480066090732e-01,9.297395643642497598e-01,8.714565308652750808e-01,9.774374278732761434e-01,8.988895617577501440e-01,9.024907214697741598e-01,9.773614176607406945e-01,1.000000000000000000e+00,9.625457755098990598e-01,9.748325374608118876e-01
1.000000000000000000e+00,7.748213113528763518e-01,8.466086463407367368e-01,9.294642641424841756e-01,2.220446049250313081e-16,6.955863313433875428e-01,8.186509374693387020e-01,9.754242338623425601e-01,7.008343453097388709e-01,9.937699620936912837e-01,9.453011693398265525e-01,8.177853375994343921e-01,7.825524717837489819e-01,9.454217240104100251e-01,8.863508614660130513e-01,7.737242089763950448e-01,9.675289803564424140e-01,8.427662117019990573e-01,7.306789985588493241e-01,8.094255038896560617e-01
9.576017739807787255e-01,5.836298617971062974e-01,1.000000000000000000e+00,1.000000000000000000e+00,6.955863313433875428e-01,1.110223024625156540e-16,1.000000000000000000e+00,7.777230414514110235e-01,8.038347630279163436e-01,8.413481043695338890e-01,8.424626562552970377e-01,5.571154283592396617e-01,8.449070313939501808e-01,9.778587722564717755e-01,9.444571620916372146e-01,1.000000000000000000e+00,8.311590805670527882e-01,8.705715369785678170e-01,7.898798195860236016e-01,7.223399097135853042e-01
1.000000000000000000e+00,8.669172646282883310e-01,1.000000000000000000e+00,6.815564708894734647e-01,8.186509374693387020e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.193409455678932529e-01,9.922148124846600359e-01,8.385022580446928053e-01,9.872664587195097985e-01,9.346371716417735120e-01,9.743693197451768206e-01,1.000000000000000000e+00,9.606383510900546874e-01,9.331602635580351635e-01,9.603020477080644879e-01,1.000000000000000000e+00,7.482841544027576397e-01,8.547223228913953808e-01
6.427823643434970036e-01,8.158410330037190183e-01,8.984667030088809847e-01,8.212727815551010835e-01,9.754242338623425601e-01,7.777230414514110235e-01,9.193409455678932529e-01,3.858630405550133591e-01,9.637503318815675568e-01,8.388274137767356420e-01,9.853047001462011956e-01,7.854302419562676496e-01,8.291044730860909207e-01,9.475317370871177980e-01,8.700262299527302678e-01,8.319399956564813570e-01,9.458178715240737056e-01,5.073890592705473379e-01,9.344427964581779600e-01,8.464191218909454806e-01
1.000000000000000000e+00,3.898406924726267597e-01,9.459074426783717904e-01,9.916509383145235557e-01,7.008343453097388709e-01,8.038347630279163436e-01,9.922148124846600359e-01,9.637503318815675568e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.338488731379016805e-01,9.132125851203295452e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.919598770801950627e-01,8.680109990836909484e-01,8.291267460819913282e-01,1.000000000000000000e+00,8.057442475226774814e-01,9.866817511810916930e-01
8.323563275066110378e-01,8.862840068899182633e-01,6.634532306343398078e-01,9.160530768064771845e-01,9.937699620936912837e-01,8.413481043695338890e-01,8.385022580446928053e-01,8.388274137767356420e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.274190974906866280e-01,8.478999774321354099e-01,8.623279537254264770e-01,8.202773136837359091e-01,9.288861933289911388e-01,7.507651028445754271e-01,9.925253284384658592e-01,7.610176857321695465e-01,1.000000000000000000e+00,1.000000000000000000e+00
