# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,1.000000000000000000e+00,7.180571932627988208e-01,8.022780043189150501e-01,9.846878497353244164e-01,8.857160886615793594e-01,8.447175461085614234e-01,2.774961807508856682e-01,9.982810190503557113e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.002788814421195385e-01,8.805868103494598476e-01,4.249226794614617830e-01,3.453619942145318422e-01,7.602106136174604512e-01,9.533113492788973797e-01,2.413931087095457784e-01,1.000000000000000000e+00,7.476214184256297912e-01
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.009588476197021301e-01,1.000000000000000000e+00,8.288287130731899488e-01,9.815638227085435874e-01,1.000000000000000000e+00,7.854286808539208131e-01,1.000000000000000000e+00,9.937086372520487210e-01,9.514597624242382423e-01,9.543817425952288991e-01,9.675504352388866192e-01,1.000000000000000000e+00,8.528922314228519763e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.543222261816901586e-01
7.180571932627988208e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.485671977790175458e-01,8.869792711254222972e-01,9.612875762225912002e-01,7.964683360834858838e-01,1.000000000000000000e+00,9.559939266158720139e-01,1.000000000000000000e+00,9.518793923071036112e-01,9.520388566029208688e-01,8.094312753539911753e-01,8.021086218822421898e-01,8.841061824651255119e-01,9.310133120144642449e-01,7.773786727347220538e-01,1.000000000000000000e+00,6.339788179646493882e-01
8.022780043189150501e-01,9.009588476197021301e-01,1.000000000000000000e+00,0.000000000000000000e+00,6.981863280158731033e-01,9.431260258359079884e-01,9.574216140617842763e-01,9.515996580752796863e-01,9.664443639251170115e-01,1.000000000000000000e+00,9.879978714500475823e-01,9.012885892204129945e-01,7.384720929598989070e-01,9.482507083723122898e-01,7.298259664155424264e-01,9.389165580030840452e-01,8.899620518781349299e-01,9.345799981396322176e-01,9.533171308406128697e-01,1.000000000000000000e+00
9.846878497353244164e-01,1.000000000000000000e+00,9.485671977790175458e-01,6.981863280158731033e-01,0.000000000000000000e+00,8.955137083727197078e-01,9.818222646878762561e-01,1.000000000000000000e+00,9.708558609292469166e-01,7.824821961580670227e-01,9.473049775963118257e-01,9.264796657049116924e-01,8.948708190017286013e-01,9.530024823630318664e-01,9.874169564431755086e-01,9.250128729767514990e-01,9.518428211894561786e-01,8.988084989752608278e-01,9.612186305569985212e-01,8.933273663804557341e-01
8.857160886615793594e-01,8.288287130731899488e-01,8.869792711254222972e-01,9.431260258359079884e-01,8.955137083727197078e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.353776835016289981e-01,8.619783284066722118e-01,9.938925782027657752e-01,1.000000000000000000e+00,8.471635012609569637e-01,8.434621811463763885e-01,9.427650146066606229e-01,9.400572232469557310e-01,9.192669812864493473e-01,1.000000000000000000e+00,8.623554840739198202e-01,1.000000000000000000e+00,9.336982493316087206e-01
8.447175461085614234e-01,9.815638227085435874e-01,9.612875762225912002e-01,9.574216140617842763e-01,9.818222646878762561e-01,1.000000000000000000e+00,1.110223024625156540e-16,8.575364961344020820e-01,9.660397644385964044e-01,9.061259244395785117e-01,1.000000000000000000e+00,9.808715564363943429e-01,9.908115115042502863e-01,8.249949462997171468e-01,8.357310320975203100e-01,8.973023726939414191e-01,7.573235316445173781e-01,8.493398572119890133e-01,9.908901357526239684e-01,8.872364329112065739e-01
2.774961807508856682e-01,1.000000000000000000e+00,7.964683360834858838e-01,9.515996580752796863e-01,1.000000000000000000e+00,8.353776835016289981e-01,8.575364961344020820e-01,0.000000000000000000e+00,9.605147199049461904e-01,9.440451023311353662e-01,1.000000000000000000e+00,8.905553826675531859e-01,8.734360260057228986e-01,3.949561485622823387e-01,3.137963483150167932e-01,7.026359195023779147e-01,9.780216998270936379e-01,2.400941534565836921e-01,9.760494883471875216e-01,6.185440284981409409e-01
9.982810190503557113e-01,7.854286808539208131e-01,1.000000000000000000e+00,9.664443639251170115e-01,9.708558609292469166e-01,8.619783284066722118e-01,9.660397644385964044e-01,9.605147199049461904e-01,2.311628432894971552e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.879259027628645384e-01,8.160053108652461917e-01,1.000000000000000000e+00,9.303170912971943096e-01,9.865999435497204706e-01,9.795985453982444247e-01,9.920040594357771857e-01,9.907398003219864968e-01,9.859146945362209369e-01
1.000000000000000000e+00,1.000000000000000000e+00,9.559939266158720139e-01,1.000000000000000000e+00,7.824821961580670227e-01,9.938925782027657752e-01,9.061259244395785117e-01,9.440451023311353662e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.339285923673714684e-01,9.599249741191027141e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.585658330653589410e-01,9.366596541138761944e-01,1.000000000000000000e+00
1.000000000000000000e+00,9.937086372520487210e-01,1.000000000000000000e+00,9.879978714500475823e-01,9.473049775963118257e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.339285923673714684e-01,0.000000000000000000e+00,9.665902370979383429e-01,9.978857660919069339e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.934330327575612518e-01,1.000000000000000000e+00
9.002788814421195385e-01,9.514597624242382423e-01,9.518793923071036112e-01,9.012885892204129945e-01,9.264796657049116924e-01,8.471635012609569637e-01,9.808715564363943429e-01,8.905553826675531859e-01,8.879259027628645384e-01,9.599249741191027141e-01,9.665902370979383429e-01,4.739963042434161555e-01,5.938577173608773352e-01,9.646404181550035650e-01,9.566554495177342909e-01,9.274632852267936656e-01,9.767002897557258700e-01,9.169214225573352195e-01,9.454378987828534475e-01,9.394361472962836634e-01
8.805868103494598476e-01,9.543817425952288991e-01,9.520388566029208688e-01,7.384720929598989070e-01,8.948708190017286013e-01,8.434621811463763885e-01,9.908115115042502863e-01,8.734360260057228986e-01,8.160053108652461917e-01,1.000000000000000000e+00,9.978857660919069339e-01,5.938577173608773352e-01,-2.220446049250313081e-16,9.282498421234313124e-01,9.148288911102455678e-01,9.238471018588708672e-01,1.000000000000000000e+00,8.384969671543616165e-01,9.247970302142299870e-01,1.000000000000000000e+00
4.249226794614617830e-01,9.675504352388866192e-01,8.094312753539911753e-01,9.482507083723122898e-01,9.530024823630318664e-01,9.427650146066606229e-01,8.249949462997171468e-01,3.949561485622823387e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.646404181550035650e-01,9.282498421234313124e-01,0.000000000000000000e+00,1.610512357445512688e-01,8.322873417036227295e-01,9.985803567278797033e-01,3.008692497504833474e-01,1.000000000000000000e+00,6.443056478352082728e-01
3.453619942145318422e-01,1.000000000000000000e+00,8.021086218822421898e-01,7.298259664155424264e-01,9.874169564431755086e-01,9.400572232469557310e-01,8.357310320975203100e-01,3.137963483150167932e-01,9.303170912971943096e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.566554495177342909e-01,9.148288911102455678e-01,1.610512357445512688e-01,2.220446049250313081e-16,7.740306587612095779e-01,9.585545843150736767e-01,2.580007978412008907e-01,9.966279336596343130e-01,5.898110552844287868e-01
7.602106136174604512e-01,8.528922314228519763e-01,8.841061824651255119e-01,9.389165580030840452e-01,9.250128729767514990e-01,9.192669812864493473e-01,8.973023726939414191e-01,7.026359195023779147e-01,9.865999435497204706e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.274632852267936656e-01,9.238471018588708672e-01,8.322873417036227295e-01,7.740306587612095779e-01,4.552251609232878526e-01,9.337304361847387213e-01,7.603090716953928574e-01,1.000000000000000000e+00,8.137413169084997122e-01
9.533113492788973797e-01,1.000000000000000000e+00,9.310133120144642449e-01,8.899620518781349299e-01,9.518428211894561786e-01,1.000000000000000000e+00,7.573235316445173781e-01,9.780216998270936379e-01,9.795985453982444247e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.767002897557258700e-01,1.000000000000000000e+00,9.985803567278797033e-01,9.585545843150736767e-01,9.337304361847387213e-01,0.000000000000000000e+00,9.796546433469890403e-01,9.973016177628525325e-01,9.149828651922558009e-01
2.413931087095457784e-01,1.000000000000000000e+00,7.773786727347220538e-01,9.345799981396322176e-01,8.988084989752608278e-01,8.623554840739198202e-01,8.493398572119890133e-01,2.400941534565836921e-01,9.920040594357771857e-01,8.585658330653589410e-01,1.000000000000000000e+00,9.169214225573352195e-01,8.384969671543616165e-01,3.008692497504833474e-01,2.580007978412008907e-01,7.603090716953928574e-01,9.796546433469890403e-01,0.000000000000000000e+00,9.737070697206757774e-01,7.387475302731827398e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.533171308406128697e-01,9.612186305569985212e-01,1.000000000000000000e+00,9.908901357526239684e-01,9.760494883471875216e-01,9.907398003219864968e-01,9.366596541138761944e-01,8.934330327575612518e-01,9.454378987828534475e-01,9.247970302142299870e-01,1.000000000000000000e+00,9.966279336596343130e-01,1.000000000000000000e+00,9.973016177628525325e-01,9.737070697206757774e-01,1.110223024625156540e-16,9.624690349496544117e-01
7.476214184256297912e-01,9.543222261816901586e-01,6.339788179646493882e-01,1.000000000000000000e+00,8.933273663804557341e-01,9.336982493316087206e-01,8.872364329112065739e-01,6.185440284981409409e-01,9.859146945362209369e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.394361472962833304e-01,1.000000000000000000e+00,6.443056478352082728e-01,5.898110552844287868e-01,8.137413169084997122e-01,9.149828651922558009e-01,7.387475302731827398e-01,9.624690349496544117e-01,5.000000000000000000e-01
