# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,8.845067291146089250e-01,8.587206107368233754e-01,8.381464541237912957e-01,9.208040207078689310e-01,1.000000000000000000e+00,9.188091112284836326e-01,2.736498026551429374e-01,1.000000000000000000e+00,8.381998994723891538e-01,9.591009620159207660e-01,7.964412269094888197e-01,9.205223960170568764e-01,3.464904055372766134e-01,3.430524321009646993e-01,4.922339079201206724e-01,9.143543226571991811e-01,2.438816239017549403e-01,9.284984952078035869e-01,3.841364494976016175e-01
8.845067291146089250e-01,-4.440892098500626162e-16,8.988341283854446306e-01,9.329043594514230264e-01,1.000000000000000000e+00,8.365767725597622606e-01,8.848287974378319376e-01,8.361241346112469053e-01,5.500642460372029419e-01,9.917738221751931649e-01,8.542088472105682229e-01,7.491251376278316165e-01,8.669208821837278700e-01,8.095423994625383646e-01,7.450320519388706764e-01,8.991794047309643600e-01,8.271979935962785468e-01,7.771180230431553593e-01,8.816245649415409558e-01,8.067272945249013283e-01
8.587206107368233754e-01,8.988341283854446306e-01,0.000000000000000000e+00,9.226010477158860246e-01,9.592036261870314773e-01,8.578653145664293378e-01,8.884790591582996111e-01,8.033804622784130878e-01,9.011693664770036305e-01,1.000000000000000000e+00,9.878367750516420243e-01,8.726543164557540866e-01,8.635854066398263029e-01,8.912052643938571661e-01,9.157721571056018917e-01,9.098412930251131847e-01,9.576980065423777999e-01,7.918637042742016074e-01,9.352632493020309745e-01,8.828522262950228017e-01
8.381464541237912957e-01,9.329043594514230264e-01,9.226010477158860246e-01,5.000000000000000000e-01,9.141318491071355190e-01,9.652018899196503909e-01,8.346091698714466212e-01,9.221492913008149106e-01,9.621123604853533129e-01,9.061315639947482570e-01,9.263443400620567925e-01,9.033594869003790384e-01,8.768319484542639319e-01,9.432995807545753175e-01,9.353825130322036552e-01,9.637831872784163867e-01,9.046212026605198187e-01,9.097156580328492614e-01,9.652354566288614546e-01,9.170051402264900453e-01
9.208040207078689310e-01,1.000000000000000000e+00,9.592036261870314773e-01,9.141318491071355190e-01,0.000000000000000000e+00,9.773399772756139470e-01,7.809079896703513546e-01,9.175058392968592491e-01,9.943924756234963080e-01,6.342953979980412438e-01,1.000000000000000000e+00,1.000000000000000000e+00,6.688885876621104565e-01,8.991751157750709211e-01,8.869376980459956483e-01,8.876452545622808277e-01,1.000000000000000000e+00,8.942367437129887797e-01,9.662822972796955012e-01,1.000000000000000000e+00
1.000000000000000000e+00,8.365767725597622606e-01,8.578653145664293378e-01,9.652018899196503909e-01,9.773399772756139470e-01,1.110223024625156540e-16,9.274529761228883507e-01,1.000000000000000000e+00,6.624748769332708953e-01,9.733895310073527041e-01,8.325496489385774135e-01,8.527654799208056469e-01,9.060466633766912636e-01,9.902089650651055841e-01,9.807537061311125681e-01,1.000000000000000000e+00,8.050328885265708445e-01,1.000000000000000000e+00,8.646122572964807240e-01,1.000000000000000000e+00
9.188091112284836326e-01,8.848287974378319376e-01,8.884790591582996111e-01,8.346091698714466212e-01,7.809079896703513546e-01,9.274529761228883507e-01,0.000000000000000000e+00,9.302684250801662724e-01,8.646814175606605257e-01,9.619742564183761946e-01,8.496633921506058229e-01,8.949973794714661812e-01,8.551690062703294348e-01,9.660640087337032389e-01,9.495592485674122507e-01,9.361290498143506333e-01,8.635527462882031102e-01,9.257890260607948285e-01,8.579403006172954260e-01,9.062136717861019042e-01
2.736498026551429374e-01,8.361241346112469053e-01,8.033804622784130878e-01,9.221492913008149106e-01,9.175058392968592491e-01,1.000000000000000000e+00,9.302684250801662724e-01,0.000000000000000000e+00,9.279091720213412664e-01,8.344502567338838439e-01,9.347462795106501465e-01,7.697641661435737914e-01,9.117940528020702651e-01,3.842752337771325744e-01,3.542649507829954691e-01,5.153202381197974358e-01,9.043534791673061290e-01,2.409225104947532170e-01,9.129159013197203354e-01,4.038781088457332746e-01
1.000000000000000000e+00,5.500642460372029419e-01,9.011693664770036305e-01,9.621123604853533129e-01,9.943924756234963080e-01,6.624748769332708953e-01,8.646814175606605257e-01,9.279091720213412664e-01,-2.220446049250313081e-16,9.847938845320617363e-01,6.642778247784051349e-01,9.251578667173182557e-01,8.807381165130563350e-01,9.710556232068748850e-01,9.633752271201891926e-01,8.383128042085439269e-01,6.967571419943496824e-01,1.000000000000000000e+00,7.596677651877647985e-01,9.449863642544488185e-01
8.381998994723891538e-01,9.917738221751931649e-01,1.000000000000000000e+00,9.061315639947482570e-01,6.342953979980412438e-01,9.733895310073527041e-01,9.619742564183761946e-01,8.344502567338838439e-01,9.847938845320617363e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.028700340977302563e-01,8.440765561350231927e-01,8.159023580035442702e-01,8.393193514094420271e-01,9.733672254520012723e-01,8.442140142503400391e-01,1.000000000000000000e+00,8.293780301893074469e-01
