# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,4.347782693013314548e-01,7.145704024793473330e-01,6.188528346487491838e-01,1.000000000000000000e+00,7.848294387691652219e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.038829028500289686e+00,7.768385977828706768e-01,8.437857783761097963e-01,1.135516529852801382e+00,7.147420775303092721e-01,-1.655015598486990758e-01,1.902316592462199862e-01,1.193610259295046605e+00,1.069149253071736139e+00,1.298788045811248848e-01,9.095632568942235707e-01,3.315782360327738099e-01
4.347782693013314548e-01,0.000000000000000000e+00,6.795431842481955975e-01,6.483056717944781777e-01,8.692533128735315806e-01,5.849311462982638155e-01,1.000000000000000000e+00,9.985064700994480402e-01,1.102991506720340631e+00,9.265149390668002694e-01,8.185767340241291157e-01,8.928478506296979589e-01,8.647316346906870344e-01,2.101571438066673903e-01,4.744784468399727562e-01,1.098254395376384807e+00,1.017470668853847293e+00,2.299360429117797144e-01,9.402237933663323277e-01,2.041294031482543403e-01
7.145704024793473330e-01,6.795431842481955975e-01,6.469270238612117030e-01,1.021414233897745882e+00,1.117268655141863576e+00,9.268484920776300928e-01,1.172529427223159448e+00,1.064893980512991778e+00,1.172228637132861628e+00,1.117645616538109454e+00,1.085995849379452372e+00,1.125282407647840710e+00,8.652931257671446774e-01,7.874799211929743858e-01,7.274261403559629802e-01,1.064283829421644789e+00,1.004582578793890679e+00,6.736584078256129260e-01,1.060004886036247873e+00,7.476335815346351055e-01
6.188528346487491838e-01,6.483056717944781777e-01,1.021414233897745882e+00,5.000000000000000000e-01,9.836470236671197576e-01,9.932380379500367340e-01,9.797765231955710696e-01,9.620100188073508196e-01,1.073679540170164870e+00,9.920805571787181254e-01,9.408507042760975159e-01,1.237336323790831027e+00,9.362520910418059561e-01,5.779400115151767103e-01,7.877267924130998411e-01,1.194798347832953578e+00,1.151472571401155776e+00,6.311343571778142980e-01,9.579863323791663055e-01,5.927501427734258588e-01
1.000000000000000000e+00,8.692533128735315806e-01,1.117268655141863576e+00,9.836470236671197576e-01,-2.220446049250313081e-16,1.067104531225995689e+00,9.288588540479211231e-01,9.399186287590091116e-01,1.086301711877980747e+00,7.941385500950823850e-01,9.450684336116029760e-01,1.276133242189963379e+00,1.109703322608733167e+00,1.000000000000000000e+00,9.945027146445354349e-01,1.139379978424274631e+00,1.270562086433363103e+00,9.426547556737570055e-01,9.254324538633175168e-01,9.893653503987958064e-01
7.848294387691652219e-01,5.849311462982638155e-01,9.268484920776300928e-01,9.932380379500367340e-01,1.067104531225995689e+00,5.239245872685465155e-01,1.100107269038242519e+00,1.081607728834862447e+00,1.033787444482724194e+00,1.115940337233218616e+00,9.674804004418078307e-01,1.158008912420131153e+00,9.626577071762985049e-01,5.606722959038006326e-01,5.577096513301009750e-01,1.125989876659859723e+00,1.193520164797610139e+00,5.143612081520965162e-01,9.966238166406370391e-01,7.641404138108121025e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.172529427223159448e+00,9.797765231955710696e-01,9.288588540479211231e-01,1.100107269038242519e+00,1.110223024625156540e-16,8.193653445810223923e-01,1.208559930359543344e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.329797894232532807e+00,1.168908666971199439e+00,9.759597993901550916e-01,1.000000000000000000e+00,1.247597332940408865e+00,1.278986369740940487e+00,1.000000000000000000e+00,9.721272974816961288e-01,9.698885093097989740e-01
1.000000000000000000e+00,9.985064700994480402e-01,1.064893980512991778e+00,9.620100188073508196e-01,9.399186287590091116e-01,1.081607728834862447e+00,8.193653445810223923e-01,3.330669073875469621e-16,1.036355334202533784e+00,9.570292438558508641e-01,1.000000000000000000e+00,1.072121646223001878e+00,1.024696292079302795e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.190211875061020663e+00,1.121935065965281142e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.038829028500289686e+00,1.102991506720340631e+00,1.172228637132861628e+00,1.073679540170164870e+00,1.086301711877980747e+00,1.033787444482724194e+00,1.208559930359543344e+00,1.036355334202533784e+00,0.000000000000000000e+00,1.128255043819234915e+00,1.115755783176744620e+00,1.244890283065659631e+00,1.188590108309069304e+00,1.021843034927909954e+00,1.012450813562542073e+00,1.167224742409516791e+00,1.312339786778491835e+00,1.100513363113195586e+00,1.123107368110890514e+00,1.013968177748872268e+00
7.768385977828706768e-01,9.265149390668002694e-01,1.117645616538109454e+00,9.920805571787181254e-01,7.941385500950823850e-01,1.115940337233218616e+00,1.000000000000000000e+00,9.570292438558508641e-01,1.128255043819234915e+00,2.220446049250313081e-16,7.883802597937544787e-01,1.191962048557341669e+00,1.082773334445631841e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.117438517212183680e+00,1.127201626613523633e+00,9.755394584536298819e-01,9.251661043846726162e-01,1.000000000000000000e+00
