# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,7.772608480482587900e-01,1.000000000000000000e+00,9.417941784016878870e-01,8.359188289483510115e-01,7.929918381836710273e-01,9.651268405411012052e-01,8.108800002316511879e-01,9.442110569836382750e-01,8.123160816716485932e-01,9.837541474741108294e-01,9.279610702872319594e-01,7.525293203800056396e-01,7.857218274768190680e-01,8.230631074918933754e-01,8.983550711719370252e-01,9.616615828909181873e-01,2.148240720623111333e-01,9.237998535232391228e-01,7.672173644684492366e-01
7.772608480482587900e-01,5.000000000000000000e-01,8.386022484299593405e-01,8.616682750979829386e-01,9.923366271762912305e-01,7.896721083229905069e-01,8.670677218655586938e-01,9.736559681801892907e-01,7.509610827044028714e-01,8.593226069117900767e-01,9.076128254364603798e-01,9.830043201690652488e-01,9.195408392923811736e-01,9.635994463225574513e-01,9.673100547165549568e-01,8.836907641368179078e-01,9.056586615899565595e-01,7.646359885214785157e-01,8.433328629230364415e-01,9.798797866741074669e-01
1.000000000000000000e+00,8.386022484299593405e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.751789320707650033e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.814262966465896465e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.417941784016878870e-01,8.616682750979829386e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.426114248268038232e-01,7.618062575148790705e-01,9.542137695964881816e-01,9.335656438797045320e-01,9.910859332959598422e-01,1.000000000000000000e+00,9.760357441551894553e-01,7.486260500061678869e-01,7.009322949361876942e-01,9.478023364761855030e-01,9.624626570774691414e-01,7.138956204892892288e-01,9.589526284623627328e-01,9.166682623842187239e-01,9.404710817268605583e-01,9.470741547996435195e-01
8.359188289483510115e-01,9.923366271762912305e-01,1.000000000000000000e+00,9.426114248268038232e-01,2.220446049250313081e-16,1.000000000000000000e+00,9.627640193070124974e-01,9.768667501442758194e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.122989555886273916e-01,9.596859673694633219e-01,9.776098160820161365e-01,9.469282268639656053e-01,9.404998926566513484e-01,9.459564700904576906e-01,9.660601757824650582e-01,8.583589796846107234e-01,9.434400993424058024e-01,9.559508967700163229e-01
7.929918381836710273e-01,7.896721083229905069e-01,1.000000000000000000e+00,7.618062575148790705e-01,1.000000000000000000e+00,0.000000000000000000e+00,8.055129256945932070e-01,1.000000000000000000e+00,7.502494076032226733e-01,9.781195918476387474e-01,7.932723128808596424e-01,1.000000000000000000e+00,9.381028738210254181e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.719299225180832336e-01,1.000000000000000000e+00,7.679472025492903864e-01,9.186966001038382457e-01,9.388588343840260642e-01
9.651268405411012052e-01,8.670677218655586938e-01,1.000000000000000000e+00,9.542137695964881816e-01,9.627640193070124974e-01,8.055129256945932070e-01,2.220446049250313081e-16,9.622529671661010919e-01,8.242940797155441368e-01,1.000000000000000000e+00,3.620661219048347812e-01,9.637362504795659035e-01,8.964319161545948322e-01,9.531470477036537714e-01,9.331164383003371920e-01,9.065190934049210947e-01,5.630715382720639095e-01,9.421956235930019075e-01,4.315477472412775350e-01,9.495550070833916889e-01
8.108800002316511879e-01,9.736559681801892907e-01,9.751789320707650033e-01,9.335656438797045320e-01,9.768667501442758194e-01,1.000000000000000000e+00,9.622529671661010919e-01,3.330669073875469621e-16,8.972975260982444246e-01,9.311643466759014220e-01,1.000000000000000000e+00,9.633329571417458270e-01,9.695657426781096877e-01,4.848247938503972287e-01,6.923736022755877517e-01,7.002645883694618156e-01,9.734536649020555377e-01,7.960132909466126616e-01,1.000000000000000000e+00,4.323628614140175852e-01
9.442110569836382750e-01,7.509610827044028714e-01,1.000000000000000000e+00,9.910859332959598422e-01,1.000000000000000000e+00,7.502494076032226733e-01,8.242940797155441368e-01,8.972975260982444246e-01,0.000000000000000000e+00,1.000000000000000000e+00,7.885294466548351533e-01,9.266517518353779570e-01,9.431743760655855180e-01,9.561357304574118476e-01,9.441272495923709318e-01,9.716563242866740335e-01,8.984481675351179142e-01,9.271284003724258316e-01,7.929129986281996390e-01,9.356164895515113322e-01
8.123160816716485932e-01,8.593226069117900767e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.781195918476387474e-01,1.000000000000000000e+00,9.311643466759014220e-01,1.000000000000000000e+00,2.220446049250313081e-16,1.000000000000000000e+00,8.653458253273300649e-01,1.000000000000000000e+00,9.296859928025689168e-01,9.215520275301266606e-01,9.133918048748536078e-01,1.000000000000000000e+00,7.631581833113574298e-01,9.564589850583242736e-01,9.740235449294369907e-01
