# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,1.000000000000000000e+00,9.970329802872668346e-01,9.400282747207903133e-01,9.847337215285091316e-01,8.930214724195673082e-01,1.000000000000000000e+00,9.248800223525613928e-01,8.990008739736863319e-01,1.000000000000000000e+00,9.509232716074327296e-01,9.338703445594372932e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.933324927847025032e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.887383941544219956e-01,9.393333597114265077e-01
1.000000000000000000e+00,-2.220446049250313081e-16,8.912966009794149880e-01,9.591490980778649700e-01,9.050137476208625076e-01,4.752566178929811258e-01,1.000000000000000000e+00,9.366296632021149371e-01,6.004083094084706751e-01,1.000000000000000000e+00,9.468135945193372205e-01,7.286989678850518404e-01,9.406639546541131214e-01,9.353273624166212885e-01,1.000000000000000000e+00,8.992319580614562824e-01,1.000000000000000000e+00,8.813415583965317213e-01,9.082898092258485656e-01,1.000000000000000000e+00
9.970329802872668346e-01,8.912966009794149880e-01,-2.220446049250313081e-16,9.588213480558153146e-01,9.084811013904843247e-01,8.131472908704397984e-01,9.671544852968456674e-01,9.753230113031186033e-01,7.992247921574260339e-01,8.688836457394372159e-01,9.390713183505232653e-01,8.037721615963739907e-01,8.314478501891506834e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.332149564135490349e-01,9.822893451684838739e-01,7.593923288984012476e-01,1.000000000000000000e+00,8.254380671065832953e-01
9.400282747207903133e-01,9.591490980778649700e-01,9.588213480558153146e-01,0.000000000000000000e+00,9.003966437055835881e-01,9.914121613297764979e-01,9.672158919507310992e-01,9.372118529100432749e-01,9.379643120726945948e-01,1.000000000000000000e+00,9.542017692459825451e-01,9.718283054500488349e-01,1.000000000000000000e+00,8.651227952458001580e-01,8.797320127044834237e-01,8.762613533308236669e-01,9.731919234731716273e-01,8.705295844674463268e-01,9.114755542536162602e-01,9.013588344238879779e-01
9.847337215285091316e-01,9.050137476208625076e-01,9.084811013904843247e-01,9.003966437055835881e-01,3.330669073875469621e-16,9.123342408927482827e-01,9.639114594401608782e-01,7.635239317881545862e-01,8.650879487168640081e-01,1.000000000000000000e+00,9.561919931217228719e-01,8.913258253562356126e-01,9.788650783084551499e-01,9.270829300736482814e-01,9.876198138093960077e-01,9.396946605998605095e-01,9.533928284391754993e-01,8.151278570951034919e-01,7.913884164228919271e-01,8.089153226665858343e-01
8.930214724195673082e-01,4.752566178929811258e-01,8.131472908704397984e-01,9.914121613297764979e-01,9.123342408927482827e-01,1.110223024625156540e-16,1.000000000000000000e+00,9.509788803391319156e-01,3.948564467824844382e-01,1.000000000000000000e+00,1.000000000000000000e+00,5.254945626417795168e-01,8.344615730606781412e-01,9.581683800534968043e-01,1.000000000000000000e+00,8.318463167994806229e-01,1.000000000000000000e+00,6.140677891542843936e-01,9.252179669049191979e-01,9.717838288642332012e-01
1.000000000000000000e+00,1.000000000000000000e+00,9.671544852968456674e-01,9.672158919507310992e-01,9.639114594401608782e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.687304300988843764e-01,1.000000000000000000e+00,9.741759663318048101e-01,3.726784839692701690e-01,9.888361241972040139e-01,9.832782676437576974e-01,1.000000000000000000e+00,9.658304739725124266e-01,9.726979248836127301e-01,3.569169333627710827e-01,9.658079105651429241e-01,9.431378657491980011e-01,9.529285716786370930e-01
9.248800223525613928e-01,9.366296632021149371e-01,9.753230113031186033e-01,9.372118529100432749e-01,7.635239317881545862e-01,9.509788803391319156e-01,9.687304300988843764e-01,4.863323506001419605e-01,8.895102201611443382e-01,9.965645466623258564e-01,9.669035674833956762e-01,7.340321408163729133e-01,9.347491272979799870e-01,6.900127171088892286e-01,7.446345851946545302e-01,8.285578757029665731e-01,9.408059406341044983e-01,8.308545307246798517e-01,8.894933086793908039e-01,7.572457320343285447e-01
8.990008739736863319e-01,6.004083094084706751e-01,7.992247921574260339e-01,9.379643120726945948e-01,8.650879487168640081e-01,3.948564467824844382e-01,1.000000000000000000e+00,8.895102201611443382e-01,2.220446049250313081e-16,9.650777361022255807e-01,1.000000000000000000e+00,5.865251326478910787e-01,5.593881829904893133e-01,9.979358810067264773e-01,1.000000000000000000e+00,7.667600333240657262e-01,1.000000000000000000e+00,5.634590204962386384e-01,8.812276414958257753e-01,9.305978294619149382e-01
1.000000000000000000e+00,1.000000000000000000e+00,8.688836457394372159e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.741759663318048101e-01,9.965645466623258564e-01,9.650777361022255807e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.652096601037226664e-01,9.227031816398250097e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.468551279881080029e-01,1.000000000000000000e+00,9.388295789118085155e-01,1.000000000000000000e+00,9.558801093974717000e-01
9.509232716074327296e-01,9.468135945193372205e-01,9.390713183505232653e-01,9.542017692459825451e-01,9.561919931217228719e-01,1.000000000000000000e+00,3.726784839692701690e-01,9.669035674833956762e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.330041744061339237e-01,9.329212252062097921e-01,9.992304592329817048e-01,3.448029822063658489e-01,1.000000000000000000e+00,8.637300692038276662e-01,9.197867634017563576e-01
9.338703445594372932e-01,7.286989678850518404e-01,8.037721615963739907e-01,9.718283054500488349e-01,8.913258253562356126e-01,5.254945626417795168e-01,9.888361241972040139e-01,7.340321408163729133e-01,5.865251326478910787e-01,9.652096601037226664e-01,1.000000000000000000e+00,3.330669073875469621e-16,8.286349632392024933e-01,9.344130135867640963e-01,1.000000000000000000e+00,9.225427528681722222e-01,1.000000000000000000e+00,6.884839794099471000e-01,9.152825947661205053e-01,9.331991815252448363e-01
1.000000000000000000e+00,9.406639546541131214e-01,8.314478501891506834e-01,1.000000000000000000e+00,9.788650783084551499e-01,8.344615730606781412e-01,9.832782676437576974e-01,9.347491272979799870e-01,5.593881829904893133e-01,9.227031816398250097e-01,1.000000000000000000e+00,8.286349632392024933e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.800185648685516560e-01,7.300789124373456840e-01,9.769557199625880095e-01,9.521940764916573263e-01
1.000000000000000000e+00,9.353273624166212885e-01,1.000000000000000000e+00,8.651227952458001580e-01,9.270829300736482814e-01,9.581683800534968043e-01,1.000000000000000000e+00,6.900127171088892286e-01,9.979358810067264773e-01,1.000000000000000000e+00,9.330041744061339237e-01,9.344130135867640963e-01,1.000000000000000000e+00,0.000000000000000000e+00,3.187861321121462366e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.048427101532968697e-01,1.000000000000000000e+00,9.536149328035484762e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.797320127044834237e-01,9.876198138093960077e-01,1.000000000000000000e+00,9.658304739725124266e-01,7.446345851946545302e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.329212252062097921e-01,1.000000000000000000e+00,1.000000000000000000e+00,3.187861321121462366e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.845244948111012695e-01,5.545097522560209491e-01,1.000000000000000000e+00,8.732288365372548045e-01
8.933324927847025032e-01,8.992319580614562824e-01,8.332149564135490349e-01,8.762613533308236669e-01,9.396946605998605095e-01,8.318463167994806229e-01,9.726979248836127301e-01,8.285578757029665731e-01,7.667600333240657262e-01,9.468551279881080029e-01,9.992304592329817048e-01,9.225427528681722222e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.110223024625156540e-16,1.000000000000000000e+00,9.205262285062001393e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,9.822893451684838739e-01,9.731919234731716273e-01,9.533928284391754993e-01,1.000000000000000000e+00,3.569169333627710827e-01,9.408059406341044983e-01,1.000000000000000000e+00,1.000000000000000000e+00,3.448029822063658489e-01,1.000000000000000000e+00,9.800185648685516560e-01,1.000000000000000000e+00,9.845244948111012695e-01,1.000000000000000000e+00,2.220446049250313081e-16,1.000000000000000000e+00,9.802192407738951063e-01,9.157437772230424544e-01
1.000000000000000000e+00,8.813415583965317213e-01,7.593923288984012476e-01,8.705295844674463268e-01,8.151278570951034919e-01,6.140677891542843936e-01,9.658079105651429241e-01,8.308545307246798517e-01,5.634590204962386384e-01,9.388295789118085155e-01,1.000000000000000000e+00,6.884839794099471000e-01,7.300789124373456840e-01,9.048427101532968697e-01,5.545097522560209491e-01,9.205262285062001393e-01,1.000000000000000000e+00,0.000000000000000000e+00,8.323431030054349034e-01,9.604733040994273274e-01
9.887383941544219956e-01,9.082898092258485656e-01,1.000000000000000000e+00,9.114755542536162602e-01,7.913884164228919271e-01,9.252179669049191979e-01,9.431378657491980011e-01,8.894933086793908039e-01,8.812276414958257753e-01,1.000000000000000000e+00,8.637300692038276662e-01,9.152825947661205053e-01,9.769557199625880095e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.802192407738951063e-01,8.323431030054349034e-01,-2.220446049250313081e-16,9.295510281792042084e-01
9.393333597114265077e-01,1.000000000000000000e+00,8.254380671065832953e-01,9.013588344238879779e-01,8.089153226665858343e-01,9.717838288642332012e-01,9.529285716786370930e-01,7.572457320343285447e-01,9.305978294619149382e-01,9.558801093974717000e-01,9.197867634017563576e-01,9.331991815252448363e-01,9.521940764916573263e-01,9.536149328035484762e-01,8.732288365372548045e-01,1.000000000000000000e+00,9.157437772230424544e-01,9.604733040994273274e-01,9.295510281792042084e-01,2.220446049250313081e-16
