# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.396819831909645204e-01,1.000000000000000000e+00,9.466138591957348192e-01,8.912698422294293987e-01,1.000000000000000000e+00,9.091081726728341694e-01,9.832748442031453706e-01,1.000000000000000000e+00,4.316965755696746676e-01,9.675110354205619378e-01,9.797791945119881385e-01,9.790552772955063432e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.763550348712134008e-01,9.757189081048299739e-01,5.715884429008186718e-01
9.396819831909645204e-01,1.594910908049158860e-01,9.999094108716872764e-01,1.000000000000000000e+00,9.508226347488013541e-01,7.627455051790399398e-01,8.176221072898746112e-01,9.685860927662577335e-01,4.334105099147972928e-01,7.372594727220155297e-01,9.901523022601895763e-01,9.346749632166314603e-01,9.765365820349116710e-01,9.702330580665706750e-01,9.613034553966417484e-01,9.743414098796620015e-01,4.922936943961601641e-01,8.771807683340939743e-01,9.862047863711350670e-01,8.920484568481485965e-01
1.000000000000000000e+00,9.999094108716872764e-01,1.110223024625156540e-16,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.591443909914114219e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.835540546307949050e-01,5.778946982791441922e-01,9.188156463303935872e-01,9.705190175978861689e-01,1.000000000000000000e+00,9.519275458404252710e-01,7.392571210724252495e-01
9.466138591957348192e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,5.851710596337607040e-01,1.000000000000000000e+00,9.725451604702796127e-01,7.908468113482349793e-01,9.621393672803649766e-01,8.437686146203364768e-01,8.181653920398552771e-01,3.160351494147424223e-01,9.208039561508714055e-01,9.045475059465429846e-01,9.457884890163709146e-01,8.676708219252027288e-01,9.620040484972233186e-01,7.924931753811359503e-01,9.525965105099365449e-01
8.912698422294293987e-01,9.508226347488013541e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,8.862951401000377372e-01,1.000000000000000000e+00,9.369831838210399555e-01,7.890453185806263203e-01,9.470817042432808641e-01,9.872241060868585105e-01,9.034753828750087257e-01,1.000000000000000000e+00,9.525451163751964545e-01,9.319600863624050158e-01,9.060034298241261830e-01,1.000000000000000000e+00,8.929809991554341631e-01,9.779111690356442343e-01,8.729281416521819104e-01
1.000000000000000000e+00,7.627455051790399398e-01,1.000000000000000000e+00,5.851710596337607040e-01,8.862951401000377372e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.969947450850486170e-01,3.335200066044231582e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.481512742351954293e-01,9.472058462206701668e-01,8.470876078888839311e-01,1.000000000000000000e+00,7.628301398022337976e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.091081726728341694e-01,8.176221072898746112e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.849785061222067206e-01,7.697870528042434213e-01,7.678525743875396214e-01,8.041601444724773007e-01,9.298316728645887874e-01,9.680105605333985119e-01,9.754026718087410730e-01,9.424920090198400935e-01,9.800929714212995858e-01,5.585874250319413648e-01,9.543980868078946189e-01,6.834252146936492522e-01,9.416061469286794994e-01
9.832748442031453706e-01,9.685860927662577335e-01,6.591443909914114219e-01,9.725451604702796127e-01,9.369831838210399555e-01,8.969947450850486170e-01,9.849785061222067206e-01,3.676869446586690238e-01,1.000000000000000000e+00,9.216843499542650697e-01,9.325313226184130944e-01,9.368436320987634236e-01,7.329240626832542738e-01,5.266393798413359084e-01,4.437103266289010306e-01,5.771545444578616291e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.613069465538246483e-01,4.091733382157848320e-01
1.000000000000000000e+00,4.334105099147972928e-01,1.000000000000000000e+00,7.908468113482349793e-01,7.890453185806263203e-01,3.335200066044231582e-01,7.697870528042434213e-01,1.000000000000000000e+00,0.000000000000000000e+00,8.888776915790916888e-01,1.000000000000000000e+00,9.131712762155049790e-01,7.007724727673330101e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.577532945805209863e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.640884302862453570e-01
4.316965755696746676e-01,7.372594727220155297e-01,1.000000000000000000e+00,9.621393672803649766e-01,9.470817042432808641e-01,1.000000000000000000e+00,7.678525743875396214e-01,9.216843499542650697e-01,8.888776915790916888e-01,0.000000000000000000e+00,7.780747526471611941e-01,9.560622400360951900e-01,9.501495926018305171e-01,3.240203310457651087e-01,3.077142772344254595e-01,1.000000000000000000e+00,9.127602448138288915e-01,6.158276206343444859e-01,7.571475432447558607e-01,7.103967708366771827e-01
