# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,9.733654250632652882e-01,1.000000000000000000e+00,9.741498641140585724e-01,9.410520649333691257e-01,1.000000000000000000e+00,9.430309065301534233e-01,1.000000000000000000e+00,9.555508511090939905e-01,1.000000000000000000e+00,9.232581796978934774e-01,1.130130150586696081e+00,9.413880700299220861e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.855158140067510342e-01,9.086970596641226194e-01,1.000000000000000000e+00,9.745064161730392360e-01,6.034948515669886770e-01
9.733654250632652882e-01,2.220446049250313081e-16,8.902370254126645843e-01,9.175576564003957714e-01,9.594247247233060882e-01,4.864158254414479021e-01,1.000000000000000000e+00,8.435656832995982457e-01,9.973612681227821408e-01,8.521090378219647876e-01,9.351567021378659472e-01,7.557279736761612909e-01,9.824356745230712340e-01,9.356375585799476813e-01,8.523234425543153581e-01,9.067351646087478123e-01,1.000000000000000000e+00,8.473663103358148874e-01,1.000000000000000000e+00,9.742101701379141110e-01
1.000000000000000000e+00,8.902370254126645843e-01,2.220446049250313081e-16,5.574967776511132733e-01,9.416231822104547122e-01,8.143208748463117708e-01,7.571062738301295170e-01,9.246941173705259809e-01,8.701094808043196016e-01,9.598246461246002781e-01,8.618347590037211958e-01,9.800474938490326693e-01,6.381507680922053893e-01,7.895914538010685435e-01,7.460235417853711137e-01,8.480968929582985982e-01,8.764868163614321084e-01,7.241426451562509303e-01,8.145239091227403083e-01,1.000000000000000000e+00
9.741498641140585724e-01,9.175576564003957714e-01,5.574967776511132733e-01,0.000000000000000000e+00,7.997851722029355459e-01,7.978668270903591653e-01,9.113421114735480444e-01,1.000000000000000000e+00,8.725184641704658572e-01,8.326789771938960527e-01,8.247537802201209134e-01,9.957276050981250792e-01,5.400190622196350265e-01,7.812789933787993579e-01,7.983414892329002699e-01,9.038430583294511100e-01,8.461937694177078528e-01,7.223652106102032011e-01,8.210566924697623170e-01,9.222081855660275718e-01
9.410520649333691257e-01,9.594247247233060882e-01,9.416231822104547122e-01,7.997851722029355459e-01,2.220446049250313081e-16,1.000000000000000000e+00,9.160937834402584912e-01,9.597142903318237606e-01,1.000000000000000000e+00,7.125465813419018524e-01,9.063859958889421975e-01,1.066195205273360314e+00,9.030585858614259553e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.263886005777937305e-01,8.530739698718282638e-01,9.445013812429725597e-01,8.309955243776859790e-01,8.601073603620997821e-01
1.000000000000000000e+00,4.864158254414479021e-01,8.143208748463117708e-01,7.978668270903591653e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.603440020114484277e-01,8.761301628337060388e-01,9.599832509703277728e-01,8.846081668585298319e-01,9.880620775980055726e-01,8.558660110476615790e-01,1.000000000000000000e+00,9.890148214862655163e-01,9.009689321394279693e-01,5.186209913108165148e-01,1.000000000000000000e+00,8.883135908771706557e-01,8.440425146377787957e-01,1.000000000000000000e+00
9.430309065301534233e-01,1.000000000000000000e+00,7.571062738301295170e-01,9.113421114735480444e-01,9.160937834402584912e-01,9.603440020114484277e-01,-2.220446049250313081e-16,9.167610829314252197e-01,9.789038209957379166e-01,8.447490248990250361e-01,5.501143432271048406e-01,1.043446961803518924e+00,8.457298409357422164e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.132165225980716450e-01,5.207507630846914815e-01,9.960250416341831503e-01,5.138840435228606562e-01,9.315142571797134785e-01
1.000000000000000000e+00,8.435656832995982457e-01,9.246941173705259809e-01,1.000000000000000000e+00,9.597142903318237606e-01,8.761301628337060388e-01,9.167610829314252197e-01,0.000000000000000000e+00,9.561488261234074582e-01,8.759467060846948261e-01,9.375286570902626737e-01,9.701230785114173250e-01,1.000000000000000000e+00,9.580474215951646499e-01,9.949284919692198415e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.388463173362238123e-01,8.216845045914308310e-01,1.000000000000000000e+00
9.555508511090939905e-01,9.973612681227821408e-01,8.701094808043196016e-01,8.725184641704658572e-01,1.000000000000000000e+00,9.599832509703277728e-01,9.789038209957379166e-01,9.561488261234074582e-01,5.000000000000000000e-01,9.764171157228941356e-01,9.909792329834556934e-01,9.957894900294887996e-01,8.116379657395977887e-01,6.718882097672742582e-01,7.074755419206230078e-01,9.888534652288185622e-01,9.673045069866601509e-01,8.420811339386982119e-01,9.890467976723269494e-01,9.565398548650924093e-01
1.000000000000000000e+00,8.521090378219647876e-01,9.598246461246002781e-01,8.326789771938960527e-01,7.125465813419018524e-01,8.846081668585298319e-01,8.447490248990250361e-01,8.759467060846948261e-01,9.764171157228941356e-01,0.000000000000000000e+00,8.489071836609719535e-01,9.888722804935653476e-01,8.173612705363092479e-01,9.549975901447206317e-01,8.819756803649488885e-01,8.846025591621375916e-01,9.702441342900839372e-01,8.435435033543311478e-01,9.044348410756378742e-01,1.000000000000000000e+00
9.232581796978934774e-01,9.351567021378659472e-01,8.618347590037211958e-01,8.247537802201209134e-01,9.063859958889421975e-01,9.880620775980055726e-01,5.501143432271048406e-01,9.375286570902626737e-01,9.909792329834556934e-01,8.489071836609719535e-01,0.000000000000000000e+00,1.053174383134963810e+00,7.226170050932754219e-01,8.779333626443710514e-01,8.873330619400052743e-01,7.965712049079247681e-01,3.529860633042513074e-01,9.560592248994880249e-01,3.985186801335509621e-01,9.271890321896457676e-01
1.130130150586696081e+00,7.557279736761612909e-01,9.800474938490326693e-01,9.957276050981250792e-01,1.066195205273360314e+00,8.558660110476615790e-01,1.043446961803518924e+00,9.701230785114173250e-01,9.957894900294887996e-01,9.888722804935653476e-01,1.053174383134963810e+00,2.220446049250313081e-16,1.105200174625678100e+00,9.610551576013727226e-01,1.064553565240729638e+00,1.062675034398770757e+00,1.119269893410688388e+00,8.706393285127264070e-01,9.837903108294278054e-01,1.131460716805642086e+00
9.413880700299220861e-01,9.824356745230712340e-01,6.381507680922053893e-01,5.400190622196350265e-01,9.030585858614259553e-01,1.000000000000000000e+00,8.457298409357422164e-01,1.000000000000000000e+00,8.116379657395977887e-01,8.173612705363092479e-01,7.226170050932754219e-01,1.105200174625678100e+00,2.220446049250313081e-16,7.352451270358970614e-01,7.326789688399956146e-01,7.731396032866355572e-01,8.120447605926717216e-01,9.370662431106869805e-01,8.097911841752665207e-01,9.287641226350389356e-01
1.000000000000000000e+00,9.356375585799476813e-01,7.895914538010685435e-01,7.812789933787993579e-01,1.000000000000000000e+00,9.890148214862655163e-01,1.000000000000000000e+00,9.580474215951646499e-01,6.718882097672742582e-01,9.549975901447206317e-01,8.779333626443710514e-01,9.610551576013727226e-01,7.352451270358970614e-01,0.000000000000000000e+00,1.003181612180187310e-01,9.952681448181064372e-01,1.000000000000000000e+00,6.563602387089091383e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,8.523234425543153581e-01,7.460235417853711137e-01,7.983414892329002699e-01,1.000000000000000000e+00,9.009689321394279693e-01,1.000000000000000000e+00,9.949284919692198415e-01,7.074755419206230078e-01,8.819756803649488885e-01,8.873330619400052743e-01,1.064553565240729638e+00,7.326789688399956146e-01,1.003181612180187310e-01,1.110223024625156540e-16,1.000000000000000000e+00,1.000000000000000000e+00,6.471779992825746897e-01,9.719674544537730831e-01,1.000000000000000000e+00
9.855158140067510342e-01,9.067351646087478123e-01,8.480968929582985982e-01,9.038430583294511100e-01,8.263886005777937305e-01,5.186209913108165148e-01,8.132165225980716450e-01,1.000000000000000000e+00,9.888534652288185622e-01,8.846025591621375916e-01,7.965712049079247681e-01,1.062675034398770757e+00,7.731396032866355572e-01,9.952681448181064372e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.593837691011308788e-01,6.558025692120649230e-01,8.586769333096666568e-01,9.771698743246474139e-01
9.086970596641226194e-01,1.000000000000000000e+00,8.764868163614321084e-01,8.461937694177078528e-01,8.530739698718282638e-01,1.000000000000000000e+00,5.207507630846914815e-01,1.000000000000000000e+00,9.673045069866601509e-01,9.702441342900839372e-01,3.529860633042513074e-01,1.119269893410688388e+00,8.120447605926717216e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.593837691011308788e-01,-2.220446049250313081e-16,9.342999329393899544e-01,4.294020218424348112e-01,9.746501791173083351e-01
1.000000000000000000e+00,8.473663103358148874e-01,7.241426451562509303e-01,7.223652106102032011e-01,9.445013812429725597e-01,8.883135908771706557e-01,9.960250416341831503e-01,9.388463173362238123e-01,8.420811339386982119e-01,8.435435033543311478e-01,9.560592248994880249e-01,8.706393285127264070e-01,9.370662431106869805e-01,6.563602387089091383e-01,6.471779992825746897e-01,6.558025692120649230e-01,9.342999329393899544e-01,1.110223024625156540e-16,9.679280454134939760e-01,1.000000000000000000e+00
9.745064161730392360e-01,1.000000000000000000e+00,8.145239091227403083e-01,8.210566924697623170e-01,8.309955243776859790e-01,8.440425146377787957e-01,5.138840435228606562e-01,8.216845045914308310e-01,9.890467976723269494e-01,9.044348410756378742e-01,3.985186801335509621e-01,9.837903108294278054e-01,8.097911841752665207e-01,1.000000000000000000e+00,9.719674544537730831e-01,8.586769333096666568e-01,4.294020218424348112e-01,9.679280454134939760e-01,1.110223024625156540e-16,9.417945597885203357e-01
6.034948515669886770e-01,9.742101701379141110e-01,1.000000000000000000e+00,9.222081855660275718e-01,8.601073603620997821e-01,1.000000000000000000e+00,9.315142571797134785e-01,1.000000000000000000e+00,9.565398548650924093e-01,1.000000000000000000e+00,9.271890321896457676e-01,1.131460716805642086e+00,9.287641226350389356e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.771698743246474139e-01,9.746501791173083351e-01,1.000000000000000000e+00,9.417945597885203357e-01,2.220446049250313081e-16
