# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,9.328712999999471123e-01,9.055078733579525752e-01,1.000000000000000000e+00,9.217529054135777944e-01,8.246307423445828899e-01,8.920689454323375012e-01,8.504601066964392331e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.133343549385831706e-01,9.281958189836116979e-01,9.317662270734595742e-01,8.450703035354359960e-01,6.345360784403824006e-01,8.663732986147333337e-01,9.570978896048883966e-01,8.238306306039561155e-01,1.000000000000000000e+00,9.227532961079711882e-01
9.328712999999471123e-01,1.110223024625156540e-16,1.000000000000000000e+00,1.000000000000000000e+00,8.860273281057428063e-01,7.098360375639082287e-01,1.000000000000000000e+00,8.647508926642324401e-01,7.831001002410447054e-01,8.267068376602523250e-01,9.154492313710593798e-01,8.535518331814186954e-01,9.931637912493244125e-01,8.585503471490296690e-01,9.796294698392434830e-01,9.227728182575453131e-01,8.682505571409718792e-01,7.824728709150537975e-01,1.000000000000000000e+00,8.271550301695412832e-01
9.055078733579525752e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.010216974157712055e-01,9.131760772764140333e-01,1.000000000000000000e+00,8.339025945259501693e-01,7.903887812202533558e-01,7.767676097955924508e-01,9.378363784398512371e-01,8.930198934011965850e-01,8.240605357279466858e-01,9.363817231081046355e-01,8.640834472969589619e-01,9.294526191608997179e-01,9.795893690857052638e-01,8.334408830085088260e-01,9.242435253386580563e-01,9.887770328348712834e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.748769328088375818e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.595171816431685707e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.318629742497892554e-01,1.000000000000000000e+00
9.217529054135777944e-01,8.860273281057428063e-01,9.010216974157712055e-01,1.000000000000000000e+00,0.000000000000000000e+00,8.566917856353805094e-01,9.872316001878520542e-01,8.414228180870961804e-01,8.470950105499073235e-01,9.518330978745263016e-01,8.402769778480329022e-01,9.027473576544755574e-01,9.254865197426703771e-01,9.112656540389223458e-01,8.966234384428530824e-01,9.735937879272715811e-01,9.796211777533717635e-01,9.082892627554255416e-01,8.920531981431053525e-01,9.543462916836404908e-01
8.246307423445828899e-01,7.098360375639082287e-01,9.131760772764140333e-01,1.000000000000000000e+00,8.566917856353805094e-01,1.110223024625156540e-16,8.737579017675182191e-01,6.143193373312150207e-01,7.529971860200479483e-01,9.264714871110798500e-01,8.517651794304142987e-01,9.243335637767733370e-01,9.549546890756320794e-01,7.790587894570517591e-01,5.944225593995516865e-01,7.496095749628863825e-01,8.025231885532446707e-01,9.447388669668874694e-01,1.000000000000000000e+00,7.171070798731264961e-01
8.920689454323375012e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.872316001878520542e-01,8.737579017675182191e-01,0.000000000000000000e+00,9.608295836212072949e-01,1.000000000000000000e+00,8.998236266553724105e-01,1.000000000000000000e+00,9.036050308837634271e-01,9.701574495821603250e-01,9.731616748826792396e-01,1.000000000000000000e+00,9.688711256544387806e-01,9.307078788737931374e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.455814840426488566e-01
8.504601066964392331e-01,8.647508926642324401e-01,8.339025945259501693e-01,1.000000000000000000e+00,8.414228180870961804e-01,6.143193373312150207e-01,9.608295836212072949e-01,5.000000000000000000e-01,8.164234849096900781e-01,9.154389757232539448e-01,8.902381270204051678e-01,8.298689111764211424e-01,9.355990108781785386e-01,7.243115941446744976e-01,7.938010905828092323e-01,7.324562960353513397e-01,8.852724621109586689e-01,8.167312976588905205e-01,9.644697737804154292e-01,7.822336661005824254e-01
1.000000000000000000e+00,7.831001002410447054e-01,7.903887812202533558e-01,9.748769328088375818e-01,8.470950105499073235e-01,7.529971860200479483e-01,1.000000000000000000e+00,8.164234849096900781e-01,5.000000000000000000e-01,9.040717834415711307e-01,9.287101141570073271e-01,8.835960451332681709e-01,9.566222551262529850e-01,9.469317651518749379e-01,7.984661406736301981e-01,9.567012806435125638e-01,9.443053625335104950e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.019704467218122579e-01
1.000000000000000000e+00,8.267068376602523250e-01,7.767676097955924508e-01,1.000000000000000000e+00,9.518330978745263016e-01,9.264714871110798500e-01,8.998236266553724105e-01,9.154389757232539448e-01,9.040717834415711307e-01,0.000000000000000000e+00,9.578131706697029513e-01,8.349171265301787992e-01,9.753522068456623728e-01,9.575147094780434021e-01,9.665094019833962991e-01,9.580901765865295072e-01,9.342922271390740052e-01,1.000000000000000000e+00,9.743705567091262010e-01,9.564849333800096165e-01
