# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,1.000000000000000000e+00,8.726666665229787512e-01,8.826109531548210763e-01,8.933603703737734714e-01,9.433337682293054804e-01,8.697989387762117275e-01,9.241540246378884271e-01,8.442919653621487885e-01,1.713722066563238000e-01,8.499697132715984260e-01,8.830814652959242395e-01,1.000000000000000000e+00,-6.654578463835691959e-01,1.181589618430339828e-01,9.798551739651366610e-01,1.000000000000000000e+00,2.076288751898429652e-01,9.805201698834370427e-01,6.690847289293873068e-01
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.758673800908866935e-01,8.319090016770650520e-01,3.026927082568269256e-01,8.382674861338402783e-01,9.525461071597469687e-01,7.369126406522314987e-01,7.987958583469457752e-01,8.836233239689524899e-01,4.774285087046893361e-01,4.677122981502820354e-01,8.789623180055685658e-01,9.151419539376669521e-01,9.856557183911723863e-01,1.000000000000000000e+00,7.731713410909386575e-01,8.873662989846320404e-01,9.442832993759147087e-01
8.726666665229787512e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,8.798547211424840864e-01,9.337024881159505796e-01,9.199622411422792023e-01,8.040658602370619468e-01,9.245071973743198557e-01,8.450074025670661904e-01,9.324646971562118303e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.933190219040346713e-01,9.269447899906781974e-01,8.332318753604913697e-01,8.703168368036213742e-01,8.895012582884662677e-01,9.521609865741097467e-01,9.607092087175398420e-01
8.826109531548210763e-01,4.758673800908866935e-01,1.000000000000000000e+00,0.000000000000000000e+00,7.882100547646853084e-01,5.111981768520565961e-01,8.429923540340894528e-01,9.831247147451204205e-01,8.506174314832135597e-01,9.183132511871109349e-01,8.561922925021935304e-01,4.727254001050907872e-01,3.765637611944162577e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.322539147747350707e-01,8.852162610164029388e-01,9.634303950441116537e-01
8.933603703737734714e-01,8.319090016770650520e-01,8.798547211424840864e-01,7.882100547646853084e-01,2.220446049250313081e-16,8.440715339204011292e-01,9.231947040881836042e-01,9.694937429467028744e-01,8.639143725789799610e-01,7.079795126106678271e-01,9.073028737561572576e-01,8.224176398309104297e-01,8.033292286268185478e-01,9.042729370172036818e-01,9.190830904665181489e-01,9.415263822454774667e-01,9.184929960834077312e-01,9.184980086166342206e-01,8.345334688112050481e-01,9.458447748758687101e-01
9.433337682293054804e-01,3.026927082568269256e-01,9.337024881159505796e-01,5.111981768520565961e-01,8.440715339204011292e-01,2.220446049250313081e-16,8.818444674844173603e-01,1.000000000000000000e+00,6.894503718846012319e-01,7.840601426636721882e-01,8.469534764536079674e-01,3.798696870547154658e-01,4.450801022652972616e-01,9.567873891637040940e-01,9.212536147928647168e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.589804785089953709e-01,8.675755398395026408e-01,9.377322979265944047e-01
8.697989387762117275e-01,8.382674861338402783e-01,9.199622411422792023e-01,8.429923540340894528e-01,9.231947040881836042e-01,8.818444674844173603e-01,2.220446049250313081e-16,8.748975473143290049e-01,7.811289336743494349e-01,1.000000000000000000e+00,3.805337441658377395e-01,8.600366455026031698e-01,8.881699621636512942e-01,8.204316438432897041e-01,7.872553949579550459e-01,8.416507023775394725e-01,5.208387603368660468e-01,8.597866463603975884e-01,7.430370851624790163e-01,9.417860082038587155e-01
9.241540246378884271e-01,9.525461071597469687e-01,8.040658602370619468e-01,9.831247147451204205e-01,9.694937429467028744e-01,1.000000000000000000e+00,8.748975473143290049e-01,2.220446049250313081e-16,9.832253662455457954e-01,9.480687832409566695e-01,8.651936618326243611e-01,9.523180462348350694e-01,9.635029078487293841e-01,9.835493776764087093e-01,1.000000000000000000e+00,3.732859220303551551e-01,8.854779446364120510e-01,9.974463643753960218e-01,8.916357401653305370e-01,7.219246110880223055e-01
8.442919653621487885e-01,7.369126406522314987e-01,9.245071973743198557e-01,8.506174314832135597e-01,8.639143725789799610e-01,6.894503718846012319e-01,7.811289336743494349e-01,9.832253662455457954e-01,5.000000000000000000e-01,8.109130691902898258e-01,8.606830113176306973e-01,8.034761714637366214e-01,7.937211223720184172e-01,8.899537847181022698e-01,8.378762309266298836e-01,8.425946243002129243e-01,9.258478701327340632e-01,8.496476329702057351e-01,9.139535196929735594e-01,8.849346797591401970e-01
1.713722066563238000e-01,7.987958583469457752e-01,8.450074025670661904e-01,9.183132511871109349e-01,7.079795126106678271e-01,7.840601426636721882e-01,1.000000000000000000e+00,9.480687832409566695e-01,8.109130691902898258e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.315302456189627156e-01,7.149486556050004271e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.242558099098585611e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.478918714566026082e-01,9.768054567343251726e-01
8.499697132715984260e-01,8.836233239689524899e-01,9.324646971562118303e-01,8.561922925021935304e-01,9.073028737561572576e-01,8.469534764536079674e-01,3.805337441658377395e-01,8.651936618326243611e-01,8.606830113176306973e-01,1.000000000000000000e+00,0.000000000000000000e+00,8.569635620337582305e-01,7.690426610480516345e-01,7.815388399349971760e-01,7.660344856146665826e-01,8.729996461995974677e-01,4.259703163859458463e-01,7.601981699754094546e-01,9.964052917278380939e-01,8.574368912064012083e-01
8.830814652959242395e-01,4.774285087046893361e-01,1.000000000000000000e+00,4.727254001050907872e-01,8.224176398309104297e-01,3.798696870547154658e-01,8.600366455026031698e-01,9.523180462348350694e-01,8.034761714637366214e-01,8.315302456189627156e-01,8.569635620337582305e-01,-2.220446049250313081e-16,3.214229961584101902e-01,9.030239471249232874e-01,9.656536401898538902e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.893177307544162025e-01,8.824539714257271239e-01,9.026178873374179901e-01
1.000000000000000000e+00,4.677122981502820354e-01,1.000000000000000000e+00,3.765637611944162577e-01,8.033292286268185478e-01,4.450801022652972616e-01,8.881699621636512942e-01,9.635029078487293841e-01,7.937211223720184172e-01,7.149486556050004271e-01,7.690426610480516345e-01,3.214229961584101902e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.138471812456645527e-01,8.965982935075316185e-01
-6.654578463835691959e-01,8.789623180055685658e-01,8.933190219040346713e-01,1.000000000000000000e+00,9.042729370172036818e-01,9.567873891637040940e-01,8.204316438432897041e-01,9.835493776764087093e-01,8.899537847181022698e-01,1.000000000000000000e+00,7.815388399349971760e-01,9.030239471249232874e-01,1.000000000000000000e+00,0.000000000000000000e+00,7.138099555757426717e-02,9.983071208999468871e-01,9.978040153679811342e-01,-5.967158054525329991e-01,9.946412407637739150e-01,1.470715523970608229e-01
1.181589618430339828e-01,9.151419539376669521e-01,9.269447899906781974e-01,1.000000000000000000e+00,9.190830904665181489e-01,9.212536147928647168e-01,7.872553949579550459e-01,1.000000000000000000e+00,8.378762309266298836e-01,1.000000000000000000e+00,7.660344856146665826e-01,9.656536401898538902e-01,1.000000000000000000e+00,7.138099555757426717e-02,0.000000000000000000e+00,9.877920368997817890e-01,9.942403760091521603e-01,-5.499341061519535945e-01,9.692699865268261661e-01,5.906862739022125108e-01
