# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,9.365253773605345389e-01,9.550758490288548952e-01,9.541174848091591443e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.813984140532010736e-01,3.907957918066228276e-01,9.358254086332076227e-01,9.637646706729477986e-01,9.342040999978644678e-01,9.551567427445968317e-01,8.589510902807866444e-01,8.309515565464873355e-01,5.484738181075738961e-01,9.336690406280068188e-01,1.000000000000000000e+00,1.667021685328760050e-01,1.000000000000000000e+00,7.974783166454111338e-01
9.365253773605345389e-01,6.075719272557091877e-01,8.470122234320204280e-01,9.409025601977453190e-01,9.923638304606111626e-01,9.283554087288420353e-01,9.009014425655764713e-01,9.440840284455589426e-01,7.046411504410908799e-01,9.401656098765869274e-01,9.518942251723764292e-01,9.775294482026871679e-01,9.380458766599696352e-01,8.676641098765135451e-01,9.090441589602669126e-01,7.722193065977626114e-01,1.000000000000000000e+00,8.932478511722340420e-01,1.000000000000000000e+00,7.918731531162391812e-01
9.550758490288548952e-01,8.470122234320204280e-01,0.000000000000000000e+00,9.248822156500597913e-01,8.645058036580546279e-01,8.605972822634173625e-01,8.713926936176437099e-01,9.291185334286294895e-01,1.000000000000000000e+00,9.910807686075762124e-01,9.895222846174336340e-01,9.166366483486556582e-01,8.499100982419820483e-01,9.425467043422144364e-01,9.998911524521694183e-01,6.426385993734382573e-01,1.000000000000000000e+00,9.713447131676787860e-01,9.321713952528499769e-01,8.528520450274499343e-01
9.541174848091591443e-01,9.409025601977453190e-01,9.248822156500597913e-01,4.794853097104791462e-01,9.616152007259526346e-01,7.344938307126711585e-01,8.533904871819865123e-01,9.229028882241493426e-01,9.727756591742475756e-01,9.331652378625373556e-01,9.702674531543863390e-01,9.240319756826853581e-01,8.430778319824050460e-01,9.221858188551664837e-01,9.618485770013667224e-01,9.328375337565378844e-01,9.908850374446834808e-01,9.555853824587680068e-01,1.000000000000000000e+00,9.142503734697460249e-01
1.000000000000000000e+00,9.923638304606111626e-01,8.645058036580546279e-01,9.616152007259526346e-01,0.000000000000000000e+00,9.743838665648242303e-01,1.000000000000000000e+00,9.600592434046038015e-01,1.000000000000000000e+00,7.999880092865399028e-01,9.971740335436753977e-01,8.660268138276537853e-01,9.099142861112651248e-01,9.475089101538216596e-01,1.000000000000000000e+00,9.952779151899106003e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.849969240072786736e-01,9.351654915209816066e-01
1.000000000000000000e+00,9.283554087288420353e-01,8.605972822634173625e-01,7.344938307126711585e-01,9.743838665648242303e-01,3.330669073875469621e-16,9.975058788764821216e-01,9.821354846863959986e-01,1.000000000000000000e+00,9.331530604959277220e-01,1.000000000000000000e+00,8.830448493613880512e-01,9.174373834077401701e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.833832289851908159e-01
8.813984140532010736e-01,9.009014425655764713e-01,8.713926936176437099e-01,8.533904871819865123e-01,1.000000000000000000e+00,9.975058788764821216e-01,0.000000000000000000e+00,9.308235628902324921e-01,9.705150022853443748e-01,9.683159364952577119e-01,8.052204249097552058e-01,8.995082744234156324e-01,9.074023014268761678e-01,8.929226201151639897e-01,9.257726522603302310e-01,9.974891908598774171e-01,8.747116384482568341e-01,8.368234901783200286e-01,8.117349663363084833e-01,8.747725427453603153e-01
3.907957918066228276e-01,9.440840284455589426e-01,9.291185334286294895e-01,9.229028882241493426e-01,9.600592434046038015e-01,9.821354846863959986e-01,9.308235628902324921e-01,-2.220446049250313081e-16,9.596155180448433519e-01,9.556202820479546833e-01,9.699489807756420667e-01,9.738519692587273013e-01,8.724635244212044505e-01,7.825780566836689767e-01,5.968075578582821006e-01,9.594661591282207525e-01,1.000000000000000000e+00,4.323702364283918964e-01,1.000000000000000000e+00,9.307001493408754156e-01
9.358254086332076227e-01,7.046411504410908799e-01,1.000000000000000000e+00,9.727756591742475756e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.705150022853443748e-01,9.596155180448433519e-01,1.110223024625156540e-16,1.000000000000000000e+00,9.314536798166728193e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.997837173656317855e-01,8.494630095700619332e-01,8.075144485325840282e-01,1.000000000000000000e+00,9.274973957335617136e-01,1.000000000000000000e+00,9.869842054359569961e-01
9.637646706729477986e-01,9.401656098765869274e-01,9.910807686075762124e-01,9.331652378625373556e-01,7.999880092865399028e-01,9.331530604959277220e-01,9.683159364952577119e-01,9.556202820479546833e-01,1.000000000000000000e+00,1.110223024625156540e-16,9.765383301710479635e-01,8.290063518506786133e-01,8.650759352817557479e-01,7.855006765660041967e-01,1.000000000000000000e+00,9.773890459388723251e-01,9.653798971199951673e-01,1.000000000000000000e+00,9.700466226079454968e-01,9.553473295121627240e-01
9.342040999978644678e-01,9.518942251723764292e-01,9.895222846174336340e-01,9.702674531543863390e-01,9.971740335436753977e-01,1.000000000000000000e+00,8.052204249097552058e-01,9.699489807756420667e-01,9.314536798166728193e-01,9.765383301710479635e-01,2.220446049250313081e-16,9.622031471728528240e-01,9.663573664030392640e-01,9.760228241216968303e-01,9.793233995918207979e-01,1.000000000000000000e+00,9.934799780002641079e-01,9.609140464994725406e-01,9.864706731164936127e-01,9.929120953228294244e-01
9.551567427445968317e-01,9.775294482026871679e-01,9.166366483486556582e-01,9.240319756826853581e-01,8.660268138276537853e-01,8.830448493613880512e-01,8.995082744234156324e-01,9.738519692587273013e-01,1.000000000000000000e+00,8.290063518506786133e-01,9.622031471728528240e-01,0.000000000000000000e+00,9.042374556968935106e-01,9.158584476796842733e-01,9.156345154032470290e-01,9.120796315257376774e-01,9.732132093792517091e-01,9.869912930282830343e-01,9.604594147417594430e-01,9.867369671563354094e-01
8.589510902807866444e-01,9.380458766599696352e-01,8.499100982419820483e-01,8.430778319824050460e-01,9.099142861112651248e-01,9.174373834077401701e-01,9.074023014268761678e-01,8.724635244212044505e-01,1.000000000000000000e+00,8.650759352817557479e-01,9.663573664030392640e-01,9.042374556968935106e-01,0.000000000000000000e+00,9.406317588398303009e-01,9.170804860141024140e-01,9.075131025744062052e-01,9.779186111796080993e-01,8.736639708110618407e-01,9.704993271861884763e-01,9.559862355602707362e-01
8.309515565464873355e-01,8.676641098765136562e-01,9.425467043422144364e-01,9.221858188551663726e-01,9.475089101538216596e-01,1.000000000000000000e+00,8.929226201151639897e-01,7.825780566836689767e-01,8.997837173656317855e-01,7.855006765660041967e-01,9.760228241216968303e-01,9.158584476796842733e-01,9.406317588398303009e-01,5.000000000000001110e-01,8.320816184881077993e-01,7.640614578934804557e-01,1.000000000000000000e+00,8.632884701281249296e-01,9.860899395764235464e-01,5.260872135070790989e-01
5.484738181075738961e-01,9.090441589602669126e-01,9.998911524521694183e-01,9.618485770013667224e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.257726522603302310e-01,5.968075578582821006e-01,8.494630095700619332e-01,1.000000000000000000e+00,9.793233995918207979e-01,9.156345154032470290e-01,9.170804860141024140e-01,8.320816184881077993e-01,0.000000000000000000e+00,9.367710554272343781e-01,1.000000000000000000e+00,4.909882920522773420e-01,9.957418276748160046e-01,8.758282399081738223e-01
9.336690406280068188e-01,7.722193065977626114e-01,6.426385993734382573e-01,9.328375337565378844e-01,9.952779151899106003e-01,1.000000000000000000e+00,9.974891908598774171e-01,9.594661591282207525e-01,8.075144485325840282e-01,9.773890459388723251e-01,1.000000000000000000e+00,9.120796315257376774e-01,9.075131025744062052e-01,7.640614578934804557e-01,9.367710554272343781e-01,1.110223024625156540e-16,1.000000000000000000e+00,9.061112759185810939e-01,1.000000000000000000e+00,7.546087359779682924e-01
