# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.905312176087018861e-01,1.077363135847312581e+00,9.727432882830937544e-01,7.874049752922736012e-01,1.000000000000000000e+00,8.253376598775616912e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.461407919870044037e-01,9.754967664981918363e-01,9.786374723557181854e-01,9.225772386222259591e-01,9.500326593658021679e-01,1.000000000000000000e+00,9.919003055568644811e-01,8.616837672747922339e-01,2.583931024849561719e-01,8.672429679504012334e-01,9.465747072278741792e-01
9.905312176087018861e-01,0.000000000000000000e+00,1.165826487123888366e+00,9.971586136863904715e-01,9.959914052341948265e-01,-9.964938983738869105e-02,9.768839211735106387e-01,9.177825324880395375e-01,2.059377258710558545e-01,9.450727721280107740e-01,9.316634316457227394e-01,8.936017758744538853e-01,9.479576875024273708e-01,4.646938634730136686e-01,4.522757179731582422e-01,1.000000000000000000e+00,7.391362424677681009e-01,9.859012458766811537e-01,9.573812323045212125e-01,4.782174699257897843e-01
1.077363135847312581e+00,1.165826487123888366e+00,0.000000000000000000e+00,1.326368472117863462e+00,1.228288974528225275e+00,1.108969332842358435e+00,1.245115956835745941e+00,1.150580625323138317e+00,1.119840028981861746e+00,1.215214454768475560e+00,1.398825771633639414e+00,1.265122581807872404e+00,1.123303326274242231e+00,1.200412331097390650e+00,1.233071948980618782e+00,1.240493066705147918e+00,1.305922597293996956e+00,1.152861687303321725e+00,1.404403588999754593e+00,1.223455274663128201e+00
9.727432882830937544e-01,9.971586136863904715e-01,1.326368472117863462e+00,0.000000000000000000e+00,9.336828009058666389e-01,1.000000000000000000e+00,9.165469956847728250e-01,9.890274128564048306e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.671357143823000602e-01,9.161570750329663948e-01,9.661745356940830698e-01,9.855515553379130544e-01,1.000000000000000000e+00,8.479001461761346281e-01,1.000000000000000000e+00,9.406191901551623769e-01,1.000000000000000000e+00,9.512328962474003724e-01
7.874049752922736012e-01,9.959914052341948265e-01,1.228288974528225275e+00,9.336828009058666389e-01,2.220446049250313081e-16,1.000000000000000000e+00,8.306986785725033462e-01,9.678930433661936394e-01,9.418460919628198758e-01,9.883507054703177808e-01,8.480483192575233309e-01,8.512951624726816657e-01,8.095313336034182239e-01,9.625253345220150525e-01,9.678053872245293565e-01,9.748543825693922749e-01,8.365789072762062073e-01,8.433479204410339047e-01,8.488581055763207983e-01,9.246415259573400602e-01
1.000000000000000000e+00,-9.964938983738869105e-02,1.108969332842358435e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.110223024625156540e-16,1.000000000000000000e+00,9.432472021947315710e-01,3.450829990262559432e-01,9.170000325393393714e-01,9.017489663620541496e-01,8.708201735557574708e-01,9.269862546582532392e-01,4.283410119612933720e-01,4.632403109349567671e-01,1.000000000000000000e+00,8.340985701203440517e-01,1.000000000000000000e+00,9.045066819658089674e-01,7.899972295526609400e-01
8.253376598775616912e-01,9.768839211735106387e-01,1.245115956835745941e+00,9.165469956847728250e-01,8.306986785725033462e-01,1.000000000000000000e+00,2.220446049250313081e-16,9.994214189414938332e-01,9.491259156469205038e-01,9.799799423546590171e-01,8.666115388953211651e-01,9.595717236069530864e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.849652534251007729e-01,4.253454606302196073e-01,8.849687975851390220e-01,4.780295961153836481e-01,9.898500280214181934e-01
1.000000000000000000e+00,9.177825324880395375e-01,1.150580625323138317e+00,9.890274128564048306e-01,9.678930433661936394e-01,9.432472021947315710e-01,9.994214189414938332e-01,1.110223024625156540e-16,9.245905461885599586e-01,9.236274854950493607e-01,9.127352679105056321e-01,9.313395784830988955e-01,9.217236764480151168e-01,9.409230425243932938e-01,9.562610575588049722e-01,1.000000000000000000e+00,1.000000000000000000e+00,6.911765176971390590e-01,1.000000000000000000e+00,6.220175978461643940e-01
1.000000000000000000e+00,2.059377258710558545e-01,1.119840028981861746e+00,1.000000000000000000e+00,9.418460919628198758e-01,3.450829990262559432e-01,9.491259156469205038e-01,9.245905461885599586e-01,-2.220446049250313081e-16,7.798737995074169760e-01,9.506796676839307514e-01,9.178737082601000630e-01,1.000000000000000000e+00,4.909223228015635598e-01,5.005439254578967212e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.149665686219055072e-01,7.554518038462751939e-01
9.461407919870044037e-01,9.450727721280107740e-01,1.215214454768475560e+00,1.000000000000000000e+00,9.883507054703177808e-01,9.170000325393393714e-01,9.799799423546590171e-01,9.236274854950493607e-01,7.798737995074169760e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.872453697207044465e-01,8.231783878823060174e-01,9.514413694058501125e-01,9.443533158928016924e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.143649773659654478e-01,1.000000000000000000e+00,9.457633987727287472e-01
