# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,8.295987762496588314e-01,9.472713712196224600e-01,9.657859190986323172e-01,8.345379120335775225e-01,8.241192798923585583e-01,9.657994419546634957e-01,9.054000030711775171e-01,8.706719585810072104e-01,8.228803342791671804e-01,9.808650349644139066e-01,8.743725679892495606e-01,8.253746317397604448e-01,9.053842153468040221e-01,8.139110628556058824e-01,8.665905850667242616e-01,9.660946363746268917e-01,6.063685455776018918e-01,8.173204324825498190e-01,9.466367465030490758e-01
8.295987762496588314e-01,0.000000000000000000e+00,8.906804141402882014e-01,9.401349108246006558e-01,1.000000000000000000e+00,2.839123050723461605e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.343245806865619896e-01,8.407123948504837685e-01,1.000000000000000000e+00,1.000000000000000000e+00,6.739677731317047504e-01,1.000000000000000000e+00,6.501432318736386495e-01,8.517738517713933089e-01,9.868166136997735816e-01,7.954923357999023059e-01,7.111219310883304390e-01,1.000000000000000000e+00
9.472713712196224600e-01,8.906804141402882014e-01,5.000000000000000000e-01,9.877538905417175830e-01,9.451329438029120178e-01,9.641238275854778772e-01,9.949290402901396213e-01,7.820510535590201595e-01,9.895882531739065291e-01,9.168277895103977837e-01,1.000000000000000000e+00,8.878811356425027057e-01,9.002140767621489292e-01,8.984441438993956419e-01,8.871641415848232626e-01,9.889007933469964318e-01,9.805454447662068640e-01,8.611584242209318063e-01,8.661798823314594831e-01,9.252472553927446608e-01
9.657859190986323172e-01,9.401349108246006558e-01,9.877538905417175830e-01,0.000000000000000000e+00,8.854888378472295374e-01,9.350062723738160608e-01,9.852853431181007871e-01,9.907105492133720936e-01,1.000000000000000000e+00,9.360254164062872251e-01,9.969370923431505327e-01,8.753884669449583100e-01,9.613762475433580423e-01,1.000000000000000000e+00,9.167836674781568718e-01,1.000000000000000000e+00,9.874808057847997977e-01,9.863527116929542427e-01,9.749940383812704114e-01,1.000000000000000000e+00
8.345379120335775225e-01,1.000000000000000000e+00,9.451329438029120178e-01,8.854888378472295374e-01,1.110223024625156540e-16,9.318906583439889868e-01,1.000000000000000000e+00,9.940727756422259587e-01,8.991356045048000123e-01,9.236235011356630498e-01,1.000000000000000000e+00,9.912982693166852988e-01,7.951563046239492616e-01,1.000000000000000000e+00,8.472413348660647880e-01,1.000000000000000000e+00,9.636864083076338572e-01,9.079810336238587354e-01,7.318191044109616517e-01,1.000000000000000000e+00
8.241192798923585583e-01,2.839123050723461605e-01,9.641238275854778772e-01,9.350062723738160608e-01,9.318906583439889868e-01,5.000000000000000000e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.876723906505799011e-01,8.739886404012537913e-01,9.966027108249745359e-01,9.707105230981272204e-01,6.229545705720216375e-01,8.442568474122584821e-01,6.965016122127436482e-01,8.743222262664444022e-01,9.830895050317260964e-01,8.124138333944499468e-01,7.976701446497357351e-01,1.000000000000000000e+00
9.657994419546634957e-01,1.000000000000000000e+00,9.949290402901396213e-01,9.852853431181007871e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.562825887601587027e-01,9.358445362999898709e-01,9.566046553201489333e-01,7.761104100175586495e-01,9.946453742582358482e-01,9.802869625518682017e-01,8.485877867864106694e-01,1.000000000000000000e+00,7.604021342831362995e-01,8.998458867335102918e-01,9.432274849789725746e-01,9.687034735612571890e-01,8.819225857190875484e-01
9.054000030711775171e-01,1.000000000000000000e+00,7.820510535590201595e-01,9.907105492133720936e-01,9.940727756422259587e-01,1.000000000000000000e+00,9.562825887601587027e-01,0.000000000000000000e+00,9.883597117344544714e-01,7.984455740112058608e-01,1.000000000000000000e+00,9.038428914162116579e-01,4.149452216773306112e-01,7.891356960544143595e-01,8.586819412294727227e-01,9.902751316001184856e-01,9.098193889303480830e-01,8.313527122423702842e-01,9.363433779561982639e-01,8.297987825118291472e-01
8.706719585810072104e-01,9.343245806865619896e-01,9.895882531739065291e-01,1.000000000000000000e+00,8.991356045048000123e-01,8.876723906505799011e-01,9.358445362999898709e-01,9.883597117344544714e-01,0.000000000000000000e+00,9.574208770486756226e-01,1.000000000000000000e+00,9.892134957666302020e-01,8.196489734451676279e-01,9.281867978082201098e-01,9.013100696382052579e-01,6.770268204081764107e-01,7.994471793348278954e-01,9.351795021527302687e-01,9.572303325661363216e-01,8.848725287394134664e-01
8.228803342791671804e-01,8.407123948504837685e-01,9.168277895103977837e-01,9.360254164062872251e-01,9.236235011356630498e-01,8.739886404012537913e-01,9.566046553201489333e-01,7.984455740112058608e-01,9.574208770486756226e-01,-2.220446049250313081e-16,9.884537460947587784e-01,8.563272736159950327e-01,8.088423441158955063e-01,9.725378322408317899e-01,8.471294301700575957e-01,1.000000000000000000e+00,9.650076617568011939e-01,8.868043356945138900e-01,7.550049987894154047e-01,9.624408470637313417e-01
