# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,9.804530740837497094e-01,8.461574957682260756e-01,9.148714637497630253e-01,9.755697643037386513e-01,8.705324946168144784e-01,8.375765206745782177e-01,2.381661353951006754e-01,1.000000000000000000e+00,8.363287933295939780e-01,1.000000000000000000e+00,7.735187695820403553e-01,9.351821878748258765e-01,5.079558092905702704e-01,4.070957659571917686e-01,9.478730266256804038e-01,9.653589338550216947e-01,1.618058523001774107e-01,8.246111029460012620e-01,8.080389042222156926e-01
9.804530740837497094e-01,2.220446049250313081e-16,7.718587191534439507e-01,9.685541102750645504e-01,8.409351570552899835e-01,7.122016107524365980e-01,9.739277124214495984e-01,1.000000000000000000e+00,5.657902354006509871e-01,9.732700262202758079e-01,9.769811529195147060e-01,9.780239016574681088e-01,9.703287040839367883e-01,9.427690058489441860e-01,9.892427723762978742e-01,8.605115394512723448e-01,9.937593778323202676e-01,1.000000000000000000e+00,9.848429739836542796e-01,9.710005364036071729e-01
8.461574957682260756e-01,7.718587191534439507e-01,0.000000000000000000e+00,8.247416735249399888e-01,9.600725946924713039e-01,1.000000000000000000e+00,8.856726643205456995e-01,8.115028259320431481e-01,1.000000000000000000e+00,8.522607195710846240e-01,8.163035213104300469e-01,9.754771659874239553e-01,1.000000000000000000e+00,9.403079784301809907e-01,9.104516793530053054e-01,8.514167937612339143e-01,1.000000000000000000e+00,8.462911676448960918e-01,9.352841546952395113e-01,6.567370067450016835e-01
9.148714637497630253e-01,9.685541102750645504e-01,8.247416735249399888e-01,1.110223024625156540e-16,8.726405225134222787e-01,8.647492073051492589e-01,8.055530736798501845e-01,9.462041460712211638e-01,9.066066114542798982e-01,9.704995022055903364e-01,8.727708532727695978e-01,8.979387092321804431e-01,1.000000000000000000e+00,9.757783595803800614e-01,9.421321406278263533e-01,9.575632279473973441e-01,9.895033466378777565e-01,1.000000000000000000e+00,9.020499400105954635e-01,8.436330697325020722e-01
9.755697643037386513e-01,8.409351570552899835e-01,9.600725946924713039e-01,8.726405225134222787e-01,1.110223024625156540e-16,8.691011172578422261e-01,9.292058948069844559e-01,1.000000000000000000e+00,9.949916611265633426e-01,1.000000000000000000e+00,9.955201795321237945e-01,9.401843608919338013e-01,7.992450249027951426e-01,9.763925380912162888e-01,9.804689011442005997e-01,9.408129169948256099e-01,9.302462356577405611e-01,9.118502352784101372e-01,9.026375496701748435e-01,1.000000000000000000e+00
8.705324946168144784e-01,7.122016107524365980e-01,1.000000000000000000e+00,8.647492073051492589e-01,8.691011172578422261e-01,0.000000000000000000e+00,6.541727681939777383e-01,8.888454893284879477e-01,5.218571382312078288e-01,9.618285300382171110e-01,9.453865939260899243e-01,9.718373672239291050e-01,8.893791516723329460e-01,8.610509143127023091e-01,8.641269935550872638e-01,9.911238702023834612e-01,9.830088157747420841e-01,8.591182961324913547e-01,9.774323788583214601e-01,8.856746146906705475e-01
8.375765206745782177e-01,9.739277124214495984e-01,8.856726643205456995e-01,8.055530736798501845e-01,9.292058948069844559e-01,6.541727681939777383e-01,0.000000000000000000e+00,9.066879628035686700e-01,9.725881970440038993e-01,8.730760894784674875e-01,9.343388149260193343e-01,7.731043086082139970e-01,8.845691764413813329e-01,8.799068376112844092e-01,8.897927292331230253e-01,9.649348267233593957e-01,9.069749530014897809e-01,9.127499513846348833e-01,1.000000000000000000e+00,8.862812984884199663e-01
2.381661353951006754e-01,1.000000000000000000e+00,8.115028259320431481e-01,9.462041460712211638e-01,1.000000000000000000e+00,8.888454893284879477e-01,9.066879628035686700e-01,2.220446049250313081e-16,9.795752548526326375e-01,8.912800239687660442e-01,8.910067446379938971e-01,7.597411864228424960e-01,9.328486924522565449e-01,5.348751647761412764e-01,4.300145464775330106e-01,9.302620090216647819e-01,9.605944831742733170e-01,2.027490566696795726e-01,8.715015227526670127e-01,7.920954155174110278e-01
1.000000000000000000e+00,5.657902354006509871e-01,1.000000000000000000e+00,9.066066114542798982e-01,9.949916611265633426e-01,5.218571382312078288e-01,9.725881970440038993e-01,9.795752548526326375e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.994869142203586243e-01,9.758122750400183287e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.147564312344980131e-01,9.959199127230522475e-01,1.000000000000000000e+00,9.862524490467544647e-01,9.885938579253668035e-01
8.363287933295939780e-01,9.732700262202758079e-01,8.522607195710846240e-01,9.704995022055903364e-01,1.000000000000000000e+00,9.618285300382171110e-01,8.730760894784674875e-01,8.912800239687660442e-01,1.000000000000000000e+00,1.110223024625156540e-16,9.391877530798098395e-01,8.833118633532489605e-01,8.176939958362918759e-01,8.017849530774439071e-01,8.225339738293804270e-01,9.872566615904756482e-01,9.828407140029763456e-01,8.669352883031696821e-01,9.911700209847088550e-01,7.713904848604613562e-01
