# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,9.636729886623048857e-01,1.000000000000000000e+00,9.795614951669353587e-01,1.000000000000000000e+00,9.409696482354518166e-01,1.000000000000000000e+00,9.559002881498513959e-01,1.000000000000000000e+00,9.973181766912047053e-01,1.000000000000000000e+00,9.816869915104431410e-01,7.675867547206487451e-01,7.610242295998799200e-01,9.123408733275206739e-01,6.035152923452173912e-01,1.000000000000000000e+00,1.161603294749232740e-01,1.000000000000000000e+00,8.204222939826864014e-01
9.636729886623048857e-01,-2.220446049250313081e-16,9.658817200155537241e-01,7.973589938361768104e-01,8.681701003111901294e-01,9.720725569072430350e-01,9.344923118904344683e-01,5.347373599607028183e-01,8.997686383784653241e-01,9.267286764929498766e-01,9.075218896966563698e-01,9.059037314499993609e-01,9.814690569173419865e-01,9.755318052413026741e-01,1.000000000000000000e+00,9.391210006474852712e-01,9.719677044798376020e-01,9.474887735955789259e-01,9.741728685600606896e-01,9.382626458715338513e-01
1.000000000000000000e+00,9.658817200155537241e-01,1.110223024625156540e-16,9.626681456564376571e-01,9.213503364128382556e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.750863853421504190e-01,8.969109856419064108e-01,9.051890913280931095e-01,9.465286456675185978e-01,8.786893624846550122e-01,7.099751130221353401e-01,9.805191244567880160e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.948802669990174374e-01,1.000000000000000000e+00,9.946830412433859125e-01,9.925928079990629094e-01
9.795614951669353587e-01,7.973589938361768104e-01,9.626681456564376571e-01,1.110223024625156540e-16,9.564612828036890280e-01,8.998812979330308437e-01,9.960568159688006906e-01,9.611559642431383166e-01,8.885438838703917375e-01,1.000000000000000000e+00,9.562787051846584063e-01,9.458762554300190750e-01,4.835218741205773441e-01,9.847917987529520856e-01,1.000000000000000000e+00,9.336632528323548508e-01,9.949338116945309896e-01,9.801650225057428889e-01,8.892775349682345842e-01,9.593651355154260152e-01
1.000000000000000000e+00,8.681701003111901294e-01,9.213503364128382556e-01,9.564612828036890280e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.304477085547556703e-01,7.171343116464439227e-01,9.909695508696108046e-01,9.639920258146584819e-01,9.055113271134405117e-01,9.003851179917411462e-01,9.587270136524684849e-01,5.422991955719842494e-01,9.775884529997248551e-01,1.000000000000000000e+00,9.618333377375859472e-01,1.000000000000000000e+00,8.770101861631885987e-01,8.444897524179332260e-01
9.409696482354518166e-01,9.720725569072430350e-01,1.000000000000000000e+00,8.998812979330308437e-01,1.000000000000000000e+00,2.220446049250313081e-16,9.909885329360998973e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.882737746370722220e-01,8.842337590259924385e-01,9.112578865078653223e-01,8.818608631980640045e-01,1.000000000000000000e+00,8.897698866382380833e-01,9.759712059757287284e-01,1.000000000000000000e+00,9.457019720710190258e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,9.344923118904344683e-01,1.000000000000000000e+00,9.960568159688006906e-01,9.304477085547556703e-01,9.909885329360998973e-01,0.000000000000000000e+00,9.909148818787011370e-01,9.929078595994622614e-01,9.118993895884109913e-01,8.264580718396360437e-01,9.068124273328288520e-01,1.000000000000000000e+00,9.430436978123409864e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.868698822870184850e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.633683889040899562e-01
9.559002881498513959e-01,5.347373599607028183e-01,9.750863853421504190e-01,9.611559642431383166e-01,7.171343116464439227e-01,1.000000000000000000e+00,9.909148818787011370e-01,0.000000000000000000e+00,6.943412054633333330e-01,9.449188055923690710e-01,1.000000000000000000e+00,4.418237914213100082e-01,9.901617623781007183e-01,6.160525027010449461e-01,9.038847683818036494e-01,8.665306980928131342e-01,1.000000000000000000e+00,9.150715497690201650e-01,9.614758860877153923e-01,4.719967013702054959e-01
1.000000000000000000e+00,8.997686383784653241e-01,8.969109856419064108e-01,8.885438838703917375e-01,9.909695508696108046e-01,1.000000000000000000e+00,9.929078595994622614e-01,6.943412054633333330e-01,-2.220446049250313081e-16,9.272870364777718866e-01,8.862391988454019209e-01,8.716389845254484126e-01,8.935640316963260332e-01,9.746311847379383053e-01,9.837344643334133831e-01,1.000000000000000000e+00,8.696627366487229560e-01,9.968713416687269291e-01,1.000000000000000000e+00,9.539381525210086643e-01
9.973181766912047053e-01,9.267286764929498766e-01,9.051890913280931095e-01,1.000000000000000000e+00,9.639920258146584819e-01,9.882737746370722220e-01,9.118993895884109913e-01,9.449188055923690710e-01,9.272870364777718866e-01,0.000000000000000000e+00,8.842213440260129342e-01,9.649808990447117374e-01,8.139655593731391914e-01,1.000000000000000000e+00,8.600524736350303456e-01,1.000000000000000000e+00,9.898039482710748738e-01,9.973533753973365945e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,9.075218896966563698e-01,9.465286456675185978e-01,9.562787051846584063e-01,9.055113271134405117e-01,8.842337590259924385e-01,8.264580718396360437e-01,1.000000000000000000e+00,8.862391988454019209e-01,8.842213440260129342e-01,2.220446049250313081e-16,8.525773387666397696e-01,8.725756529951937956e-01,9.490591430043756604e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.915747377839658760e-01,8.764271794954827666e-01,9.027065202945747657e-01
9.816869915104431410e-01,9.059037314499993609e-01,8.786893624846550122e-01,9.458762554300190750e-01,9.003851179917411462e-01,9.112578865078653223e-01,9.068124273328288520e-01,4.418237914213100082e-01,8.716389845254484126e-01,9.649808990447117374e-01,8.525773387666397696e-01,5.000000000000000000e-01,9.289610197285563808e-01,7.365931895208823743e-01,8.562386133664209309e-01,1.000000000000000000e+00,9.722487837204426553e-01,9.905766345282540630e-01,9.293750956522013329e-01,8.658062647651617594e-01
7.675867547206487451e-01,9.814690569173419865e-01,7.099751130221353401e-01,4.835218741205773441e-01,9.587270136524684849e-01,8.818608631980640045e-01,1.000000000000000000e+00,9.901617623781007183e-01,8.935640316963260332e-01,8.139655593731391914e-01,8.725756529951937956e-01,9.289610197285563808e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.991647188422994263e-01,9.871480158644707625e-01
7.610242295998799200e-01,9.755318052413026741e-01,9.805191244567880160e-01,9.847917987529520856e-01,5.422991955719842494e-01,1.000000000000000000e+00,9.430436978123409864e-01,6.160525027010449461e-01,9.746311847379383053e-01,1.000000000000000000e+00,9.490591430043756604e-01,7.365931895208823743e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.769929440372454588e-01,9.632549300796466873e-01,3.986618501748464549e-01,9.987861502534300939e-01,5.569138662932809902e-01
9.123408733275206739e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.775884529997248551e-01,8.897698866382380833e-01,1.000000000000000000e+00,9.038847683818036494e-01,9.837344643334133831e-01,8.600524736350303456e-01,1.000000000000000000e+00,8.562386133664209309e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.923845282207821583e-01,8.631510628742009583e-01,9.533149520193132664e-01,7.761028925305983872e-01
