# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,1.141902230429768572e+00,6.047514374322495723e-01,8.864693581057949689e-01,9.750437610006750244e-01,9.661334986884522191e-01,9.288000644292275787e-01,3.645662224649131034e-01,8.830419450507214219e-01,9.709564385040221346e-01,9.673554338448326906e-01,9.304171298505660159e-01,9.399335215926443166e-01,1.110084459759498099e+00,2.699014633654130968e-01,9.109599693273715548e-01,6.221501976618706298e-01,1.300018790517448730e-01,9.476597178177063041e-01,9.094847248110816684e-01
1.141902230429768572e+00,1.110223024625156540e-16,1.062091668262910904e+00,1.046131249182667533e+00,9.880210476881570170e-01,1.031742637425103970e+00,1.192293208419004324e+00,1.048716807875130996e+00,1.052157527008366733e+00,9.677673101561483637e-01,1.101629147486500537e+00,1.005707453172066446e+00,1.015713628253191558e+00,1.138008618045095233e+00,1.099709264862523961e+00,9.936954597703506753e-01,1.177077364000266524e+00,1.135023990352290735e+00,9.114175493278594553e-01,1.089009817982595996e+00
6.047514374322495723e-01,1.062091668262910904e+00,1.110223024625156540e-16,8.941138760959410625e-01,7.751846456398032714e-01,9.157281429985001386e-01,9.593555980784853610e-01,9.546395547074616461e-01,8.666429996350186737e-01,7.959194747750665266e-01,1.000000000000000000e+00,7.158880431176106729e-01,7.805489179523157350e-01,1.079166292239982727e+00,7.434439689011197450e-01,9.520405942269168920e-01,1.000000000000000000e+00,7.459724711479664983e-01,3.630257166406165581e-01,9.746083952865880473e-01
8.864693581057949689e-01,1.046131249182667533e+00,8.941138760959410625e-01,4.308330288045283951e-01,9.249819985363187946e-01,8.527138449122857455e-01,9.200774989655512437e-01,8.457463789100696516e-01,9.675783147642049720e-01,9.143526476100607425e-01,9.520244645554050145e-01,9.140932281804687864e-01,8.192403055185386584e-01,1.202494806744751177e+00,9.398654625970612742e-01,8.918594823540715311e-01,9.832071568086292457e-01,8.860050098737362045e-01,9.472658958590323142e-01,9.153172391831476684e-01
9.750437610006750244e-01,9.880210476881570170e-01,7.751846456398032714e-01,9.249819985363187946e-01,0.000000000000000000e+00,9.793695466657482696e-01,9.522369222041289216e-01,9.565298787444849182e-01,1.000000000000000000e+00,8.633208119974995487e-01,9.970158996595561707e-01,8.493285824190983657e-01,8.995726961676789868e-01,1.244230156824476907e+00,9.309558042384558085e-01,8.379096595432145023e-01,9.893248626257489242e-01,9.394826997138214786e-01,8.058173572754157021e-01,9.149829501234754137e-01
9.661334986884522191e-01,1.031742637425103970e+00,9.157281429985001386e-01,8.527138449122857455e-01,9.793695466657482696e-01,-2.220446049250313081e-16,8.885681174955534223e-01,8.421220011218122359e-01,4.967394607185761091e-01,9.311528668373029172e-01,9.727893682527594121e-01,9.182205984388260855e-01,8.947832409189139247e-01,1.110574322399353386e+00,9.465076128747098583e-01,9.464690091822098861e-01,9.501316495329167333e-01,9.554168718608044841e-01,9.475052455020718245e-01,1.000000000000000000e+00
9.288000644292275787e-01,1.192293208419004324e+00,9.593555980784853610e-01,9.200774989655512437e-01,9.522369222041289216e-01,8.885681174955534223e-01,0.000000000000000000e+00,8.978491083408611795e-01,9.050829512802389676e-01,9.408254501340838072e-01,8.754501958978641030e-01,9.906801469856185705e-01,9.483103136086613594e-01,1.226602243749181476e+00,8.937979388225637534e-01,8.718483465821200706e-01,9.556902946203326144e-01,9.188257110929982652e-01,7.388488698090887041e-01,9.753696419002675366e-01
3.645662224649131034e-01,1.048716807875130996e+00,9.546395547074616461e-01,8.457463789100696516e-01,9.565298787444849182e-01,8.421220011218122359e-01,8.978491083408611795e-01,0.000000000000000000e+00,8.049724222685352704e-01,9.625025316327501246e-01,9.504525057540363919e-01,8.399871823131954685e-01,8.328680937304050458e-01,9.545990599112146313e-01,4.489303909963096029e-01,7.021106734883509892e-01,9.299078709632001560e-01,3.442880914689248062e-01,9.740721315877636233e-01,6.913592770929249953e-01
8.830419450507214219e-01,1.052157527008366733e+00,8.666429996350186737e-01,9.675783147642049720e-01,1.000000000000000000e+00,4.967394607185761091e-01,9.050829512802389676e-01,8.049724222685352704e-01,0.000000000000000000e+00,9.572645367851981835e-01,8.108199745001100078e-01,7.590816507430436788e-01,8.060797259449985486e-01,9.779752708653598470e-01,7.163913020253260822e-01,9.919900825326501970e-01,8.116251312180472466e-01,9.089929324284268253e-01,9.455867432818430007e-01,1.000000000000000000e+00
9.709564385040221346e-01,9.677673101561483637e-01,7.959194747750665266e-01,9.143526476100607425e-01,8.633208119974995487e-01,9.311528668373029172e-01,9.408254501340838072e-01,9.625025316327501246e-01,9.572645367851981835e-01,0.000000000000000000e+00,9.837538210769236624e-01,8.554429450059917173e-01,9.343891393132124357e-01,1.133137958251404065e+00,9.993252630048662377e-01,8.102628534033258223e-01,9.741031378425691889e-01,8.900533612732357547e-01,7.761036951472921608e-01,9.309021290675352223e-01
9.673554338448326906e-01,1.101629147486500537e+00,1.000000000000000000e+00,9.520244645554050145e-01,9.970158996595561707e-01,9.727893682527594121e-01,8.754501958978641030e-01,9.504525057540363919e-01,8.108199745001100078e-01,9.837538210769236624e-01,2.220446049250313081e-16,8.190355568400233821e-01,9.646328818562471819e-01,1.205108482487746491e+00,1.000000000000000000e+00,9.644095815372868419e-01,4.364165894038721794e-01,1.000000000000000000e+00,6.682297822507969887e-01,9.880232275016149757e-01
9.304171298505660159e-01,1.005707453172066446e+00,7.158880431176106729e-01,9.140932281804687864e-01,8.493285824190983657e-01,9.182205984388260855e-01,9.906801469856185705e-01,8.399871823131954685e-01,7.590816507430436788e-01,8.554429450059917173e-01,8.190355568400233821e-01,0.000000000000000000e+00,8.262654717535300453e-01,1.132729602978348016e+00,8.937088102368508924e-01,8.959021758568772587e-01,9.748055613741406500e-01,9.274409923932891431e-01,9.242764190820978998e-01,9.857021299330450681e-01
