# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,9.002763654050817133e-01,4.317509312401759392e-01,7.287224552084115015e-01,9.299200413203716487e-01,8.668902707369529059e-01,9.385872385229019343e-01,4.567453160878277019e-01,9.494864135901394109e-01,9.722901340185159391e-01,7.616685739459360116e-01,8.312097970969097860e-01,8.586858495262391644e-01,1.000000000000000000e+00,9.619589934676195941e-01,8.993599172179105317e-01,9.977454725842587191e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
9.002763654050817133e-01,5.000000000000000000e-01,8.895075049463704309e-01,9.021756652965893242e-01,8.419687852487295343e-01,9.870253261131136657e-01,9.360820490333034982e-01,7.760928775507986987e-01,7.301159503473311219e-01,8.844865798901428988e-01,9.252042000242972630e-01,8.425952315048494956e-01,7.023133875713067908e-01,8.901628211361647391e-01,8.805263000977235910e-01,9.768911037117891105e-01,9.487086818072820726e-01,8.712031714701696794e-01,9.402842445348729150e-01,9.047084854460326619e-01
4.317509312401759392e-01,8.895075049463704309e-01,0.000000000000000000e+00,8.903125801223770175e-01,8.923397384683036115e-01,7.469978121012713634e-01,9.830262227665893526e-01,7.049463760930970713e-01,8.704633667122070317e-01,8.716204626449475246e-01,8.474653045100388749e-01,8.052918818283902880e-01,8.998466997801628509e-01,9.880685311660202252e-01,9.061447897609928859e-01,6.966118640446647969e-01,9.807382992935167465e-01,9.840344975213302092e-01,9.650450551091498408e-01,1.000000000000000000e+00
7.287224552084115015e-01,9.021756652965893242e-01,8.903125801223770175e-01,0.000000000000000000e+00,9.493077409978214476e-01,9.822521535951970195e-01,9.775780399692660660e-01,9.019255639212243603e-01,8.891564961257490962e-01,9.572896041682035229e-01,9.299890748532521068e-01,9.256046930996608690e-01,8.073707400936446232e-01,1.000000000000000000e+00,9.925854853450992721e-01,7.049282386509201359e-01,8.367036568625059179e-01,9.901227474371849802e-01,8.584838253493666249e-01,7.600192572810191560e-01
9.299200413203716487e-01,8.419687852487295343e-01,8.923397384683036115e-01,9.493077409978214476e-01,5.000000000000000000e-01,8.992593582708970912e-01,9.152876388659217932e-01,9.121750001950793552e-01,9.251404913273323372e-01,6.597104811161477178e-01,9.244528118652993731e-01,8.507291734165507435e-01,8.631010729711335872e-01,8.764712749369545364e-01,8.859522564947984735e-01,9.237970799991186421e-01,9.002486959175350911e-01,8.635221808757457262e-01,9.127972073694234911e-01,8.910345714064447087e-01
8.668902707369529059e-01,9.870253261131136657e-01,7.469978121012713634e-01,9.822521535951970195e-01,8.992593582708970912e-01,1.110223024625156540e-16,8.851703251660102412e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.887663881869161120e-01,9.385766373098251014e-01,6.766575319694216883e-01,9.069769414862376422e-01,9.420861211707448613e-01,8.948433982455463731e-01,1.000000000000000000e+00,9.240066353824251122e-01,9.009048809144658554e-01,9.082611738385778510e-01,8.223841269349523309e-01
9.385872385229019343e-01,9.360820490333034982e-01,9.830262227665893526e-01,9.775780399692660660e-01,9.152876388659217932e-01,8.851703251660102412e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.590170846178406538e-01,8.853113635186347086e-01,8.330751170252996829e-01,9.843576911597007317e-01,9.387198260212350487e-01,9.639723641360691264e-01,9.778110035050902038e-01,8.345200040089399973e-01,8.541983365265909400e-01,1.000000000000000000e+00,4.240806847533201696e-01,9.779346510714328478e-01
4.567453160878277019e-01,7.760928775507986987e-01,7.049463760930970713e-01,9.019255639212243603e-01,9.121750001950793552e-01,1.000000000000000000e+00,1.000000000000000000e+00,4.885833817415300429e-01,1.000000000000000000e+00,7.166676614471871876e-01,9.082098991813404298e-01,9.197363560216236245e-01,9.144765018125291522e-01,9.752860181656477501e-01,7.472619283986223770e-01,9.339008140836062566e-01,7.453445592296985556e-01,6.199066348655006831e-01,9.938525541485112580e-01,9.932832818836361266e-01
9.494864135901394109e-01,7.301159503473311219e-01,8.704633667122070317e-01,8.891564961257490962e-01,9.251404913273323372e-01,1.000000000000000000e+00,8.590170846178406538e-01,1.000000000000000000e+00,1.110223024625156540e-16,8.684696555231994353e-01,1.000000000000000000e+00,6.413885707885476073e-01,6.201001384281081830e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.942831219276849986e-01,1.000000000000000000e+00,7.382862803886881542e-01,8.791349986991290333e-01,9.411416873614593115e-01
9.722901340185159391e-01,8.844865798901428988e-01,8.716204626449475246e-01,9.572896041682035229e-01,6.597104811161477178e-01,8.887663881869161120e-01,8.853113635186347086e-01,7.166676614471871876e-01,8.684696555231994353e-01,0.000000000000000000e+00,9.778098133331295516e-01,8.595958490480676284e-01,7.150581153675737989e-01,8.002650723672182220e-01,7.135653313816942012e-01,8.947104901031630586e-01,9.730112166085951309e-01,7.880898618667674382e-01,8.402561265794976642e-01,6.416379571783688007e-01
