# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,9.647862975551859677e-01,9.034015883950551329e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.709583826793156680e-01,6.951811987981121321e-01,6.934601261972433983e-01,9.744534506057127565e-01,9.087389927387862221e-01,8.163450362429108820e-01,1.000000000000000000e+00,8.977292675182585446e-01,3.430204061984208908e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.828572513508045505e-01,9.944854245893454125e-01,9.102156707171948913e-01
9.647862975551859677e-01,5.000000000000000000e-01,9.453483576832002466e-01,9.603387167588723905e-01,9.751486747167421587e-01,7.918149308985531487e-01,1.000000000000000000e+00,9.186447797827576034e-01,6.949203462363133799e-01,9.930069049740157805e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.589321381452809989e-01,9.729744543004658075e-01,8.294752255518811346e-01,8.066038441586398378e-01,9.719703077515661205e-01,9.807920378408703233e-01,9.793192750928594315e-01,9.586255318866037101e-01
9.034015883950551329e-01,9.453483576832002466e-01,0.000000000000000000e+00,9.791455856592787832e-01,1.000000000000000000e+00,9.400894609088894516e-01,9.534594906696399752e-01,9.111883620237802850e-01,9.453661126800984027e-01,8.406828070226993743e-01,1.000000000000000000e+00,9.499125464678657149e-01,9.935644256280465880e-01,5.683432948504685278e-01,8.775259476351014998e-01,8.986484251135159473e-01,9.714525386750905156e-01,8.587710271396116202e-01,8.689155915432756894e-01,5.995225580829668388e-01
1.000000000000000000e+00,9.603387167588723905e-01,9.791455856592787832e-01,1.110223024625156540e-16,1.000000000000000000e+00,8.240157598489949997e-01,1.000000000000000000e+00,9.418566819672400392e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.895564837091874733e-01,3.694894213960782103e-01,9.781924353933892924e-01,1.000000000000000000e+00,9.931987265565447309e-01,8.862433919833178075e-01,1.000000000000000000e+00,9.726648553282331022e-01,9.766470089655561182e-01
1.000000000000000000e+00,9.751486747167421587e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.691241219493121895e-01,8.833531756435452076e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.285390910538549036e-01,7.965252998818408425e-01,1.000000000000000000e+00,9.507894321032674956e-01,9.926340932495907321e-01,1.000000000000000000e+00
1.000000000000000000e+00,7.918149308985531487e-01,9.400894609088894516e-01,8.240157598489949997e-01,1.000000000000000000e+00,1.110223024625156540e-16,9.809087993454369547e-01,8.448044593094691246e-01,8.038347630279163436e-01,9.376792887244516095e-01,9.559197485405246386e-01,8.350699615103551743e-01,7.827601573326353757e-01,1.000000000000000000e+00,9.524805848509103612e-01,9.619672951149933482e-01,9.725530562252266975e-01,9.215576303669651415e-01,9.144480220725469399e-01,9.027879387873879447e-01
9.709583826793156680e-01,1.000000000000000000e+00,9.534594906696399752e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.809087993454369547e-01,1.110223024625156540e-16,9.425634394364911239e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.013432212135374044e-01,9.646317845353435949e-01,9.910084252635810165e-01,9.623447296166695031e-01,9.867317818272015595e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.043626738205311044e-01,9.758879569584990588e-01
6.951811987981121321e-01,9.186447797827576034e-01,9.111883620237802850e-01,9.418566819672400392e-01,9.691241219493121895e-01,8.448044593094691246e-01,9.425634394364911239e-01,5.562722915028923687e-01,8.209579653424148304e-01,9.778169769515175913e-01,9.601190456396935247e-01,9.070358698448973689e-01,9.442462116776896286e-01,9.568011064958662493e-01,9.649802695485760751e-01,9.999377646287381793e-01,1.000000000000000000e+00,5.968480185063197441e-01,9.435400989792251947e-01,9.475155448603774788e-01
6.934601261972433983e-01,6.949203462363133799e-01,9.453661126800984027e-01,1.000000000000000000e+00,8.833531756435452076e-01,8.038347630279163436e-01,1.000000000000000000e+00,8.209579653424148304e-01,0.000000000000000000e+00,9.790066196914599672e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.559985470571145116e-01,1.000000000000000000e+00,7.845477677925931648e-01,9.817814887015677838e-01,1.000000000000000000e+00
9.744534506057127565e-01,9.930069049740157805e-01,8.406828070226993743e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.376792887244516095e-01,1.000000000000000000e+00,9.778169769515175913e-01,9.790066196914599672e-01,0.000000000000000000e+00,9.068098511408140272e-01,9.627043404945359040e-01,1.000000000000000000e+00,7.605258233328656692e-01,1.000000000000000000e+00,9.501581648519915602e-01,8.993207781562444492e-01,8.829220707058977879e-01,8.808929661324925720e-01,8.396962514381798304e-01
