# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,8.765215513847353090e-01,7.858064092748697771e-01,1.000000000000000000e+00,9.700822728541134143e-01,1.000000000000000000e+00,9.565326280124984981e-01,6.854872559018417855e-01,9.910590984337124265e-01,9.666677567766827073e-01,1.000000000000000000e+00,9.374135280971588324e-01,8.987761063540572470e-01,7.931129138678655321e-01,9.842882304377648106e-01,1.000000000000000000e+00,9.952068699312551781e-01,6.626687340777632773e-01,1.000000000000000000e+00,9.266591568171405058e-01
8.765215513847353090e-01,1.110223024625156540e-16,1.000000000000000000e+00,9.524235214792896587e-01,6.279263652719485611e-01,1.000000000000000000e+00,9.598511333688034552e-01,9.723245561723251607e-01,5.541037455662989331e-01,1.000000000000000000e+00,9.665299120831960522e-01,9.326851778636585655e-01,8.857478873921604823e-01,8.677590034499870209e-01,1.000000000000000000e+00,9.482681345445278520e-01,1.184375928049923532e+00,7.988303380387650199e-01,7.940996012132738313e-01,8.502358313019223734e-01
7.858064092748697771e-01,1.000000000000000000e+00,2.031462033038550219e-01,1.000000000000000000e+00,9.514481737067017608e-01,9.367151401402591393e-01,9.435105172254871775e-01,5.508079287985340189e-01,9.801565960650556741e-01,7.169235131535782735e-01,9.827274404367356553e-01,9.706252046620139629e-01,9.598219104013577807e-01,9.229659433027700421e-01,1.000000000000000000e+00,9.159651166170172942e-01,1.068379582730659472e+00,6.608716285838627247e-01,9.186270007743306820e-01,9.757428133500671841e-01
1.000000000000000000e+00,9.524235214792896587e-01,1.000000000000000000e+00,1.342947039226574657e-01,9.677728997514944975e-01,9.705188552572474592e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.780587663593063308e-01,1.000000000000000000e+00,9.924023299906630236e-01,1.051976484490443342e+00,8.052675425011006638e-01,1.000000000000000000e+00,9.959793836690924440e-01,9.133668547215678668e-01,1.222469325016655395e+00,9.799898652933132226e-01,8.490944146951369120e-01,8.987459319681747605e-01
9.700822728541134143e-01,6.279263652719485611e-01,9.514481737067017608e-01,9.677728997514944975e-01,2.220446049250313081e-16,8.260217504798618160e-01,9.324808170644931504e-01,1.000000000000000000e+00,8.196856143878500367e-01,1.000000000000000000e+00,8.777734740505277466e-01,9.574633849316139811e-01,8.840362558969456774e-01,9.933757266993390456e-01,1.000000000000000000e+00,9.328747365708025541e-01,1.105848117529577790e+00,1.000000000000000000e+00,9.813589380418454855e-01,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,9.367151401402591393e-01,9.705188552572474592e-01,8.260217504798618160e-01,0.000000000000000000e+00,9.501346177384739633e-01,1.000000000000000000e+00,9.416965133785617503e-01,9.765081081351946191e-01,8.186615287286751474e-01,9.827295794695364295e-01,7.528799204190530503e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.443293842807532368e-01,1.139373986767694191e+00,9.835856568547033385e-01,9.075648649040564120e-01,1.000000000000000000e+00
9.565326280124984981e-01,9.598511333688034552e-01,9.435105172254871775e-01,1.000000000000000000e+00,9.324808170644931504e-01,9.501346177384739633e-01,1.110223024625156540e-16,9.908645636001109924e-01,9.490296495209467054e-01,9.170285132420471497e-01,9.981252968655245361e-01,1.063103741506021604e+00,9.963173441487863657e-01,9.835558734961206140e-01,9.751507854612609938e-01,1.000000000000000000e+00,1.231739634952379703e+00,9.361841552290203206e-01,9.599865097879746179e-01,9.871256131907923947e-01
6.854872559018417855e-01,9.723245561723251607e-01,5.508079287985340189e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.908645636001109924e-01,0.000000000000000000e+00,9.830542944125140181e-01,8.696697942926201463e-01,9.320697759596067167e-01,9.926919679276021702e-01,9.585188487097453525e-01,9.563548500988345857e-01,1.000000000000000000e+00,9.743661670869575575e-01,9.758151227259669325e-01,1.721280958201492073e-01,9.098338967629784335e-01,9.713918399655877556e-01
9.910590984337124265e-01,5.541037455662989331e-01,9.801565960650556741e-01,9.780587663593063308e-01,8.196856143878500367e-01,9.416965133785617503e-01,9.490296495209467054e-01,9.830542944125140181e-01,4.999999999999999445e-01,9.455740199183064743e-01,9.238069920437528282e-01,1.032719963006609065e+00,9.528338964463733962e-01,8.944732520593392522e-01,9.092989349139510846e-01,9.760618961230347335e-01,1.181431307411490161e+00,1.000000000000000000e+00,9.939948186831513155e-01,8.802242381973799379e-01
9.666677567766827073e-01,1.000000000000000000e+00,7.169235131535782735e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.765081081351946191e-01,9.170285132420471497e-01,8.696697942926201463e-01,9.455740199183064743e-01,2.220446049250313081e-16,9.125103486531510599e-01,9.489032140168922602e-01,9.221758213320645492e-01,9.602624762290666860e-01,1.000000000000000000e+00,9.838094560217213180e-01,1.024671720641475048e+00,8.713109677418452437e-01,8.949345975654019458e-01,9.623202622829043484e-01
1.000000000000000000e+00,9.665299120831960522e-01,9.827274404367356553e-01,9.924023299906630236e-01,8.777734740505277466e-01,8.186615287286751474e-01,9.981252968655245361e-01,9.320697759596067167e-01,9.238069920437528282e-01,9.125103486531510599e-01,0.000000000000000000e+00,1.032968921828830267e+00,8.867700302370334908e-01,9.745278864497335380e-01,9.985259668475682249e-01,1.000000000000000000e+00,8.516458448363563027e-01,9.664174576077695367e-01,9.688827357723105438e-01,9.321986046057648689e-01
9.374135280971588324e-01,9.326851778636585655e-01,9.706252046620137408e-01,1.051976484490443120e+00,9.574633849316139811e-01,9.827295794695364295e-01,1.063103741506021604e+00,9.926919679276021702e-01,1.032719963006609065e+00,9.489032140168922602e-01,1.032968921828830267e+00,6.819729668826745028e-01,9.881169860219506385e-01,9.864808981892299045e-01,8.815723052619562905e-01,1.016868696773193914e+00,1.060897529348249213e+00,9.920293342821747684e-01,9.717194708620997545e-01,8.976176928639483243e-01
8.987761063540572470e-01,8.857478873921604823e-01,9.598219104013577807e-01,8.052675425011006638e-01,8.840362558969456774e-01,7.528799204190530503e-01,9.963173441487863657e-01,9.585188487097453525e-01,9.528338964463733962e-01,9.221758213320645492e-01,8.867700302370334908e-01,9.881169860219506385e-01,0.000000000000000000e+00,9.939716409483961845e-01,1.000000000000000000e+00,8.673292410860744539e-01,1.135624707762064034e+00,9.159104285010321034e-01,9.697733379744609694e-01,9.666302949709016934e-01
7.931129138678655321e-01,8.677590034499870209e-01,9.229659433027700421e-01,1.000000000000000000e+00,9.933757266993390456e-01,1.000000000000000000e+00,9.835558734961206140e-01,9.563548500988345857e-01,8.944732520593392522e-01,9.602624762290666860e-01,9.745278864497335380e-01,9.864808981892299045e-01,9.939716409483961845e-01,-2.220446049250313081e-16,7.857561299209749883e-01,9.322883653304543383e-01,1.207120805414415354e+00,1.000000000000000000e+00,9.718672005841503259e-01,4.823691666446101589e-01
9.842882304377648106e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.959793836690924440e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.751507854612609938e-01,1.000000000000000000e+00,9.092989349139510846e-01,1.000000000000000000e+00,9.985259668475682249e-01,8.815723052619562905e-01,1.000000000000000000e+00,7.857561299209749883e-01,1.110223024625156540e-16,9.667248469760391094e-01,1.156900561834851349e+00,9.775184116883569585e-01,9.669936917735882931e-01,5.925490124499774858e-01
1.000000000000000000e+00,9.482681345445278520e-01,9.159651166170172942e-01,9.133668547215678668e-01,9.328747365708025541e-01,7.443293842807532368e-01,1.000000000000000000e+00,9.743661670869575575e-01,9.760618961230347335e-01,9.838094560217213180e-01,1.000000000000000000e+00,1.016868696773193914e+00,8.673292410860744539e-01,9.322883653304543383e-01,9.667248469760391094e-01,0.000000000000000000e+00,1.204000857464147867e+00,1.000000000000000000e+00,9.503092096156480206e-01,6.858329384643020443e-01
9.952068699312551781e-01,1.184375928049923532e+00,1.068379582730659472e+00,1.222469325016655395e+00,1.105848117529577790e+00,1.139373986767694191e+00,1.231739634952379703e+00,9.758151227259669325e-01,1.181431307411490161e+00,1.024671720641475048e+00,8.516458448363563027e-01,1.060897529348249213e+00,1.135624707762064034e+00,1.207120805414415354e+00,1.156900561834851349e+00,1.204000857464147867e+00,0.000000000000000000e+00,9.290608075077319006e-01,1.188325334300235125e+00,1.042251699464580517e+00
6.626687340777632773e-01,7.988303380387650199e-01,6.608716285838627247e-01,9.799898652933132226e-01,1.000000000000000000e+00,9.835856568547033385e-01,9.361841552290203206e-01,1.721280958201492073e-01,1.000000000000000000e+00,8.713109677418452437e-01,9.664174576077695367e-01,9.920293342821747684e-01,9.159104285010321034e-01,1.000000000000000000e+00,9.775184116883569585e-01,1.000000000000000000e+00,9.290608075077319006e-01,0.000000000000000000e+00,8.855947879777462672e-01,9.795314967556211228e-01
1.000000000000000000e+00,7.940996012132738313e-01,9.186270007743306820e-01,8.490944146951369120e-01,9.813589380418454855e-01,9.075648649040564120e-01,9.599865097879746179e-01,9.098338967629784335e-01,9.939948186831513155e-01,8.949345975654019458e-01,9.688827357723105438e-01,9.717194708620997545e-01,9.697733379744609694e-01,9.718672005841503259e-01,9.669936917735882931e-01,9.503092096156480206e-01,1.188325334300235125e+00,8.855947879777462672e-01,0.000000000000000000e+00,9.306630200428478439e-01
9.266591568171405058e-01,8.502358313019223734e-01,9.757428133500671841e-01,8.987459319681747605e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.871256131907923947e-01,9.713918399655877556e-01,8.802242381973799379e-01,9.623202622829043484e-01,9.321986046057648689e-01,8.976176928639483243e-01,9.666302949709016934e-01,4.823691666446101589e-01,5.925490124499774858e-01,6.858329384643020443e-01,1.042251699464580517e+00,9.795314967556211228e-01,9.306630200428478439e-01,2.220446049250313081e-16
