# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
1.110223024625156540e-16,1.000000000000000000e+00,3.964122389437521043e-01,8.531337895376505109e-01,8.809630660960428017e-01,9.011086463503653610e-01,8.632433568159222359e-01,1.491119917602047318e-01,9.962318091035334833e-01,7.741479309401836373e-01,9.094658333644027870e-01,7.684260330562855401e-01,8.971363435505833595e-01,3.290039154185218084e-01,1.348287395377686382e-01,3.592433143956638153e-01,8.862946454507499849e-01,1.077377869150999423e-01,9.208390786018069152e-01,2.195487733084661164e-01
1.000000000000000000e+00,1.110223024625156540e-16,8.606338286384301872e-01,8.355831272604883342e-01,9.581367277371596325e-01,4.098818540312025860e-01,7.976757265472224079e-01,9.189060637294281797e-01,5.125007268525803017e-01,8.108990313228661151e-01,9.673401604379313623e-01,9.625293152936176266e-01,9.498389616666083057e-01,8.997598131932128540e-01,9.497391123949171510e-01,1.000000000000000000e+00,9.878041649487211417e-01,1.000000000000000000e+00,8.439145440299202772e-01,1.000000000000000000e+00
3.964122389437521043e-01,8.606338286384301872e-01,1.110223024625156540e-16,8.429561428621383801e-01,8.534336034520237924e-01,9.474482541043219852e-01,8.573414300561508217e-01,4.522252091181030442e-01,9.706203836937239426e-01,1.000000000000000000e+00,9.628423625308129008e-01,8.070899861954246024e-01,7.650236869975342024e-01,4.541961401227599948e-01,3.818828430709478861e-01,3.859558343309745787e-01,8.764538058432101986e-01,4.507880432758971656e-01,8.502245971872615105e-01,3.749754727371554797e-01
8.531337895376505109e-01,8.355831272604883342e-01,8.429561428621383801e-01,4.453300143341148987e-01,7.838269864578326640e-01,8.260425407081561922e-01,7.734806286001993936e-01,8.457173490577636343e-01,8.813406942691498491e-01,9.946933195480500700e-01,9.520942622756873863e-01,8.440611750610350628e-01,6.801929614472954633e-01,9.327202869065571722e-01,8.198893095391615038e-01,7.907601677107282123e-01,8.662078304861788869e-01,8.494393164000180185e-01,8.623094425116863970e-01,8.508239539200612711e-01
8.809630660960428017e-01,9.581367277371596325e-01,8.534336034520237924e-01,7.838269864578326640e-01,0.000000000000000000e+00,9.965279216102307380e-01,7.071652247642681299e-01,8.273322340195439217e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.774044758395665777e-01,8.304991850838818745e-01,6.274209262027986567e-01,8.113677836224013618e-01,8.495692607309164313e-01,8.421036761124134351e-01,6.872149858430094405e-01,8.081345691873201842e-01,7.967143099225564296e-01,8.247432225775288561e-01
9.011086463503653610e-01,4.098818540312025860e-01,9.474482541043219852e-01,8.260425407081561922e-01,9.965279216102307380e-01,1.110223024625156540e-16,8.994744035378493541e-01,1.000000000000000000e+00,3.301681199704057379e-01,7.068208123026651357e-01,9.550857930352564251e-01,9.946724523029424336e-01,9.884861761552241610e-01,8.414588462994656570e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.481851609966312155e-01,1.000000000000000000e+00
8.632433568159222359e-01,7.976757265472224079e-01,8.573414300561508217e-01,7.734806286001993936e-01,7.071652247642681299e-01,8.994744035378493541e-01,0.000000000000000000e+00,8.368879583138524314e-01,9.236281262004779613e-01,9.735907305756357211e-01,7.538365509670543751e-01,7.913397101312501514e-01,7.105579628318103858e-01,6.669664818144782625e-01,9.438668924383898373e-01,8.649726571768275862e-01,6.931407642901870059e-01,8.499078745762784770e-01,4.720228374158248474e-01,8.645254790024581304e-01
1.491119917602047318e-01,9.189060637294281797e-01,4.522252091181030442e-01,8.457173490577636343e-01,8.273322340195439217e-01,1.000000000000000000e+00,8.368879583138524314e-01,1.110223024625156540e-16,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.411064841424055416e-01,7.718607225931879423e-01,4.446495638033987063e-01,2.105435114305999056e-01,2.775849914201945490e-01,8.939743755270946890e-01,1.831605660286005355e-01,9.279102725533925344e-01,2.946413489570056665e-01
9.962318091035334833e-01,5.125007268525803017e-01,9.706203836937239426e-01,8.813406942691498491e-01,1.000000000000000000e+00,3.301681199704057379e-01,9.236281262004779613e-01,1.000000000000000000e+00,-2.220446049250313081e-16,8.238793825523276215e-01,9.755157584004573446e-01,1.000000000000000000e+00,9.861590377611133551e-01,9.193607350213099938e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.680068743668265308e-01,1.000000000000000000e+00
7.741479309401836373e-01,8.108990313228661151e-01,1.000000000000000000e+00,9.946933195480500700e-01,1.000000000000000000e+00,7.068208123026651357e-01,9.735907305756357211e-01,1.000000000000000000e+00,8.238793825523276215e-01,0.000000000000000000e+00,1.000000000000000000e+00,8.391642734579063401e-01,9.619208130605283458e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.161839201627314244e-01,1.000000000000000000e+00,9.106745050057378776e-01,9.520738745783590140e-01,9.814446356201793620e-01
9.094658333644027870e-01,9.673401604379313623e-01,9.628423625308129008e-01,9.520942622756873863e-01,9.774044758395665777e-01,9.550857930352564251e-01,7.538365509670543751e-01,1.000000000000000000e+00,9.755157584004573446e-01,1.000000000000000000e+00,0.000000000000000000e+00,8.967296670642443956e-01,9.655155145817263529e-01,9.219720073376594938e-01,1.000000000000000000e+00,9.711689473383438020e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.030017904737301038e-01,9.628992737754302755e-01
7.684260330562855401e-01,9.625293152936176266e-01,8.070899861954246024e-01,8.440611750610350628e-01,8.304991850838818745e-01,9.946724523029424336e-01,7.913397101312501514e-01,7.411064841424055416e-01,1.000000000000000000e+00,8.391642734579063401e-01,8.967296670642443956e-01,4.895572178515041895e-01,7.509840185213524366e-01,7.109274049559256570e-01,7.780045080245279188e-01,7.460850773448685080e-01,9.260851137179595405e-01,7.609628740934363256e-01,8.568871773844866091e-01,7.806859175403855211e-01
8.971363435505833595e-01,9.498389616666083057e-01,7.650236869975342024e-01,6.801929614472954633e-01,6.274209262027986567e-01,9.884861761552241610e-01,7.105579628318103858e-01,7.718607225931879423e-01,9.861590377611133551e-01,9.619208130605283458e-01,9.655155145817263529e-01,7.509840185213524366e-01,0.000000000000000000e+00,7.370421446816894928e-01,7.722137166798566099e-01,7.942672106085026940e-01,7.756890679148636947e-01,8.460286881657669289e-01,8.059958394783720559e-01,7.648285128181380177e-01
3.290039154185218084e-01,8.997598131932128540e-01,4.541961401227599948e-01,9.327202869065571722e-01,8.113677836224013618e-01,8.414588462994656570e-01,6.669664818144782625e-01,4.446495638033987063e-01,9.193607350213099938e-01,1.000000000000000000e+00,9.219720073376594938e-01,7.109274049559256570e-01,7.370421446816894928e-01,1.110223024625156540e-16,2.269615980080210704e-01,3.556776419042604331e-01,8.840258286574833591e-01,3.345044448610406951e-01,7.191971669718673077e-01,1.770321143795734464e-01
1.348287395377686382e-01,9.497391123949171510e-01,3.818828430709478861e-01,8.198893095391615038e-01,8.495692607309164313e-01,1.000000000000000000e+00,9.438668924383898373e-01,2.105435114305999056e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.780045080245279188e-01,7.722137166798566099e-01,2.269615980080210704e-01,0.000000000000000000e+00,2.459152818230869730e-01,8.650320337825302408e-01,1.802012213196689805e-01,9.487533407762537285e-01,1.588915590332508065e-01
3.592433143956638153e-01,1.000000000000000000e+00,3.859558343309745787e-01,7.907601677107282123e-01,8.421036761124134351e-01,1.000000000000000000e+00,8.649726571768275862e-01,2.775849914201945490e-01,1.000000000000000000e+00,9.161839201627314244e-01,9.711689473383438020e-01,7.460850773448685080e-01,7.942672106085026940e-01,3.556776419042604331e-01,2.459152818230869730e-01,0.000000000000000000e+00,8.787570321020927722e-01,3.656890918923717537e-01,9.323377446852025852e-01,2.524393725401536948e-01
8.862946454507499849e-01,9.878041649487211417e-01,8.764538058432101986e-01,8.662078304861788869e-01,6.872149858430094405e-01,1.000000000000000000e+00,6.931407642901870059e-01,8.939743755270946890e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.260851137179595405e-01,7.756890679148636947e-01,8.840258286574833591e-01,8.650320337825302408e-01,8.787570321020927722e-01,-2.220446049250313081e-16,8.647954551861154471e-01,9.491452906937775102e-01,8.696140843955526556e-01
1.077377869150999423e-01,1.000000000000000000e+00,4.507880432758971656e-01,8.494393164000180185e-01,8.081345691873201842e-01,1.000000000000000000e+00,8.499078745762784770e-01,1.831605660286005355e-01,1.000000000000000000e+00,9.106745050057378776e-01,1.000000000000000000e+00,7.609628740934363256e-01,8.460286881657669289e-01,3.345044448610406951e-01,1.802012213196689805e-01,3.656890918923717537e-01,8.647954551861154471e-01,1.110223024625156540e-16,8.668198838183487354e-01,2.291192200693922265e-01
9.208390786018069152e-01,8.439145440299202772e-01,8.502245971872615105e-01,8.623094425116863970e-01,7.967143099225564296e-01,8.481851609966312155e-01,4.720228374158248474e-01,9.279102725533925344e-01,9.680068743668265308e-01,9.520738745783590140e-01,8.030017904737301038e-01,8.568871773844866091e-01,8.059958394783720559e-01,7.191971669718673077e-01,9.487533407762537285e-01,9.323377446852025852e-01,9.491452906937775102e-01,8.668198838183487354e-01,2.220446049250313081e-16,9.060645120578996181e-01
2.195487733084661164e-01,1.000000000000000000e+00,3.749754727371554797e-01,8.508239539200612711e-01,8.247432225775288561e-01,1.000000000000000000e+00,8.645254790024581304e-01,2.946413489570056665e-01,1.000000000000000000e+00,9.814446356201793620e-01,9.628992737754302755e-01,7.806859175403855211e-01,7.648285128181380177e-01,1.770321143795734464e-01,1.588915590332508065e-01,2.524393725401536948e-01,8.696140843955526556e-01,2.291192200693922265e-01,9.060645120578996181e-01,0.000000000000000000e+00
