# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
2.220446049250313081e-16,4.705454601593305197e-01,-1.101263564588395027e-02,5.926908880417027792e-01,8.315116226500899321e-01,1.000000000000000000e+00,8.669616390165382214e-01,3.693785638940136895e-01,1.000000000000000000e+00,8.487628623779812642e-01,9.874756053748171558e-01,1.000000000000000000e+00,1.000000000000000000e+00,4.616734899511472090e-01,3.588028849553056565e-01,5.974997395051451221e-01,1.000000000000000000e+00,3.261963997762874490e-01,1.000000000000000000e+00,5.070427266352612872e-01
4.705454601593305197e-01,0.000000000000000000e+00,5.075959980277613415e-01,6.329817074557072543e-01,8.322765025914740100e-01,1.000000000000000000e+00,9.138618046882391877e-01,5.053896706015625906e-01,1.000000000000000000e+00,7.600320590103296636e-01,9.831458585156650498e-01,1.000000000000000000e+00,1.000000000000000000e+00,5.509591854073481176e-01,5.926589610824385401e-01,6.494970343125969769e-01,1.000000000000000000e+00,6.212794588436718612e-01,1.000000000000000000e+00,5.947144886748011450e-01
-1.101263564588395027e-02,5.075959980277613415e-01,1.110223024625156540e-16,6.170775954602869540e-01,6.790620934703881506e-01,9.765392460607741354e-01,1.000000000000000000e+00,4.793928923272249287e-01,1.000000000000000000e+00,6.944528508306058168e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.736100910618258331e-01,-1.035720990915316442e-01,5.006578547332825035e-01,9.930295603792927972e-01,5.038493156985978105e-01,1.000000000000000000e+00,4.344449723719350231e-01
5.926908880417027792e-01,6.329817074557072543e-01,6.170775954602869540e-01,0.000000000000000000e+00,7.622056576269853334e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.677148212933217142e-01,7.872368178833963892e-01,7.688951939265141755e-01,9.340222601793169988e-01,9.668772226625300670e-01,9.094011855093575569e-01,1.725755635360812779e-01,1.757566277002163835e-01,5.033112220783201307e-01,1.000000000000000000e+00,1.639331446405534187e-01,9.778133115462148695e-01,5.898695960205645461e-01
8.315116226500899321e-01,8.322765025914740100e-01,6.790620934703881506e-01,7.622056576269853334e-01,1.327275387397851836e-01,8.193096833367748966e-01,7.566538556311755981e-01,7.963131155735676536e-01,8.477537647151023315e-01,6.144839285789768235e-01,6.868083528976879348e-01,6.240818906094758312e-01,6.862249737922274662e-01,8.178736013348115730e-01,8.027067954834111729e-01,6.881069643213454379e-01,8.489227262270713226e-01,7.679711937552265999e-01,8.869984967986661584e-01,7.609034378982888480e-01
1.000000000000000000e+00,1.000000000000000000e+00,9.765392460607741354e-01,1.000000000000000000e+00,8.193096833367748966e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.712072835329637943e-01,5.856242687766630706e-01,7.744184392947939255e-01,6.903179991254853043e-01,6.246334842378402641e-01,1.000000000000000000e+00,9.770472289212601691e-01,9.965577632701930755e-01,1.000000000000000000e+00,9.743418729948312151e-01,1.000000000000000000e+00,9.770775512251191897e-01
8.669616390165382214e-01,9.138618046882391877e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.566538556311755981e-01,1.000000000000000000e+00,1.110223024625156540e-16,8.477421758796447326e-01,8.781675408087542545e-01,7.329158245898976798e-01,8.178818543447428091e-01,9.391557517503286157e-01,9.727293232664270262e-01,9.793777822731062344e-01,1.000000000000000000e+00,8.900253781461457958e-01,9.276168851453147068e-01,9.140546023554289023e-01,1.000000000000000000e+00,8.166777300816199237e-01
3.693785638940136895e-01,5.053896706015625906e-01,4.793928923272249287e-01,1.677148212933217142e-01,7.963131155735676536e-01,1.000000000000000000e+00,8.477421758796447326e-01,1.110223024625156540e-16,1.000000000000000000e+00,7.891074030304509046e-01,9.982173650083866479e-01,1.000000000000000000e+00,1.000000000000000000e+00,4.423693689108798566e-01,3.499716989496113317e-01,6.714656908282687908e-01,1.000000000000000000e+00,3.774103418898744344e-01,9.974825638299495978e-01,3.771386249301680316e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.872368178833963892e-01,8.477537647151023315e-01,5.712072835329637943e-01,8.781675408087542545e-01,1.000000000000000000e+00,2.220446049250313081e-16,9.017300508075704046e-01,1.000000000000000000e+00,7.865356104953910021e-01,7.670061744462677300e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.574288688187704288e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
8.487628623779812642e-01,7.600320590103296636e-01,6.944528508306058168e-01,7.688951939265141755e-01,6.144839285789768235e-01,5.856242687766630706e-01,7.329158245898976798e-01,7.891074030304509046e-01,9.017300508075704046e-01,0.000000000000000000e+00,6.953783585252060195e-01,6.038677093633084692e-01,5.796953923657063301e-01,6.550541767739758159e-01,5.641642362183683090e-01,6.060603709200225175e-01,8.885614733956337385e-01,7.439963976131386270e-01,8.860734355151231867e-01,6.538457843617834220e-01
