# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.256113866819474456e-01,9.795826048604142633e-01,7.255616243136067123e-01,9.959312265134193654e-01,2.597101534878415441e-01,9.124268822746530727e-01,7.631058034393857215e-01,8.831323021670115514e-01,9.166560074938722158e-01,8.169658935557505552e-01,9.329049573818872787e-01,1.000000000000000000e+00,6.946891990293310171e-01,9.914212060147350458e-01,8.814105728053378552e-02,8.904508527590352385e-01,1.000000000000000000e+00
1.000000000000000000e+00,2.220446049250313081e-16,9.496886283853732680e-01,9.835689514556785751e-01,9.749116807639466309e-01,8.412835724409285509e-01,9.279129638692705795e-01,1.000000000000000000e+00,9.552006629631303314e-01,1.000000000000000000e+00,9.696346155223569685e-01,8.757358215368469256e-01,9.032220146003889782e-01,9.941303217885086863e-01,9.412222062515943621e-01,9.593676360192597841e-01,1.177042737521199367e+00,9.775118504097891625e-01,9.885284284688982126e-01,9.327625648232543698e-01
1.000000000000000000e+00,9.496886283853732680e-01,0.000000000000000000e+00,9.953489411669266262e-01,8.824797868382873167e-01,5.931589983564274915e-01,9.082467907766627047e-01,9.650858296445297135e-01,9.922672630614473022e-01,9.796809575533063086e-01,8.384500760993318647e-01,8.552087612127486915e-01,1.000000000000000000e+00,8.620992305138477363e-01,1.000000000000000000e+00,7.433553355144389974e-01,9.774660572175825068e-01,9.656025925862670167e-01,1.000000000000000000e+00,9.178512702284910008e-01
8.256113866819474456e-01,9.835689514556785751e-01,9.953489411669266262e-01,0.000000000000000000e+00,9.732391147595087499e-01,9.813975968131349870e-01,1.000000000000000000e+00,8.402489400006535325e-01,9.655241385778412511e-01,1.000000000000000000e+00,9.835773132343933467e-01,9.627777239663023456e-01,8.921568172947311748e-01,9.920404038367336419e-01,9.882679683882651389e-01,9.099193424700670052e-01,1.145344818296113454e+00,8.239431071177272248e-01,9.569908751164237781e-01,9.699729641342899056e-01
9.795826048604142633e-01,9.749116807639466309e-01,8.824797868382873167e-01,9.732391147595087499e-01,2.220446049250313081e-16,8.997212888818176824e-01,9.698015642109705237e-01,1.000000000000000000e+00,9.896041283442533754e-01,9.068908468000048684e-01,9.926743351244636804e-01,9.094942254844263774e-01,9.771798824121140647e-01,8.954222847678409147e-01,9.847284920871355318e-01,9.544599507573598984e-01,1.097497794691957962e+00,9.729374310420969563e-01,9.482063716281811105e-01,9.472148135843005967e-01
7.255616243136067123e-01,8.412835724409285509e-01,5.931589983564274915e-01,9.813975968131349870e-01,8.997212888818176824e-01,0.000000000000000000e+00,9.552350174778451164e-01,8.033760395183995318e-01,7.921705613125583634e-01,8.952613548277906785e-01,9.793896843747823544e-01,7.572180797483707426e-01,6.229174506618332385e-01,6.561339331449300705e-01,9.428139163995598038e-01,8.264662349582310163e-01,1.013073565908450879e+00,7.681967459424063893e-01,8.967147910251614951e-01,8.515192146770099724e-01
9.959312265134193654e-01,9.279129638692705795e-01,9.082467907766627047e-01,1.000000000000000000e+00,9.698015642109705237e-01,9.552350174778451164e-01,0.000000000000000000e+00,9.769666341033738099e-01,9.700450668576106050e-01,9.411808545458755226e-01,6.544229845128815004e-01,9.669768969151131266e-01,9.944120018905140412e-01,1.000000000000000000e+00,9.980929690875589566e-01,9.409837599592322244e-01,1.015119727005804329e+00,9.544650413446512660e-01,9.930377263582840230e-01,9.979233178005723071e-01
2.597101534878415441e-01,1.000000000000000000e+00,9.650858296445297135e-01,8.402489400006535325e-01,1.000000000000000000e+00,8.033760395183995318e-01,9.769666341033738099e-01,1.110223024625156540e-16,9.146054943311727747e-01,7.827733431683945309e-01,8.805637484664826653e-01,1.000000000000000000e+00,8.017612569749426044e-01,9.148448582500126047e-01,1.000000000000000000e+00,6.889234412002822605e-01,9.950140645155328700e-01,1.461662334022466592e-01,8.874337256491666714e-01,9.445782003793830039e-01
9.124268822746530727e-01,9.552006629631303314e-01,9.922672630614473022e-01,9.655241385778412511e-01,9.896041283442533754e-01,7.921705613125583634e-01,9.700450668576106050e-01,9.146054943311727747e-01,4.599883774222400246e-01,9.626633608811737686e-01,9.598124491912828349e-01,9.177244289767996221e-01,9.265930021966595209e-01,8.447920860621151995e-01,9.660078470462870603e-01,9.031821617560347182e-01,1.092910387528482241e+00,9.056976210408533845e-01,9.315219880230181104e-01,8.611208679162344337e-01
7.631058034393857215e-01,1.000000000000000000e+00,9.796809575533063086e-01,1.000000000000000000e+00,9.068908468000048684e-01,8.952613548277906785e-01,9.411808545458755226e-01,7.827733431683945309e-01,9.626633608811737686e-01,0.000000000000000000e+00,9.512316132778199096e-01,8.913499632296303377e-01,9.499383965815628716e-01,9.958245763287479901e-01,1.000000000000000000e+00,9.246000039913579993e-01,1.269828381396273631e+00,7.776967096620207576e-01,1.000000000000000000e+00,9.223127804834633237e-01
8.831323021670115514e-01,9.696346155223569685e-01,8.384500760993318647e-01,9.835773132343933467e-01,9.926743351244636804e-01,9.793896843747823544e-01,6.544229845128815004e-01,8.805637484664826653e-01,9.598124491912828349e-01,9.512316132778199096e-01,0.000000000000000000e+00,9.901940161881064295e-01,9.591622755342275042e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.219666450403498636e-01,1.151592252836048047e+00,8.650484490627803336e-01,1.000000000000000000e+00,1.000000000000000000e+00
9.166560074938722158e-01,8.757358215368469256e-01,8.552087612127486915e-01,9.627777239663023456e-01,9.094942254844263774e-01,7.572180797483707426e-01,9.669768969151131266e-01,1.000000000000000000e+00,9.177244289767996221e-01,8.913499632296303377e-01,9.901940161881064295e-01,-2.220446049250313081e-16,1.000000000000000000e+00,9.135208616756391731e-01,9.063478906452333561e-01,9.133806045877912450e-01,1.120153708161148121e+00,9.603183413147192704e-01,9.885164123965038963e-01,6.759217416565745928e-01
