# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,1.000000000000000000e+00,3.800295594027834900e-01,9.298404465650572659e-01,1.000000000000000000e+00,9.677033438396541731e-01,9.794068963001018036e-01,2.167936084223344162e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.115434189072298965e-01,9.509977167495754502e-01,-1.307974132274789536e-01,1.428627003095929160e-01,4.546222361205574103e-01,1.000000000000000000e+00,2.581343395239793503e-01,1.000000000000000000e+00,2.622858308702630259e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.904268267130886816e-01,9.427764065254244930e-01,9.809911327659579516e-01,1.896470618835879307e-01,9.666945242271431926e-01,1.000000000000000000e+00,5.789831249865369234e-01,1.000000000000000000e+00,8.983669049513900440e-01,9.575077594173911910e-01,9.336443102269238459e-01,8.926016704293140425e-01,8.761425112630450984e-01,9.790938163561195839e-01,1.000000000000000000e+00,7.974651792093987446e-01,9.217421566640657815e-01,9.822556662374257730e-01
3.800295594027834900e-01,9.904268267130886816e-01,0.000000000000000000e+00,9.250154286006111448e-01,1.000000000000000000e+00,7.858724473922186204e-01,9.951345873673148601e-01,7.092743456289609671e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.537968359753163927e-01,9.897813278994860298e-01,3.485494065873029346e-01,3.267693037203523998e-01,4.196422063847027317e-01,1.000000000000000000e+00,3.063761137494118714e-01,1.000000000000000000e+00,2.794361332793973141e-01
9.298404465650572659e-01,9.427764065254244930e-01,9.250154286006111448e-01,0.000000000000000000e+00,9.374907386392098418e-01,9.420703729243908864e-01,8.622167393954869308e-01,9.229438892961581153e-01,9.446926408433818922e-01,1.000000000000000000e+00,9.351569797168457487e-01,8.525955063958999824e-01,8.081430425115022631e-01,9.217178705960528129e-01,9.337805311644962192e-01,9.229771111071809475e-01,1.000000000000000000e+00,9.411531441014976407e-01,1.000000000000000000e+00,9.033247515374475123e-01
1.000000000000000000e+00,9.809911327659579516e-01,1.000000000000000000e+00,9.374907386392098418e-01,0.000000000000000000e+00,9.749186600924378832e-01,8.439213632489444006e-01,1.000000000000000000e+00,9.548225845870329520e-01,8.594528190921884025e-01,7.540192315220910491e-01,7.752928823037210648e-01,8.480449336959694495e-01,9.449716999381306826e-01,9.732074477936651924e-01,9.749316665953358108e-01,8.682163352116798460e-01,1.000000000000000000e+00,6.953470839661264336e-01,1.000000000000000000e+00
9.677033438396541731e-01,1.896470618835879307e-01,7.858724473922186204e-01,9.420703729243908864e-01,9.749186600924378832e-01,2.220446049250313081e-16,8.939705554709629354e-01,9.588183816101439882e-01,4.735499221189868324e-01,9.650083448766092475e-01,8.383424477132087604e-01,9.570704651248158612e-01,9.827005218583390045e-01,9.094288882187816503e-01,9.361406627104761347e-01,9.270136810393168059e-01,8.042635293189415169e-01,9.402095827462582101e-01,9.726698375699354138e-01,9.330926654692726085e-01
9.794068963001018036e-01,9.666945242271431926e-01,9.951345873673148601e-01,8.622167393954869308e-01,8.439213632489444006e-01,8.939705554709629354e-01,-2.220446049250313081e-16,1.000000000000000000e+00,9.780016155265780498e-01,9.472875170864428762e-01,7.000814074288470579e-01,8.456131927324724851e-01,8.758639412724842366e-01,8.997672801296365819e-01,9.751890511611146506e-01,9.812879422465986545e-01,7.540546822755082035e-01,1.000000000000000000e+00,7.939030067330781204e-01,1.000000000000000000e+00
2.167936084223344162e-01,1.000000000000000000e+00,7.092743456289609671e-01,9.229438892961581153e-01,1.000000000000000000e+00,9.588183816101439882e-01,1.000000000000000000e+00,2.220446049250313081e-16,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.098002542686473015e-01,9.311491361776785824e-01,6.195196281214008227e-01,5.332192903722258182e-01,7.469586742402016810e-01,1.000000000000000000e+00,5.688688678321971448e-01,1.000000000000000000e+00,2.314654706383840743e-01
1.000000000000000000e+00,5.789831249865369234e-01,1.000000000000000000e+00,9.446926408433818922e-01,9.548225845870329520e-01,4.735499221189868324e-01,9.780016155265780498e-01,1.000000000000000000e+00,1.110223024625156540e-16,1.000000000000000000e+00,1.000000000000000000e+00,9.688981236207809822e-01,9.933200076952363178e-01,9.509446367450506976e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.209446241286329826e-01,1.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.594528190921884025e-01,9.650083448766092475e-01,9.472875170864428762e-01,1.000000000000000000e+00,1.000000000000000000e+00,-2.220446049250313081e-16,9.311926890192211426e-01,8.688677371979378616e-01,1.000000000000000000e+00,5.749157298704138386e-01,4.874592198552444300e-01,9.943957238707649138e-01,9.295103769279985384e-01,9.866890454597858628e-01,8.698345413915457014e-01,9.307809524760743969e-01
1.000000000000000000e+00,8.983669049513900440e-01,1.000000000000000000e+00,9.351569797168457487e-01,7.540192315220910491e-01,8.383424477132087604e-01,7.000814074288470579e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.311926890192211426e-01,1.110223024625156540e-16,1.000000000000000000e+00,9.355689819258767859e-01,8.451830280810102014e-01,1.000000000000000000e+00,1.000000000000000000e+00,3.975878582262269978e-01,1.000000000000000000e+00,4.594445324151422705e-01,1.000000000000000000e+00
9.115434189072298965e-01,9.575077594173911910e-01,9.537968359753163927e-01,8.525955063958999824e-01,7.752928823037210648e-01,9.570704651248158612e-01,8.456131927324724851e-01,9.098002542686473015e-01,9.688981236207809822e-01,8.688677371979378616e-01,1.000000000000000000e+00,0.000000000000000000e+00,8.002032261390469303e-01,9.128878414609229441e-01,8.616616267769338089e-01,8.882323231732058844e-01,1.000000000000000000e+00,9.191032193720645171e-01,9.422566829519923859e-01,8.538040853970025879e-01
9.509977167495754502e-01,9.336443102269238459e-01,9.897813278994860298e-01,8.081430425115022631e-01,8.480449336959694495e-01,9.827005218583390045e-01,8.758639412724842366e-01,9.311491361776785824e-01,9.933200076952363178e-01,1.000000000000000000e+00,9.355689819258767859e-01,8.002032261390469303e-01,2.220446049250313081e-16,9.275927377660262430e-01,9.399161193881464538e-01,9.181716517477603867e-01,1.000000000000000000e+00,9.395639376870559278e-01,1.000000000000000000e+00,9.344398823302920709e-01
-1.307974132274789536e-01,8.926016704293140425e-01,3.485494065873029346e-01,9.217178705960528129e-01,9.449716999381306826e-01,9.094288882187816503e-01,8.997672801296365819e-01,6.195196281214008227e-01,9.509446367450506976e-01,5.749157298704138386e-01,8.451830280810102014e-01,9.128878414609229441e-01,9.275927377660262430e-01,0.000000000000000000e+00,1.135848882463165177e-01,3.889752561770327688e-01,1.000000000000000000e+00,-6.239220307288961820e-02,9.245569915180743559e-01,-2.983340112691585944e-01
1.428627003095929160e-01,8.761425112630450984e-01,3.267693037203523998e-01,9.337805311644962192e-01,9.732074477936651924e-01,9.361406627104761347e-01,9.751890511611146506e-01,5.332192903722258182e-01,1.000000000000000000e+00,4.874592198552444300e-01,1.000000000000000000e+00,8.616616267769338089e-01,9.399161193881464538e-01,1.135848882463165177e-01,0.000000000000000000e+00,5.083675378242079601e-01,1.000000000000000000e+00,-5.144647415888270459e-02,9.499252762267931249e-01,2.005328129904213608e-01
4.546222361205574103e-01,9.790938163561195839e-01,4.196422063847027317e-01,9.229771111071809475e-01,9.749316665953358108e-01,9.270136810393168059e-01,9.812879422465986545e-01,7.469586742402016810e-01,1.000000000000000000e+00,9.943957238707649138e-01,1.000000000000000000e+00,8.882323231732058844e-01,9.181716517477603867e-01,3.889752561770327688e-01,5.083675378242079601e-01,0.000000000000000000e+00,1.000000000000000000e+00,5.084483239376597075e-01,1.000000000000000000e+00,5.281827740661464432e-01
