# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,8.434176617266413434e-01,4.403903113835619942e-01,8.669432813670674420e-01,9.227042969921008808e-01,9.550058227841845548e-01,1.000000000000000000e+00,5.163516576747784192e-01,5.596196069339897106e-01,9.704919032388104050e-01,1.000000000000000000e+00,8.171921686086521808e-01,8.028665751077150858e-01,1.000000000000000000e+00,6.264696164860650285e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.423212402902893636e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.434176617266413434e-01,1.110223024625156540e-16,9.060657471176346567e-01,6.833943053868134498e-01,9.001997953514251360e-01,6.831484469094964984e-01,9.600106771849835630e-01,7.412844125092671321e-01,4.054057166644948751e-01,9.716237772696257879e-01,9.645101943836467129e-01,8.971131237690674887e-01,7.217555610606092298e-01,1.000000000000000000e+00,9.317863493028982758e-01,9.844944579757297642e-01,1.000000000000000000e+00,8.718298810060510773e-01,9.829874780545878599e-01,1.000000000000000000e+00
4.403903113835619942e-01,9.060657471176346567e-01,0.000000000000000000e+00,8.788593830345128310e-01,8.559793660895376188e-01,9.852707898263306507e-01,9.963137279939718871e-01,5.411525489660351518e-01,9.215609612056212541e-01,9.261483365263392109e-01,1.000000000000000000e+00,8.100832005205526043e-01,3.248971138838919748e-01,1.000000000000000000e+00,7.487309101532786393e-01,9.792822930964164563e-01,9.963895763615635559e-01,4.142671392029121380e-01,1.000000000000000000e+00,6.278317453382230573e-01
8.669432813670674420e-01,6.833943053868134498e-01,8.788593830345128310e-01,2.220446049250313081e-16,7.498917024038324053e-01,6.938241660005131095e-01,9.814383078570118046e-01,8.831295766109235057e-01,6.511085283295549031e-01,1.000000000000000000e+00,9.722960466053047757e-01,8.714237796749310094e-01,7.431970456085312815e-01,9.729877940826202609e-01,8.744701626280687590e-01,9.415472154250955628e-01,9.744220473190210452e-01,8.649506795906531931e-01,9.691448137937410667e-01,1.000000000000000000e+00
9.227042969921008808e-01,9.001997953514251360e-01,8.559793660895376188e-01,7.498917024038324053e-01,0.000000000000000000e+00,9.720438065907381908e-01,1.000000000000000000e+00,9.366286836061639143e-01,9.389739404686558988e-01,1.000000000000000000e+00,9.729779621902617803e-01,9.476509486139189642e-01,9.287669953805586243e-01,1.000000000000000000e+00,9.937565476357643757e-01,9.626599674524020100e-01,9.354158168351276448e-01,8.563865689247088797e-01,9.607553235462202856e-01,1.000000000000000000e+00
9.550058227841845548e-01,6.831484469094964984e-01,9.852707898263306507e-01,6.938241660005131095e-01,9.720438065907381908e-01,1.110223024625156540e-16,9.552043685818643048e-01,9.901239056205528577e-01,6.161264231728487140e-01,9.752405121621168238e-01,9.632348303204216755e-01,9.484758014122096625e-01,9.730526935253727139e-01,8.121823140564146115e-01,9.758820001133478028e-01,9.528582092180082341e-01,9.518591156195013170e-01,9.568369874337573355e-01,9.492143528487813064e-01,8.171595230328232429e-01
1.000000000000000000e+00,9.600106771849835630e-01,9.963137279939718871e-01,9.814383078570118046e-01,1.000000000000000000e+00,9.552043685818643048e-01,0.000000000000000000e+00,9.013826498400197007e-01,9.442971216676639967e-01,8.605516817648206640e-01,5.811833937487366208e-01,9.534947552169346086e-01,9.687559963406523478e-01,9.866602353946128945e-01,9.402960547872072361e-01,1.000000000000000000e+00,5.926844388348334602e-01,1.000000000000000000e+00,4.706791575657570670e-01,9.818487799826151052e-01
5.163516576747784192e-01,7.412844125092671321e-01,5.411525489660351518e-01,8.831295766109235057e-01,9.366286836061639143e-01,9.901239056205528577e-01,9.013826498400197007e-01,-2.220446049250313081e-16,9.092932450123263344e-01,9.407088371378484748e-01,1.000000000000000000e+00,8.370466736736927871e-01,7.759530433167676211e-01,6.124067398865294942e-01,3.922632163557577267e-01,1.000000000000000000e+00,1.000000000000000000e+00,5.426352719224445398e-01,9.878223793574524292e-01,1.000000000000000000e+00
5.596196069339897106e-01,4.054057166644948751e-01,9.215609612056212541e-01,6.511085283295549031e-01,9.389739404686558988e-01,6.161264231728487140e-01,9.442971216676639967e-01,9.092932450123263344e-01,2.220446049250313081e-16,9.073702631897485604e-01,9.687620644277743498e-01,8.913121443745557482e-01,6.740393299803956184e-01,1.000000000000000000e+00,9.667959029187033204e-01,9.756946557553065613e-01,1.000000000000000000e+00,5.292362148741105443e-01,9.658164996145616188e-01,1.000000000000000000e+00
9.704919032388104050e-01,9.716237772696257879e-01,9.261483365263392109e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.752405121621168238e-01,8.605516817648206640e-01,9.407088371378484748e-01,9.073702631897485604e-01,0.000000000000000000e+00,9.365147976640384453e-01,8.938791542074195906e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.296688445052743166e-01,8.716308944626578459e-01,1.000000000000000000e+00,9.757997384033666455e-01,1.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,9.645101943836467129e-01,1.000000000000000000e+00,9.722960466053047757e-01,9.729779621902617803e-01,9.632348303204216755e-01,5.811833937487366208e-01,1.000000000000000000e+00,9.687620644277743498e-01,9.365147976640384453e-01,0.000000000000000000e+00,9.662401371716984322e-01,1.000000000000000000e+00,9.408471796258087716e-01,1.000000000000000000e+00,1.000000000000000000e+00,4.966343722045810649e-01,1.000000000000000000e+00,5.010569144934818864e-01,1.000000000000000000e+00
8.171921686086521808e-01,8.971131237690674887e-01,8.100832005205526043e-01,8.714237796749310094e-01,9.476509486139189642e-01,9.484758014122096625e-01,9.534947552169346086e-01,8.370466736736927871e-01,8.913121443745557482e-01,8.938791542074195906e-01,9.662401371716984322e-01,5.000000000000000000e-01,7.231572295687626051e-01,9.564811291910284563e-01,7.964780765965284726e-01,8.341293036094037383e-01,9.997653602399176886e-01,8.418100298096855560e-01,9.722647295049229310e-01,9.379422200038639579e-01
8.028665751077150858e-01,7.217555610606092298e-01,3.248971138838919748e-01,7.431970456085312815e-01,9.287669953805586243e-01,9.730526935253727139e-01,9.687559963406523478e-01,7.759530433167676211e-01,6.740393299803956184e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.231572295687626051e-01,1.110223024625156540e-16,7.711090778803404433e-01,7.097363302705684829e-01,8.662572809896397219e-01,1.000000000000000000e+00,7.384730887809149991e-01,9.975341090585836401e-01,8.658684572985682060e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.729877940826202609e-01,1.000000000000000000e+00,8.121823140564146115e-01,9.866602353946128945e-01,6.124067398865294942e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.408471796258087716e-01,9.564811291910284563e-01,7.711090778803404433e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.620561755472625931e-01
