# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
3.330669073875469621e-16,9.063729785872790545e-01,5.221292907544441420e-01,8.457173414032737035e-01,9.993604797011831353e-01,5.000742508548816634e-01,9.284113703053734623e-01,-9.149339591024929774e-02,1.000000000000000000e+00,9.673116948889638467e-01,1.000000000000000000e+00,1.069477342768828887e+00,6.678058196548245506e-01,-2.287665680455419626e-02,2.571022308161642345e-01,6.792605237565135790e-01,9.236179303873166546e-01,5.019196654990367712e-01,9.159496483376448062e-01,5.606467268409514038e-01
9.063729785872790545e-01,0.000000000000000000e+00,9.594201358480154429e-01,9.830661252490698887e-01,8.783637408073283748e-01,9.815988404523445787e-01,9.999548780121546576e-01,9.336028771330004972e-01,3.056772007299790594e-01,7.850465832552124823e-01,9.816567995307624583e-01,1.046242361318590719e+00,9.157772976870698356e-01,8.672444997151094181e-01,7.428068385070604185e-01,9.864986937075109763e-01,1.000000000000000000e+00,8.731082704902917158e-01,9.925274898944369539e-01,9.094124845504064636e-01
5.221292907544441420e-01,9.594201358480154429e-01,0.000000000000000000e+00,8.877745970245517482e-01,9.678278393167654148e-01,5.814962323779949704e-01,9.483995888305363220e-01,4.760368988189701556e-01,9.317034091214128066e-01,9.479591957395827606e-01,9.820964855506020275e-01,1.147981760686284769e+00,6.878079312036717852e-01,5.482964539822114958e-01,4.055052227140603094e-01,7.121084980870571179e-01,1.000000000000000000e+00,4.864078445864909450e-01,9.191104010163808624e-01,6.185015792049145533e-01
8.457173414032737035e-01,9.830661252490698887e-01,8.877745970245517482e-01,-2.220446049250313081e-16,9.684814727195026896e-01,8.085573729942588939e-01,9.317406907748284617e-01,7.871874763688303522e-01,9.725875131670457252e-01,9.203619070621679166e-01,9.614228950894818659e-01,1.119434278029058483e+00,5.263591903523641147e-01,8.267077597473616590e-01,7.907226071437427617e-01,9.793171322407557833e-01,8.562906861343766440e-01,7.263801705951926646e-01,9.274956814542221206e-01,7.913428337548817915e-01
9.993604797011831353e-01,8.783637408073283748e-01,9.678278393167654148e-01,9.684814727195026896e-01,1.110223024625156540e-16,1.000000000000000000e+00,9.809321990245583045e-01,1.000000000000000000e+00,8.568717538498316078e-01,5.583797665986974801e-01,9.969022101059398233e-01,1.149875119242980803e+00,1.000000000000000000e+00,9.539016956771029232e-01,9.667320436148678642e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.591564906150846781e-01,9.878615925150810995e-01,9.971578110605474610e-01
5.000742508548816634e-01,9.815988404523445787e-01,5.814962323779949704e-01,8.085573729942588939e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.333067310423829310e-01,5.105922755962556403e-01,7.051434825602428402e-01,1.000000000000000000e+00,9.926168544815583417e-01,1.067232339022265553e+00,5.884129871283830804e-01,1.608525097127285752e-01,1.525291616998832867e-01,4.487146897976358462e-01,9.247303587258792756e-01,3.343861008547908131e-01,9.218608954674580858e-01,6.216744379251850638e-01
9.284113703053734623e-01,9.999548780121546576e-01,9.483995888305363220e-01,9.317406907748284617e-01,9.809321990245583045e-01,9.333067310423829310e-01,0.000000000000000000e+00,9.294151236707461905e-01,9.742191666625888979e-01,1.000000000000000000e+00,8.189194381882782814e-01,1.175270072428758361e+00,9.380040464887553497e-01,9.197226792787519534e-01,9.239209119908711187e-01,9.513061707832225489e-01,9.475923356569541101e-01,9.265105583883062046e-01,1.808362784421325697e-01,9.212445294038230648e-01
-9.149339591024929774e-02,9.336028771330004972e-01,4.760368988189701556e-01,7.871874763688303522e-01,1.000000000000000000e+00,5.105922755962556403e-01,9.294151236707461905e-01,0.000000000000000000e+00,6.217334567189578554e-01,8.305481994180444749e-01,9.993070896027694827e-01,1.133787652101777121e+00,5.960602232165159720e-01,4.229352409948845537e-01,1.998789144735676482e-01,7.231205931610685811e-01,9.673402135424731263e-01,3.570367520122715299e-01,9.364095809143710980e-01,5.229944268041334388e-01
1.000000000000000000e+00,3.056772007299790594e-01,9.317034091214128066e-01,9.725875131670457252e-01,8.568717538498316078e-01,7.051434825602428402e-01,9.742191666625888979e-01,6.217334567189578554e-01,1.110223024625156540e-16,7.432706836137388251e-01,1.000000000000000000e+00,1.023982212719913631e+00,8.564173599763604816e-01,9.225399279411674591e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.570054956018789749e-01,9.939657443298683948e-01,8.486015436905496312e-01
9.673116948889638467e-01,7.850465832552124823e-01,9.479591957395827606e-01,9.203619070621679166e-01,5.583797665986974801e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.305481994180444749e-01,7.432706836137388251e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.142469997564153683e+00,9.563182890488396426e-01,9.245060106751873397e-01,9.369771331123799563e-01,1.000000000000000000e+00,9.939622678349235851e-01,9.565562034923906776e-01,9.843884095634077847e-01,9.193857861537352294e-01
1.000000000000000000e+00,9.816567995307624583e-01,9.820964855506020275e-01,9.614228950894818659e-01,9.969022101059398233e-01,9.926168544815583417e-01,8.189194381882782814e-01,9.993070896027694827e-01,1.000000000000000000e+00,1.000000000000000000e+00,-2.220446049250313081e-16,1.365420559716544302e+00,9.801813764986504474e-01,9.648108485514053090e-01,9.980633139010535171e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.654685005152787713e-01,8.951881654904945140e-01,1.000000000000000000e+00
1.069477342768828887e+00,1.046242361318590719e+00,1.147981760686284769e+00,1.119434278029058483e+00,1.149875119242980803e+00,1.067232339022265553e+00,1.175270072428758361e+00,1.133787652101777121e+00,1.023982212719913631e+00,1.142469997564153683e+00,1.365420559716544302e+00,1.110223024625156540e-16,1.127247376115845023e+00,1.133846894444467068e+00,1.183755277978076892e+00,1.166290850056776573e+00,1.242328241615914042e+00,1.120788484136574059e+00,1.298215538311068062e+00,1.108000087317136284e+00
