# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,7.844670709478303028e-01,5.979980656497380087e-01,9.767638953647084232e-01,7.884051325803327348e-01,6.737487113387830018e-01,1.000000000000000000e+00,2.904898692947680550e-01,6.572882680073190986e-01,9.929767501285512443e-01,1.000000000000000000e+00,9.029982283780304542e-01,9.594471941152181715e-01,3.184535660823113457e-01,2.785026137195031337e-01,3.564456523760377582e-01,1.000000000000000000e+00,1.287003538456296114e-01,9.957321868172200885e-01,2.804936199818421905e-01
7.844670709478303028e-01,2.220446049250313081e-16,8.496162048702122771e-01,8.934908185028362926e-01,9.045117929854356031e-01,6.895929147029644657e-01,9.008775569884861500e-01,8.667228153842249094e-01,5.389729866654819901e-01,1.000000000000000000e+00,8.865528966450579862e-01,6.215135114955652185e-01,7.921106812489678850e-01,9.299038336103376823e-01,9.063014136019498235e-01,8.214675021782698039e-01,9.048607614355342887e-01,8.086544873094647645e-01,9.055362591169104913e-01,9.473765812728264235e-01
5.979980656497380087e-01,8.496162048702122771e-01,0.000000000000000000e+00,9.731608439934320565e-01,9.225769986055383232e-01,3.791962641032481374e-01,8.994139558183520400e-01,6.315135252715463610e-01,8.168750022065058847e-01,8.900312948403750202e-01,9.072197542778523971e-01,9.297954949973711303e-01,8.618834624980818981e-01,5.960301351586597685e-01,5.534019177064228856e-01,6.385995234635786222e-01,9.896222853502341099e-01,5.863592359592030290e-01,8.971707923883744940e-01,6.210387455985917349e-01
9.767638953647084232e-01,8.934908185028362926e-01,9.731608439934320565e-01,4.405448719662536927e-01,9.332047994657788337e-01,9.308377185339857807e-01,8.920361899625142144e-01,9.842937486509248934e-01,9.999471580055229181e-01,9.777466579220996934e-01,8.417136145930943503e-01,8.717172366627954361e-01,8.036826066087707776e-01,9.948469137231863435e-01,9.884544029026398615e-01,9.413011562331841109e-01,9.037668768977984435e-01,9.767232310225025804e-01,8.946133012635006931e-01,9.814660632321695610e-01
7.884051325803327348e-01,9.045117929854356031e-01,9.225769986055383232e-01,9.332047994657788337e-01,1.110223024625156540e-16,1.000000000000000000e+00,9.048317796012024239e-01,8.047269030169058590e-01,9.940885903671993207e-01,1.000000000000000000e+00,9.528397490247360047e-01,9.671771035777937398e-01,9.392463387631667660e-01,7.675818174318798093e-01,8.009139960762964305e-01,7.563718991815222559e-01,9.948640567104780619e-01,7.728182130884946321e-01,9.750586920990631512e-01,7.804505097944214320e-01
6.737487113387830018e-01,6.895929147029644657e-01,3.791962641032481374e-01,9.308377185339857807e-01,1.000000000000000000e+00,0.000000000000000000e+00,8.507355653006288820e-01,8.192575973268629852e-01,5.028113099431132937e-01,1.000000000000000000e+00,8.663812156200714210e-01,8.531371052433863733e-01,9.031409036759234787e-01,8.371218841768799379e-01,8.164483356503473566e-01,7.483646427236912979e-01,8.418073468649893698e-01,7.351727840268289516e-01,8.403260176121781777e-01,7.962915560562027206e-01
1.000000000000000000e+00,9.008775569884861500e-01,8.994139558183520400e-01,8.920361899625142144e-01,9.048317796012024239e-01,8.507355653006288820e-01,1.110223024625156540e-16,9.722025687154534079e-01,8.728802404532356451e-01,1.000000000000000000e+00,4.813320532418084996e-01,8.895436568783152698e-01,9.590124806428856896e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.074192064415377512e-01,9.896053426877351455e-01,3.491925326745015656e-01,1.000000000000000000e+00
2.904898692947680550e-01,8.667228153842249094e-01,6.315135252715463610e-01,9.842937486509248934e-01,8.047269030169058590e-01,8.192575973268629852e-01,9.722025687154534079e-01,1.110223024625156540e-16,7.548165217223606893e-01,1.000000000000000000e+00,9.940073416330515998e-01,8.472499092180940661e-01,9.481203799907791385e-01,2.649300657721038732e-01,2.648170332717976194e-01,3.446461513108296515e-01,9.307355848650468166e-01,1.399659270163241542e-01,9.687372570872714306e-01,2.964844501409421573e-01
6.572882680073190986e-01,5.389729866654819901e-01,8.168750022065058847e-01,9.999471580055229181e-01,9.940885903671993207e-01,5.028113099431132937e-01,8.728802404532356451e-01,7.548165217223606893e-01,0.000000000000000000e+00,9.944005745880742930e-01,9.068672061381670702e-01,8.695753707003877064e-01,8.740442461939708085e-01,7.337764913722188975e-01,8.074374053691076858e-01,6.857935709401157265e-01,9.005165278686015906e-01,7.919407378295544309e-01,8.891119789283304931e-01,8.656635118040130195e-01
9.929767501285512443e-01,1.000000000000000000e+00,8.900312948403750202e-01,9.777466579220996934e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.944005745880742930e-01,0.000000000000000000e+00,1.000000000000000000e+00,9.965815016172219210e-01,9.505773653520953603e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
