# Bashkir,Buryat,Chuvash,Evenki,Japanese,Kalmyk,Kannada,Kazakh,Khalkha Mongolian,Korean,Malayalam,Manchu,Nanai,North Azerbaijani,Northern Uzbek,Sakha,Tamil,Tatar,Telugu,Turkish
0.000000000000000000e+00,8.032697333953963126e-01,8.583647474660067722e-01,9.300532884082235441e-01,8.683474078210885461e-01,9.539249849834257056e-01,1.000000000000000000e+00,9.501631400607419842e-01,9.083315901189098485e-01,8.456677818138274016e-01,9.598951097715576752e-01,1.003712014251384455e+00,9.809991615554937150e-01,1.130697977394102161e+00,1.282349878182017289e+00,8.038576670577995964e-01,9.999107232401667211e-01,9.886240759454096860e-01,9.478604691121820247e-01,1.001551478437471054e+00
8.032697333953963126e-01,-2.220446049250313081e-16,7.692009182417041124e-01,7.340095141379059385e-01,8.723224209920638073e-01,9.386267193789608054e-01,8.221338119684693524e-01,8.737932313344424218e-01,7.646519320027432842e-01,9.486207532522423769e-01,9.974202509233500713e-01,1.011308725470439818e+00,5.279258250677272279e-01,1.208533063293746102e+00,1.197351289516665362e+00,8.122038326876130920e-01,8.145021295434743402e-01,9.427067459323910104e-01,9.950663158487748072e-01,1.096009672364827603e+00
8.583647474660067722e-01,7.692009182417041124e-01,4.958547176623151476e-01,9.916379120500864452e-01,9.286814479154872348e-01,9.307324341278844226e-01,8.526911678007829121e-01,8.105620385047440646e-01,9.340135377237979153e-01,9.365089433433847477e-01,9.732845408780822494e-01,1.099895821089545978e+00,9.452767468718542565e-01,1.249755067041661061e+00,1.187669054836149929e+00,8.597976994848790522e-01,9.903140799081194823e-01,9.865817020747340571e-01,1.000000000000000000e+00,1.051373415869054861e+00
9.300532884082235441e-01,7.340095141379059385e-01,9.916379120500864452e-01,0.000000000000000000e+00,9.845360777302538668e-01,1.000000000000000000e+00,9.703240204394614210e-01,9.562318364286025441e-01,9.985566333756197288e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.491840020813459233e-01,8.509877287004613544e-01,1.255093917530575531e+00,1.281345974119710851e+00,9.900748782753179267e-01,1.000000000000000000e+00,9.797909197766525580e-01,8.231838624333382981e-01,1.090908552390722042e+00
8.683474078210885461e-01,8.723224209920638073e-01,9.286814479154872348e-01,9.845360777302538668e-01,0.000000000000000000e+00,9.321587568849679650e-01,6.471437384761968836e-01,9.574220115044869139e-01,9.060471499034192799e-01,9.412056253262677252e-01,9.977921020504673111e-01,9.964581044159271928e-01,9.948966390079634348e-01,1.167107245737648569e+00,1.194602349769067873e+00,8.837085686640043791e-01,1.000000000000000000e+00,9.455798775794592714e-01,1.000000000000000000e+00,9.967330373853611203e-01
9.539249849834257056e-01,9.386267193789608054e-01,9.307324341278844226e-01,1.000000000000000000e+00,9.321587568849679650e-01,3.330669073875469621e-16,1.000000000000000000e+00,8.580838451544003931e-01,8.733413252408139815e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.024957552741202926e+00,9.085067065938283726e-01,1.025246437054573967e+00,7.411887917512447466e-01,8.451620654640836783e-01,1.000000000000000000e+00,9.763104758300545916e-01,9.582589658986195857e-01,9.800532787780831256e-01
1.000000000000000000e+00,8.221338119684693524e-01,8.526911678007829121e-01,9.703240204394614210e-01,6.471437384761968836e-01,1.000000000000000000e+00,0.000000000000000000e+00,8.459857657595428737e-01,1.000000000000000000e+00,1.000000000000000000e+00,5.300104102924751981e-01,1.102090146617298316e+00,9.874269561329116485e-01,1.277026989363449383e+00,1.266781639727333708e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.446448259136780434e-01,9.239769579575599634e-01,1.169785375650281400e+00
9.501631400607419842e-01,8.737932313344424218e-01,8.105620385047440646e-01,9.562318364286025441e-01,9.574220115044869139e-01,8.580838451544003931e-01,8.459857657595428737e-01,5.000000000000000000e-01,8.503649743641993330e-01,9.740440683921457454e-01,8.685729323999615836e-01,1.060521043988371437e+00,9.431330369975257089e-01,1.192462257527084457e+00,1.246909527963268705e+00,9.409263101192623102e-01,9.222550654316914454e-01,9.613652570264690223e-01,8.666340152944639330e-01,1.038187575192094148e+00
9.083315901189098485e-01,7.646519320027432842e-01,9.340135377237979153e-01,9.985566333756197288e-01,9.060471499034192799e-01,8.733413252408139815e-01,1.000000000000000000e+00,8.503649743641994441e-01,5.000000000000000000e-01,8.800012809455800555e-01,9.303992865702667148e-01,1.112115099981051847e+00,9.577287420879391222e-01,1.162733737830345504e+00,1.241569502842494455e+00,9.873356654814429145e-01,9.984856432969957396e-01,9.725128199900001658e-01,1.000000000000000000e+00,1.060973136773218917e+00
8.456677818138274016e-01,9.486207532522423769e-01,9.365089433433847477e-01,1.000000000000000000e+00,9.412056253262677252e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.740440683921457454e-01,8.800012809455800555e-01,2.220446049250313081e-16,9.469381682448881898e-01,1.020402940445288564e+00,8.124037675453998908e-01,1.314202922816429808e+00,1.260861873187982596e+00,8.722750660011524548e-01,9.790014957678793150e-01,8.692344010948118704e-01,9.233714634538714439e-01,1.169161933992667102e+00
9.598951097715576752e-01,9.974202509233500713e-01,9.732845408780822494e-01,1.000000000000000000e+00,9.977921020504673111e-01,1.000000000000000000e+00,5.300104102924751981e-01,8.685729323999615836e-01,9.303992865702667148e-01,9.469381682448881898e-01,1.110223024625156540e-16,1.098518853528890116e+00,9.734592925217957493e-01,1.347647483862546736e+00,1.309075449298289229e+00,9.642460600756224132e-01,1.000000000000000000e+00,9.719484122055559450e-01,9.708310995961142442e-01,1.141497479498433831e+00
1.003712014251384455e+00,1.011308725470439818e+00,1.099895821089545978e+00,8.491840020813459233e-01,9.964581044159271928e-01,1.024957552741202926e+00,1.102090146617298316e+00,1.060521043988371437e+00,1.112115099981051847e+00,1.020402940445288564e+00,1.098518853528890116e+00,5.261226110155532432e-01,1.053140454983608088e+00,1.177273070931383225e+00,1.279529798964183174e+00,1.018595894812306168e+00,1.089188119829437751e+00,1.067005583688611203e+00,1.103473186889208923e+00,1.137827876058448151e+00
9.809991615554937150e-01,5.279258250677272279e-01,9.452767468718542565e-01,8.509877287004613544e-01,9.948966390079634348e-01,9.085067065938283726e-01,9.874269561329116485e-01,9.431330369975257089e-01,9.577287420879391222e-01,8.124037675453998908e-01,9.734592925217957493e-01,1.053140454983608088e+00,2.220446049250313081e-16,1.247698015400036997e+00,1.369803559315095676e+00,1.000000000000000000e+00,9.857347208554243512e-01,7.899754978147992546e-01,8.386814151177220955e-01,1.109487910916823639e+00
1.130697977394102161e+00,1.208533063293746102e+00,1.249755067041661061e+00,1.255093917530575531e+00,1.167107245737648569e+00,1.025246437054573967e+00,1.277026989363449383e+00,1.192462257527084457e+00,1.162733737830345504e+00,1.314202922816429808e+00,1.347647483862546736e+00,1.177273070931383225e+00,1.247698015400036997e+00,1.110223024625156540e-16,5.680931935854122150e-01,1.321044772348523466e+00,1.341584211192889287e+00,1.079640792008909056e+00,1.202573629133700361e+00,5.763852876587065577e-01
1.282349878182017289e+00,1.197351289516665362e+00,1.187669054836149929e+00,1.281345974119710851e+00,1.194602349769067873e+00,7.411887917512447466e-01,1.266781639727333708e+00,1.246909527963268705e+00,1.241569502842494455e+00,1.260861873187982596e+00,1.309075449298289229e+00,1.279529798964183174e+00,1.369803559315095676e+00,5.680931935854122150e-01,2.220446049250313081e-16,1.131674296688519377e+00,1.346999060818135918e+00,8.656316078619713528e-01,1.389985602536358389e+00,7.668557935438887752e-01
8.038576670577995964e-01,8.122038326876130920e-01,8.597976994848790522e-01,9.900748782753179267e-01,8.837085686640043791e-01,8.451620654640836783e-01,1.000000000000000000e+00,9.409263101192623102e-01,9.873356654814429145e-01,8.722750660011524548e-01,9.642460600756224132e-01,1.018595894812306168e+00,1.000000000000000000e+00,1.321044772348523466e+00,1.131674296688519377e+00,1.110223024625156540e-16,9.984183738197375257e-01,9.588525705315147363e-01,9.381452515468509112e-01,1.154099483162542628e+00
9.999107232401667211e-01,8.145021295434743402e-01,9.903140799081194823e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.222550654316914454e-01,9.984856432969957396e-01,9.790014957678793150e-01,1.000000000000000000e+00,1.089188119829437751e+00,9.857347208554243512e-01,1.341584211192889287e+00,1.346999060818135918e+00,9.984183738197375257e-01,2.220446049250313081e-16,9.841093905659815677e-01,1.000000000000000000e+00,1.177564840383057421e+00
9.886240759454096860e-01,9.427067459323910104e-01,9.865817020747340571e-01,9.797909197766525580e-01,9.455798775794592714e-01,9.763104758300545916e-01,9.446448259136780434e-01,9.613652570264690223e-01,9.725128199900001658e-01,8.692344010948118704e-01,9.719484122055559450e-01,1.067005583688611203e+00,7.899754978147992546e-01,1.079640792008909056e+00,8.656316078619713528e-01,9.588525705315147363e-01,9.841093905659815677e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.006434925603541641e+00
9.478604691121820247e-01,9.950663158487748072e-01,1.000000000000000000e+00,8.231838624333382981e-01,1.000000000000000000e+00,9.582589658986195857e-01,9.239769579575599634e-01,8.666340152944639330e-01,1.000000000000000000e+00,9.233714634538714439e-01,9.708310995961142442e-01,1.103473186889208923e+00,8.386814151177220955e-01,1.202573629133700361e+00,1.389985602536358389e+00,9.381452515468509112e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.110223024625156540e-16,1.070588124675555308e+00
1.001551478437471054e+00,1.096009672364827603e+00,1.051373415869054861e+00,1.090908552390722042e+00,9.967330373853611203e-01,9.800532787780831256e-01,1.169785375650281400e+00,1.038187575192094148e+00,1.060973136773218917e+00,1.169161933992667102e+00,1.141497479498433831e+00,1.137827876058448151e+00,1.109487910916823639e+00,5.763852876587065577e-01,7.668557935438887752e-01,1.154099483162542628e+00,1.177564840383057421e+00,1.006434925603541641e+00,1.070588124675555308e+00,4.408406120304336206e-01
